GCCSA_CODE_2021,C16_5_9_Indig_st_ns_P,C16_5_9_Tot_M,C16_5_9_Tot_F,C16_5_9_Tot_P,C16_10_14_Indigen_M,C16_10_14_Indigen_F,C16_10_14_Indigen_P,C16_10_14_NonInd_M,C16_10_14_NonInd_F,C16_10_14_NonInd_P,C16_10_14_Ind_st_ns_M,C16_10_14_Ind_st_ns_F,C16_10_14_Ind_st_ns_P,C16_10_14_Tot_M,C16_10_14_Tot_F,C16_10_14_Tot_P,C16_15_19_Indigen_M,C16_15_19_Indigen_F,C16_15_19_Indigen_P,C16_15_19_NonInd_M,C16_15_19_NonInd_F,C16_15_19_NonInd_P,C16_15_19_Ind_st_ns_M,C16_15_19_Ind_st_ns_F,C16_15_19_Ind_st_ns_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Indigen_M,C16_20_24_Indigen_F,C16_20_24_Indigen_P,C16_20_24_NonInd_M,C16_20_24_NonInd_F,C16_20_24_NonInd_P,C16_20_24_Ind_st_ns_M,C16_20_24_Ind_st_ns_F,C16_20_24_Ind_st_ns_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_29_Indigen_M,C16_25_29_Indigen_F,C16_25_29_Indigen_P,C16_25_29_NonInd_M,C16_25_29_NonInd_F,C16_25_29_NonInd_P,C16_25_29_Ind_st_ns_M,C16_25_29_Ind_st_ns_F,C16_25_29_Ind_st_ns_P,C16_25_29_Tot_M,C16_25_29_Tot_F,C16_25_29_Tot_P,C16_30_34_Indigen_M,C16_30_34_Indigen_F,C16_30_34_Indigen_P,C16_30_34_NonInd_M,C16_30_34_NonInd_F,C16_30_34_NonInd_P,C16_30_34_Ind_st_ns_M,C16_30_34_Ind_st_ns_F,C16_30_34_Ind_st_ns_P,C16_30_34_Tot_M,C16_30_34_Tot_F,C16_30_34_Tot_P,C16_35_39_Indigen_M,C16_35_39_Indigen_F,C16_35_39_Indigen_P,C16_35_39_NonInd_M,C16_35_39_NonInd_F,C16_35_39_NonInd_P,C16_35_39_Ind_st_ns_M,C16_35_39_Ind_st_ns_F,C16_35_39_Ind_st_ns_P,C16_35_39_Tot_M,C16_35_39_Tot_F,C16_35_39_Tot_P,C16_40_44_Indigen_M,C16_40_44_Indigen_F,C16_40_44_Indigen_P,C16_40_44_NonInd_M,C16_40_44_NonInd_F,C16_40_44_NonInd_P,C16_40_44_Ind_st_ns_M,C16_40_44_Ind_st_ns_F,C16_40_44_Ind_st_ns_P,C16_40_44_Tot_M,C16_40_44_Tot_F,C16_40_44_Tot_P,C16_45_49_Indigen_M,C16_45_49_Indigen_F,C16_45_49_Indigen_P,C16_45_49_NonInd_M,C16_45_49_NonInd_F,C16_45_49_NonInd_P,C16_45_49_Ind_st_ns_M,C16_45_49_Ind_st_ns_F,C16_45_49_Ind_st_ns_P,C16_45_49_Tot_M,C16_45_49_Tot_F,C16_45_49_Tot_P,C16_50_54_Indigen_M,C16_50_54_Indigen_F,C16_50_54_Indigen_P,C16_50_54_NonInd_M,C16_50_54_NonInd_F,C16_50_54_NonInd_P,C16_50_54_Ind_st_ns_M,C16_50_54_Ind_st_ns_F,C16_50_54_Ind_st_ns_P,C16_50_54_Tot_M,C16_50_54_Tot_F,C16_50_54_Tot_P,C16_55_59_Indigen_M,C16_55_59_Indigen_F,C16_55_59_Indigen_P,C16_55_59_NonInd_M,C16_55_59_NonInd_F,C16_55_59_NonInd_P,C16_55_59_Ind_st_ns_M,C16_55_59_Ind_st_ns_F,C16_55_59_Ind_st_ns_P,C16_55_59_Tot_M,C16_55_59_Tot_F,C16_55_59_Tot_P,C16_60_64_Indigen_M,C16_60_64_Indigen_F,C16_60_64_Indigen_P,C16_60_64_NonInd_M,C16_60_64_NonInd_F,C16_60_64_NonInd_P,C16_60_64_Ind_st_ns_M,C16_60_64_Ind_st_ns_F,C16_60_64_Ind_st_ns_P,C16_60_64_Tot_M,C16_60_64_Tot_F,C16_60_64_Tot_P,C16_65_over_Indigen_M,C16_65_over_Indigen_F,C16_65_over_Indigen_P,C16_65over_NonInd_M,C16_65over_NonInd_F,C16_65over_NonInd_P,C16_65over_Indig_st_ns_M,C16_65over_Indig_st_ns_F,C16_65over_Indig_st_ns_P,C16_65_over_Tot_M,C16_65_over_Tot_F,C16_65_over_Tot_P,C16_Tot_Indig_M,C16_Tot_Indig_F,C16_Tot_Indig_P,C16_Tot_NonInd_M,C16_Tot_NonInd_F,C16_Tot_NonInd_P,C16_Tot_Indig_st_ns_M,C16_Tot_Indig_st_ns_F,C16_Tot_Indig_st_ns_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_0_4_Indig_M,C21_0_4_Indig_F,C21_0_4_Indig_P,C21_0_4_NonInd_M,C21_0_4_NonInd_F,C21_0_4_NonInd_P,C21_0_4_Indig_st_ns_M,C21_0_4_Indig_st_ns_F,C21_0_4_Indig_st_ns_P,C21_0_4_Tot_M,C21_0_4_Tot_F,C21_0_4_Tot_P,C21_5_9_Indig_M,C21_5_9_Indig_F,C21_5_9_Indig_P,C21_5_9_NonInd_M,C21_5_9_NonInd_F,C21_5_9_NonInd_P,C21_5_9_Indig_st_ns_M,C21_5_9_Indig_st_ns_F,C21_5_9_Indig_st_ns_P,C21_5_9_Tot_M,C21_5_9_Tot_F,C21_5_9_Tot_P,C21_10_14_Indigen_M,C21_10_14_Indigen_F,C21_10_14_Indigen_P,C21_10_14_NonInd_M,C21_10_14_NonInd_F,C21_10_14_NonInd_P,C21_10_14_Ind_st_ns_M,C21_10_14_Ind_st_ns_F,C21_10_14_Ind_st_ns_P,C21_10_14_Tot_M,C21_10_14_Tot_F,C21_10_14_Tot_P,C21_15_19_Indigen_M,C21_15_19_Indigen_F,C21_15_19_Indigen_P,C21_15_19_NonInd_M
5GPER,5869,65141,61692,126831,1773,1721,3489,55513,52547,108054,2688,2547,5236,59967,56816,116785,1719,1586,3302,56823,54482,111302,2850,2671,5526,61397,58736,120131,1615,1441,3051,62622,59724,122344,4121,3917,8035,68350,65082,133428,1420,1208,2632,67851,69298,137153,5611,4939,10543,74881,75447,150333,1108,1018,2129,71677,72328,144002,5528,4689,10219,78314,78040,156351,858,836,1692,63411,64450,127855,4478,3589,8070,68748,68877,137621,819,867,1691,61755,63851,125608,4147,3540,7693,66729,68258,134982,765,873,1641,61554,63484,125036,4153,3358,7514,66479,67714,134190,636,701,1343,57115,58992,116103,3827,3231,7060,61583,62922,124500,509,602,1115,51048,54378,105426,3398,3075,6474,54956,58060,113021,359,459,808,44837,48482,93321,2995,2825,5818,48184,51764,99948,479,670,1156,115516,135359,250870,7768,9226,16998,123767,145255,269025,15703,15517,31216,889805,911224,1801031,58028,53581,111613,963540,980320,1943861,2439,2264,4706,62134,58684,120819,2127,1950,4072,66701,62896,129598,2492,2243,4737,65018,61960,126980,2379,2323,4698,69895,66521,136414,2398,2351,4748,64886,61077,125963,2345,2168,4513,69632,65588,135222,2122,2015,4138,58923
5RWAU,2867,19067,18110,37186,2404,2394,4798,13547,13036,26582,1326,1219,2546,17279,16641,33922,2115,1969,4091,12312,11045,23352,1204,1065,2270,15631,14084,29712,1841,1718,3558,10826,9618,20442,1271,1110,2385,13934,12443,26381,1754,1691,3445,13734,12937,26670,2174,1549,3717,17651,16176,33836,1530,1600,3127,15365,14831,30195,2317,1590,3905,19212,18014,37228,1325,1375,2698,14828,13925,28753,2042,1406,3454,18200,16704,34906,1339,1297,2644,15665,14664,30331,2108,1413,3522,19118,17378,36492,1183,1377,2565,16432,15176,31611,2117,1530,3649,19738,18083,37816,1028,1194,2220,16463,15055,31512,2114,1538,3649,19601,17784,37383,849,949,1801,15985,15015,30998,2018,1532,3553,18849,17496,36346,623,727,1352,14181,13326,27508,1568,1273,2842,16380,15322,31707,885,1139,2026,33750,33439,67184,3609,3586,7199,38245,38164,76408,21975,22199,44170,222161,209494,431658,26801,21539,48341,270941,253227,524170,2380,2105,4488,12732,12177,24914,1285,1172,2458,16402,15458,31859,2485,2264,4747,14475,13549,28028,1627,1567,3196,18591,17389,35974,2403,2448,4851,14396,13580,27973,1601,1519,3119,18396,17547,35939,2200,2124,4325,11939
59499,19,66,69,136,8,12,21,35,25,61,6,8,10,53,44,96,12,12,24,64,53,114,10,3,13,87,65,153,21,26,48,201,181,381,34,40,74,257,245,503,32,28,57,293,232,527,62,50,112,387,310,701,37,24,59,283,161,446,63,43,104,381,223,608,27,19,49,228,116,345,33,23,59,295,156,450,51,32,86,215,100,320,38,15,56,308,149,454,43,30,72,225,94,320,42,9,61,315,141,454,35,17,56,238,138,376,47,34,81,321,186,509,21,8,34,225,170,397,39,33,73,280,219,503,21,4,28,203,188,385,31,26,59,254,221,473,4,6,12,372,253,619,66,46,114,446,304,748,342,244,587,2692,1808,4501,501,365,867,3535,2417,5950,36,37,69,92,91,188,25,16,42,149,153,300,17,30,48,103,86,193,8,11,20,132,127,259,18,14,30,83,76,159,13,7,25,116,101,212,28,42,68,74
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,19,3,6,6,16,0,23,4,0,4,36,0,34,7,0,10,44,3,49,0,0,0,61,3,63,16,0,19,77,6,83,0,0,0,47,3,50,10,0,10,59,3,62,0,0,0,57,3,54,6,0,6,62,3,63,0,0,0,41,4,43,11,6,12,47,3,57,0,0,0,33,0,39,6,0,6,44,0,45,0,0,0,25,0,20,3,0,3,27,0,26,0,0,0,11,4,19,0,0,0,12,4,15,0,0,0,9,0,9,0,0,0,6,0,6,11,0,11,328,23,349,69,6,72,405,27,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
