GCCSA_CODE_2021,C16_P_AdD_DL_15_19,C16_P_AdD_DL_20_24,C16_P_AdD_DL_25_34,C16_P_AdD_DL_35_44,C16_P_AdD_DL_45_54,C16_P_AdD_DL_55_64,C16_P_AdD_DL_65_74,C16_P_AdD_DL_75_84,C16_P_AdD_DL_85over,C16_P_AdD_DL_Tot,C16_P_CL_C_III_IV_15_19,C16_P_CL_C_III_IV_20_24,C16_P_CL_C_III_IV_25_34,C16_P_CL_C_III_IV_35_44,C16_P_CL_C_III_IV_45_54,C16_P_CL_C_III_IV_55_64,C16_P_CL_C_III_IV_65_74,C16_P_CL_C_III_IV_75_84,C16_P_CL_C_III_IV_85over,C16_P_CL_C_III_IV_Tot,C16_P_CL_C_I_II_15_19,C16_P_CL_C_I_II_20_24,C16_P_CL_C_I_II_25_34,C16_P_CL_C_I_II_35_44,C16_P_CL_C_I_II_45_54,C16_P_CL_C_I_II_55_64,C16_P_CL_C_I_II_65_74,C16_P_CL_C_I_II_75_84,C16_P_CL_C_I_II_85over,C16_P_CL_C_I_II_Tot,C16_P_CL_CL_nfd_15_19,C16_P_CL_CL_nfd_20_24,C16_P_CL_CL_nfd_25_34,C16_P_CL_CL_nfd_35_44,C16_P_CL_CL_nfd_45_54,C16_P_CL_CL_nfd_55_64,C16_P_CL_CL_nfd_65_74,C16_P_CL_CL_nfd_75_84,C16_P_CL_CL_nfd_85over,C16_P_CL_CL_nfd_Tot,C16_P_CL_Tot_15_19,C16_P_CL_Tot_20_24,C16_P_CL_Tot_25_34,C16_P_CL_Tot_35_44,C16_P_CL_Tot_45_54,C16_P_CL_Tot_55_64,C16_P_CL_Tot_65_74,C16_P_CL_Tot_75_84,C16_P_CL_Tot_85over,C16_P_CL_Tot_Tot,C16_P_LE_ID_15_19,C16_P_LE_ID_20_24,C16_P_LE_ID_25_34,C16_P_LE_ID_35_44,C16_P_LE_ID_45_54,C16_P_LE_ID_55_64,C16_P_LE_ID_65_74,C16_P_LE_ID_75_84,C16_P_LE_ID_85over,C16_P_LE_ID_Tot,C16_P_LE_NS_15_19,C16_P_LE_NS_20_24,C16_P_LE_NS_25_34,C16_P_LE_NS_35_44,C16_P_LE_NS_45_54,C16_P_LE_NS_55_64,C16_P_LE_NS_65_74,C16_P_LE_NS_75_84,C16_P_LE_NS_85over,C16_P_LE_NS_Tot,C16_P_Tot_15_19_yrs,C16_P_Tot_20_24_yrs,C16_P_Tot_25_34_yrs,C16_P_Tot_35_44_yrs,C16_P_Tot_45_54_yrs,C16_P_Tot_55_64_yrs,C16_P_Tot_65_74_yrs,C16_P_Tot_75_84_yrs,C16_P_Tot_85over,C16_P_Tot_Tot,C21_P_Post_Deg_15_19_yrs,C21_P_Post_Deg_20_24_yrs,C21_P_Post_Deg_25_34_yrs,C21_P_Post_Deg_35_44_yrs,C21_P_Post_Deg_45_54_yrs,C21_P_Post_Deg_55_64_yrs,C21_P_Post_Deg_65_74_yrs,C21_P_Post_Deg_75_84_yrs,C21_P_Post_Deg_85over,C21_P_Post_Deg_Tot,C21_P_GrDip_GrCe_15_19,C21_P_GrDip_GrCe_20_24,C21_P_GrDip_GrCe_25_34,C21_P_GrDip_GrCe_35_44,C21_P_GrDip_GrCe_45_54,C21_P_GrDip_GrCe_55_64,C21_P_GrDip_GrCe_65_74,C21_P_GrDip_GrCe_75_84,C21_P_GrDip_GrCe_85over,C21_P_GrDip_GrCe_Tot,C21_P_BD_15_19,C21_P_BD_20_24,C21_P_BD_25_34,C21_P_BD_35_44,C21_P_BD_45_54,C21_P_BD_55_64,C21_P_BD_65_74,C21_P_BD_75_84,C21_P_BD_85over,C21_P_BD_Tot,C21_P_AdD_DL_15_19,C21_P_AdD_DL_20_24,C21_P_AdD_DL_25_34,C21_P_AdD_DL_35_44,C21_P_AdD_DL_45_54,C21_P_AdD_DL_55_64,C21_P_AdD_DL_65_74,C21_P_AdD_DL_75_84,C21_P_AdD_DL_85over,C21_P_AdD_DL_Tot,C21_P_CL_C_III_IV_15_19,C21_P_CL_C_III_IV_20_24,C21_P_CL_C_III_IV_25_34,C21_P_CL_C_III_IV_35_44,C21_P_CL_C_III_IV_45_54,C21_P_CL_C_III_IV_55_64,C21_P_CL_C_III_IV_65_74,C21_P_CL_C_III_IV_75_84,C21_P_CL_C_III_IV_85over,C21_P_CL_C_III_IV_Tot,C21_P_CL_C_I_II_15_19,C21_P_CL_C_I_II_20_24,C21_P_CL_C_I_II_25_34,C21_P_CL_C_I_II_35_44,C21_P_CL_C_I_II_45_54,C21_P_CL_C_I_II_55_64,C21_P_CL_C_I_II_65_74,C21_P_CL_C_I_II_75_84,C21_P_CL_C_I_II_85over,C21_P_CL_C_I_II_Tot,C21_P_CL_CL_nfd_15_19,C21_P_CL_CL_nfd_20_24,C21_P_CL_CL_nfd_25_34,C21_P_CL_CL_nfd_35_44,C21_P_CL_CL_nfd_45_54,C21_P_CL_CL_nfd_55_64,C21_P_CL_CL_nfd_65_74,C21_P_CL_CL_nfd_75_84,C21_P_CL_CL_nfd_85over,C21_P_CL_CL_nfd_Tot,C21_P_CL_Tot_15_19,C21_P_CL_Tot_20_24,C21_P_CL_Tot_25_34,C21_P_CL_Tot_35_44,C21_P_CL_Tot_45_54,C21_P_CL_Tot_55_64,C21_P_CL_Tot_65_74,C21_P_CL_Tot_75_84,C21_P_CL_Tot_85over,C21_P_CL_Tot_Tot,C21_P_LE_ID_15_19,C21_P_LE_ID_20_24,C21_P_LE_ID_25_34,C21_P_LE_ID_35_44,C21_P_LE_ID_45_54,C21_P_LE_ID_55_64,C21_P_LE_ID_65_74,C21_P_LE_ID_75_84,C21_P_LE_ID_85over,C21_P_LE_ID_Tot,C21_P_LE_NS_15_19,C21_P_LE_NS_20_24,C21_P_LE_NS_25_34,C21_P_LE_NS_35_44,C21_P_LE_NS_45_54,C21_P_LE_NS_55_64,C21_P_LE_NS_65_74,C21_P_LE_NS_75_84,C21_P_LE_NS_85over,C21_P_LE_NS_Tot,C21_P_Tot_15_19_yrs,C21_P_Tot_20_24_yrs,C21_P_Tot_25_34_yrs,C21_P_Tot_35_44_yrs,C21_P_Tot_45_54_yrs,C21_P_Tot_55_64_yrs,C21_P_Tot_65_74_yrs,C21_P_Tot_75_84_yrs,C21_P_Tot_85over,C21_P_Tot_Tot
5GPER,1303,8873,30072,30817,30016,23716,14436,5837,1663,146740,5687,22983,58518,48487,48499,37075,22139,10310,2721,256406,2877,2899,3906,2959,2444,1809,998,301,108,18306,609,1676,4522,5887,6372,5559,4122,1820,619,31181,9175,27553,66944,57330,57319,44441,27256,12427,3451,305892,233,754,2547,2400,2362,2193,2008,1040,412,13951,8417,10644,26962,21647,20272,18279,16741,14288,9509,146758,19302,70187,230954,203352,175297,132690,83776,41541,17112,974197,5,1701,24726,30420,19964,13117,7893,2824,559,101204,32,790,8282,10559,9741,7588,4478,1378,231,43076,74,21204,80990,80215,55761,35983,24234,9445,2352,310258,868,9069,28968,35353,33654,28515,19885,8694,2336,167344,8149,23253,61714,56622,51297,45104,28804,12648,3387,290986,5098,5463,4744,3427,2765,2307,1542,585,117,26049,748,1465,3205,4711,6214,6016,4798,2459,791,30407,13996,30182,69668,64754,60278,53433,35143,15686,4291,347434,246,702,2009,2544,2331,2140,2304,1581,555,14404,5486,8135,21511,19817,17157,15022,13557,12049,8320,121062,20719,71783,236157,243656,198878,155788,107495,51659,18647,1104787
5RWAU,155,1054,5067,6228,6747,6211,3537,1224,299,30528,1747,6617,19173,17498,16911,13138,6730,2347,534,84689,1093,1136,1590,1175,940,706,316,91,9,7060,206,502,1240,1730,1746,1732,1124,378,98,8758,3045,8247,22003,20408,19595,15571,8169,2814,649,100505,34,120,395,426,443,478,451,248,69,2664,4079,3482,10139,9313,9687,8862,6990,4483,2083,59116,7343,14556,49366,48830,45938,38800,23238,10052,3364,241489,0,122,1716,2149,1697,1433,1037,353,45,8556,4,101,1136,1592,1601,1402,916,215,31,6988,5,1616,9526,10426,8472,6293,4375,1660,365,42739,105,854,4553,6483,6779,6884,4949,1919,415,32946,2075,6145,18550,18610,17101,15103,9078,3168,667,90496,1482,1754,1765,1277,1020,844,495,140,24,8807,174,312,764,1133,1518,1603,1262,490,113,7373,3724,8212,21080,21021,19641,17553,10832,3798,808,106680,30,97,308,381,431,456,511,305,98,2619,3309,3375,9209,9094,9109,8497,6773,4496,2072,55925,7185,14371,47536,51145,47727,42516,29384,12746,3837,256450
59499,0,23,72,39,51,74,45,3,0,310,8,75,231,168,169,203,103,17,3,967,10,11,14,17,5,9,6,0,0,63,0,5,28,10,21,25,17,3,0,115,17,91,274,193,193,237,123,18,3,1148,0,5,8,4,5,9,3,3,0,42,45,132,388,319,362,221,137,24,8,1631,64,307,1027,670,678,635,368,57,8,3823,0,0,64,32,11,25,15,0,0,148,0,0,15,17,14,15,12,0,0,77,0,54,221,131,58,60,35,8,0,563,0,18,79,71,50,77,35,8,0,335,14,68,191,203,162,158,129,13,0,946,11,23,22,15,10,7,4,0,0,85,0,3,11,6,14,23,14,0,0,66,26,93,224,224,185,195,147,13,0,1105,4,0,10,0,8,10,6,0,0,32,99,233,659,809,752,507,257,72,22,3407,131,400,1270,1293,1073,876,505,105,20,5668
59799,0,0,12,14,17,11,0,0,0,59,0,4,44,39,35,14,3,0,0,133,0,0,4,3,0,0,0,0,0,6,0,0,3,3,0,0,0,0,0,10,0,3,46,44,36,10,3,0,0,144,0,0,0,0,0,0,0,0,0,0,0,5,31,21,18,8,0,0,0,83,0,14,106,98,83,31,4,3,0,341,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,4,14,13,8,10,0,0,0,39,0,0,7,11,4,0,4,0,0,35,0,8,26,39,15,7,0,0,0,100,0,0,4,0,0,0,0,0,0,4,0,0,6,4,0,3,0,0,0,7,0,12,29,36,21,9,0,0,0,117,0,0,0,3,4,0,0,0,0,11,3,15,49,74,49,21,3,0,0,224,3,32,97,145,92,48,15,0,0,428
