CED_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
CED501,0,34,..,1274,149,1429,27,1455,..,229,14,244,4,243,..,131,20,151,0,154,..,23,0,27,0,27,..,98,40,139,0,144,..,29,0,30,0,30,..,168,12,186,0,183,..,43,6,47,0,56,..,86,6,93,0,94,..,205,32,237,0,237,..,116,13,128,0,128,..,62,3,66,0,66,..,214,48,260,3,264,..,687,27,709,6,721,..,259,20,274,3,277,..,1079,54,1127,9,1136,..,310,15,320,0,323,..,2334,106,2436,21,2457,..,339,37,381,3,388,..,136,6,144,0,144,..,381,65,442,3,450,..,15,3,18,0,17,..,169,55,227,8,236,..,2062,198,2255,55,2308,..,10013,1047,11057,147,11198,..,357,39,392,3975,4366,75410,10370,1080,11450,4119,90975,149187,..,..,..,..,149187,..,1187,23,1210,11,1220,..,346,39,382,6,387,..,200,3,210,0,208,..,228,74,304,3,306,..,653,193,853,12,860
CED502,0,251,..,5131,566,5696,65,5763,..,376,38,414,3,426,..,149,27,174,0,178,..,138,65,204,0,204,..,280,125,407,6,410,..,13,0,18,0,18,..,1124,83,1205,20,1223,..,241,80,325,0,325,..,115,9,122,5,125,..,100,10,105,0,106,..,96,19,115,0,117,..,73,5,70,0,70,..,70,15,85,4,88,..,1000,36,1033,10,1041,..,982,129,1112,12,1129,..,1437,60,1502,4,1506,..,831,77,910,8,910,..,4250,301,4552,38,4584,..,324,41,363,5,368,..,1133,137,1266,10,1271,..,384,72,458,3,459,..,133,45,173,5,176,..,271,107,381,4,388,..,4808,1221,6025,97,6122,..,23994,4216,28207,317,28524,..,566,134,705,4282,4990,58098,24562,4352,28910,4600,91615,116105,..,..,..,..,116105,..,697,20,711,7,712,..,1938,296,2235,21,2254,..,264,7,271,6,281,..,1342,335,1673,20,1698,..,3947,1431,5381,89,5469
CED503,0,30,..,685,65,746,9,753,..,273,23,300,0,298,..,69,6,79,0,79,..,28,9,35,0,38,..,47,11,56,0,56,..,11,0,11,0,11,..,120,11,133,0,137,..,46,11,58,0,58,..,69,5,76,0,76,..,80,7,82,0,82,..,57,9,62,0,62,..,18,3,21,0,21,..,28,0,31,0,31,..,311,10,317,5,320,..,183,12,197,0,197,..,389,9,401,0,401,..,121,11,131,0,131,..,1004,41,1036,5,1041,..,140,10,152,0,154,..,67,7,72,0,74,..,260,35,299,3,305,..,7,0,7,0,7,..,94,45,136,0,136,..,1263,110,1376,23,1398,..,5729,530,6263,58,6319,..,353,23,378,3738,4115,71317,6087,555,6640,3788,81752,138997,..,..,..,..,138997,..,1059,12,1071,3,1070,..,123,3,130,0,128,..,182,0,187,7,189,..,143,42,185,0,187,..,378,104,482,7,493
CED504,0,86,..,2541,283,2821,37,2856,..,2097,261,2355,30,2383,..,212,20,237,0,235,..,111,80,186,0,186,..,129,25,155,0,154,..,1250,292,1541,11,1549,..,156,10,166,0,167,..,438,111,551,6,557,..,338,47,382,0,385,..,328,39,369,6,377,..,172,20,187,0,190,..,21,0,21,0,21,..,541,110,655,0,655,..,409,6,415,0,418,..,304,41,340,0,345,..,661,21,684,7,691,..,396,68,469,6,473,..,1775,135,1912,15,1931,..,499,82,579,4,584,..,183,21,208,0,208,..,387,89,478,0,477,..,84,39,121,4,128,..,3087,2026,5112,26,5141,..,5357,1542,6906,89,6991,..,25246,6798,32041,296,32335,..,674,185,857,3719,4575,54019,25920,6981,32904,4010,90932,108238,..,..,..,..,108238,..,328,0,332,5,334,..,2987,687,3674,18,3687,..,151,11,159,0,159,..,1824,757,2580,19,2597,..,2642,905,3544,37,3578
CED505,0,87,..,1255,91,1344,8,1352,..,841,63,902,9,914,..,482,73,560,5,568,..,17,0,17,0,17,..,146,24,174,0,174,..,107,9,116,3,115,..,131,3,138,3,139,..,312,44,353,3,356,..,292,16,307,3,313,..,550,37,586,4,590,..,288,29,316,0,316,..,12,0,12,0,12,..,137,19,149,0,149,..,86,0,86,0,86,..,396,24,416,0,423,..,145,0,145,0,145,..,148,10,154,0,154,..,777,31,809,3,808,..,701,47,743,10,752,..,176,4,176,0,181,..,188,30,213,0,213,..,37,3,35,0,37,..,293,60,348,0,351,..,2123,137,2261,38,2301,..,14182,1355,15532,136,15672,..,361,31,387,3222,3611,70133,14538,1383,15925,3363,89421,136913,..,..,..,..,136913,..,575,9,581,10,586,..,475,38,512,4,515,..,69,7,72,0,74,..,1327,146,1473,11,1482,..,4150,738,4891,34,4921
CED506,0,22,..,469,50,519,7,521,..,235,18,253,0,250,..,62,15,77,0,77,..,25,5,28,0,28,..,46,6,49,0,49,..,29,0,30,0,30,..,136,12,146,0,148,..,19,0,23,0,23,..,74,4,79,0,79,..,114,9,122,0,126,..,33,0,34,0,34,..,23,0,23,0,25,..,30,4,37,0,37,..,456,7,466,7,471,..,198,14,208,0,213,..,552,27,575,6,587,..,385,59,445,3,450,..,1586,110,1700,15,1718,..,248,7,258,8,259,..,47,4,48,0,48,..,414,87,501,9,504,..,9,4,14,0,14,..,209,104,308,4,317,..,4525,325,4854,123,4974,..,10062,943,11007,195,11201,..,562,117,679,11306,11984,73339,10625,1060,11685,11504,96523,151157,..,..,..,..,151157,..,812,19,828,3,838,..,173,24,199,9,198,..,6726,503,7233,195,7425,..,171,34,208,5,210,..,655,152,814,12,825
CED507,0,13,..,353,40,391,3,400,..,482,51,530,10,544,..,96,11,107,0,114,..,5,0,6,0,6,..,85,26,112,0,112,..,12,0,12,0,12,..,100,11,116,0,116,..,22,7,26,0,26,..,74,3,82,0,82,..,89,3,93,0,91,..,64,11,81,0,81,..,5,0,3,0,3,..,14,0,12,0,12,..,307,12,319,3,325,..,124,9,133,4,135,..,367,17,387,3,390,..,168,7,179,3,182,..,975,45,1020,17,1034,..,186,3,185,3,190,..,39,0,39,0,39,..,183,33,216,0,211,..,5,0,5,0,5,..,98,55,153,0,157,..,902,104,1007,19,1027,..,5402,588,5991,81,6077,..,263,22,281,3919,4200,69899,5667,611,6273,4004,80181,136986,..,..,..,..,136986,..,958,5,962,6,967,..,170,24,192,0,196,..,183,3,187,0,189,..,134,27,162,5,168,..,552,222,770,3,773
CED508,0,59,..,1119,90,1211,12,1226,..,1661,296,1967,12,1974,..,237,22,260,0,260,..,18,0,16,0,16,..,181,72,245,0,251,..,24,6,23,0,23,..,289,25,310,0,311,..,222,26,247,4,253,..,223,30,246,0,246,..,788,169,959,7,967,..,179,20,198,0,198,..,14,5,22,0,22,..,397,89,489,0,485,..,498,12,509,4,512,..,416,29,450,4,458,..,778,43,820,0,822,..,243,4,250,3,251,..,1934,101,2030,12,2040,..,725,72,791,9,805,..,145,10,153,3,154,..,249,53,303,0,303,..,36,6,42,0,42,..,184,62,248,3,246,..,1725,180,1898,50,1946,..,14509,2048,16557,177,16736,..,364,58,427,3174,3598,64871,14880,2108,16985,3346,85202,127670,..,..,..,..,127670,..,614,11,632,8,634,..,424,35,452,6,459,..,145,3,149,5,157,..,778,163,935,7,943,..,2426,766,3189,48,3233
CED509,0,61,..,2754,327,3080,44,3127,..,647,88,734,0,738,..,162,11,175,0,177,..,38,20,57,0,60,..,57,18,72,0,75,..,77,9,91,0,91,..,238,24,256,0,258,..,106,31,131,0,131,..,172,23,199,0,200,..,123,10,129,0,129,..,91,15,102,0,103,..,24,4,26,0,26,..,112,18,123,0,125,..,620,22,645,0,642,..,197,11,206,0,206,..,1015,41,1055,4,1065,..,296,11,300,4,303,..,2123,85,2214,15,2221,..,269,23,286,3,291,..,232,21,257,3,253,..,313,59,367,0,369,..,16,4,19,0,19,..,419,224,648,6,647,..,2997,434,3433,62,3498,..,13520,1768,15286,166,15449,..,373,47,421,3416,3833,68115,13889,1821,15709,3577,87397,135282,..,..,..,..,135282,..,934,16,950,6,956,..,1048,168,1218,3,1227,..,295,0,303,5,307,..,324,86,411,6,421,..,759,187,942,10,956
CED510,0,45,..,651,37,682,0,693,..,584,43,622,0,626,..,191,21,215,0,217,..,12,5,13,0,13,..,68,15,80,0,80,..,138,17,153,0,153,..,49,0,52,3,50,..,246,20,263,6,271,..,338,30,374,4,374,..,280,20,302,3,303,..,160,17,176,0,176,..,11,0,7,0,7,..,86,10,99,0,99,..,97,0,97,0,103,..,175,16,193,0,193,..,145,3,147,0,147,..,157,4,161,0,162,..,576,24,603,0,610,..,378,35,413,8,420,..,57,3,67,5,67,..,201,36,233,0,233,..,23,0,20,0,20,..,178,47,222,4,228,..,1152,104,1250,24,1276,..,8620,835,9452,84,9528,..,266,20,287,1855,2148,71262,8886,854,9741,1938,82942,141710,..,..,..,..,141710,..,1752,26,1781,9,1788,..,539,38,570,4,578,..,47,0,45,0,45,..,584,150,739,0,744,..,1150,312,1458,11,1476
