CED_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
CED501,860,2659,7859,8619,7679,5153,762,36,0,33629,1637,1152,1294,977,958,1029,509,82,6,7628,70,136,485,436,441,448,106,5,3,2133,59,96,267,212,143,83,17,0,6,888,2630,4054,9903,10250,9215,6714,1396,124,9,44284,222,340,491,349,319,268,41,0,0,2033,490,138,130,57,76,72,49,7,0,1010,705,470,621,408,395,343,88,6,3,3043,3336,4523,10524,10652,9608,7058,1481,130,10,47325,2297,775,1338,1180,1274,2131,4646,3189,866,17702,278,456,1070,1044,821,597,321,247,151,4998,5919,5752,12933,12883,11702,9784,6453,3570,1033,70029,367,1682,4175,4352,4544,2582,285,6,0,17990,2222,1883,3802,4424,3709,2618,634,42,0,19335,79,162,765,428,353,343,69,8,0,2196,43,86,180,110,96,61,14,5,4,600,2713,3807,8919,9309,8702,5604,1002,61,5,40124,144,185,243,231,218,129,5,3,0,1150,479,171,326,329,214,169,35,4,0,1726,624,354,571,554,436,291,40,5,0,2880
CED502,627,2372,7892,10181,7013,4515,879,41,5,33515,1408,1560,1777,1587,1219,1105,626,91,4,9369,74,92,332,327,259,270,88,6,0,1445,44,112,328,221,149,104,18,12,0,986,2147,4131,10321,12321,8635,5993,1621,149,9,45322,171,328,567,452,360,259,49,0,0,2183,363,180,146,91,86,87,44,3,0,1011,538,507,708,543,445,345,95,3,0,3190,2685,4638,11030,12855,9085,6337,1711,151,9,48512,2447,803,1147,1078,1260,1838,4587,2891,787,16836,275,332,876,907,760,520,326,206,144,4349,5412,5773,13049,14844,11100,8697,6621,3248,940,69692,274,1504,4494,4624,3951,2456,374,12,0,17695,1798,1960,3696,4616,3065,2346,687,62,0,18235,74,141,617,438,237,236,61,3,0,1805,41,111,185,143,112,66,22,7,0,672,2187,3713,8990,9814,7361,5108,1140,86,10,38408,127,203,304,294,268,154,20,5,0,1375,445,207,351,365,208,151,18,0,0,1756,568,413,652,659,477,308,37,0,0,3126
CED503,763,1905,5156,5970,6259,4962,981,78,3,26087,1286,858,910,811,895,1168,820,192,12,6955,90,118,349,388,425,497,140,16,5,2033,49,83,194,164,128,114,46,11,5,782,2193,2968,6616,7329,7707,6737,1993,304,20,35862,153,232,338,273,260,209,55,0,0,1517,299,84,80,50,37,91,39,6,0,699,446,318,422,322,292,305,95,6,0,2211,2643,3287,7030,7651,8007,7044,2088,305,22,38077,1771,461,712,815,1055,2308,6956,4951,1339,20371,217,253,623,756,776,624,498,368,208,4321,4627,3996,8367,9227,9837,9973,9539,5629,1571,62773,307,1175,2716,3049,3749,2487,350,22,0,13859,1998,1460,2807,3455,3337,2988,880,71,5,17009,80,136,521,330,321,400,86,9,0,1888,54,57,119,95,94,67,20,14,3,527,2437,2830,6164,6928,7507,5945,1346,114,14,33278,104,135,170,160,180,141,10,4,0,890,296,108,204,196,178,178,37,0,0,1199,398,243,375,359,357,320,42,0,0,2095
CED504,463,2152,8108,8318,6741,5239,1158,77,5,32264,1444,1823,2164,1594,1403,1506,869,153,11,10966,63,87,279,261,230,279,99,10,0,1301,39,148,330,192,152,90,37,9,5,985,2003,4203,10878,10366,8526,7113,2165,248,18,45522,124,301,478,380,372,291,35,5,0,1986,366,193,140,71,94,119,51,11,0,1041,488,494,617,450,464,411,88,11,0,3023,2497,4704,11493,10813,8994,7528,2249,257,18,48545,2420,916,1070,1096,1365,2312,5547,3890,1162,19774,192,376,824,780,628,484,321,277,123,4002,5106,5990,13385,12690,10984,10324,8118,4419,1300,72324,210,1572,5043,4191,4212,2927,497,23,0,18683,1811,2255,3740,4162,3586,3066,1022,85,4,19725,58,147,585,382,237,268,115,4,0,1791,55,107,188,132,135,95,23,6,3,734,2125,4076,9563,8871,8165,6353,1653,116,3,40929,91,131,239,224,221,148,16,0,0,1073,415,175,300,323,204,192,37,0,0,1647,509,309,536,547,426,345,51,0,0,2719
CED505,249,1516,7234,8339,8072,5309,1342,177,10,32251,1904,2119,1686,1242,1136,1477,1414,396,44,11419,107,119,308,273,197,233,108,32,0,1382,26,38,147,108,84,42,25,11,4,476,2284,3795,9372,9967,9486,7062,2885,618,60,45533,37,128,213,165,251,201,49,3,0,1042,413,182,114,42,44,63,54,8,0,919,448,311,328,205,295,261,100,14,0,1957,2736,4104,9699,10171,9781,7320,2990,632,60,47492,2805,902,807,578,807,1641,4364,3903,1585,17410,134,187,764,604,443,375,367,302,202,3386,5673,5193,11275,11353,11040,9334,7722,4842,1852,68286,105,1344,6074,4407,4788,2897,561,47,0,20221,2303,2752,3146,4494,4271,3214,1407,245,15,21849,116,159,644,471,214,306,105,21,0,2035,20,63,126,80,81,42,28,18,7,465,2551,4319,9990,9455,9349,6457,2098,329,24,44565,24,69,148,150,173,95,14,0,0,669,364,147,145,196,147,135,25,3,0,1158,386,216,295,349,315,226,42,5,0,1830
CED506,977,2558,8313,8836,8336,6708,1717,182,14,37639,1241,614,1126,1023,1094,1383,872,208,23,7576,98,125,535,603,609,614,225,22,6,2833,69,113,314,260,209,165,64,32,8,1229,2385,3410,10285,10720,10245,8863,2876,440,54,49280,164,269,354,299,304,254,39,3,0,1687,196,74,97,87,84,98,45,8,0,690,356,338,448,384,390,353,86,8,0,2381,2741,3746,10736,11107,10635,9212,2967,457,54,51651,2234,900,1591,1469,1564,2488,5161,3013,765,19194,742,899,2644,2565,2410,2000,1031,519,144,12957,5721,5547,14976,15144,14618,13697,9150,3985,968,83807,530,1806,5167,4947,5233,3726,747,63,0,22224,1648,984,3008,3838,3182,2816,986,132,4,16595,87,167,789,485,391,432,123,11,0,2482,73,102,199,149,141,108,43,26,6,842,2337,3056,9163,9423,8942,7083,1893,225,11,42141,107,119,189,160,176,116,19,0,0,886,173,87,179,181,167,142,26,0,3,966,279,208,373,343,343,255,46,0,6,1849
CED507,800,1856,5181,6549,6761,4988,1130,98,6,27381,1496,645,1009,987,1072,1435,1050,183,15,7903,135,111,326,412,480,538,178,32,3,2203,57,52,157,145,135,83,22,13,8,681,2488,2667,6675,8104,8449,7050,2382,328,35,38178,106,157,239,191,198,162,21,0,0,1074,183,76,79,47,53,74,37,4,0,550,294,230,314,236,248,238,57,4,0,1624,2780,2897,6989,8339,8693,7289,2440,335,35,39799,1728,394,708,837,976,2133,6160,3852,1117,17909,225,217,686,756,845,656,525,312,147,4353,4735,3503,8385,9924,10511,10077,9124,4499,1301,62069,439,1147,2762,3070,3966,2534,345,24,0,14301,1973,1021,2757,4559,4168,3369,1124,118,6,19100,134,119,499,412,369,493,124,15,0,2165,52,53,83,120,98,60,32,14,3,513,2611,2349,6104,8165,8600,6463,1618,169,15,36080,79,70,103,96,102,97,8,0,0,570,248,85,136,172,136,134,21,6,0,943,329,151,240,268,243,240,33,6,0,1507
CED508,552,1962,7907,8948,7599,5142,1027,80,3,33225,1448,1588,1517,1212,1073,1283,878,143,6,9144,65,108,362,370,326,334,104,12,0,1685,31,64,191,161,117,74,25,6,0,668,2094,3729,9973,10692,9113,6830,2032,237,12,44714,98,208,289,248,263,230,40,0,0,1374,344,167,110,60,73,103,52,4,0,922,440,373,398,311,339,334,94,3,0,2292,2533,4097,10377,11000,9455,7161,2127,239,12,47013,1785,588,733,698,1003,1757,4527,3120,1058,15270,163,248,776,759,624,442,313,241,139,3701,4485,4935,11888,12463,11080,9362,6971,3603,1208,65985,241,1591,5480,4414,4703,2909,461,8,0,19812,2025,2209,3618,4920,3884,3186,1011,102,4,20966,58,146,782,535,265,322,81,8,0,2198,38,63,128,87,88,68,19,3,6,498,2363,4009,10010,9959,8940,6479,1578,123,9,43464,40,90,189,147,157,112,12,0,0,745,383,170,206,214,178,136,30,0,0,1319,419,259,394,366,329,251,44,0,0,2064
CED509,754,2272,7342,8703,7868,5432,1130,85,4,33605,1726,1322,1260,1146,1023,1183,864,197,19,8722,85,99,394,362,369,406,106,13,0,1840,38,119,243,180,118,84,30,12,5,822,2603,3814,9240,10389,9382,7105,2124,307,27,44986,120,253,312,220,237,199,43,0,0,1387,382,126,64,55,44,74,59,6,0,816,501,381,376,273,281,269,99,12,0,2199,3102,4193,9615,10660,9662,7382,2229,319,27,47188,2335,766,1357,1322,1220,1835,4609,3274,943,17661,190,225,740,759,709,527,268,232,157,3803,5632,5180,11712,12749,11588,9746,7103,3821,1127,68650,309,1589,4432,4425,4892,3080,450,24,0,19213,2255,1825,3528,4445,3719,2859,946,115,4,19702,78,125,708,431,315,350,88,14,0,2102,60,83,154,92,94,58,20,7,0,561,2703,3617,8821,9401,9023,6341,1505,159,12,41581,83,136,177,160,170,122,19,0,0,868,348,112,223,222,162,120,19,0,0,1217,433,249,403,382,336,245,41,0,0,2085
CED510,621,2044,5271,8050,8765,6404,1218,57,4,32431,1973,1633,1110,892,1017,1477,1245,179,7,9554,82,102,249,296,312,392,162,14,0,1618,18,49,107,111,96,71,22,6,0,482,2694,3840,6741,9345,10187,8345,2650,260,16,44076,89,177,249,183,202,235,46,0,0,1190,488,147,88,47,36,76,46,5,0,919,575,316,333,226,237,315,99,5,0,2103,3272,4157,7080,9572,10423,8658,2748,266,16,46181,2104,577,544,500,580,1716,6061,3471,1029,16581,110,161,392,473,509,401,272,156,85,2558,5484,4894,8010,10551,11510,10774,9078,3892,1131,65320,221,1301,3352,3687,4916,3291,462,14,0,17243,2544,2126,2480,4756,4642,4101,1251,94,0,21988,88,105,584,486,260,454,126,9,0,2104,28,42,80,100,74,49,22,10,3,410,2880,3577,6501,9031,9887,7897,1857,118,9,41757,37,57,108,119,127,88,8,0,0,544,452,129,109,170,165,118,35,0,5,1177,489,184,218,294,287,206,45,0,7,1721
