CED_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
CED501,0,0,0,0,0,3,0,3,0,35,0,50,0,3,0,0,0,0,0,0,0,9,0,13,0,0,0,0,0,5,0,0,0,15,0,27,0,0,0,0,0,0,0,0,0,14,0,20,0,3,0,0,0,6,0,14,6,39,0,65,0,4,0,7,0,11,0,23,0,51,0,97,3,13,3,5,0,32,3,60,11,92,0,222,4,23,0,23,0,88,0,72,6,120,0,352,11,28,5,55,3,231,8,102,37,152,6,636,32,61,7,181,25,415,12,114,26,119,7,991,50,47,8,342,30,485,13,97,44,116,0,1245,92,74,7,472,55,476,23,70,37,83,12,1395,517,120,36,1108,155,940,66,148,97,132,11,3322,649,101,29,1269,130,359,68,57,39,80,0,2789,743,61,23,918,142,381,39,46,45,48,4,2445,662,28,28,556,100,117,37,22,11,20,3,1578,1402,60,37,996,172,465,67,56
CED502,5,0,0,4,0,5,3,3,4,74,0,94,0,0,0,0,0,0,0,0,0,17,0,23,6,0,0,0,0,7,0,9,0,24,0,44,0,0,0,0,0,5,0,11,0,11,0,32,0,0,0,0,0,6,0,36,3,72,0,121,5,0,0,3,0,24,4,57,11,66,3,181,4,12,0,11,0,89,7,99,17,174,5,411,3,33,0,37,0,221,8,150,20,155,5,636,21,77,0,106,12,500,15,203,37,192,5,1166,45,98,9,309,30,670,20,166,28,190,7,1577,65,100,5,444,28,628,19,141,41,150,3,1636,156,91,9,540,48,557,20,94,37,126,7,1671,702,171,26,1304,158,1024,57,166,56,173,6,3840,852,123,26,1217,145,332,53,56,21,87,7,2922,772,82,24,840,118,404,33,41,18,65,3,2403,545,37,14,434,82,103,30,20,7,21,5,1289,1189,64,25,742,113,427,40,46
CED503,4,0,0,3,0,0,0,4,4,33,0,60,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,3,0,12,0,10,0,0,0,0,0,0,0,4,0,14,0,14,0,0,0,0,0,4,4,13,5,29,0,46,0,11,0,4,0,3,0,22,9,60,0,105,5,9,0,4,0,12,0,45,9,97,0,188,0,23,3,20,3,59,3,60,12,105,3,287,11,33,3,43,3,172,4,74,14,137,0,501,24,66,7,155,13,257,15,93,27,127,0,780,36,52,3,237,32,289,14,78,27,78,0,846,78,46,7,310,24,330,15,52,31,71,6,985,344,99,26,851,91,615,51,89,81,104,8,2359,426,83,27,919,110,246,56,57,30,51,3,2007,529,53,29,695,94,285,40,47,32,31,0,1839,427,28,14,473,67,92,27,24,14,20,0,1187,1180,88,51,1011,175,421,53,50
CED504,3,0,0,0,0,8,0,8,3,104,0,129,0,0,0,0,0,0,0,6,0,13,0,31,0,0,0,0,0,3,0,17,0,41,0,69,0,0,0,3,0,3,0,16,0,32,0,50,0,0,0,0,0,13,0,32,0,95,0,148,0,10,0,4,3,27,0,67,7,94,9,214,5,26,3,15,0,80,0,119,10,176,0,444,10,45,0,30,0,211,0,148,18,185,4,646,25,74,3,121,17,362,18,183,19,236,3,1056,65,146,4,316,21,475,16,167,27,209,10,1445,94,98,8,409,26,416,26,136,39,183,8,1440,147,100,6,427,38,373,26,104,21,160,7,1404,579,160,31,1027,116,697,33,164,33,250,9,3095,579,118,20,1080,123,285,33,78,27,123,4,2476,540,90,11,818,106,263,41,57,10,79,5,2008,493,44,11,504,83,123,16,37,8,36,0,1352,1236,78,24,1044,151,389,33,71
CED505,0,0,0,6,0,8,0,3,0,49,0,69,0,6,0,0,0,4,0,0,0,6,0,23,0,0,0,0,0,0,0,6,0,14,0,29,0,0,0,0,0,0,0,6,3,10,0,22,0,0,0,0,0,5,0,12,0,17,0,42,0,5,0,0,0,8,0,17,0,21,0,55,3,9,0,14,0,12,0,32,0,38,0,104,0,16,0,8,0,33,3,35,4,37,0,145,11,29,0,30,3,60,4,58,4,56,3,254,12,49,4,76,6,95,7,51,6,61,0,358,22,37,0,102,9,130,3,46,10,45,3,404,36,46,3,150,18,167,7,45,5,56,0,527,161,98,8,479,33,415,13,99,14,103,3,1441,224,95,12,621,58,160,25,65,9,72,0,1350,313,90,8,699,89,282,26,59,15,54,6,1644,397,70,6,594,83,114,31,36,4,40,6,1376,3291,373,70,4226,433,1999,92,243
CED506,5,0,0,3,0,4,0,0,3,20,0,43,4,0,0,0,0,0,0,0,0,21,0,25,0,0,0,5,0,3,0,6,3,19,0,37,4,0,0,4,0,4,0,6,0,14,0,24,0,0,0,3,0,8,0,9,5,156,4,198,0,6,0,3,0,12,6,23,8,109,4,164,7,3,4,20,0,26,3,40,8,216,3,339,17,18,5,21,6,59,0,49,11,169,8,356,26,39,3,47,9,144,7,60,18,156,5,505,35,52,4,152,17,204,15,86,15,140,4,725,47,44,8,197,22,241,17,50,26,60,4,725,91,35,12,296,28,246,13,54,28,71,5,874,406,88,24,741,110,624,51,89,64,80,7,2286,533,94,33,942,103,213,52,46,25,35,4,2067,639,56,35,709,111,295,51,25,45,29,4,1996,589,31,18,472,100,103,35,9,10,4,3,1373,1711,106,70,1122,237,500,95,47
CED507,4,3,3,6,0,8,0,6,0,17,0,41,4,0,0,0,0,0,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,10,0,12,0,0,0,0,0,0,0,0,0,8,0,14,4,0,0,3,0,4,0,10,0,25,0,50,3,5,0,3,0,13,0,19,4,26,0,67,10,17,0,6,0,23,4,45,3,65,0,170,14,11,0,25,3,53,4,53,6,78,0,245,27,41,5,86,14,153,10,77,7,89,0,520,41,84,11,179,19,257,11,116,14,114,0,844,37,70,7,342,16,271,19,60,25,63,3,920,97,65,9,397,29,272,20,53,21,48,5,1017,348,133,33,1030,94,590,49,79,46,76,3,2486,480,104,21,1105,98,215,65,42,23,36,9,2194,491,69,22,835,90,198,65,34,26,27,0,1864,422,35,12,489,49,80,32,19,6,10,6,1149,923,79,39,873,134,279,86,42
CED508,3,0,0,4,0,3,0,0,0,30,0,54,0,0,0,0,0,0,0,4,0,12,0,18,0,0,0,0,0,0,0,3,0,10,0,18,0,0,0,0,0,0,0,6,0,13,0,21,0,9,0,3,0,3,0,11,0,22,0,42,0,3,0,0,0,9,0,14,0,37,0,72,5,11,0,8,0,23,0,44,4,76,0,170,0,16,0,16,0,72,5,49,3,62,5,236,10,58,3,38,5,140,10,81,12,107,0,463,38,66,0,156,11,231,14,76,14,100,0,714,32,50,5,210,16,291,4,64,8,72,3,755,56,59,3,324,28,291,13,55,17,66,4,928,364,155,19,1006,106,715,40,111,37,115,7,2674,501,124,25,1245,159,286,53,57,27,56,3,2533,529,90,25,1093,159,331,46,58,26,50,0,2408,614,60,23,716,106,115,32,17,12,25,3,1722,1898,151,52,1857,316,694,77,78
CED509,3,0,0,0,0,4,0,0,4,35,0,54,3,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,3,0,16,0,27,0,0,0,0,0,4,0,10,0,15,3,31,0,0,0,4,0,3,0,3,5,34,0,57,0,6,0,0,0,13,0,26,5,42,0,96,4,13,0,9,0,29,4,46,8,69,4,187,9,15,0,17,3,100,3,59,8,72,0,290,12,53,0,64,14,235,12,99,8,130,3,628,47,80,4,264,21,377,18,101,22,97,9,1042,54,69,4,305,41,391,20,88,26,79,0,1092,121,67,7,491,59,372,20,70,22,65,3,1303,588,148,18,1253,145,785,48,120,59,130,12,3309,745,101,33,1329,148,298,49,62,23,79,5,2875,715,89,25,983,130,348,55,33,28,50,3,2464,679,41,27,581,90,121,25,15,15,18,9,1628,1705,107,45,1390,205,645,73,78
CED510,6,0,0,3,0,4,0,0,0,25,0,39,0,0,0,0,0,0,0,0,0,11,0,15,0,0,0,0,0,3,0,7,0,13,0,22,0,0,0,0,0,4,0,9,0,12,0,15,0,0,0,0,0,0,0,17,0,28,0,43,0,0,0,5,0,0,0,20,0,23,0,46,3,6,0,12,0,18,0,26,8,46,0,124,8,11,0,16,0,35,4,32,5,48,0,163,3,35,0,34,3,88,7,70,9,99,5,349,16,51,5,101,5,144,6,69,9,111,5,515,39,60,3,182,17,195,5,63,13,74,7,658,43,42,11,262,21,202,12,45,15,63,5,716,245,146,15,903,89,542,49,93,38,154,4,2280,447,126,22,1288,122,257,43,86,22,92,5,2499,630,105,21,1371,127,337,45,74,24,52,0,2797,690,84,19,918,119,134,36,33,6,41,4,2081,2787,210,53,3019,356,1085,84,126
