CED_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
CED501,2058,410,2499,32707,10338,1688,44733,86550,10420,141699
CED502,1958,395,2379,33169,9523,1345,44035,88532,8848,141417
CED503,3088,552,3679,24847,10096,1340,36275,84537,8738,129549
CED504,2840,340,3231,27861,10422,1019,39300,99896,8210,147408
CED505,4324,628,5030,29379,10654,1161,41186,94986,7086,143257
CED506,1808,391,2233,29445,10212,2200,41861,94318,24198,160379
CED507,2842,437,3312,25955,9068,1478,36500,81904,9099,127496
CED508,2609,487,3136,29115,9983,1337,40431,88466,7440,136332
CED509,2339,414,2780,31402,10396,1364,43155,85966,9461,138584
CED510,2713,253,2995,29409,12490,1285,43179,85215,4959,133353
CED511,3032,550,3606,25286,8940,1423,35652,91987,15966,143602
CED512,1835,252,2110,34650,9891,1518,46065,84443,6940,137448
CED513,3823,403,4281,26409,8666,980,36051,110349,9948,156347
CED514,3231,796,4062,28844,9626,1015,39489,108578,11097,159166
CED515,4153,505,4734,32289,12352,1101,45739,97660,7008,150405
CED594,12,23,30,613,205,45,861,3063,3361,7285
CED597,0,0,0,40,5,3,45,248,221,516
