CED_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
CED501,10,0,3,0,5907,5919,135,12,4,0,5601,5752,3798,269,250,13,8608,12933,7295,628,778,18,4153,12883,7069,716,1414,77,2434,11702,6248,530,1567,185,1256,9784,4391,285,1063,325,389,6453,2515,125,385,442,91,3570,559,20,76,350,22,1033,32018,2580,5550,1410,28467,70029,0,0,3,0,5479,5488,246,24,9,4,5092,5382,5103,460,351,17,7320,13245,7677,877,1080,80,3507,13219,6945,823,1928,224,1945,11859,5854,604,2078,533,839,9901,4120,303,1394,1099,259,7174,1813,83,547,1443,63,3951,289,9,93,1050,14,1466,32050,3184,7474,4440,24525,71674,14,0,7,0,11383,11407,381,33,8,5,10696,11132,8897,726,601,34,15926,26178,14973,1510,1860,97,7659,26097,14012,1538,3339,295,4379,23560,12096,1137,3643,719,2095,19691,8511,585,2456,1423,648,13616,4331,211,937,1887,160,7519,849,25,172,1403,43,2499,64069,5765,13021,5853,52989,141699
CED502,14,0,4,5,5396,5412,168,14,8,5,5580,5773,4542,211,172,16,8116,13049,9606,549,735,22,3927,14844,6688,580,1168,75,2586,11100,5329,449,1432,163,1322,8697,4488,296,1044,312,480,6621,2245,115,359,387,132,3248,534,15,74,297,23,940,33614,2239,4993,1280,27563,69692,9,4,0,4,5224,5243,441,43,9,4,5084,5587,6635,408,346,24,6619,14034,9532,715,1004,100,3252,14600,6177,714,1567,258,1947,10672,5123,537,2021,610,838,9131,3948,300,1482,1268,284,7289,1580,75,503,1481,75,3728,271,12,107,1021,24,1437,33724,2810,7046,4778,23361,71717,26,4,0,6,10616,10650,613,56,16,8,10668,11357,11176,617,523,36,14738,27081,19138,1267,1735,121,7184,29443,12869,1303,2735,336,4538,21774,10456,988,3454,782,2162,17836,8434,595,2526,1584,769,13916,3827,192,868,1878,209,6976,804,28,176,1319,50,2379,67342,5052,12037,6062,50930,141417
CED503,0,5,0,0,4624,4627,101,0,0,4,3886,3996,2552,184,146,5,5483,8367,5128,416,583,16,3077,9227,5867,566,1207,69,2124,9837,6551,467,1606,170,1186,9973,6692,385,1578,399,489,9539,4142,165,590,599,128,5629,925,22,83,510,33,1571,31965,2211,5792,1773,21024,62773,4,0,0,0,4587,4599,205,22,6,3,3785,4013,3596,353,280,22,5061,9309,5663,616,831,59,2690,9854,6056,641,1724,193,1696,10309,6674,557,2114,517,886,10745,6425,346,1711,1274,303,10067,3083,107,704,1808,81,5780,491,18,131,1453,24,2108,32185,2654,7502,5323,19110,66779,3,5,0,0,9206,9221,305,24,4,5,7669,8011,6152,534,422,23,10544,17675,10792,1035,1420,76,5766,19084,11920,1210,2938,259,3820,20147,13222,1015,3722,684,2076,20723,13124,732,3288,1675,789,19607,7224,274,1290,2406,212,11411,1418,32,213,1957,54,3679,64154,4865,13293,7094,40139,129549
CED504,12,0,5,4,5085,5106,162,10,6,0,5810,5990,4077,198,207,18,8883,13385,7211,512,669,20,4273,12690,6480,553,1211,66,2675,10984,6673,520,1492,157,1489,10324,5690,366,1154,349,556,8118,3151,137,509,464,165,4419,809,36,68,358,33,1300,34267,2329,5315,1445,28968,72324,17,0,0,0,4863,4881,380,31,16,3,5175,5609,5530,393,348,22,7151,13440,7639,655,1025,80,3280,12680,6489,730,1796,238,2039,11288,6460,586,2182,650,1137,11010,5129,325,1805,1437,491,9184,2236,86,797,1821,126,5066,375,15,155,1358,20,1937,34257,2820,8110,5610,24282,75084,25,3,5,5,9948,9985,544,40,24,10,10983,11595,9614,595,552,32,16032,26823,14851,1173,1696,101,7554,25369,12972,1281,3001,306,4716,22277,13137,1103,3671,807,2618,21335,10821,691,2961,1784,1044,17297,5383,224,1299,2290,288,9489,1183,51,218,1719,57,3231,68525,5158,13426,7056,53247,147408
CED505,3,0,0,0,5671,5673,53,6,4,0,5131,5193,2541,73,119,8,8530,11275,7076,319,523,15,3419,11353,7722,408,956,44,1911,11040,6367,327,1256,101,1286,9334,5438,200,1118,224,742,7722,3548,111,523,383,280,4842,1137,38,109,506,60,1852,33874,1479,4608,1281,27036,68286,3,0,0,0,5440,5442,106,4,3,0,5385,5501,3617,168,233,7,8187,12214,8024,417,766,39,2980,12230,7939,540,1480,146,1777,11890,6268,388,1876,368,1139,10041,5079,226,1780,946,632,8655,2735,120,871,1764,328,5817,599,16,244,2118,198,3173,34374,1879,7255,5398,26063,74980,8,0,0,0,11110,11116,161,5,7,0,10515,10697,6158,238,352,20,16723,23487,15101,737,1288,54,6402,23589,15658,953,2436,200,3690,22932,12638,714,3130,472,2426,19378,10510,428,2901,1168,1367,16374,6279,229,1390,2151,607,10662,1734,54,353,2621,260,5030,68254,3357,11863,6686,53100,143257
CED506,32,5,4,4,5675,5721,226,16,3,4,5290,5547,3898,254,211,21,10587,14976,7765,634,846,44,5855,15144,7864,872,1580,107,4205,14618,7680,816,2230,289,2677,13697,5570,507,1682,466,932,9150,2545,168,542,496,238,3985,503,14,84,315,48,968,36089,3285,7175,1745,35508,83807,44,0,6,3,5105,5151,279,26,8,0,4757,5073,4642,339,276,41,9205,14497,7475,667,872,96,4793,13907,7046,749,1633,243,3237,12916,6768,673,2106,638,1765,11950,4717,338,1310,1201,531,8100,1791,81,430,1286,122,3715,242,9,82,910,26,1268,33009,2879,6711,4420,29547,76576,77,5,6,3,10778,10871,505,43,12,12,10052,10620,8537,591,492,63,19792,29474,15240,1302,1719,141,10651,29047,14916,1620,3210,349,7442,27532,14448,1487,4335,929,4443,25648,10292,841,2991,1668,1466,17253,4338,249,968,1784,364,7701,752,25,163,1224,76,2233,69102,6162,13882,6169,65057,160379
CED507,4,0,0,4,4726,4735,91,8,0,4,3400,3503,2432,135,105,7,5707,8385,5606,427,569,16,3305,9924,6339,603,1160,43,2366,10511,6527,482,1616,150,1302,10077,6557,313,1372,381,509,9124,3349,108,469,459,123,4499,781,18,80,389,35,1301,31683,2094,5368,1454,21473,62069,15,3,0,0,4507,4525,144,12,0,4,3055,3212,3274,257,213,18,5022,8785,6315,615,815,76,2946,10762,6433,694,1614,196,2029,10969,6718,510,2152,464,1021,10861,5948,281,1698,1117,359,9404,2464,68,566,1675,117,4893,400,14,115,1433,41,2010,31704,2452,7184,4981,19106,65428,19,3,4,5,9230,9255,238,23,0,7,6457,6720,5707,390,317,30,10730,17173,11917,1046,1387,91,6249,20693,12767,1297,2771,241,4402,21483,13244,991,3775,609,2321,20938,12507,595,3065,1497,870,18530,5812,171,1037,2128,244,9389,1181,35,199,1816,78,3312,63386,4549,12550,6433,40578,127496
CED508,3,4,0,0,4472,4485,66,3,6,5,4860,4935,3070,122,168,10,8522,11888,7224,427,693,17,4100,12463,6696,576,1208,72,2526,11080,5938,380,1470,126,1447,9362,4610,279,1170,276,634,6971,2472,92,468,400,164,3603,690,14,82,376,52,1208,30759,1893,5254,1286,26788,65985,4,3,0,0,4417,4422,139,9,6,0,5018,5169,4356,231,237,15,7931,12774,7675,586,959,76,3545,12844,6682,628,1708,184,2235,11433,5704,492,2099,448,1274,10021,4207,264,1733,982,502,7688,1802,76,654,1409,131,4071,355,16,145,1369,49,1930,30923,2302,7541,4491,25101,70349,3,4,3,0,8889,8904,201,9,7,5,9879,10100,7421,356,404,23,16454,24662,14895,1016,1650,101,7642,25311,13378,1202,2916,252,4764,22514,11645,870,3566,578,2728,19380,8824,538,2904,1261,1130,14658,4270,171,1117,1812,296,7668,1046,27,225,1741,97,3136,61681,4194,12795,5772,51884,136332
CED509,0,0,0,0,5631,5632,149,4,0,0,5032,5180,3976,199,165,14,7356,11712,7834,561,627,22,3700,12749,7411,579,1239,61,2303,11588,6452,536,1375,152,1232,9746,5072,291,987,287,468,7103,2821,109,403,366,120,3821,696,23,68,307,36,1127,34413,2295,4865,1200,25873,68650,8,0,0,0,5144,5156,232,9,0,4,4540,4793,5458,356,301,12,6132,12260,7987,694,921,81,2941,12627,7273,689,1776,204,1800,11737,6145,532,1925,489,880,9961,4619,266,1363,998,332,7583,2052,69,576,1399,83,4168,356,18,123,1135,21,1651,34127,2627,6992,4317,21872,69938,12,0,0,0,10770,10784,379,15,6,0,9570,9971,9436,555,464,24,13488,23971,15824,1252,1550,101,6644,25366,14685,1265,3010,258,4099,23326,12592,1069,3296,635,2109,19710,9693,555,2353,1287,801,14690,4870,175,976,1759,206,7991,1050,37,190,1440,58,2780,68540,4925,11856,5518,47745,138584
CED510,0,0,0,0,5480,5484,24,4,0,0,4865,4894,1992,82,84,0,5853,8010,6977,329,514,10,2714,10551,8373,485,959,63,1624,11510,8292,327,1141,153,857,10774,7410,201,884,291,301,9078,3125,60,286,346,69,3892,688,28,64,343,14,1131,36887,1515,3940,1209,21771,65320,0,0,4,0,5030,5034,74,6,0,5,4212,4302,3000,166,162,9,4794,8136,7808,451,734,47,2167,11210,8565,566,1385,143,1272,11932,8492,419,1742,385,685,11711,6574,229,1416,1085,263,9564,2217,61,554,1365,83,4287,413,16,123,1283,31,1868,37141,1912,6128,4315,18546,68038,7,0,4,0,10511,10523,102,9,0,9,9072,9197,4987,248,246,11,10653,16143,14783,780,1251,55,4881,21760,16937,1049,2344,211,2894,23435,16779,746,2886,535,1537,22482,13977,432,2296,1371,557,18638,5344,119,841,1709,158,8175,1101,42,187,1622,44,2995,74018,3422,10066,5529,40317,133353
