CED_CODE_2021,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_3499_15_19_yrs,F_3000_3499_20_24_yrs,F_3000_3499_25_34_yrs,F_3000_3499_35_44_yrs,F_3000_3499_45_54_yrs,F_3000_3499_55_64_yrs,F_3000_3499_65_74_yrs,F_3000_3499_75_84_yrs,F_3000_3499_85ov,F_3000_3499_Tot,F_3500_more_15_19_yrs,F_3500_more_20_24_yrs,F_3500_more_25_34_yrs,F_3500_more_35_44_yrs,F_3500_more_45_54_yrs,F_3500_more_55_64_yrs,F_3500_more_65_74_yrs,F_3500_more_75_84_yrs,F_3500_more_85ov,F_3500_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot
CED501,297,482,651,690,575,815,1462,926,162,6065,249,435,756,715,700,840,1424,1117,506,6744,218,598,1288,1177,1026,888,943,543,216,6892,145,644,1319,1254,1121,772,520,221,75,6074,93,644,1419,1370,1201,822,302,118,29,6010,59,525,1472,1433,1370,927,234,60,13,6108,30,320,1152,1058,965,630,133,18,4,4307,12,144,859,873,836,511,89,16,27,3361,4,54,501,596,590,310,45,5,3,2101,0,62,458,809,796,424,58,7,0,2620,0,6,65,97,108,63,9,5,0,342,3,13,45,91,128,53,25,14,3,379,310,360,794,636,568,450,402,400,280,4204,5488,5382,13245,13219,11859,9901,7174,3951,1466,71674,4651,845,1773,1667,1441,2022,1175,321,74,13968,2168,345,438,436,387,420,393,130,32,4744,1364,828,931,803,656,835,909,463,120,6908,569,822,1083,992,931,1314,2623,1843,390,10558,496,709,1040,926,956,1237,2300,1824,758,10250,566,1025,1633,1418,1302,1221,1640,1023,336,10160
CED502,283,532,774,772,638,895,1512,842,195,6445,180,449,834,810,641,679,1479,1051,445,6577,186,639,1238,1244,877,772,839,506,197,6496,119,667,1301,1256,1013,713,451,205,76,5800,80,648,1528,1522,1200,815,320,103,43,6260,35,481,1622,1628,1214,896,232,38,7,6156,9,231,1185,1143,894,594,137,21,5,4219,3,104,861,930,649,444,107,31,14,3146,0,50,414,589,417,286,46,4,0,1805,0,40,438,790,540,298,59,7,0,2183,0,4,48,104,68,43,12,0,0,280,3,10,26,84,52,40,17,7,4,239,329,361,824,756,587,430,424,396,309,4411,5243,5587,14034,14600,10672,9131,7289,3728,1437,71717,4714,1059,2279,2270,1466,1914,1498,460,110,15770,1928,433,500,501,337,382,444,121,32,4681,1307,1087,1100,961,784,922,942,396,102,7601,506,942,1277,1167,1070,1469,2750,1769,435,11372,407,835,1207,1104,979,1046,2450,1628,634,10285,436,1142,1775,1670,1237,1145,1480,915,296,10086
CED503,273,354,589,530,631,906,2117,1378,263,7045,200,355,566,578,586,882,1825,1415,560,6963,208,486,949,904,896,906,1283,778,271,6685,115,472,883,1013,879,863,771,391,124,5510,71,480,971,965,1011,794,498,211,55,5064,37,348,969,1004,1130,980,303,109,29,4908,17,200,715,678,776,635,194,50,18,3286,11,102,514,618,662,524,128,57,29,2640,0,53,320,431,521,313,85,18,0,1749,7,61,395,625,773,512,106,25,7,2507,0,7,51,93,127,88,30,6,5,406,5,5,47,116,162,121,49,33,15,555,271,266,524,542,588,550,580,578,463,4358,4599,4013,9309,9854,10309,10745,10067,5780,2108,66779,3513,574,1273,1225,1172,2133,1499,462,213,12062,1857,260,345,319,286,539,591,217,73,4486,1142,645,720,680,600,970,1396,673,184,7004,468,592,876,772,951,1404,3806,2821,604,12295,423,588,767,783,864,1327,3022,2397,854,11036,498,812,1219,1133,1103,1333,2362,1485,450,10406
CED504,302,511,682,731,744,1099,1858,1166,291,7388,191,502,760,749,694,900,1820,1473,653,7747,161,687,1127,1046,977,868,1004,567,215,6656,88,575,1168,1139,1020,891,638,295,85,5913,51,621,1519,1260,1212,966,458,159,54,6304,17,522,1635,1321,1254,1043,333,68,24,6221,19,320,1276,959,902,723,210,28,9,4443,4,133,1009,832,757,583,149,33,13,3520,0,50,620,599,469,342,94,20,10,2203,0,48,665,877,722,439,117,17,4,2889,0,0,69,161,103,68,17,6,3,422,4,3,50,122,133,68,33,19,3,437,282,316,805,678,525,480,446,421,340,4287,4881,5609,13440,12680,11288,11010,9184,5066,1937,75084,4301,956,1746,1606,1316,2074,1650,619,167,14440,1943,501,337,417,361,542,530,208,55,4885,1347,1173,871,930,940,1187,1275,675,183,8586,526,990,1197,1138,1251,1750,3295,2362,687,13190,388,922,1189,1095,1093,1473,2934,2273,944,12313,393,1261,1694,1474,1442,1378,1770,1035,319,10765
CED505,288,576,334,361,362,479,673,620,239,3929,176,542,418,384,424,530,980,1030,704,5195,138,595,675,632,544,571,915,745,394,5212,63,476,786,666,608,622,718,508,240,4683,38,430,1008,845,771,673,717,394,183,5064,16,461,1259,973,976,853,647,322,145,5660,6,348,1429,909,881,759,445,196,78,5053,17,201,1452,1009,960,798,363,161,55,5015,4,84,1053,836,792,607,241,110,40,3757,5,63,1491,1732,1728,1139,443,174,68,6845,4,19,258,464,532,328,133,63,21,1828,9,14,278,1192,1485,807,332,161,50,4328,197,268,669,490,399,362,482,479,583,3938,5442,5501,12214,12230,11890,10041,8655,5817,3173,74980,4845,830,1005,1314,1173,1182,1093,502,198,12144,2894,774,245,320,310,418,505,281,127,5860,1405,1331,482,426,421,556,819,593,254,6286,531,1076,607,526,556,735,1171,1089,454,6743,363,950,678,541,612,788,1573,1564,953,8020,302,1097,1104,860,786,836,1480,1207,581,8263
CED506,243,323,682,720,680,912,1462,793,182,5997,190,282,652,650,612,792,1287,844,347,5652,239,413,978,944,832,809,796,414,121,5561,197,495,1046,980,928,744,520,233,64,5207,146,577,1230,1165,1111,954,393,128,44,5747,87,547,1441,1261,1301,1070,324,81,12,6133,38,388,1173,1084,1007,801,200,37,9,4743,21,230,1095,962,931,686,172,55,15,4168,13,97,793,758,685,502,148,12,3,3011,15,115,923,1171,1199,770,200,25,9,4427,0,18,171,197,183,133,30,10,5,745,6,17,140,279,245,169,73,28,4,958,729,800,2116,1889,1648,1422,970,575,331,10481,5151,5073,14497,13907,12916,11950,8100,3715,1268,76576,3591,556,1346,1099,1055,1733,1231,366,98,11068,1775,184,353,346,287,452,462,143,35,4042,1193,823,1277,1233,1076,1162,1090,496,110,8468,437,593,1102,1120,1162,1576,2853,1710,382,10940,379,460,921,903,973,1357,2452,1556,520,9527,576,703,1276,1224,1191,1301,1517,783,217,8781
CED507,232,218,484,586,562,878,1824,982,228,5991,213,220,583,695,654,914,1704,1205,580,6766,274,395,839,1034,1008,963,1228,674,261,6672,189,460,934,1159,1184,968,749,373,123,6140,94,515,1070,1229,1222,981,505,197,79,5895,33,354,986,1182,1314,985,403,123,35,5418,12,194,669,761,854,714,198,55,23,3468,3,104,471,661,760,494,151,55,25,2718,4,34,301,422,540,360,79,25,9,1775,0,39,336,609,686,526,107,29,5,2340,0,3,41,94,119,76,29,11,8,386,0,9,44,123,172,123,69,22,11,573,283,218,568,583,579,604,603,468,361,4262,4525,3212,8785,10762,10969,10861,9404,4893,2010,65428,3021,383,959,931,898,1668,1203,356,117,9545,2312,136,297,396,283,509,579,217,92,4819,980,370,579,691,574,965,1176,576,212,6122,426,390,744,800,849,1350,3318,2048,518,10435,478,402,783,890,931,1344,2822,1935,837,10431,593,666,1137,1322,1317,1462,2237,1269,393,10401
CED508,309,516,562,547,501,700,1258,819,222,5430,187,455,520,589,592,695,1296,1048,567,5954,186,611,831,933,755,761,873,430,204,5597,111,551,1032,1041,885,789,608,273,79,5368,68,595,1281,1186,1044,828,467,171,62,5709,22,499,1685,1304,1281,990,367,108,18,6281,6,334,1419,1137,1034,747,241,52,9,4986,3,148,1314,1017,963,672,178,39,17,4354,0,49,806,773,679,454,134,24,4,2927,0,54,940,1335,1236,719,151,20,8,4473,0,11,130,261,189,148,37,11,3,800,0,4,104,336,325,196,67,37,9,1071,190,273,666,552,489,422,431,430,502,3959,4422,5169,12774,12844,11433,10021,7688,4071,1930,70349,3502,712,1159,1304,1088,1504,1231,438,162,11112,2047,410,329,373,311,450,497,200,66,4686,1080,949,591,640,606,755,937,523,150,6222,521,892,877,794,794,1122,2172,1616,491,9280,349,802,804,777,857,1049,2062,1621,791,9114,428,1067,1208,1146,1038,1109,1557,832,316,8696
CED509,304,411,593,579,526,687,1297,833,199,5423,216,412,626,628,598,616,1263,986,443,5785,218,523,979,976,843,803,902,548,188,5979,116,586,1084,1156,914,719,583,283,86,5534,72,589,1352,1279,1229,880,433,181,74,6096,45,537,1584,1421,1317,1070,317,80,33,6395,16,280,1151,1086,1024,744,196,49,19,4568,10,129,895,877,908,654,180,49,10,3711,4,52,560,615,699,441,87,18,0,2470,5,44,544,978,1065,598,118,26,9,3390,0,4,84,140,160,97,40,8,0,531,0,3,52,177,229,125,45,20,8,669,257,283,727,624,529,417,419,424,394,4076,5156,4793,12260,12627,11737,9961,7583,4168,1651,69938,4355,727,1487,1483,1314,1724,1282,441,102,12910,2261,337,394,426,314,477,537,212,61,5010,1322,803,761,674,604,763,946,515,149,6540,517,743,857,825,774,1063,2288,1704,441,9213,461,734,866,804,810,913,2095,1571,656,8910,507,925,1312,1257,1092,1149,1643,1008,294,9185
CED510,298,475,312,458,469,614,1419,763,250,5053,221,422,376,508,492,674,1375,963,475,5497,150,474,538,710,787,905,1243,636,272,5712,98,435,675,849,948,970,861,348,99,5289,65,464,740,968,1066,1027,648,198,74,5254,15,414,1009,1176,1305,1182,521,115,45,5801,14,270,879,1025,1117,914,298,54,13,4586,3,130,872,973,1028,769,242,48,16,4081,9,36,574,691,832,605,145,24,0,2913,0,16,660,1341,1460,955,148,20,7,4618,0,8,91,233,266,178,41,13,0,820,0,8,70,351,383,185,60,31,0,1088,139,148,347,321,360,350,365,325,296,2653,5034,4302,8136,11210,11932,11711,9564,4287,1868,68038,4092,614,785,1136,1060,1775,1504,434,201,11598,2704,491,233,327,287,653,721,246,65,5734,1389,983,521,454,426,780,1257,594,200,6601,557,854,560,615,624,927,2439,1494,491,8553,469,770,587,662,645,914,2206,1526,666,8452,419,939,807,873,968,1195,2187,1165,397,8960
