CED_CODE_2021,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
CED501,126,27,56,0,36,18,74,262,10,597,442,686,2193,78,449,17,2037,522,100,6530,682,482,2438,54,670,209,1108,771,98,6506,111,92,269,8,214,22,201,141,34,1087,634,335,3986,40,819,63,948,1536,111,8469,293,205,334,4,324,243,461,172,32,2072,1119,164,438,69,431,4562,367,887,41,8079,633,41,573,1209,117,941,215,1341,27,5092,291,157,195,114,689,85,1984,239,39,3802,73,118,114,4,68,83,12,24,3,497,142,327,22,14,741,52,6,3,17,1317,134,42,72,20,214,390,42,63,14,995,383,1434,825,17,717,41,88,82,31,3622,144,284,295,248,338,30,146,1268,24,2791,839,934,1138,2187,1181,20,122,359,105,6888,437,3056,225,2047,539,22,8,316,38,6690,472,3134,531,4738,1511,57,97,442,58,11037,163,127,126,343,97,75,3,116,12,1063,240,196,1511,587,263,37,59,267,20,3185,375,316,802,214,483,189,526,509,679,4090
CED502,110,22,68,0,44,19,68,208,10,546,276,831,1357,28,410,21,1102,301,61,4390,651,376,1711,47,584,203,1069,1122,67,5834,84,151,203,0,149,12,174,107,17,901,559,415,3604,49,698,74,719,1230,93,7442,356,272,413,16,460,355,692,241,42,2854,1038,317,482,74,480,4159,638,912,48,8153,681,57,854,1030,123,901,187,1435,36,5299,362,222,237,127,1323,156,3242,265,64,5999,72,166,134,3,90,65,11,32,10,593,125,402,28,12,799,56,17,13,28,1491,112,57,115,19,212,289,59,70,15,938,356,1971,904,17,688,44,115,112,53,4261,164,306,310,232,312,48,180,1355,22,2926,331,855,317,1237,1217,15,88,321,73,4450,373,2739,268,1664,527,15,19,391,24,6030,431,3523,507,5099,1519,68,138,600,78,11977,150,122,141,391,106,64,8,112,16,1127,211,264,1684,525,299,57,83,470,26,3623,326,405,866,260,560,230,753,646,845,4892
CED503,576,38,119,5,86,26,59,314,12,1225,525,617,2313,69,371,16,2519,428,100,6956,681,429,1853,72,515,196,1097,469,72,5385,117,79,217,3,103,14,223,141,34,938,666,214,3341,28,747,79,979,1156,108,7322,247,136,254,0,257,235,232,90,23,1473,1014,146,416,65,358,3816,248,719,21,6813,572,24,510,1149,112,618,150,1110,27,4267,279,136,167,82,563,76,1484,133,32,2958,47,76,67,3,42,53,6,25,5,321,105,239,15,9,402,32,0,4,21,828,133,42,72,9,232,427,46,50,7,1014,324,1102,569,20,619,25,57,60,29,2800,173,170,301,157,210,18,121,978,28,2161,383,575,342,1019,817,18,63,229,60,3508,389,2663,224,1572,453,19,12,255,21,5595,420,2423,320,3620,1249,58,54,311,43,8510,118,128,155,308,102,40,3,101,16,986,205,145,1511,443,282,40,43,203,14,2887,333,249,609,160,385,175,327,371,593,3197
CED504,185,11,28,0,28,11,34,227,9,529,306,898,887,34,356,11,811,244,40,3588,580,311,1383,64,453,238,814,1103,66,5014,102,210,144,7,198,21,135,70,20,912,797,464,4203,40,842,123,586,1312,92,8467,365,251,264,8,333,320,417,187,27,2163,1189,327,531,101,455,4700,473,980,61,8814,882,75,1022,1450,148,771,148,1414,38,5940,272,200,145,134,899,154,2402,152,43,4407,107,230,166,11,107,85,7,26,9,743,216,650,25,21,964,76,3,11,36,2010,136,74,56,12,244,417,28,56,15,1027,540,2890,840,34,1017,64,55,96,51,5591,234,307,286,239,380,52,103,1545,31,3185,450,1060,291,1136,1337,23,93,298,87,4773,434,3228,267,1553,577,13,18,417,49,6546,546,3669,594,4637,1823,71,130,719,84,12267,207,220,144,515,136,73,18,130,16,1462,279,270,1680,985,386,69,67,382,25,4154,392,494,775,307,481,260,596,696,850,4855
CED505,248,63,22,0,60,10,21,81,10,517,1767,2838,706,39,503,22,493,172,91,6638,759,451,415,64,213,217,119,210,17,2466,235,345,60,4,115,10,35,22,7,856,1372,779,2054,24,613,133,133,577,60,5739,579,369,117,17,184,240,117,57,12,1694,1090,556,229,91,283,3302,204,515,23,6286,968,91,488,2259,163,475,81,864,23,5416,359,419,73,122,334,63,563,99,12,2057,172,502,103,7,85,83,9,30,4,996,631,1623,17,18,786,64,0,3,136,3283,323,359,38,9,288,924,9,57,48,2045,1962,7854,624,33,1305,108,45,45,102,12073,411,457,184,160,231,47,50,866,14,2423,899,1588,185,755,897,23,33,91,91,4563,810,6000,191,1547,634,32,5,117,36,9384,970,9523,326,2410,1910,61,61,247,78,15592,378,473,105,628,162,76,11,78,16,1927,369,400,630,681,213,38,22,124,20,2501,824,917,275,157,434,188,129,239,492,3657
CED506,3431,290,366,24,352,66,355,1721,58,6658,835,985,4981,99,710,17,4650,746,277,13302,343,123,1045,44,238,152,284,324,37,2584,144,79,339,3,172,8,297,142,37,1224,785,185,3431,31,792,42,1133,1219,94,7705,339,150,391,4,280,354,332,121,30,2000,1032,166,463,70,335,3543,233,864,39,6748,1025,47,793,1276,370,572,102,1537,36,5761,585,520,446,142,886,162,2026,372,62,5204,59,114,89,5,49,43,5,14,5,378,110,146,5,3,374,28,6,7,13,687,163,39,129,10,219,392,58,97,11,1121,207,989,522,36,543,20,54,91,35,2503,245,254,445,193,274,40,203,1264,29,2947,764,979,424,1913,1274,24,261,462,87,6200,729,3923,343,2135,611,17,15,428,52,8253,625,3611,332,3278,1475,96,65,370,61,9917,162,274,100,179,99,18,9,90,10,938,279,210,1565,441,419,61,51,271,26,3322,383,314,704,218,421,160,366,468,946,3976
CED507,1507,97,190,11,162,38,215,953,42,3218,367,553,1982,42,225,16,1934,327,82,5525,873,500,1732,118,433,297,985,1396,74,6410,111,94,423,0,151,9,188,135,36,1150,710,235,3869,17,774,95,905,1256,78,7945,249,102,156,6,181,278,166,84,8,1229,1091,212,445,64,375,3913,232,856,28,7223,1034,34,799,1523,303,679,115,1569,37,6085,236,134,166,45,483,70,1230,145,22,2536,56,121,68,3,39,83,4,16,0,389,105,295,4,5,434,38,0,0,18,893,96,67,47,9,254,440,43,40,13,997,202,1289,474,11,578,40,27,58,17,2691,216,180,293,170,188,27,108,1188,27,2386,356,646,265,710,825,15,77,299,52,3258,410,3242,221,1545,403,16,8,311,27,6172,394,3498,356,3557,1313,54,67,352,55,9641,116,193,103,241,79,37,4,75,10,859,200,217,1322,455,262,41,52,240,21,2814,273,239,492,151,276,143,297,406,560,2841
CED508,155,74,57,0,69,30,26,162,15,596,726,1406,1294,32,423,10,890,260,87,5138,930,629,1778,82,585,232,534,632,60,5461,160,226,198,9,174,16,90,54,21,949,1033,567,3606,27,813,109,449,946,83,7632,449,295,269,7,370,298,366,144,40,2240,1190,357,398,67,389,3800,307,615,32,7167,848,75,710,1741,166,656,108,1084,28,5413,469,403,215,109,783,103,1362,356,45,3842,93,277,120,0,68,56,6,17,3,653,280,677,33,12,751,64,4,7,42,1870,171,105,61,12,239,501,26,66,21,1213,909,3946,861,24,1004,61,75,73,54,7007,276,317,320,192,266,30,93,828,22,2343,763,1392,432,1172,1162,12,67,197,91,5289,650,5239,292,1723,694,14,10,267,49,8944,731,5927,490,3534,1840,60,88,383,79,13131,297,472,101,481,132,68,10,78,10,1645,332,306,1392,690,343,54,62,251,19,3442,607,646,654,187,510,254,371,386,591,4204
CED509,327,49,92,11,57,42,48,216,12,848,731,1188,1975,59,544,24,1599,334,103,6561,808,354,1622,94,596,240,739,681,67,5200,126,134,208,3,134,15,157,75,19,885,919,352,3411,34,969,101,777,1104,91,7763,530,317,540,5,522,389,451,133,32,2919,1292,235,495,74,477,4360,435,866,60,8289,718,42,616,1280,144,772,150,1201,30,4952,495,348,305,208,1137,161,2324,205,59,5243,114,198,140,11,106,70,7,13,7,667,190,503,23,13,729,74,11,4,29,1576,189,78,92,9,277,464,37,75,12,1244,628,2204,780,21,882,51,81,61,29,4742,224,256,370,180,322,42,131,954,42,2514,580,1133,385,1580,1383,17,95,264,107,5532,528,3672,271,1799,535,12,15,291,23,7146,602,3556,478,4286,1672,64,76,369,67,11173,187,219,134,421,148,51,16,124,8,1299,351,277,1747,631,428,41,52,284,22,3839,437,407,735,215,570,187,496,416,714,4176
CED510,123,43,37,0,57,18,24,86,5,392,968,1501,1166,37,489,16,772,204,67,5214,793,367,899,49,392,292,270,271,34,3366,227,260,183,4,173,28,109,42,23,1052,1467,590,4704,23,1172,136,413,1045,114,9663,553,315,228,7,280,310,217,83,20,2011,1116,314,367,83,373,4075,216,663,35,7237,606,76,409,1551,149,645,128,1053,25,4637,347,315,162,139,449,75,815,98,22,2428,157,252,163,7,100,125,8,35,6,853,472,1102,26,20,1111,99,0,3,46,2879,241,131,54,9,278,586,25,25,17,1357,1250,3920,811,30,1277,89,58,70,43,7541,341,360,309,162,333,40,47,797,25,2413,724,1313,327,1481,1274,21,45,157,98,5439,819,5439,313,1860,811,32,4,170,39,9489,753,4973,437,2957,2008,67,59,257,81,11601,289,281,100,544,184,80,13,75,24,1594,352,328,1318,574,379,59,29,189,14,3238,561,519,523,130,514,208,209,270,485,3422
