CED_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
CED501,462,625,474,520,439,153,172,164,44,3061,895,933,957,1705,1048,381,346,310,73,6653,1870,1156,9588,4076,2324,1178,2305,2015,394,24902,119,63,252,336,317,315,224,384,9,2029,151,110,204,376,293,162,168,186,18,1669,61,104,94,92,73,42,61,58,11,590,85,129,193,253,184,112,164,196,185,1499,5560,11134,12680,9001,6058,2888,3861,3815,878,55868
CED502,375,596,522,464,416,162,236,204,39,3013,683,764,1040,1526,1001,385,548,448,76,6469,1320,819,6999,3090,1996,993,1999,1765,288,19268,79,57,191,240,256,296,200,342,17,1683,107,73,176,322,285,138,145,187,20,1449,64,111,99,99,82,43,98,74,6,678,103,142,196,213,167,99,174,194,224,1523,4885,12531,10694,8264,6543,2974,4335,4198,933,55366
CED503,459,564,353,433,430,127,137,105,37,2656,726,671,654,1184,764,333,266,239,55,4879,1743,859,8084,2927,1845,1013,2180,1593,359,20593,92,46,211,254,243,225,164,285,13,1536,137,96,161,270,263,135,160,136,19,1377,71,89,80,49,68,35,50,42,11,491,131,117,164,192,165,113,152,150,173,1356,5064,8856,10287,6364,4717,2342,3380,2869,765,44654
CED504,445,683,482,525,508,194,197,233,45,3317,797,796,1005,1463,1014,442,373,416,88,6397,1277,805,6539,2780,1834,978,1416,1625,275,17534,86,68,170,246,232,233,119,283,23,1463,131,103,172,370,359,163,124,196,24,1651,69,134,87,110,120,54,56,89,17,737,112,177,192,268,196,113,143,218,223,1636,5874,14690,10094,8048,6857,3283,3218,4092,973,57115
CED505,741,1121,357,455,534,237,70,159,41,3719,824,872,559,751,711,363,125,238,41,4480,1096,556,2999,1204,843,512,428,584,141,8370,64,48,81,144,124,126,37,72,4,708,164,146,93,181,245,113,42,65,8,1063,107,306,48,68,84,33,15,43,19,715,161,261,90,138,148,88,27,74,153,1143,13090,34052,5562,5667,6802,3062,1234,2340,967,72787
CED506,649,688,370,468,396,143,175,175,36,3114,962,803,704,1259,891,248,315,352,63,5592,2702,1240,10551,2683,2392,955,3052,2227,507,26320,194,128,247,358,420,278,261,379,33,2302,229,126,157,274,269,138,158,217,24,1593,86,80,84,54,74,33,44,88,15,552,249,222,229,267,205,145,260,325,287,2198,7861,12282,13231,6782,5960,2354,4607,4486,1121,58672
CED507,542,701,353,421,333,179,134,184,35,2897,719,651,710,1011,665,285,197,343,64,4648,1814,885,8340,2911,2007,1138,2099,2056,331,21578,133,60,226,266,280,302,159,358,12,1798,165,83,139,324,275,170,122,202,16,1495,61,96,59,43,57,32,39,78,3,470,155,132,146,188,125,140,145,214,156,1399,5882,11248,10710,6336,4815,2683,3135,4165,743,49708
CED508,620,991,538,488,532,181,124,168,47,3694,975,966,916,1217,965,409,219,310,74,6057,1732,977,7024,2385,1831,850,1233,1295,268,17599,119,95,158,228,233,201,100,222,18,1376,197,131,177,278,330,162,100,139,25,1523,89,199,106,88,78,46,33,54,7,693,147,237,179,207,166,92,88,125,188,1427,8703,22082,10565,7132,6929,2838,2375,2991,923,64532
CED509,538,858,486,548,605,207,194,135,37,3615,994,962,894,1479,1053,436,385,326,75,6598,2057,1142,8120,3091,2333,1113,1954,1463,340,21611,130,62,185,247,314,256,163,282,16,1655,181,112,182,365,364,166,141,168,27,1703,80,128,93,81,117,46,59,51,9,667,154,152,178,226,197,120,124,124,212,1492,7299,14276,11200,8013,7087,3035,3591,3084,927,58502
CED510,825,1290,544,621,745,233,95,129,40,4527,1032,1090,803,1164,1052,398,140,209,59,5945,1886,1008,7075,2262,1865,939,1030,1161,256,17479,90,49,120,200,223,165,61,146,13,1067,222,160,167,260,454,160,63,115,17,1617,128,173,83,81,96,42,22,29,13,664,148,235,116,178,192,114,57,93,155,1283,9803,20994,9976,6702,7430,2932,1725,2295,825,62677
CED511,674,577,259,403,358,130,135,156,24,2719,855,569,488,958,660,231,262,308,46,4388,2741,776,7853,2572,1781,943,2465,2034,339,21507,207,69,243,282,335,257,239,375,30,2038,300,82,138,248,263,115,169,188,11,1524,110,76,44,48,37,24,38,62,15,454,302,112,202,206,148,128,211,317,165,1789,7972,9808,9775,5670,4565,2115,3838,4045,748,48544
CED512,615,854,491,603,646,205,158,188,39,3783,1028,1104,888,1846,1180,511,305,349,103,7317,1925,1091,8969,3316,2366,1144,1817,1844,360,22833,128,64,177,322,344,287,135,301,20,1772,166,130,204,345,405,197,134,193,24,1794,94,142,101,99,120,66,56,70,17,749,134,164,186,232,210,110,111,171,225,1544,6986,14127,12078,8746,7418,3351,3185,3698,965,60559
CED513,754,1143,616,590,592,250,125,192,41,4300,1066,1166,1106,1375,1019,493,261,466,93,7039,1410,962,4888,2015,1554,808,904,1015,191,13741,93,72,103,222,246,174,80,156,11,1154,165,147,130,256,331,132,73,107,22,1367,115,231,80,115,100,49,31,71,17,803,143,262,136,164,165,94,84,137,196,1388,11442,32012,9126,8125,8562,3676,2313,3671,1019,79939
CED514,561,827,602,517,547,217,236,214,49,3764,990,948,1222,1484,1080,469,464,527,104,7286,1407,973,6041,2427,1845,941,1469,1294,271,16658,91,65,166,267,266,232,146,243,13,1493,153,104,161,270,324,118,127,115,20,1380,88,193,123,101,111,42,62,85,14,819,129,217,189,235,191,107,134,176,277,1666,8957,24166,10600,8575,8226,3692,3799,4330,1202,73548
CED515,677,1079,521,505,651,257,156,183,55,4093,787,845,785,984,967,411,266,254,49,5355,1441,760,4503,1835,1391,752,827,903,173,12587,67,53,130,198,197,210,87,165,19,1113,157,151,146,240,336,145,76,96,13,1365,114,220,77,87,109,49,24,56,18,743,130,231,129,148,150,102,56,102,206,1260,9958,26532,8181,6543,8028,3340,2232,2713,911,68438
CED594,10,12,4,12,3,0,3,13,0,52,10,17,20,27,17,4,7,21,0,121,13,26,164,51,33,19,49,63,5,421,0,0,4,7,0,5,6,17,0,43,0,0,0,3,4,0,5,5,0,21,0,0,0,0,4,0,0,0,0,13,6,0,3,0,4,0,3,6,3,32,80,233,220,161,97,42,89,176,23,1126
CED597,0,4,7,0,0,0,0,0,0,11,0,0,5,0,0,0,0,4,0,17,4,6,50,0,0,0,15,15,3,100,0,0,0,0,0,0,0,6,0,5,0,0,4,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,3,4,33,67,9,3,0,18,60,6,199
