CED_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED501,0,17,17,116,22,11,7,4,0,193,0,3,10,42,36,16,6,0,0,113,15,498,802,1491,861,288,138,22,0,4122,0,5,7,66,31,28,41,9,5,196,0,3,9,37,18,12,5,4,0,87,0,117,186,465,455,553,406,280,80,2548,0,24,41,149,102,76,49,20,4,461,12,204,446,1138,736,409,198,78,21,3244,0,18,20,102,30,20,8,15,0,202,6,6,6,68,0,0,0,0,0,85,9,65,69,267,136,56,22,6,0,629,0,0,0,3,7,4,3,0,0,18,6,54,66,194,65,84,57,18,4,546,0,22,41,155,66,44,18,5,0,348,0,29,55,153,110,146,103,80,22,695,4,53,151,429,216,125,43,13,4,1029,13,222,382,1474,756,658,467,278,79,4332,483,1144,1202,3222,1297,979,689,521,356,9893,12956,26888,22537,52275,23560,19691,13616,7519,2499,181547
CED502,29,265,212,899,144,53,39,9,0,1659,0,27,62,65,63,18,6,0,0,244,18,611,1088,2037,1101,458,188,38,4,5546,0,6,9,75,25,49,54,19,9,241,0,4,12,30,26,11,11,4,0,93,0,22,31,209,166,275,281,212,52,1247,8,110,190,562,264,324,221,65,19,1763,10,123,360,761,527,340,163,64,19,2366,7,137,189,905,303,128,87,38,4,1800,0,8,4,262,19,11,7,0,0,318,4,153,322,433,155,69,26,6,0,1174,0,10,13,83,48,21,11,6,0,187,8,42,54,107,72,78,62,22,0,452,7,29,42,271,101,97,44,17,4,603,0,9,3,45,41,72,52,44,10,285,5,42,157,364,211,94,36,13,6,925,38,491,805,2532,962,714,445,264,76,6328,577,1279,1081,2998,1216,898,691,492,373,9608,13880,27036,22013,56526,21774,17836,13916,6976,2379,182330
CED503,3,19,8,71,12,4,4,0,4,118,0,8,29,29,38,15,4,0,0,131,10,173,280,632,302,171,66,14,0,1647,0,5,0,41,20,21,32,13,10,142,0,0,5,14,6,0,8,3,0,35,4,57,99,247,268,396,369,263,65,1766,0,11,31,61,76,64,44,18,5,310,6,151,350,719,623,398,202,87,24,2551,0,16,15,52,31,12,15,11,0,158,0,0,0,39,3,6,3,0,0,53,7,55,52,190,95,53,23,3,0,482,0,0,0,6,0,4,4,0,0,18,5,25,38,112,58,96,87,42,11,475,6,17,23,94,34,21,19,3,0,214,0,26,40,114,101,113,103,71,29,595,0,27,84,243,147,104,59,24,3,705,12,112,195,768,412,464,431,258,61,2707,318,849,825,2250,1300,1173,984,821,447,8962,9410,20979,17235,36755,20147,20723,19607,11411,3679,159946
CED504,11,77,173,589,53,50,25,14,0,978,0,3,7,15,19,16,4,0,0,74,6,214,413,889,543,276,181,48,11,2581,0,8,14,146,85,142,189,74,38,698,0,0,5,17,5,7,0,0,0,33,0,16,25,173,151,248,240,183,50,1086,0,29,45,236,159,206,193,70,17,952,4,52,226,631,350,329,253,100,16,1953,3,16,74,228,92,90,118,62,15,691,3,7,16,268,34,13,16,4,0,358,7,178,268,400,171,78,48,9,3,1171,4,13,22,88,33,13,11,3,0,199,3,33,53,183,65,60,40,14,4,445,26,207,413,2222,1634,1496,879,253,117,7253,0,0,8,54,23,37,38,36,11,211,0,11,35,209,82,86,49,20,0,494,69,682,1166,4129,1495,1222,849,471,155,10234,483,997,911,2698,1031,879,693,556,278,8521,11148,21615,21581,52194,22277,21335,17297,9489,3231,180177
CED505,6,18,22,110,22,16,4,0,0,204,0,0,3,17,53,30,9,0,0,112,5,43,82,306,100,66,39,9,5,645,0,14,13,155,73,82,109,35,34,509,0,0,0,7,7,3,3,0,0,23,9,62,132,388,316,339,250,169,84,1744,14,172,246,440,251,183,199,104,21,1641,11,159,467,1174,677,513,337,151,55,3548,0,35,49,171,100,80,62,61,29,584,0,22,19,129,58,22,31,8,0,287,7,46,64,150,70,38,18,9,6,400,0,0,7,35,15,11,8,0,0,82,61,246,231,460,226,174,135,72,23,1622,4,34,47,197,141,81,63,13,7,597,0,12,14,113,66,74,73,48,13,416,0,0,53,231,152,172,105,32,7,751,69,626,598,3399,1008,832,584,353,135,7598,225,488,670,2336,772,692,745,617,492,7046,8608,21166,21811,47077,22932,19378,16374,10662,5030,173040
CED506,3,8,5,114,10,10,4,0,0,160,0,5,10,38,45,25,16,0,0,143,19,246,341,1137,529,269,85,23,0,2653,0,0,0,43,18,15,27,9,9,121,0,0,0,30,10,0,7,0,0,52,0,14,24,192,153,282,191,94,20,972,0,14,24,81,57,39,30,10,0,257,12,92,186,632,434,249,114,39,9,1765,0,20,15,150,35,21,11,9,0,258,5,4,6,200,0,0,0,0,0,225,12,76,67,314,170,81,14,4,4,733,0,0,0,19,11,5,0,0,0,35,8,25,19,194,77,92,54,19,9,498,0,18,25,234,98,60,36,8,5,483,0,4,8,56,43,57,49,20,0,237,4,16,50,226,161,117,41,10,0,632,12,95,194,1380,443,437,297,179,53,3086,1296,3263,2844,8912,4025,3471,2000,1015,343,27169,13132,27935,21492,58521,27532,25648,17253,7701,2233,201445
CED507,3,29,10,64,5,4,3,3,3,123,0,6,6,32,31,17,5,0,0,97,19,205,238,761,296,111,60,8,0,1703,0,0,5,41,20,25,33,10,16,148,0,0,0,7,4,0,0,0,0,11,0,16,36,137,142,244,252,140,36,998,4,11,15,60,37,39,27,10,0,202,11,148,277,665,564,361,213,92,35,2361,0,17,7,56,23,10,4,4,0,128,5,5,9,259,0,0,4,0,0,283,3,43,26,120,73,40,15,5,3,322,0,0,0,8,0,6,0,0,0,9,3,39,33,128,81,87,119,33,3,535,5,13,18,115,39,23,16,0,0,235,0,3,6,50,46,76,70,39,14,299,0,21,65,185,155,141,91,16,9,675,20,121,122,795,367,389,286,172,56,2322,356,999,778,2472,1440,1264,1122,688,358,9478,8751,21753,15980,37860,21483,20938,18530,9389,3312,157999
CED508,3,32,20,161,17,17,9,0,0,260,0,0,3,22,38,18,0,0,0,81,21,296,555,1131,606,267,87,21,6,2988,0,4,8,130,66,71,118,25,15,432,0,0,3,14,9,10,3,0,0,30,6,62,98,461,288,391,327,193,63,1892,10,53,120,412,167,187,136,41,8,1130,10,110,290,944,540,367,183,93,21,2559,0,15,30,139,74,43,46,15,3,372,7,6,4,170,10,13,3,3,0,215,9,56,70,211,92,43,27,0,0,503,0,3,0,20,25,9,0,8,0,68,18,80,78,341,101,116,93,39,3,865,3,17,23,130,83,55,22,4,0,338,3,4,16,107,77,89,69,27,9,408,0,23,77,262,131,101,51,11,5,662,32,242,397,2231,1060,1159,931,558,169,6775,301,638,724,2496,1002,816,656,493,358,7484,10501,19944,19007,49968,22514,19380,14658,7668,3136,166782
CED509,3,21,44,172,34,16,15,9,0,310,0,4,17,36,41,20,7,0,0,125,13,353,682,1461,738,295,115,28,4,3687,0,0,8,95,49,55,64,26,25,311,0,3,0,17,6,12,8,0,0,33,0,22,67,256,252,359,332,180,72,1543,0,34,46,169,114,97,70,38,4,571,13,140,313,838,586,353,187,103,17,2553,0,28,49,180,96,46,40,16,4,454,0,3,7,74,8,7,3,0,0,96,3,61,96,267,101,51,16,0,0,594,0,0,0,14,10,7,5,0,0,35,12,62,55,173,71,114,87,32,10,616,0,25,59,423,189,127,67,10,3,905,0,5,23,75,63,102,65,43,4,391,3,53,165,430,233,201,91,22,9,1203,18,258,613,2219,881,687,493,297,116,5577,327,799,737,2323,1087,914,612,474,314,7581,11794,24357,20758,49339,23326,19710,14690,7991,2780,174739
CED510,0,9,12,79,0,9,14,0,0,124,0,0,6,20,53,21,7,4,0,103,7,37,48,226,112,120,93,21,0,650,0,14,13,132,92,124,197,32,25,625,0,0,0,3,3,4,0,0,0,16,3,158,291,587,593,730,592,283,76,3312,3,50,56,142,105,149,153,42,22,735,28,404,852,1675,1383,950,442,167,58,5961,0,9,26,76,15,27,38,14,5,214,0,8,3,66,13,4,9,3,0,110,4,28,43,144,86,44,21,6,0,378,0,0,5,20,8,3,9,0,0,44,28,97,107,212,120,99,85,26,6,773,0,17,25,98,106,67,53,14,8,381,3,42,75,175,209,160,158,78,28,923,0,4,105,301,346,324,167,39,11,1304,23,239,341,1385,892,895,717,358,105,4951,144,339,430,1323,730,668,563,362,205,4761,8616,22143,19721,37905,23435,22482,18638,8175,2995,164113
