CED_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
CED501,1144,424,2499,27408,36708,15631,13226,38040,10692,141699
CED502,1130,410,2379,26865,34548,14611,12741,43527,9131,141417
CED503,1645,575,3679,23568,33865,16086,14297,32727,9006,129549
CED504,1531,356,3231,29625,36473,15065,11734,45947,8566,147408
CED505,2240,641,5030,35568,43418,17687,10920,28453,7208,143257
CED506,962,390,2233,29117,39411,16823,14148,36356,24525,160379
CED507,1467,455,3312,24673,35706,17024,13377,27489,9232,127496
CED508,1459,493,3136,30411,39778,15402,11039,32049,7644,136332
CED509,1223,428,2780,28182,37877,16088,13038,33699,9695,138584
CED510,1512,262,2995,30436,40186,17959,11469,28204,5100,133353
CED511,1548,559,3606,26426,36963,17585,14739,31664,16228,143602
CED512,1082,270,2110,29434,37131,15072,11695,36929,7186,137448
CED513,2213,427,4281,36763,45880,15365,9854,38300,10186,156347
CED514,1849,810,4062,34581,42641,15590,11136,43854,11362,159166
CED515,2220,499,4734,33398,41962,19047,13711,35103,7185,150405
CED594,10,23,30,870,963,339,278,1476,3362,7285
CED597,0,0,0,33,21,10,15,214,222,516
