CED_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
CED501,0,0,0,5,0,3,13,7,0,29,0,0,12,51,12,8,14,6,0,102,0,0,3,25,11,16,14,7,3,78,0,6,12,43,9,0,0,0,0,67,0,3,9,30,36,33,90,63,28,294,33,345,483,1596,750,615,313,95,12,4238,0,0,0,8,3,9,0,0,0,24,0,5,3,48,7,5,3,0,0,80,0,0,0,14,18,10,4,0,0,52,10,225,408,916,449,204,113,18,0,2337,0,0,4,33,22,19,21,3,0,112,0,5,4,11,6,4,0,4,0,39,0,52,76,233,228,289,198,148,53,1281,0,12,16,84,47,44,30,13,0,254,4,104,199,583,372,195,104,40,10,1617,0,9,13,50,15,6,10,5,0,101,6,0,0,53,0,0,0,0,0,64,7,32,41,241,135,56,22,6,0,534,0,0,0,4,3,0,0,0,0,7,0,29,30,101,32,37,38,9,0,274
CED502,0,0,0,3,5,9,14,5,0,34,0,24,39,186,34,35,16,12,0,348,0,13,82,441,175,169,129,47,31,1079,0,0,23,135,7,8,0,0,0,174,0,3,5,25,40,34,129,105,65,408,21,234,300,892,453,423,213,57,13,2604,0,0,0,0,5,0,0,0,0,12,7,145,85,416,50,24,20,3,0,753,0,15,30,46,32,7,6,0,0,132,14,284,553,1159,573,280,145,28,3,3043,0,6,3,32,5,23,32,11,8,128,0,0,0,13,9,5,4,5,0,30,0,6,13,100,78,140,141,105,26,610,4,47,92,305,128,170,120,30,12,913,3,53,179,388,271,169,84,28,9,1194,3,69,107,436,121,55,55,19,5,872,0,3,3,183,15,13,0,0,0,218,5,70,170,312,143,62,23,3,0,796,0,6,5,43,30,9,8,4,0,92,4,30,24,57,32,34,21,5,0,218
CED503,0,0,0,0,0,4,6,7,0,24,0,5,7,48,11,11,10,3,0,89,0,0,0,10,9,11,13,11,7,57,0,3,4,21,0,0,0,0,0,29,0,5,7,44,34,40,165,97,35,423,15,162,227,783,522,521,355,105,17,2717,0,0,0,0,0,0,0,0,0,5,0,9,3,38,4,3,0,0,0,57,0,7,14,19,23,4,4,0,0,72,6,84,136,420,194,134,61,15,0,1047,0,0,0,24,12,16,20,3,4,77,0,0,0,7,0,0,4,0,0,14,3,27,43,134,134,216,200,132,34,920,0,6,11,38,39,36,23,7,4,166,0,77,183,404,337,180,109,41,16,1340,0,7,8,28,11,7,10,9,0,76,0,0,0,24,3,6,0,0,0,36,7,25,28,162,86,55,24,3,0,387,0,0,0,6,0,0,0,0,0,0,0,8,22,61,31,46,45,15,4,237
CED504,0,0,0,3,3,6,17,7,4,39,0,6,25,110,34,63,59,39,15,349,6,44,119,550,245,233,216,78,42,1531,0,4,16,89,8,4,3,0,0,127,4,0,6,21,9,15,45,64,27,195,9,97,205,591,297,312,189,61,15,1777,0,8,18,176,137,216,217,122,47,938,0,38,31,179,27,21,12,4,0,311,0,0,9,11,8,12,4,0,0,47,3,90,208,546,291,189,146,39,5,1517,0,4,9,85,47,82,105,40,27,394,0,0,0,4,4,0,0,0,0,15,0,4,14,81,74,99,134,86,35,534,0,19,24,132,80,113,106,41,8,524,0,16,107,312,187,170,124,51,10,988,0,8,27,105,42,51,53,36,7,324,4,7,8,195,18,7,12,0,0,251,3,82,145,285,152,65,41,0,3,781,0,10,7,49,19,3,5,0,5,98,0,15,20,103,24,21,14,11,0,221
CED505,0,0,0,0,3,0,4,5,0,14,0,3,13,31,11,18,8,10,3,100,0,0,3,10,26,24,20,16,4,101,0,0,24,88,3,4,0,0,0,123,6,17,21,51,49,35,68,56,33,332,11,45,84,471,271,279,216,94,17,1485,0,0,0,18,10,3,6,4,3,52,0,13,10,52,10,8,3,0,0,93,0,0,0,10,28,19,6,0,0,67,0,22,46,203,73,50,35,6,5,437,0,8,0,97,52,47,61,20,22,314,0,0,0,0,3,3,3,0,0,16,4,25,74,180,151,165,128,87,54,870,8,77,123,237,129,123,115,57,8,874,10,88,228,602,351,253,177,82,38,1833,0,16,17,97,42,45,36,37,19,312,0,7,4,87,30,17,22,3,0,172,4,20,37,109,62,32,19,3,0,290,0,0,0,24,8,3,3,0,0,45,25,131,99,276,127,84,67,37,11,862
CED506,0,0,0,0,0,0,9,4,0,13,0,3,3,22,7,10,6,0,0,49,0,3,0,15,9,11,3,0,0,46,0,7,7,29,4,0,0,0,0,42,0,0,13,54,30,28,78,40,12,255,21,106,204,896,503,565,278,66,11,2646,0,0,0,8,4,4,6,3,0,24,3,3,0,44,3,7,5,0,0,58,0,0,3,21,17,7,8,0,0,55,6,115,151,633,265,171,77,20,0,1449,0,0,0,24,15,4,15,3,5,73,0,0,0,11,5,0,6,0,0,20,0,9,9,100,62,144,102,49,11,487,0,3,10,40,35,26,12,8,0,141,10,53,87,312,223,110,61,19,5,878,0,10,9,54,11,8,7,9,0,99,4,3,0,148,3,0,0,0,0,162,6,41,28,281,163,70,14,4,3,603,0,0,0,4,0,0,0,0,0,9,4,13,10,124,42,38,27,6,4,271
CED507,0,0,0,0,0,3,3,7,0,17,0,0,3,12,3,11,10,0,0,42,0,0,0,24,0,0,6,4,0,47,0,3,3,31,0,0,0,0,0,41,0,10,4,37,37,44,92,57,27,305,15,119,151,636,385,416,248,70,19,2052,0,0,0,0,0,0,0,0,0,5,0,10,7,26,0,4,0,0,0,53,0,3,5,8,15,13,3,0,0,43,8,103,119,458,166,83,58,7,0,1013,0,0,5,24,13,19,18,3,12,87,0,0,0,3,0,0,0,0,0,0,0,8,20,66,75,121,131,68,21,509,0,4,11,44,25,20,17,3,0,124,0,71,121,366,306,169,113,53,20,1206,0,8,7,32,13,3,6,0,0,62,6,0,5,180,0,0,0,0,0,196,3,26,11,107,73,37,15,5,3,261,0,0,0,6,0,6,0,0,0,5,0,18,13,78,38,47,58,17,3,268
CED508,0,0,0,0,3,4,11,3,3,26,0,4,4,55,17,12,19,0,0,117,0,4,0,20,10,16,14,7,5,84,0,5,8,74,3,0,0,0,0,92,0,8,9,58,23,46,55,49,33,272,20,92,188,741,361,349,173,46,6,1978,0,0,0,0,0,6,3,6,0,21,4,15,6,73,13,11,4,0,0,113,0,0,3,10,22,11,0,0,0,46,11,156,277,673,285,165,77,18,6,1662,0,0,7,74,39,37,64,18,6,239,0,0,0,7,0,4,0,0,0,10,5,25,39,213,143,201,167,98,30,927,10,13,73,225,97,112,73,24,3,627,3,55,139,487,279,182,95,48,18,1316,0,12,11,71,39,28,18,8,4,190,4,3,0,116,3,12,0,0,0,141,4,26,48,174,85,39,20,0,0,394,0,0,0,11,10,0,0,5,0,28,4,42,45,197,42,51,42,15,4,438
CED509,0,0,0,0,4,9,14,4,0,32,0,11,27,144,31,34,19,7,6,288,0,0,21,108,48,37,37,15,9,272,0,4,8,68,4,4,3,0,0,89,0,0,13,32,33,42,91,73,27,319,13,169,278,1012,549,549,254,83,18,2930,0,0,7,33,6,14,5,0,0,64,0,5,20,76,13,7,5,9,0,138,0,0,8,25,18,11,5,0,0,67,9,165,334,875,402,189,82,25,3,2087,0,0,3,57,22,33,28,11,21,180,0,0,0,4,0,4,3,0,0,15,0,12,31,121,129,191,168,86,47,780,0,15,20,106,57,52,43,19,0,316,6,72,147,432,294,169,87,61,13,1282,0,15,20,95,42,20,22,4,0,221,0,0,3,50,4,5,0,0,0,71,6,25,66,208,95,44,14,0,0,458,0,0,0,9,3,3,0,0,0,19,7,29,32,104,43,46,40,13,5,315
CED510,0,0,0,6,9,11,6,4,0,37,0,8,11,26,9,31,20,5,6,109,0,0,0,8,24,34,57,15,8,141,0,0,8,18,0,0,0,0,0,28,0,7,11,41,37,32,90,71,29,319,8,80,128,593,378,442,236,73,18,1952,0,0,0,15,7,21,18,3,3,76,0,6,4,34,0,7,8,0,0,57,0,0,0,14,29,10,3,4,0,56,4,15,22,149,87,89,74,17,0,461,0,8,7,89,57,77,111,17,20,384,0,0,0,0,0,0,0,0,0,7,3,78,126,303,300,380,308,143,50,1691,0,21,27,75,58,98,92,21,13,413,14,213,399,880,739,493,207,107,42,3090,0,3,16,34,10,16,17,6,5,108,0,3,3,48,9,4,7,0,0,77,0,9,22,119,80,41,19,6,0,302,0,0,0,11,8,0,0,0,0,17,13,38,47,122,55,42,45,8,5,379
