CED_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
CED501,83,132,343,327,279,175,38,7,6,1395,2713,3807,8919,9309,8702,5604,1002,61,5,40124,19,48,106,137,146,101,35,8,0,597,63,395,1635,1842,1551,903,131,5,0,6530,252,494,1338,1526,1540,1158,185,13,0,6506,28,60,242,272,298,183,13,0,0,1087,352,777,2104,2036,1782,1233,174,7,0,8469,78,143,500,488,470,324,58,5,0,2072,1255,1276,1692,1390,1365,913,186,4,0,8079,2012,891,778,628,458,245,69,7,0,5092,67,187,757,906,849,817,201,15,0,3802,46,59,142,113,83,38,4,3,0,497,5,71,379,397,288,156,24,0,0,1317,28,60,211,236,220,177,53,13,0,995,54,238,876,1088,789,447,125,9,0,3622,92,267,628,657,601,443,97,4,3,2791,95,694,1726,1620,1489,1059,185,21,0,6888,155,396,1231,1751,1744,1149,245,17,0,6690,165,915,2376,2637,2670,1897,350,20,0,11037,137,149,275,199,145,102,42,8,0,1063
CED502,99,182,420,408,266,215,56,13,0,1663,2187,3713,8990,9814,7361,5108,1140,86,10,38408,24,48,134,121,103,66,37,10,4,546,29,254,1073,1463,968,524,76,4,0,4390,174,444,1213,1650,1296,848,199,9,5,5834,6,42,180,287,212,146,30,0,0,901,246,708,2008,1979,1338,894,244,10,0,7442,72,216,650,775,659,393,80,5,0,2854,999,1410,1801,1613,1185,884,232,25,0,8153,1661,893,1057,807,520,294,60,3,0,5299,88,398,1345,1654,1176,1057,267,9,0,5999,35,51,154,175,102,63,11,0,0,593,14,64,403,542,286,148,26,0,0,1491,5,56,239,250,176,144,53,3,0,938,36,333,1086,1453,776,441,125,13,0,4261,88,278,666,701,603,451,129,8,0,2926,46,230,889,1255,1014,832,178,24,0,4450,127,386,1173,1598,1445,1001,273,25,0,6030,170,984,2835,3402,2407,1738,416,25,0,11977,123,147,248,277,168,113,43,10,0,1127
CED503,76,95,232,259,244,191,60,27,6,1195,2437,2830,6164,6928,7507,5945,1346,114,14,33278,38,61,147,183,249,272,200,70,4,1225,101,429,1481,1809,1757,1195,180,0,0,6956,230,402,964,1136,1308,1136,181,30,0,5385,11,36,181,229,267,170,35,3,0,938,322,652,1601,1577,1539,1292,323,20,3,7322,62,86,262,349,324,282,84,20,0,1473,1106,1019,1227,1079,1164,941,254,26,0,6813,1623,605,576,508,476,357,102,10,0,4267,60,143,423,570,728,716,266,34,0,2958,22,45,50,62,64,53,21,0,0,321,10,36,150,212,221,149,42,9,0,828,26,60,179,199,225,207,95,19,0,1014,49,213,533,658,638,513,176,19,0,2800,68,181,387,457,496,421,130,14,0,2161,52,163,598,770,931,798,176,19,0,3508,111,294,892,1238,1503,1249,287,16,0,5595,175,635,1642,1845,1953,1822,413,21,0,8510,114,142,183,169,161,133,59,16,0,986
CED504,75,181,438,404,320,233,65,10,3,1730,2125,4076,9563,8871,8165,6353,1653,116,3,40929,8,26,127,101,125,98,38,4,0,529,6,211,1011,1080,737,436,98,5,0,3588,137,319,950,1097,1208,1021,249,32,0,5014,10,48,205,225,194,199,30,3,0,912,248,733,2269,2144,1563,1207,275,24,3,8467,31,158,459,513,496,367,125,13,0,2163,1262,1569,1868,1362,1300,1096,333,27,0,8814,1347,1040,1255,907,720,550,121,3,0,5940,70,293,1012,965,940,850,255,24,0,4407,31,85,190,173,127,109,35,4,0,743,13,131,510,578,444,250,74,10,0,2010,13,80,235,231,188,187,64,18,0,1027,57,433,1561,1599,995,678,231,31,0,5591,65,306,713,740,622,573,145,16,0,3185,42,271,1048,1107,1093,950,235,18,3,4773,125,389,1303,1379,1615,1303,403,23,0,6546,156,1052,3071,2718,2422,2156,651,40,0,12267,161,223,360,264,214,186,56,11,0,1462
CED505,67,140,320,308,348,153,77,35,7,1458,2551,4319,9990,9455,9349,6457,2098,329,24,44565,36,28,70,62,91,108,85,29,5,517,19,234,1684,2003,1686,793,196,22,0,6638,138,172,449,525,545,420,181,42,4,2466,5,24,186,257,211,138,31,6,0,856,177,407,1433,1445,1168,811,259,32,4,5739,52,106,283,396,427,311,89,22,4,1694,1244,1240,1089,849,851,675,284,52,3,6286,1565,1302,1111,633,414,271,104,19,0,5416,58,147,436,466,473,317,134,24,0,2057,32,93,252,216,197,139,47,17,0,996,13,168,632,841,826,558,183,55,4,3283,33,95,339,399,490,376,216,79,15,2045,78,858,2610,2942,2799,1859,750,160,14,12073,80,208,642,590,424,330,124,21,3,2423,42,205,980,1116,1098,853,227,27,3,4563,428,760,1625,1760,2162,1930,629,80,3,9384,211,1123,3761,3338,3397,2622,1000,129,6,15592,300,339,434,290,304,179,70,12,0,1927
CED506,102,147,301,314,288,226,89,26,6,1499,2337,3056,9163,9423,8942,7083,1893,225,11,42141,213,451,1132,1117,1239,1324,857,280,38,6658,144,750,3364,3889,3022,1870,262,10,0,13302,177,216,540,553,514,443,127,12,0,2584,30,62,222,297,285,262,69,0,0,1224,327,607,1786,1672,1527,1389,379,16,0,7705,91,168,408,451,424,365,67,16,0,2000,1197,706,1179,1076,1181,1045,310,44,0,6748,1151,604,1322,886,773,743,250,34,0,5761,111,253,944,1050,1227,1159,411,44,5,5204,23,30,90,93,52,67,24,0,0,378,10,37,144,170,165,126,31,0,0,687,34,90,237,221,244,190,73,17,0,1121,51,152,560,601,540,434,151,17,0,2503,108,212,650,646,664,512,147,10,0,2947,111,314,1182,1402,1549,1312,306,22,0,6200,120,434,1698,2087,2041,1504,350,19,0,8253,250,605,2219,2201,2166,1918,526,32,0,9917,77,85,180,186,192,152,55,9,0,938
CED507,80,80,183,267,243,172,73,26,4,1123,2611,2349,6104,8165,8600,6463,1618,169,15,36080,139,177,508,505,573,648,497,158,19,3218,58,286,1054,1557,1524,903,143,6,0,5525,314,494,1301,1621,1418,987,249,19,0,6410,13,58,191,256,311,265,44,0,0,1150,377,690,1565,1850,1708,1382,348,23,0,7945,56,68,194,263,332,224,76,10,0,1229,1208,698,1195,1292,1352,1168,285,28,0,7223,1816,595,994,1030,842,585,204,20,7,6085,53,127,312,425,638,692,267,25,0,2536,50,36,83,74,71,44,27,3,0,389,4,36,158,204,255,175,56,9,0,893,24,63,170,184,245,197,100,13,3,997,47,98,445,677,682,496,231,28,5,2691,71,144,394,543,595,481,142,14,0,2386,52,135,487,746,917,745,169,12,0,3258,112,156,783,1462,1852,1440,345,22,0,6172,213,573,1686,2215,2371,2094,462,21,0,9641,126,68,171,166,153,119,48,8,0,859
CED508,78,149,387,386,304,197,67,10,6,1586,2363,4009,10010,9959,8940,6479,1578,123,9,43464,15,46,96,131,123,107,54,19,3,596,29,248,1378,1531,1158,664,123,6,0,5138,197,409,1095,1295,1320,915,200,23,0,5461,23,35,209,263,208,176,32,3,0,949,210,570,1913,2008,1516,1134,263,19,0,7632,58,153,431,539,549,408,87,10,0,2240,1121,1278,1368,1122,1048,912,280,33,0,7167,1577,1101,1118,711,478,319,97,7,0,5413,77,229,731,823,938,801,228,13,0,3842,27,58,155,151,138,81,34,3,0,653,8,66,444,596,452,224,70,9,0,1870,15,81,254,281,279,176,99,24,5,1213,40,439,1815,2139,1420,827,286,35,0,7007,62,200,505,509,507,437,114,16,0,2343,42,258,1230,1355,1227,931,225,28,0,5289,171,495,1788,2072,2216,1701,464,29,0,8944,189,1084,3285,2995,2720,2264,560,34,0,13131,197,225,378,371,232,177,61,13,0,1645
CED509,79,130,329,357,327,204,67,8,6,1509,2703,3617,8821,9401,9023,6341,1505,159,12,41581,50,60,125,136,153,175,102,48,7,848,67,340,1571,1852,1593,965,164,12,0,6561,230,414,968,1245,1279,826,206,24,0,5200,13,50,196,220,219,146,31,5,0,885,328,731,1824,1922,1514,1158,261,25,5,7763,102,204,602,699,692,499,101,14,0,2919,1398,1326,1705,1365,1230,982,264,24,0,8289,1835,797,756,631,489,358,76,16,0,4952,98,284,1055,1318,1157,1000,294,32,0,5243,22,56,134,169,139,100,22,10,0,667,20,87,393,431,373,209,52,13,0,1576,19,76,256,291,273,215,87,17,0,1244,54,294,1024,1308,1092,679,259,30,4,4742,86,223,549,542,564,409,129,10,0,2514,40,231,1040,1323,1476,1157,244,24,0,5532,182,395,1243,1619,1868,1385,408,36,0,7146,183,851,2522,2654,2511,1919,494,43,0,11173,164,163,275,263,180,159,70,21,0,1299
CED510,84,97,218,306,322,208,65,15,3,1321,2880,3577,6501,9031,9887,7897,1857,118,9,41757,19,31,60,63,106,73,28,10,0,392,34,211,1029,1531,1406,840,157,9,0,5214,193,233,430,634,841,801,220,17,0,3366,18,37,157,272,304,217,50,0,0,1052,398,759,1819,2433,2201,1624,394,23,3,9663,54,128,276,417,546,460,126,11,0,2011,1437,1402,964,876,1107,1069,340,36,5,7237,1979,911,520,438,366,312,103,7,0,4637,56,129,332,473,597,599,220,21,0,2428,69,92,117,191,195,146,35,10,0,853,20,130,419,785,803,561,151,12,0,2879,20,81,204,295,322,297,122,17,3,1357,81,511,1166,2035,2030,1233,439,49,3,7541,74,213,359,490,581,498,176,21,0,2413,49,227,759,1324,1500,1268,289,14,0,5439,211,484,1260,2040,2671,2256,534,36,0,9489,192,934,1953,2403,2798,2605,669,46,0,11601,303,273,234,261,273,184,70,5,0,1594
