CED_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
CED501,45479,46030,91506,5151,5701,10855,915,904,1823,707,741,1445,818,800,1616,238,227,466,19836,22005,41848,152,168,319,247,245,487,88,86,174,0,4,5,22996,25191,48187,2320,2807,5131,750,731,1482,31223,34427,65647,7118,4310,11428,83813,84764,168586
CED502,47428,47602,95030,4156,4316,8468,550,546,1100,404,406,815,381,361,739,205,222,418,20409,21174,41578,82,94,167,167,152,323,38,59,94,19,19,34,22245,23028,45274,3836,4660,8492,706,563,1270,30942,32562,63509,5258,4647,9909,83633,84817,168450
CED503,40910,42315,83227,4882,5430,10311,544,547,1089,400,485,886,530,625,1161,157,180,335,18078,20332,38409,131,152,288,164,178,344,31,46,81,0,13,14,20043,22564,42602,1460,1782,3242,589,641,1234,26975,30409,57383,5528,4383,9919,73419,77114,150534
CED504,51129,52604,103736,3623,3683,7304,338,331,668,333,361,692,259,306,562,111,127,239,18020,18581,36599,53,47,100,98,105,199,26,27,57,3,12,17,19245,19893,39141,4231,4617,8848,606,481,1085,27708,28675,56380,4743,4170,8904,83580,85447,169026
CED505,40086,43409,83491,5251,5464,10718,991,1103,2098,841,1033,1871,668,664,1333,169,208,375,20134,21764,41898,72,97,170,145,146,289,130,123,256,4,5,14,23161,25144,48304,6304,7015,13321,505,496,994,35225,38113,73338,3889,3709,7597,79194,85232,164433
CED506,44670,41430,86100,10439,10607,21051,883,828,1718,876,855,1726,1497,1280,2775,391,360,753,18979,18866,37837,150,146,297,528,513,1042,59,55,116,24,19,39,23386,22917,46304,2411,2801,5205,786,632,1412,37028,36955,73976,16436,11801,28237,98126,90186,188313
CED507,40004,41266,81265,7148,7600,14743,401,437,834,392,414,808,408,461,863,160,145,300,16145,18055,34204,106,132,235,239,231,473,26,26,56,7,3,9,17877,19918,37787,1886,2097,3989,524,478,1003,27433,30095,57524,5905,4548,10457,73343,75911,149250
CED508,41526,43419,84941,3811,4165,7976,677,754,1436,664,720,1383,472,515,982,187,171,356,20233,22038,42265,68,79,147,148,168,310,82,80,165,10,3,15,22550,24522,47067,3184,3780,6965,663,623,1290,30209,33098,63306,4378,3656,8029,76106,80174,156278
CED509,46345,47041,93389,3602,3867,7472,457,496,958,429,446,868,425,430,856,151,135,289,20505,22100,42605,68,78,144,164,144,306,45,53,96,7,11,16,22245,23889,46138,2067,2553,4625,617,525,1145,28541,30835,59377,6325,3857,10174,81215,81731,162943
CED510,48861,50299,99158,3241,3416,6655,525,585,1107,426,470,895,399,404,803,77,76,155,16687,17484,34175,53,55,106,115,131,243,62,63,127,10,11,24,18357,19280,37642,2802,3023,5826,457,372,831,24862,26094,50959,2976,2411,5380,76693,78801,155496
CED511,45951,43637,89584,8458,8856,17316,477,471,946,477,471,950,644,553,1195,294,263,553,15244,15755,31001,132,132,266,175,141,315,20,18,41,0,3,5,17458,17804,35265,2052,2027,4073,604,530,1133,28576,29218,57787,10557,8059,18617,85086,80911,165992
CED512,46102,47354,93452,4855,5385,10243,519,608,1131,465,553,1012,468,530,1001,125,132,263,19907,21879,41788,84,80,168,141,143,280,40,50,92,9,11,26,21768,23987,45755,2937,3524,6459,623,595,1210,30182,33495,63673,4259,3322,7587,80547,84171,164712
CED513,39082,41105,80187,4388,4524,8917,889,873,1759,882,940,1821,688,649,1339,239,261,506,24439,24975,49413,78,88,169,193,156,353,91,78,176,7,0,9,27515,28027,55539,7511,8196,15707,773,619,1393,40196,41366,81561,5865,4642,10508,85147,87110,172254
CED514,42485,43687,86171,5220,5268,10489,692,628,1320,666,615,1274,622,577,1200,243,258,504,24148,23567,47722,84,97,180,157,169,330,82,80,161,17,16,29,26708,26011,52723,7998,8032,16037,868,745,1613,40803,40058,80861,6163,5497,11659,89448,89241,178688
