CED_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED501,3337,4163,9489,9861,9135,5897,1043,67,5,42995,1905,918,3053,2767,2239,3633,5805,3556,1209,25075,251,307,706,584,484,375,319,330,250,3600,5488,5382,13245,13219,11859,9901,7174,3951,1466,71674,1231,4342,12030,12972,12225,7736,1048,44,0,51620,3862,3035,5097,5404,4663,3647,1138,118,8,26964,150,306,1250,862,794,785,174,13,3,4328,106,177,452,325,241,149,36,9,8,1486,5342,7856,18821,19557,17915,12317,2396,183,14,84405,364,517,735,576,543,398,46,9,0,3182,969,307,451,381,289,243,82,10,0,2735,1333,827,1191,960,830,636,126,13,3,5920,6676,8687,20009,20517,18743,12951,2525,194,16,90321,4201,1690,4390,3949,3507,5765,10452,6751,2082,42780,529,756,1780,1628,1306,970,640,580,405,8600,11407,11132,26178,26097,23560,19691,13616,7519,2499,141699
CED502,2761,4125,9643,10475,7841,5412,1180,83,10,41536,2219,1156,3623,3449,2341,3352,5766,3333,1174,26414,259,305,768,673,491,366,346,312,254,3769,5243,5587,14034,14600,10672,9131,7289,3728,1437,71717,905,3869,12386,14807,10964,6976,1258,49,3,51213,3206,3522,5471,6200,4282,3451,1317,156,3,27611,146,233,947,760,498,503,153,13,0,3249,86,219,514,363,259,170,36,13,0,1657,4335,7844,19310,22132,15998,11104,2758,229,18,83729,296,531,869,744,628,414,65,0,0,3550,809,385,497,454,299,238,67,0,0,2761,1108,921,1363,1197,927,653,132,9,0,6314,5446,8769,20674,23332,16924,11756,2893,235,18,90047,4666,1961,4766,4534,3599,5193,10349,6223,1958,43251,538,633,1643,1581,1246,886,669,518,402,8122,10650,11357,27081,29443,21774,17836,13916,6976,2379,141417
CED503,2831,3079,6537,7284,7861,6264,1384,120,14,35371,1561,707,2299,2096,1965,4038,8269,5203,1727,27867,200,229,468,478,487,445,408,455,368,3538,4599,4013,9309,9854,10309,10745,10067,5780,2108,66779,1068,3082,7876,9016,10009,7455,1329,100,3,39941,3288,2319,3719,4266,4229,4152,1705,265,18,23963,175,254,871,714,747,900,231,24,5,3923,99,142,309,252,224,181,71,24,12,1308,4633,5798,12775,14253,15216,12688,3340,418,32,69139,253,367,504,433,435,346,62,4,0,2408,593,191,292,250,219,271,78,8,0,1897,842,562,796,680,653,623,137,10,0,4307,5477,6362,13573,14931,15868,13310,3478,431,28,73446,3327,1164,3010,2914,3017,6351,15227,10154,3072,48238,414,486,1093,1234,1265,1062,905,824,579,7861,9221,8011,17675,19084,20147,20723,19607,11411,3679,129549
CED504,2632,4385,10104,9421,8592,6699,1707,122,3,43656,2043,950,2635,2640,2264,3930,7110,4596,1693,27873,201,269,699,621,440,389,365,351,237,3559,4881,5609,13440,12680,11288,11010,9184,5066,1937,75084,676,3725,13157,12511,10957,8162,1661,95,4,50945,3251,4074,5901,5758,4987,4572,1892,237,13,30692,115,234,865,641,472,540,210,15,0,3095,88,249,513,325,279,184,54,13,5,1728,4136,8278,20440,19232,16697,13464,3816,368,27,86454,216,432,713,608,586,442,55,3,0,3061,783,368,440,396,299,312,84,12,0,2684,996,801,1153,1001,888,753,138,12,0,5750,5126,9078,21593,20233,17580,14220,3958,376,27,92200,4463,1869,3708,3739,3626,6243,12662,8486,2856,47644,398,644,1523,1398,1065,870,687,622,355,7559,9985,11595,26823,25369,22277,21335,17297,9489,3231,147408
CED505,2930,4535,10286,9803,9666,6684,2135,338,24,46399,2356,752,1327,1988,1900,3062,6140,5127,2750,25399,154,215,605,443,329,297,381,357,402,3180,5442,5501,12214,12230,11890,10041,8655,5817,3173,74980,349,2866,13309,12748,12862,8200,1903,230,13,52468,4209,4863,4836,5740,5405,4692,2819,646,56,33269,229,280,951,745,408,537,214,47,3,3414,44,107,275,191,161,86,50,27,6,943,4834,8112,19371,19423,18831,13518,4982,950,83,90102,58,203,360,314,416,292,65,8,0,1708,775,327,261,236,195,195,81,7,0,2079,828,528,621,553,614,486,143,14,0,3787,5664,8642,19990,19975,19445,14006,5124,963,87,93886,5166,1658,2137,2562,2712,4705,10503,9041,4341,42807,287,399,1364,1050,776,676,750,659,606,6562,11116,10697,23487,23589,22932,19378,16374,10662,5030,143257
CED506,2619,3264,9534,9770,9290,7330,1939,224,15,43990,1956,1088,2984,2372,2104,3338,5339,3005,1026,23212,576,724,1979,1767,1526,1273,821,479,227,9373,5151,5073,14497,13907,12916,11950,8100,3715,1268,76576,1509,4364,13483,13788,13566,10431,2464,243,20,59858,2884,1595,4130,4861,4274,4190,1860,340,31,24172,187,295,1323,1090,1006,1042,342,31,4,5317,140,213,510,405,351,278,105,55,10,2065,4720,6465,19446,20143,19191,15942,4770,671,67,91415,268,383,548,464,478,363,57,3,0,2574,366,162,275,264,247,238,70,8,6,1656,636,545,822,733,728,608,132,10,6,4225,5354,7009,20268,20877,19925,16546,4903,681,70,95647,4195,1987,4581,3837,3667,5822,10499,6020,1796,42405,1319,1623,4624,4333,3937,3274,1849,1003,373,22335,10871,10620,29474,29047,27532,25648,17253,7701,2233,160379
CED507,2933,2498,6344,8431,8839,6700,1652,180,15,37586,1390,525,1914,1835,1615,3655,7243,4349,1764,24306,202,194,531,497,510,507,511,368,231,3543,4525,3212,8785,10762,10969,10861,9404,4893,2010,65428,1241,3006,7950,9621,10726,7528,1475,127,8,41686,3469,1663,3773,5551,5240,4805,2179,300,27,27002,268,230,822,825,853,1029,301,46,3,4373,114,112,239,265,229,145,50,23,10,1196,5093,5012,12778,16264,17045,13512,4000,497,49,74255,185,222,345,284,304,266,35,0,0,1638,432,158,213,220,192,211,58,8,0,1494,623,379,561,505,492,476,92,8,0,3132,5711,5396,13340,16771,17534,13989,4093,507,49,77387,3122,916,2621,2672,2593,5792,13405,8207,2883,42218,420,415,1212,1250,1352,1165,1034,673,375,7894,9255,6720,17173,20693,21483,20938,18530,9389,3312,127496
CED508,2788,4265,10406,10325,9268,6729,1619,121,9,45528,1504,668,1783,2044,1755,2960,5758,3639,1672,21780,134,234,590,481,404,328,321,304,250,3046,4422,5169,12774,12844,11433,10021,7688,4071,1930,70349,797,3559,13385,13359,12302,8050,1488,90,3,53033,3468,3801,5141,6132,4955,4465,1891,240,9,30102,124,253,1142,902,593,654,184,18,0,3881,70,128,321,253,200,142,45,11,6,1164,4452,7735,19992,20650,18053,13310,3608,357,20,88177,140,291,478,399,421,337,50,0,0,2120,726,334,317,276,254,244,81,8,0,2240,863,628,794,676,672,586,131,9,0,4356,5320,8361,20783,21329,18721,13890,3746,369,20,92541,3291,1255,2516,2746,2762,4713,10285,6758,2733,37049,301,479,1364,1240,1029,771,631,547,386,6744,8904,10100,24662,25311,22514,19380,14658,7668,3136,136332
CED509,3139,3870,9217,9788,9359,6581,1548,158,12,43663,1838,719,2502,2364,1971,3042,5726,3725,1388,23281,176,197,538,474,411,338,317,282,257,2990,5156,4793,12260,12627,11737,9961,7583,4168,1651,69938,1061,3868,11780,13132,12762,8514,1576,111,6,52814,3984,3141,4783,5586,4740,4037,1811,311,20,28426,170,221,1101,795,683,758,191,26,0,3943,95,202,396,277,211,139,51,16,4,1384,5311,7432,18058,19786,18402,13451,3632,463,34,86562,203,391,486,381,408,326,59,0,0,2251,731,246,287,280,211,191,78,6,0,2033,934,632,778,656,616,516,140,13,0,4288,6239,8063,18835,20448,19017,13964,3773,479,39,90849,4176,1483,3860,3690,3194,4877,10335,6997,2331,40936,369,422,1278,1236,1115,869,583,514,414,6800,10784,9971,23971,25366,23326,19710,14690,7991,2780,138584
CED510,3363,3763,6712,9326,10176,8101,1905,122,8,43480,1587,444,1119,1633,1503,3339,7397,3946,1688,22657,84,96,300,249,258,271,256,216,170,1899,5034,4302,8136,11210,11932,11711,9564,4287,1868,68038,841,3348,8623,11735,13683,9687,1677,74,4,49672,4520,3764,3594,5645,5658,5579,2496,271,12,31542,165,204,836,789,570,850,290,23,0,3723,47,101,187,210,163,123,38,14,3,891,5575,7416,13242,18384,20077,16241,4511,377,23,85832,129,231,355,303,325,329,57,0,0,1734,934,271,192,217,196,192,87,4,5,2099,1058,499,552,516,525,517,146,7,7,3822,6638,7916,13789,18899,20599,16762,4647,389,26,89655,3692,1024,1660,2138,2079,5057,13458,7416,2718,39242,195,258,690,719,764,667,525,374,256,4456,10523,9197,16143,21760,23435,22482,18638,8175,2995,133353
