CED_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
CED501,642,1228,1870,8840,10891,19732,0,0,0,1231,1414,2638,0,0,0,13327,14991,28320,236,300,534,438,490,926,502,665,1161,349,361,706,201,287,489,46,59,108,515,556,1070,908,1021,1929,1242,1309,2550,138,213,342,203,220,426,1001,1350,2354,3218,3706,6926,133,157,290,32532,37982,70508,1081,1049,2128,811,797,1609,36,27,67,5,11,17,706,606,1309,293,450,742,1006,1067,2075,45256,42635,87889,281,220,500,127,269,396,45670,43122,88787,8790,5714,14504,90571,90975,181547
CED502,2332,2984,5313,6290,7892,14184,0,0,0,2168,2383,4549,57,56,113,14090,15390,29482,187,216,406,292,330,620,317,429,743,216,243,457,157,162,317,274,250,526,587,686,1280,1570,1790,3366,1520,1705,3228,98,120,215,438,496,934,772,1063,1835,3884,4407,8289,143,199,335,33059,37819,70882,4062,3908,7966,7447,7052,14499,31,31,59,10,5,17,2165,1926,4091,303,472,778,2476,2405,4882,34058,31136,65192,240,156,396,92,156,247,34388,31455,65840,6921,5967,12884,90718,91615,182330
CED503,508,909,1423,10311,12834,23146,0,0,0,1326,1579,2908,75,83,156,11297,12967,24263,137,163,297,205,229,428,468,614,1083,223,250,469,179,251,423,15,16,30,357,417,776,735,908,1641,1456,1551,3012,101,142,244,172,216,386,1138,1662,2798,2557,2894,5443,71,83,158,30813,36855,67669,497,542,1043,422,450,870,37,31,66,3,3,9,354,324,674,225,413,641,583,743,1326,38287,36459,74747,223,165,393,124,239,368,38634,36863,75499,6695,5356,12053,78193,81752,159946
CED504,3978,5004,8983,5391,6772,12167,0,0,0,1834,1966,3797,9,11,20,20429,22567,42995,187,288,477,3106,3182,6290,379,488,862,159,212,373,115,146,263,277,279,556,578,640,1222,886,1115,1993,617,759,1375,99,142,247,175,225,401,789,1122,1920,3224,3701,6915,73,85,159,38337,43701,82041,2298,1971,4272,6069,5670,11734,512,565,1081,6,11,13,897,746,1645,379,536,916,1284,1287,2571,30252,26961,57210,241,199,445,110,185,298,30607,27345,57951,6167,5385,11553,89247,90932,180177
CED505,1863,2467,4324,9738,12308,22045,4,0,0,663,762,1432,0,0,0,15634,18857,34490,271,328,601,1162,1379,2540,162,211,371,41,48,83,196,265,460,71,66,139,338,486,828,367,497,867,883,1129,2011,47,56,107,34,53,88,1530,2198,3731,1621,2147,3765,48,67,112,32813,40871,73690,1420,1416,2837,859,907,1768,313,300,611,7,0,9,143,129,270,365,403,767,509,537,1046,39875,37516,77389,389,275,663,115,211,327,40373,38000,78377,5460,4919,10377,83620,89421,173040
CED506,698,1242,1939,9369,10198,19561,0,0,0,1085,1128,2212,128,130,252,17409,18270,35677,245,271,521,265,232,489,377,466,844,138,151,289,311,389,699,27,17,39,892,1001,1889,826,974,1798,898,838,1743,101,157,258,411,471,885,1639,1957,3595,2673,2971,5647,68,80,147,36859,39693,76552,601,461,1058,953,830,1782,44,41,90,394,366,756,101,75,178,239,326,568,738,761,1502,45873,39275,85149,227,154,382,107,166,273,46210,39594,85797,18814,13904,32719,104921,96523,201445
CED507,493,849,1336,8952,11305,20259,0,0,0,1206,1281,2489,3,4,4,11751,13616,25368,238,301,535,193,229,423,434,617,1059,217,261,475,165,208,377,17,14,26,275,343,615,408,472,881,862,960,1830,83,138,222,232,268,494,1334,1907,3237,2223,2551,4777,89,100,190,28673,34579,63257,330,296,625,478,447,930,36,34,70,4,9,23,133,110,242,192,305,500,334,424,765,39911,37591,77509,229,159,386,107,181,289,40253,37931,78176,7224,5615,12839,77818,80181,157999
CED508,1038,1597,2636,6159,7670,13822,0,0,0,966,1165,2139,34,40,74,19274,21904,41179,82,107,190,736,823,1554,227,284,509,62,79,138,130,166,298,56,54,111,395,458,853,723,833,1553,916,1004,1927,49,65,112,90,101,195,797,1186,1987,2116,2551,4669,65,80,147,32879,38576,71457,1140,1138,2276,1023,1028,2053,86,125,216,3,3,7,245,206,454,305,400,710,561,612,1171,38625,36836,75459,307,240,545,166,248,420,39095,37327,76425,5755,4792,10554,81582,85202,166782
CED509,1002,1487,2487,8256,9972,18224,0,0,0,1409,1586,2997,176,148,324,15200,16714,31911,234,299,535,545,552,1093,356,445,798,185,262,445,176,210,383,114,95,205,523,613,1138,989,1180,2169,893,1018,1910,91,133,226,313,363,668,950,1298,2246,3133,3651,6784,168,170,338,33713,38690,72403,2218,2139,4352,1964,1914,3875,65,76,141,4,6,13,1351,1281,2629,268,395,662,1627,1674,3306,38456,35856,74316,271,207,479,118,213,328,38839,36279,75115,7924,5128,13056,87342,87397,174739
CED510,653,1002,1659,10081,12471,22553,0,0,4,1267,1409,2678,3,4,11,16348,18580,34922,266,296,564,798,875,1668,159,236,393,178,211,390,183,218,400,143,143,286,501,568,1069,824,954,1774,1211,1331,2540,58,79,131,71,85,153,1401,1895,3292,2160,2548,4711,69,68,141,35708,41969,77679,722,686,1409,676,725,1402,103,122,219,4,0,0,94,119,206,236,314,549,332,431,764,38274,34250,72522,259,164,418,102,167,270,38629,34578,73209,4347,3428,7776,81170,82942,164113
