CED_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
CED501,235,116,98,39,54,11,558,83,25,33,7,16,4,162,158,59,53,33,41,5,355,108,63,51,17,42,4,283,188,141,96,49,78,9,563,293,233,145,78,104,10,865,479,534,210,144,154,25,1545,693,985,312,210,176,23,2399,776,1299,307,215,136,24,2767,849,1676,382,261,195,27,3391,612,1348,309,165,102,14,2548,811,1761,546,210,123,26,3477,367,757,200,68,42,11,1439,196,481,147,70,21,5,916,444,816,287,74,41,12,1673,438,661,329,69,49,7,1551,168,246,106,24,16,0,558,106,171,76,17,13,0,377,402,563,234,110,113,13,1436,7410,11942,3917,1860,1508,227,26865
CED502,232,181,126,32,72,17,652,64,36,26,10,19,0,155,113,80,70,11,43,12,322,97,72,56,23,47,6,301,225,172,115,40,96,11,653,309,343,171,87,117,20,1049,450,637,221,130,160,18,1620,610,1096,277,186,213,34,2416,685,1416,304,200,177,36,2815,701,1599,397,223,174,34,3128,515,1304,311,117,97,15,2360,744,1759,439,169,129,35,3269,300,742,191,62,42,8,1339,178,579,138,34,32,3,961,359,862,301,62,49,14,1648,308,749,288,61,41,11,1461,119,249,87,24,25,7,510,90,210,72,13,14,4,393,364,567,251,91,114,25,1414,6455,12652,3850,1556,1640,309,26463
CED503,270,109,97,38,32,5,557,76,19,22,4,13,0,139,147,38,50,19,28,5,287,125,53,45,18,22,7,263,182,100,78,43,61,4,477,294,207,87,73,79,5,751,402,363,147,110,98,8,1134,503,610,274,165,136,21,1700,572,809,221,158,101,21,1888,665,1136,307,169,103,14,2386,468,924,195,127,85,6,1807,824,1252,430,133,82,18,2745,338,611,161,62,44,5,1225,228,418,135,41,21,3,840,464,761,284,69,46,7,1627,599,757,353,68,46,0,1830,245,234,147,28,27,0,682,158,140,95,9,16,5,424,366,394,228,92,71,6,1162,6927,8931,3362,1422,1114,155,21925
CED504,302,199,187,37,97,25,856,64,33,36,12,20,0,160,126,51,77,21,50,0,335,99,66,79,21,44,8,319,197,141,105,46,88,9,585,215,219,179,69,115,18,810,360,456,229,96,157,20,1327,527,704,270,135,206,39,1876,555,865,280,145,186,27,2055,628,1018,311,170,148,21,2299,427,746,221,104,104,26,1624,667,1183,422,146,140,35,2585,214,478,133,53,52,10,933,172,360,133,29,26,7,724,316,630,209,51,58,12,1274,341,742,302,52,73,6,1523,122,289,103,17,17,10,568,91,188,101,7,16,3,400,365,431,269,60,109,21,1257,5786,8804,3646,1271,1712,291,21504
CED505,282,246,162,30,51,12,785,40,23,17,6,4,0,97,72,49,44,7,17,3,192,56,35,36,12,13,0,157,102,73,48,9,22,0,258,143,99,59,28,43,0,371,161,170,112,22,35,4,506,185,181,82,44,45,9,546,185,211,82,53,52,0,580,245,241,97,53,48,8,690,187,244,78,39,24,8,575,399,641,197,104,72,7,1414,185,288,73,30,28,7,615,163,351,91,27,15,8,658,312,642,156,48,36,9,1205,641,1667,439,99,74,11,2938,333,1152,294,74,48,5,1908,463,1674,572,75,67,13,2856,242,431,220,34,77,9,1013,4399,8422,2869,791,776,105,17354
CED506,244,122,71,24,41,6,510,68,22,7,3,9,3,117,129,67,28,19,22,5,268,125,69,39,15,27,3,273,235,163,94,43,41,3,588,282,247,101,60,57,3,755,396,388,130,102,50,12,1078,422,520,132,101,82,12,1272,395,513,143,69,70,3,1194,441,617,161,78,46,6,1352,276,439,118,59,44,6,938,507,719,228,76,43,11,1591,171,319,78,32,14,7,612,136,230,40,17,10,7,445,327,432,144,54,31,0,981,410,537,196,49,34,0,1225,182,178,58,16,11,4,457,131,124,64,8,8,3,346,319,265,146,62,49,12,856,5196,5976,1993,891,698,109,14866
CED507,258,109,76,30,35,5,513,83,32,23,4,9,0,157,167,69,42,14,29,4,323,100,72,41,20,43,3,275,210,133,78,51,60,5,536,278,254,97,78,95,3,805,421,457,136,118,97,17,1248,536,703,224,174,124,16,1782,533,927,216,164,90,16,1942,659,1098,255,180,91,12,2287,407,760,183,90,48,10,1490,575,1096,332,120,80,8,2219,228,500,118,37,17,0,906,129,299,57,33,10,6,536,349,618,190,42,34,0,1234,383,606,194,45,25,3,1259,151,180,98,19,8,3,461,111,138,49,11,11,5,323,315,343,137,70,43,17,920,5904,8385,2565,1299,947,125,19225
CED508,258,180,102,41,64,16,654,71,26,28,5,19,0,149,88,51,52,15,34,8,246,95,65,64,27,33,0,281,140,123,103,24,43,12,446,195,154,116,73,76,8,624,275,294,169,75,74,15,894,375,416,190,114,94,11,1203,532,641,183,114,105,15,1588,627,900,249,121,100,14,2013,515,881,179,105,75,13,1768,736,1452,407,155,108,20,2874,388,758,179,47,34,9,1417,264,590,123,45,27,8,1058,501,1052,277,84,82,3,2001,606,1276,428,102,78,8,2500,251,441,173,42,18,0,918,204,363,131,20,18,6,740,322,460,216,63,95,21,1179,6447,10125,3359,1251,1179,189,22550
CED509,234,164,159,43,61,9,670,55,30,29,14,22,7,156,116,60,64,13,25,9,293,104,62,60,4,32,0,271,159,96,79,24,51,9,421,232,202,158,64,83,12,751,356,392,185,103,115,14,1167,496,633,261,170,152,25,1738,647,1028,272,158,150,22,2272,787,1360,338,184,124,27,2816,615,1246,301,146,117,14,2436,959,1902,523,198,158,36,3769,457,1009,231,92,62,11,1856,326,699,178,64,39,10,1320,573,1207,397,111,70,7,2373,684,1225,443,99,90,13,2551,266,399,182,30,24,0,904,173,323,120,15,15,0,651,417,543,250,98,92,15,1410,7646,12583,4228,1630,1491,245,27821
CED510,335,192,203,37,63,10,845,91,47,64,0,14,0,222,139,69,103,15,17,6,343,96,68,78,10,20,0,278,154,124,108,29,48,6,459,223,165,149,53,53,6,649,278,297,194,43,91,10,916,309,382,237,49,90,10,1073,354,496,218,86,73,3,1238,488,669,271,99,100,13,1633,400,755,198,74,59,9,1491,683,1400,501,122,110,14,2838,274,772,204,57,36,3,1351,239,690,185,46,31,9,1205,448,1401,383,79,74,5,2385,638,1839,675,68,62,7,3292,268,679,290,37,32,0,1303,204,494,238,27,21,3,989,344,516,328,53,87,10,1338,5962,11037,4630,993,1080,121,23832
