CED_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
CED501,15,53,191,377,721,1349,1385,1003,307,5388,1675,854,945,907,797,585,416,254,50,6478,21,21,49,78,208,469,643,535,161,2192,0,0,0,9,9,34,81,146,104,377,23,60,146,348,796,1190,1202,728,172,4665,28,20,55,104,347,842,1113,955,277,3750,23,17,34,37,75,124,165,186,86,754,33,11,32,54,136,349,470,432,140,1652,591,949,1291,1209,1096,890,503,231,47,6819,5,3,13,26,60,154,234,233,80,801,1134,554,624,692,910,998,739,425,156,6226,15766,8244,8373,8192,6692,4485,2087,766,166,54772,1682,1288,1833,1731,1382,931,461,282,144,9736,20537,11675,12933,12883,11702,9784,6453,3570,1033,90571,23,95,281,658,1406,2127,2425,1712,625,9351,1201,1021,1505,1473,1218,1049,812,400,119,8807,24,22,69,193,397,578,662,395,143,2489,0,0,0,0,5,28,58,198,163,464,43,68,172,306,596,914,985,586,203,3875,28,27,40,86,208,420,638,640,310,2401
CED502,15,34,142,335,596,988,1289,822,252,4480,1357,829,901,923,669,528,425,198,53,5878,17,27,48,75,162,352,598,402,124,1818,4,0,0,0,10,26,74,152,98,364,31,55,159,516,900,1243,1413,719,177,5209,32,19,55,148,375,781,1165,802,270,3641,35,11,32,56,65,107,192,186,70,748,27,16,22,58,143,299,466,339,102,1473,441,834,1083,1107,944,732,445,183,46,5816,3,7,13,27,69,118,227,213,65,734,1044,533,561,838,966,940,727,367,128,6106,16734,8261,9392,10461,6600,4059,2203,779,148,58646,1677,952,1200,1246,1084,776,435,229,139,7740,21025,11178,13049,14844,11100,8697,6621,3248,940,90718,16,66,251,519,1146,1874,2318,1558,597,8352,987,933,1286,1326,1134,1035,882,409,105,8101,22,25,69,165,277,457,604,376,108,2102,0,4,4,8,3,21,56,169,172,435,29,74,164,466,796,1153,1220,614,216,4739,17,17,44,107,205,471,707,594,301,2475
CED503,14,38,100,266,586,1254,2078,1579,461,6376,1150,655,672,690,666,579,608,359,95,5478,15,21,40,90,176,530,1027,889,246,3025,0,0,0,3,9,23,90,202,148,477,27,62,87,212,558,1023,1539,1028,255,4794,25,20,41,83,296,803,1679,1395,460,4800,10,7,10,31,52,110,218,281,129,847,21,11,18,43,100,292,618,572,179,1855,408,704,850,899,896,872,711,358,88,5783,7,4,7,33,63,137,305,338,123,1021,847,443,380,528,723,971,1000,585,187,5676,11929,6151,5602,5859,5680,4832,3175,1344,263,44835,1280,816,953,1171,1176,952,715,433,206,7708,15422,8628,8367,9227,9837,9973,9539,5629,1571,78193,14,69,194,458,1083,2175,3266,2453,942,10667,853,738,971,1063,990,1119,1063,610,169,7566,14,19,48,140,330,618,854,626,190,2842,0,0,0,0,3,22,94,216,237,576,29,67,102,232,417,786,1105,739,247,3722,22,19,30,52,161,414,824,839,448,2802
CED504,13,34,136,266,549,1050,1423,1038,343,4845,1008,772,830,849,690,599,509,282,90,5629,21,15,50,78,154,401,723,561,152,2153,0,0,0,3,10,24,79,254,185,560,27,44,131,371,708,1270,1644,965,227,5377,25,23,29,104,338,808,1352,1056,358,4096,24,5,20,51,72,138,236,204,84,840,20,12,40,52,118,280,475,377,129,1494,301,724,979,995,891,796,519,231,87,5529,0,4,9,26,66,172,254,252,112,892,710,491,531,692,821,1108,962,525,217,6058,13649,8379,10004,8840,6811,5175,2905,1188,239,57192,1369,922,1090,1109,955,802,500,260,100,7116,16926,11098,13385,12690,10984,10324,8118,4419,1300,89247,14,56,185,370,918,1982,2712,1963,869,9078,683,829,1074,1086,1033,1095,949,499,155,7407,15,14,45,133,290,549,690,462,171,2373,0,4,3,4,8,37,93,279,346,766,12,49,112,261,604,1075,1498,889,273,4770,16,17,38,61,175,456,762,733,393,2651
CED505,10,30,120,181,433,731,1079,1012,451,4046,804,855,788,774,749,552,439,280,105,5352,20,21,45,85,191,428,782,734,320,2630,0,0,0,0,4,26,87,252,243,616,25,51,63,162,286,454,734,634,234,2638,11,15,31,76,244,604,1114,1121,541,3758,8,19,17,34,48,69,94,160,98,540,23,18,16,19,52,121,251,275,156,923,240,793,867,850,829,599,452,251,96,4978,3,11,12,16,45,75,167,264,136,724,573,483,405,508,717,845,872,571,292,5269,13012,8200,8312,8273,7532,5478,3285,1390,325,55799,783,675,997,835,747,627,530,342,204,5735,15339,10866,11275,11353,11040,9334,7722,4842,1852,83620,23,68,144,250,632,1326,2086,1941,1182,7649,546,809,967,855,864,729,704,451,229,6150,15,25,63,144,400,623,753,648,324,2991,0,6,0,4,0,19,89,291,585,998,19,49,70,102,169,354,515,472,247,2002,15,17,28,37,74,251,531,744,665,2357
CED506,17,40,133,302,681,1366,1638,892,261,5326,1172,648,812,867,751,731,497,223,64,5764,16,25,41,72,201,566,801,505,122,2349,0,4,3,4,12,39,76,172,120,427,39,75,170,354,797,1400,1410,715,133,5100,55,36,71,139,402,993,1293,842,236,4073,23,14,39,49,107,175,235,192,70,914,33,21,18,35,145,371,539,338,91,1595,327,567,801,866,948,900,555,191,62,5220,9,5,8,27,69,154,249,210,52,779,770,376,434,582,762,954,788,352,103,5125,15639,7617,9555,9278,8156,6265,3249,1039,193,60993,3288,2099,3315,3176,2926,2413,1221,553,130,19129,21113,11261,14976,15144,14618,13697,9150,3985,968,104921,20,48,189,423,1063,1932,2169,1275,456,7572,822,763,1170,1218,1201,1157,840,348,88,7610,15,11,44,167,359,583,618,385,116,2282,0,0,0,8,15,32,90,177,204,527,33,61,144,352,704,1058,1002,499,155,4012,42,47,64,109,261,512,629,505,272,2444
CED507,14,51,116,322,630,1284,1823,1145,364,5745,1325,620,643,732,687,582,554,284,78,5509,15,17,33,85,167,487,864,599,179,2447,0,0,4,4,6,30,93,203,146,490,30,51,83,194,514,864,1282,738,192,3948,22,24,33,69,265,692,1299,1016,392,3815,17,10,19,30,66,106,174,182,78,688,25,11,26,28,100,274,485,398,106,1441,398,664,807,910,974,916,666,281,79,5705,0,0,17,9,58,144,260,213,92,791,742,431,331,505,672,923,892,475,167,5153,12139,5833,5611,6469,6267,4976,3375,1235,239,46142,1333,823,1073,1197,1265,978,718,364,150,7910,15757,8237,8385,9924,10511,10077,9124,4499,1301,77818,25,65,184,498,1205,2217,2860,1875,890,9823,814,700,852,1108,1033,1017,976,443,175,7118,11,12,48,152,354,592,809,541,168,2678,0,0,3,0,5,27,94,238,338,712,25,48,104,195,388,702,953,559,268,3236,15,20,23,51,136,344,666,650,439,2344
CED508,13,47,148,294,555,935,1206,852,287,4330,974,738,898,915,656,498,376,190,67,5321,16,15,61,102,179,432,713,455,154,2129,0,3,0,4,14,19,82,168,174,464,24,47,89,214,487,806,1056,636,185,3538,24,13,43,75,286,722,1043,807,344,3355,5,15,19,55,68,111,156,162,83,675,14,14,13,41,91,204,334,275,101,1097,274,785,1020,1026,982,727,511,204,98,5616,5,0,8,22,66,113,187,188,88,675,732,491,538,642,838,865,755,416,205,5478,12708,6801,8472,8690,6925,4953,2688,969,227,52438,1051,754,1070,1056,1006,716,458,292,136,6541,15598,9415,11888,12463,11080,9362,6971,3603,1208,81582,16,65,197,422,882,1691,2154,1551,782,7767,646,761,1125,1122,997,895,709,370,161,6790,7,11,68,169,320,546,632,383,144,2282,0,0,0,0,7,26,52,215,301,600,13,66,99,211,339,611,786,563,270,2952,24,21,19,53,122,308,574,570,411,2105
CED509,13,46,143,321,594,1042,1293,923,273,4643,1334,847,796,884,726,604,454,266,62,5972,17,19,37,94,202,384,611,546,162,2071,0,0,3,4,14,23,62,161,144,414,34,55,125,340,693,997,1140,691,175,4257,29,25,33,83,332,735,1137,919,293,3594,21,11,21,43,70,101,140,150,74,629,36,14,14,29,100,262,421,344,116,1336,388,811,1001,1049,969,747,482,210,72,5724,5,5,6,24,62,127,194,228,87,740,978,560,528,667,858,912,796,417,165,5872,14899,7774,7845,8313,6802,4860,2563,988,215,54264,1294,1008,1606,1616,1400,956,469,280,133,8769,18695,10808,11712,12749,11588,9746,7103,3821,1127,87342,25,58,208,481,1072,1758,2186,1617,670,8082,912,896,1202,1235,1195,997,775,425,134,7780,11,9,56,168,387,570,678,441,155,2479,0,0,0,0,3,9,71,222,289,598,25,40,136,272,537,740,871,588,207,3419,17,21,24,68,162,329,612,633,364,2227
CED510,9,41,83,232,517,1149,1629,899,306,4860,1056,791,588,817,780,627,517,231,51,5451,18,12,25,87,191,456,907,613,171,2481,0,0,0,4,4,25,71,165,156,428,25,46,58,140,378,780,1187,658,167,3437,30,24,30,66,287,794,1464,979,331,4004,12,15,12,33,46,94,146,149,66,578,19,8,17,25,59,152,365,283,90,1021,341,736,671,800,813,681,501,184,82,4808,0,5,8,18,38,96,226,216,93,706,763,492,356,488,719,955,1002,438,170,5390,13017,7887,5823,7558,7601,5911,3616,1069,213,52702,804,623,630,766,872,734,469,215,98,5209,15847,10383,8010,10551,11510,10774,9078,3892,1131,81170,27,59,123,336,920,1838,2673,1669,763,8411,676,712,727,1003,1034,956,910,394,155,6561,12,20,40,164,400,625,847,452,172,2745,0,0,0,0,3,25,81,211,348,676,33,56,44,120,261,578,796,483,200,2584,19,9,21,48,117,359,678,567,352,2174
