CED_CODE_2021,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
CED501,4987,51,7,0,0,0,0,446,5488,4222,488,178,45,7,3,0,435,5382,3081,1215,981,323,85,28,15,443,6161,1904,1574,1963,870,286,66,39,379,7081,1129,1231,2556,1241,414,132,87,362,7149,759,882,2242,1225,450,152,93,261,6064,751,774,2258,1235,478,162,91,269,6018,666,762,2224,1199,457,172,102,254,5842,560,604,1980,1242,530,151,92,232,5398,378,454,1658,1123,458,170,62,196,4506,297,380,1471,967,446,118,65,189,3935,168,262,1196,867,359,105,61,210,3233,110,161,801,650,275,85,48,205,2342,66,78,417,432,274,89,66,175,1608,50,91,300,306,243,106,97,266,1466,19123,9018,20237,11737,4769,1539,926,4321,71674
CED502,4718,54,4,0,0,0,0,467,5243,4389,503,181,51,5,0,0,459,5587,3437,1241,832,300,82,15,6,463,6382,2202,1799,2076,782,277,58,39,424,7652,1357,1527,2916,1202,437,159,83,418,8090,997,994,2286,1199,416,167,133,313,6503,760,835,1839,1059,419,191,130,272,5506,663,717,1800,953,462,175,129,254,5159,505,543,1666,1041,469,157,120,201,4698,429,495,1531,1055,426,172,127,202,4435,302,391,1420,936,443,132,85,201,3923,208,321,1231,850,355,120,87,200,3373,124,184,661,565,279,101,82,181,2182,85,88,394,361,229,115,73,193,1547,56,76,263,288,235,115,138,264,1437,20243,9756,19099,10637,4550,1681,1246,4525,71717
CED503,4180,31,3,0,0,0,0,381,4599,3158,377,147,40,6,0,0,293,4013,2076,875,758,272,56,14,4,250,4311,1252,948,1545,705,196,52,25,273,4997,828,807,1820,932,343,101,51,277,5158,594,619,1777,941,362,103,77,218,4694,628,632,1828,1029,408,123,82,273,5009,629,632,2042,1140,383,146,90,248,5303,588,564,2024,1202,492,150,73,259,5345,496,516,2009,1343,541,150,87,256,5399,466,421,2013,1367,514,140,85,234,5228,336,333,1933,1254,486,132,69,298,4840,187,201,1232,923,398,120,62,282,3414,118,122,590,642,392,133,88,282,2368,92,90,404,531,332,146,120,392,2108,15625,7164,20123,12313,4907,1504,915,4226,66779
CED504,4436,33,4,0,0,0,5,410,4881,4778,287,96,34,7,0,0,404,5609,4190,917,521,177,44,18,4,460,6328,2805,1654,1525,461,179,53,31,407,7109,1733,1397,2170,831,299,94,94,390,7005,1089,897,2061,857,294,108,101,274,5679,911,860,2033,979,347,140,119,275,5654,861,872,2129,990,315,126,115,228,5637,746,736,2060,1122,376,133,150,227,5560,592,654,2066,1223,461,123,99,235,5453,450,537,1870,1150,411,150,93,205,4860,317,399,1609,1089,423,125,121,238,4322,181,220,1021,748,367,123,105,187,2948,115,145,527,537,328,147,117,200,2122,84,123,448,422,283,160,187,214,1937,23286,9727,20145,10617,4137,1497,1334,4343,75084
CED505,5086,3,0,0,0,0,0,346,5442,5107,42,9,0,0,0,0,347,5501,4971,309,107,23,9,0,0,415,5831,3778,1263,805,148,26,4,8,345,6385,1789,1346,2116,670,96,14,4,283,6317,1004,962,2546,986,190,21,11,200,5922,870,875,2577,1223,227,42,18,175,5996,890,788,2468,1233,255,52,24,194,5895,882,654,2107,1046,264,44,23,156,5190,711,582,1946,1103,270,46,19,178,4853,662,533,1683,1027,305,66,27,213,4523,477,435,1676,932,299,77,25,200,4134,354,249,1197,878,300,87,40,204,3303,237,150,723,743,330,86,45,199,2518,289,183,696,784,502,189,138,388,3173,27121,8380,20657,10804,3071,714,381,3848,74980
CED506,4105,94,14,0,0,0,0,933,5151,3329,573,243,40,8,0,10,871,5073,3375,984,888,327,95,21,6,997,6689,2366,1303,1617,891,306,95,45,1180,7812,1338,986,2115,1278,489,171,112,1036,7525,921,684,1888,1177,525,164,170,850,6378,875,691,1960,1182,473,204,157,836,6386,872,718,1949,1222,525,218,190,836,6534,740,574,1838,1334,585,230,157,796,6259,551,469,1669,1364,640,197,144,648,5687,401,328,1458,1097,525,150,106,545,4610,208,234,1061,896,422,153,90,424,3494,152,150,599,559,342,123,91,339,2346,61,56,239,340,250,121,85,219,1364,42,60,191,242,221,128,140,243,1268,19338,7908,17733,11951,5406,1984,1504,10745,76576
CED507,4117,28,0,0,0,0,0,383,4525,2498,321,99,29,0,0,0,263,3212,2123,753,516,187,58,10,8,347,4000,1480,943,1324,539,144,50,19,291,4785,891,888,2052,974,253,69,40,295,5462,668,688,2073,1096,370,93,49,270,5305,652,673,2140,1156,384,108,66,265,5441,682,703,2120,1146,397,111,68,295,5526,683,512,1941,1243,445,108,58,285,5277,578,478,2053,1440,535,149,80,282,5583,441,362,1808,1348,491,138,81,288,4956,322,316,1642,1195,475,118,58,311,4451,204,141,968,820,379,136,55,235,2939,106,93,452,533,344,149,81,207,1961,86,87,333,477,408,214,152,253,2010,15532,6978,19519,12172,4686,1454,820,4275,65428
CED508,4104,16,0,0,0,0,0,297,4422,4531,179,57,9,0,0,0,389,5169,4371,689,330,82,19,3,3,373,5871,3218,1545,1325,316,84,25,11,377,6907,1713,1322,2430,786,181,51,28,297,6806,1128,1064,2353,949,228,52,35,228,6040,957,920,2319,986,232,50,38,240,5745,906,897,2260,1004,303,73,35,218,5689,832,699,2038,1021,322,59,42,196,5214,620,637,1842,1050,346,95,36,186,4806,455,463,1612,978,324,80,40,196,4142,299,384,1315,904,338,76,35,201,3548,163,167,815,646,270,64,47,162,2333,90,129,475,482,247,85,55,176,1735,96,106,445,466,293,108,109,311,1930,23480,9207,19623,9672,3182,812,513,3856,70349
CED509,4745,21,0,0,0,0,3,380,5156,3991,282,121,22,6,0,0,373,4793,3115,1048,706,225,58,11,5,372,5534,1997,1601,1865,649,171,48,35,355,6718,1188,1184,2483,966,326,77,47,306,6575,945,877,2317,1079,374,123,74,259,6046,788,809,2238,1168,394,117,89,259,5859,822,790,2197,1217,414,120,86,241,5883,610,672,1972,1160,431,132,91,224,5293,512,471,1754,1115,442,135,68,178,4668,331,397,1441,982,420,116,69,180,3947,262,275,1431,944,369,99,52,199,3640,150,163,832,710,279,90,60,184,2469,82,97,466,460,280,92,67,161,1702,73,102,343,367,249,123,91,307,1651,19611,8784,20162,11059,4212,1287,834,3977,69938
CED510,4774,13,0,0,0,0,0,252,5034,3982,96,22,5,0,0,0,198,4302,2689,399,229,53,3,3,0,192,3572,1747,1099,1167,294,49,14,3,186,4563,956,973,2367,855,155,29,11,140,5494,623,790,2737,1117,242,34,20,149,5718,638,755,2826,1195,265,58,25,144,5899,562,739,2916,1269,310,62,33,143,6032,534,690,2812,1310,394,55,27,153,5972,454,570,2605,1447,402,68,34,146,5738,367,516,2302,1337,362,82,41,150,5151,285,419,1929,1153,372,82,22,151,4404,153,216,1054,714,256,51,22,131,2603,90,112,524,484,230,78,33,133,1680,106,116,457,456,298,124,90,230,1868,17955,7506,23952,11679,3346,742,360,2495,68038
