CED_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
CED501,232,5301,383,5919,249,4858,645,5752,638,10643,1652,12933,1019,10369,1493,12883,1142,9510,1044,11702,1179,7926,681,9784,728,5346,374,6453,431,2872,273,3570,91,779,161,1033,5710,57609,6713,70029,257,4904,318,5488,315,4721,340,5382,1215,11232,792,13245,1804,10763,656,13219,2085,9228,547,11859,1990,7507,408,9901,1148,5676,345,7174,436,3167,353,3951,69,1135,264,1466,9311,58332,4028,71674,495,10205,702,11407,568,9578,989,11132,1857,21876,2444,26178,2819,21132,2146,26097,3228,18735,1591,23560,3169,15435,1090,19691,1873,11027,721,13616,859,6032,626,7519,153,1917,423,2499,15024,115940,10739,141699
CED502,228,4830,349,5412,242,5115,412,5773,800,11186,1067,13049,1295,12512,1041,14844,1148,9116,844,11100,925,7195,579,8697,745,5543,335,6621,355,2670,225,3248,81,711,155,940,5813,58871,5004,69692,261,4655,333,5243,364,4868,357,5587,1305,11846,884,14034,1991,11814,798,14600,1875,8227,563,10672,1748,6970,411,9131,1150,5774,365,7289,386,3026,315,3728,69,1106,259,1437,9149,58287,4282,71717,484,9490,679,10650,603,9984,771,11357,2109,23029,1944,27081,3282,24320,1840,29443,3017,17344,1409,21774,2678,14169,987,17836,1896,11312,699,13916,740,5697,538,6976,151,1821,407,2379,14965,117162,9288,141417
CED503,204,4143,287,4627,184,3522,295,3996,439,7164,765,8367,768,7496,963,9227,977,7939,915,9837,1263,8010,699,9973,1043,7916,582,9539,601,4609,416,5629,166,1196,209,1571,5644,52000,5125,62773,209,4109,278,4599,272,3491,249,4013,909,7863,536,9309,1434,7864,555,9854,1930,7849,535,10309,2293,7969,486,10745,1597,7990,475,10067,644,4647,488,5780,132,1611,365,2108,9422,53385,3971,66779,417,8245,563,9221,454,7007,544,8011,1350,15028,1296,17675,2206,15358,1515,19084,2910,15789,1446,20147,3553,15982,1190,20723,2643,15906,1057,19607,1248,9254,905,11411,298,2806,570,3679,15070,105386,9089,129549
CED504,226,4608,276,5106,279,5283,433,5990,711,11702,972,13385,1026,10752,917,12690,1356,8924,704,10984,1406,8388,530,10324,900,6846,379,8118,491,3642,288,4419,150,1014,139,1300,6533,61156,4629,72324,271,4326,283,4881,375,4927,312,5609,1106,11508,823,13440,1630,10326,728,12680,2135,8638,514,11288,2313,8257,445,11010,1490,7278,411,9184,576,4123,369,5066,103,1607,219,1937,9988,61001,4102,75084,494,8936,557,9985,651,10207,746,11595,1816,23216,1789,26823,2653,21078,1641,25369,3491,17566,1217,22277,3716,16647,975,21335,2384,14122,795,17297,1065,7766,655,9489,252,2623,362,3231,16521,122158,8733,147408
CED505,210,5289,169,5673,256,4726,214,5193,456,9970,848,11275,757,9929,664,11353,1286,9274,481,11040,1575,7359,404,9334,1021,6313,386,7722,507,3985,348,4842,199,1426,229,1852,6262,58269,3754,68286,231,5009,206,5442,322,4919,260,5501,738,10822,654,12214,1315,10433,481,12230,2334,9181,377,11890,2734,6972,337,10041,1711,6531,417,8655,789,4603,429,5817,196,2555,423,3173,10375,61028,3573,74980,444,10294,379,11116,580,9645,478,10697,1192,20794,1504,23487,2071,20370,1147,23589,3624,18452,863,22932,4312,14328,739,19378,2730,12840,805,16374,1291,8595,774,10662,390,3982,649,5030,16634,119292,7326,143257
CED506,281,4564,870,5721,257,4237,1052,5547,682,11189,3108,14976,1025,11164,2951,15144,1153,10810,2657,14618,1203,10352,2143,13697,815,7243,1096,9150,373,3072,545,3985,89,716,157,968,5886,63346,14586,83807,262,4148,740,5151,311,3979,781,5073,1096,11286,2115,14497,1626,10395,1887,13907,1834,9458,1616,12916,1873,8731,1343,11950,1142,6102,850,8100,371,2835,508,3715,61,969,239,1268,8581,57902,10094,76576,546,8709,1614,10871,569,8219,1836,10620,1782,22471,5225,29474,2651,21563,4836,29047,2991,20269,4276,27532,3077,19086,3479,25648,1955,13344,1948,17253,746,5901,1055,7701,149,1686,399,2233,14465,121244,24671,160379
CED507,184,4235,314,4735,136,3096,271,3503,413,7042,929,8385,783,8136,1005,9924,1086,8448,984,10511,1318,8016,744,10077,958,7569,598,9124,488,3676,331,4499,125,1004,175,1301,5491,51226,5351,62069,238,3997,290,4525,164,2833,221,3212,739,7467,584,8785,1510,8672,580,10762,1989,8406,567,10969,2391,7941,532,10861,1483,7370,554,9404,577,3899,414,4893,106,1627,271,2010,9194,52222,4018,65428,416,8235,603,9255,307,5928,492,6720,1145,14510,1509,17173,2296,16809,1587,20693,3071,16855,1550,21483,3710,15960,1274,20938,2443,14934,1151,18530,1064,7579,750,9389,227,2633,449,3312,14684,103447,9360,127496
CED508,184,4094,207,4485,235,4417,281,4935,567,10471,853,11888,893,10715,859,12463,1241,9145,692,11080,1366,7499,494,9362,855,5762,353,6971,432,2881,288,3603,123,908,175,1208,5892,55885,4201,65985,213,4025,186,4422,314,4585,271,5169,885,11230,664,12774,1603,10696,539,12844,2225,8763,445,11433,2347,7302,369,10021,1324,5988,378,7688,430,3286,355,4071,91,1505,328,1930,9433,57391,3524,70349,394,8119,391,8904,546,9006,550,10100,1453,21694,1512,24662,2496,21414,1395,25311,3470,17906,1140,22514,3714,14798,867,19380,2179,11750,731,14658,857,6167,638,7668,216,2418,505,3136,15327,113275,7733,136332
CED509,234,5121,272,5632,236,4498,453,5180,631,9621,1461,11712,984,10350,1412,12749,1290,9217,1082,11588,1248,7780,712,9746,847,5918,342,7103,457,3091,266,3821,114,849,164,1127,6046,56437,6166,68650,271,4643,232,5156,309,4228,258,4793,1104,10448,705,12260,1693,10304,626,12627,2174,9057,509,11737,2244,7333,385,9961,1317,5914,352,7583,521,3336,312,4168,70,1311,271,1651,9704,56571,3659,69938,510,9767,505,10784,540,8723,710,9971,1735,20066,2171,23971,2680,20653,2039,25366,3467,18273,1584,23326,3495,15113,1098,19710,2165,11829,697,14690,977,6432,580,7991,184,2157,434,2780,15751,113007,9826,138584
CED510,194,5145,146,5484,204,4498,191,4894,364,7191,453,8010,740,9269,542,10551,1213,9727,567,11510,1507,8817,442,10774,1186,7588,303,9078,409,3292,198,3892,128,910,93,1131,5946,56434,2940,65320,192,4698,146,5034,239,3939,122,4302,525,7266,341,8136,1285,9619,311,11210,2124,9504,305,11932,2588,8826,296,11711,1643,7617,295,9564,474,3575,245,4287,93,1592,181,1868,9156,56640,2246,68038,383,9847,294,10523,442,8434,321,9197,892,14460,796,16143,2018,18889,853,21760,3337,19228,872,23435,4098,17643,743,22482,2827,15210,602,18638,874,6864,439,8175,221,2499,279,2995,15103,113074,5180,133353
