CED_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
CED501,40,315,1956,18420,33099,3276,487,751,58338,4,269,1103,1114,68,0,3,73,2625,3,64,282,277,35,5,0,11,675,8,330,1387,1387,95,5,3,80,3299,4,167,830,286,24,0,0,49,1357,0,46,283,54,0,0,0,6,394,0,52,169,61,0,0,0,3,288,0,0,15,14,0,0,0,0,27,0,12,9,12,12,4,0,0,51,3,280,1303,415,42,5,0,62,2111,23,129,103,7,7,0,0,9,274,0,7,6,10,25,4,0,10,69,73,1062,4755,20241,33271,3288,487,920,64091
CED502,44,236,1738,23572,26271,2768,493,745,55864,11,466,1489,3237,186,17,7,119,5533,0,51,245,194,12,0,0,9,511,11,513,1735,3434,201,21,7,128,6048,3,88,226,184,5,0,4,18,524,0,57,200,50,0,0,0,4,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,31,13,6,3,5,0,74,4,162,448,242,15,10,8,24,912,28,124,27,27,25,3,4,15,240,0,8,17,10,13,0,0,6,59,93,1037,3966,27282,26519,2803,513,913,63120
CED503,70,514,3105,15844,27821,3408,707,663,52137,7,444,1664,1615,82,6,8,124,3954,3,46,313,639,66,7,0,8,1088,8,491,1976,2257,149,18,8,138,5046,0,103,234,108,0,0,0,18,469,0,5,56,119,12,4,0,0,189,0,7,66,115,0,0,0,8,197,0,0,48,103,0,0,0,0,155,0,22,35,11,6,0,4,4,74,0,132,435,458,20,3,4,27,1092,47,255,262,93,17,4,3,57,740,0,6,25,18,19,0,0,11,86,129,1402,5806,18675,28031,3442,727,889,59100
CED504,23,204,1457,24031,22175,3266,528,664,52352,7,922,2905,7398,424,39,14,230,11952,0,144,429,828,114,8,0,27,1545,15,1065,3331,8228,538,47,21,257,13496,0,176,366,112,4,0,0,15,668,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,19,22,6,6,0,0,0,65,0,194,401,119,11,0,0,14,745,0,0,0,0,0,0,0,0,9,0,3,9,21,5,0,0,5,48,42,1473,5197,32399,22729,3314,550,943,66651
CED505,25,205,2892,14850,15363,4385,761,266,38745,11,477,2822,4312,410,40,10,105,8183,12,413,1770,3739,779,57,6,54,6830,21,890,4588,8053,1191,95,20,161,15017,27,889,2654,405,21,0,8,60,4059,102,1264,2050,411,24,3,4,52,3911,33,1176,1796,518,14,0,0,36,3580,0,84,587,206,15,0,0,10,907,0,12,5,9,6,0,0,0,32,165,3422,7094,1540,71,9,12,162,12482,0,9,4,4,7,0,0,0,18,0,11,16,14,4,0,0,8,56,209,4530,14597,24460,16635,4489,791,594,66316
CED506,171,1177,5172,23749,19999,2639,652,1026,54581,34,617,1996,1389,202,18,11,135,4394,14,112,335,439,188,31,3,26,1145,45,729,2331,1821,386,48,9,160,5534,15,323,491,205,19,0,10,46,1112,0,55,102,23,0,0,0,3,185,0,37,57,25,0,0,0,3,114,0,61,65,5,0,0,0,0,132,0,10,9,3,0,0,0,0,24,18,482,724,269,19,0,9,53,1581,264,680,238,203,157,39,22,186,1789,45,164,131,122,80,22,37,95,690,540,3222,8599,26174,20648,2750,733,1521,64174
CED507,83,563,3183,18815,24950,2673,495,651,51414,13,506,1740,1719,204,16,11,141,4343,0,61,162,402,101,16,0,15,757,13,567,1899,2122,305,31,8,157,5103,4,137,245,114,12,0,0,16,527,0,10,64,26,0,0,0,0,104,0,4,26,6,0,0,0,0,30,0,0,10,20,0,0,0,0,32,3,16,9,9,11,0,0,0,39,8,164,352,169,22,4,0,18,736,64,288,234,65,38,3,0,52,750,8,15,29,22,27,6,5,23,142,167,1597,5701,21190,25343,2715,518,905,58142
CED508,48,376,2563,18197,22786,2579,413,430,47399,15,579,2670,3278,414,36,3,123,7111,14,279,895,1354,220,19,3,42,2825,25,856,3566,4629,628,57,12,165,9941,8,320,726,141,12,3,3,22,1237,9,389,953,286,8,0,0,19,1661,45,661,1229,313,29,0,0,27,2305,0,91,257,32,0,0,0,3,380,10,31,31,22,17,8,3,0,124,62,1487,3200,794,65,10,9,75,5711,24,119,179,46,10,5,0,8,384,0,12,20,20,10,0,0,17,83,162,2851,9523,23686,23505,2655,444,691,63514
CED509,67,342,2549,18709,27746,3876,812,559,54671,3,391,1235,1870,184,4,3,90,3790,0,61,360,305,46,4,3,10,780,3,448,1591,2182,236,9,8,100,4573,0,71,199,49,12,0,0,11,345,0,62,265,19,0,0,0,3,357,0,24,64,8,0,0,0,0,100,0,14,33,3,0,0,0,0,53,0,26,27,13,13,4,3,6,87,3,195,591,97,21,4,3,24,942,34,101,85,18,7,6,5,13,268,3,11,14,26,11,5,6,14,80,111,1100,4832,21031,28018,3913,831,713,60539
CED510,24,138,762,14051,30164,5155,705,334,51333,0,184,1087,2356,259,21,7,74,3975,9,96,311,729,269,52,12,25,1497,10,279,1392,3084,528,70,14,100,5475,26,89,173,132,5,0,0,41,469,0,88,328,126,5,0,0,19,568,4,107,337,136,0,0,0,5,581,0,0,0,0,0,0,0,0,0,0,21,27,8,11,8,9,0,82,36,302,863,400,26,8,7,71,1701,12,50,62,18,8,0,0,14,173,0,8,4,10,0,0,0,7,29,82,771,3084,17564,30727,5232,728,518,58715
