CED_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
CED501,7728,12169,16148,11994,9903,7150,8509,9317,1491,84405
CED502,6781,13461,14211,10828,10612,6871,9383,9940,1637,83729
CED503,7309,9623,13386,8786,7900,5976,7733,7145,1274,69139
CED504,8218,15856,13728,11284,11161,7558,6946,10059,1648,86454
CED505,15132,35606,6848,9009,9415,6109,2157,4505,1308,90102
CED506,12241,13395,16918,10102,9889,5805,10517,10616,1934,91415
CED507,8597,11932,13409,8687,7724,6334,6659,9716,1200,74255
CED508,11075,23338,13271,10109,10800,6429,4943,6825,1394,88177
CED509,9976,15518,14406,10926,11636,7183,7697,7680,1539,86562
CED510,12178,22396,12535,9666,11798,7002,3450,5591,1218,85832
CED511,14265,10588,13048,8156,7917,5465,9316,10438,1438,80632
CED512,9728,15421,15774,11958,12226,8173,6737,8880,1531,90414
CED513,13928,33808,11423,11290,12336,6845,4329,7039,1454,102446
CED514,11305,25676,13447,11851,12381,7392,7496,8640,1798,99983
CED515,12113,27927,10484,9448,11761,7305,4271,6192,1304,90803
CED594,107,257,272,223,150,77,213,292,33,1614
CED597,9,33,83,9,10,0,31,98,6,277
