CED_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
CED501,2365,9273,7756,39631,450,59467,44,363,244,4209,67,4926,1881,81,132,191,11,2293,488,140,83,460,11,1186,1873,571,394,1123,23,3978,33624,8444,7193,31036,575,80873,4551,67,317,72,9,5016,563,73,75,172,3,873,1949,513,414,2504,31,5416,187,64,59,225,5,539,163,41,14,73,0,289,3040,146,67,112,9,3372,5884,1153,945,6789,111,14880,1540,832,367,2959,44,5742,312,6,24,12,0,359,71,28,21,32,6,162,92,17,14,49,0,173,147,63,32,130,3,373,4029,476,343,126,38,5014,1674,558,369,154,8,2764,575,114,95,270,3,1053,264,23,45,55,0,391,468,48,19,13,3,555,7683,1702,1313,6766,92,17556,582,65,10,63,4,724,2215,236,160,50,10,2676,628,80,34,167,6,914,170,17,11,19,0,212,355,16,47,11,0,430,1283,205,140,380,9,2024,13649,1517,1458,1720,140,18481,902,111,115,669,10530,12325,73184,15402,12649,68484,11832,181547
CED502,3561,7391,5839,29109,471,46365,67,345,228,4595,142,5373,10144,172,358,216,58,10948,275,81,70,247,4,684,2064,602,394,1111,23,4201,21813,6591,5297,23024,579,57305,6226,44,283,54,25,6624,547,41,45,177,8,822,1494,382,304,1709,35,3923,144,66,42,161,3,417,221,27,11,60,0,324,11363,206,136,146,26,11878,3844,935,709,5022,62,10577,1844,740,378,2416,35,5415,838,11,27,5,0,875,281,49,32,48,0,411,47,10,14,47,0,121,137,52,17,98,5,307,2109,261,187,64,42,2664,1048,413,208,125,19,1820,615,117,55,268,7,1066,208,16,25,65,0,320,330,29,0,10,0,379,4374,1288,951,5070,83,11767,209,25,21,34,0,296,1533,181,127,62,3,1915,616,40,37,121,0,811,946,24,15,15,6,1003,710,27,43,7,0,793,616,139,109,252,3,1121,35342,1723,1479,1692,220,40456,1502,100,100,477,8917,11096,96774,12749,10023,52386,10402,182330
CED503,1702,8069,6647,41292,560,58259,43,282,207,3608,71,4205,1101,48,96,137,14,1394,263,127,51,335,8,783,2275,624,463,1160,22,4540,26676,7510,6408,34277,699,75572,1778,36,217,50,12,2094,523,66,55,191,5,846,1641,414,373,2576,32,5035,149,64,28,191,0,435,159,33,14,61,4,275,1615,97,69,108,0,1891,4772,1062,810,7603,107,14356,1842,740,425,3077,45,6121,116,11,24,3,0,150,41,12,3,25,0,82,35,12,4,38,3,89,128,51,19,94,0,291,1696,301,172,110,14,2297,1190,469,298,188,12,2156,535,92,84,325,0,1043,190,31,28,73,4,328,163,39,4,0,4,211,5619,1380,1203,7447,109,15761,110,24,12,42,0,186,1505,165,138,43,11,1866,331,41,25,149,3,552,118,23,13,26,0,172,223,0,33,6,0,258,1022,176,138,335,9,1677,8025,1141,1013,1465,72,11720,533,92,73,694,8495,9889,51974,13439,10907,73700,9921,159946
CED504,3735,6460,4932,24993,348,40461,104,281,121,3189,54,3749,9345,176,324,200,39,10089,1256,237,127,661,21,2301,1152,333,215,609,7,2320,16760,5537,4027,20584,464,47380,2941,36,242,30,18,3270,722,61,50,139,10,985,1566,325,285,1542,31,3744,1331,335,147,726,14,2558,338,52,19,77,0,492,6179,191,137,167,17,6688,4734,1102,661,5561,77,12137,7627,1926,857,5212,93,15714,371,6,23,6,0,413,240,40,17,22,0,323,3116,361,230,572,30,4300,224,61,34,113,0,436,1287,249,140,78,14,1767,805,317,190,101,9,1420,1327,124,134,355,12,1961,419,23,55,50,0,546,129,27,10,0,3,172,3779,1134,818,4934,62,10734,1415,93,42,83,15,1643,1141,135,73,30,5,1382,689,61,47,175,8,982,405,46,27,26,0,509,8635,110,203,102,32,9085,510,113,60,267,0,947,33328,1704,1591,1594,311,38529,2143,96,75,351,7826,10487,99826,12765,9197,49184,9199,180177
CED505,1628,8663,7284,33686,282,51537,27,97,65,1057,12,1254,9967,321,607,381,48,11325,698,265,181,915,12,2070,1898,535,339,863,10,3650,22060,7891,5984,31324,379,67637,762,13,172,34,6,984,1296,153,140,316,5,1908,2605,547,432,2503,25,6110,800,326,161,940,6,2228,371,69,54,87,3,573,3690,209,204,177,13,4291,6708,1762,1270,10970,100,20816,3789,1293,634,3803,45,9565,420,19,34,19,4,494,138,15,27,67,0,242,289,92,70,237,3,684,95,50,17,103,0,279,395,61,55,21,0,534,821,349,244,111,3,1531,1235,223,192,421,7,2077,550,53,74,84,8,769,47,13,8,0,0,67,5793,1890,1350,9266,78,18374,369,41,37,48,5,501,1920,217,250,43,7,2442,702,39,63,171,4,979,451,63,44,55,3,619,737,22,75,37,5,874,952,191,138,499,3,1787,16604,1791,2090,1904,102,22493,542,73,33,348,6721,7719,69929,15604,12543,67314,7650,173040
CED506,1400,6803,6279,51617,767,66864,62,880,401,26445,577,28362,1372,82,115,375,18,1972,321,139,72,427,8,973,1433,497,318,960,27,3236,16223,6110,5421,39461,877,68101,2776,43,292,96,17,3228,601,65,64,232,3,955,1700,445,446,3484,55,6134,172,84,50,230,4,534,136,42,20,56,7,265,1384,85,43,110,5,1626,3416,1134,889,10337,158,15927,1419,641,358,3056,67,5534,106,3,16,0,0,124,48,7,5,30,0,86,115,39,20,85,4,255,116,67,22,105,0,314,1900,244,207,138,36,2522,1133,443,320,162,19,2071,494,114,107,349,5,1069,151,27,33,92,0,300,200,14,16,13,5,244,4096,1359,1138,9141,118,15847,128,25,16,18,0,187,1006,131,112,62,6,1317,429,33,26,143,4,630,116,11,23,21,0,171,483,17,31,14,0,553,557,134,98,393,3,1190,8350,1200,1275,3302,179,14306,539,88,80,1021,26289,28012,41137,12106,10396,109168,28635,201445
CED507,1311,7392,6065,45537,529,60827,30,275,135,3683,64,4183,1137,55,89,134,11,1422,170,86,69,315,9,643,1682,490,345,995,23,3530,18703,7392,5887,40381,668,73035,1816,24,189,50,14,2082,572,81,86,269,5,1001,1742,444,370,2861,42,5456,167,90,30,341,3,632,102,38,11,74,0,228,925,66,46,107,0,1142,3643,1229,940,9592,97,15513,2304,986,420,4853,63,8629,231,0,35,3,0,280,81,20,10,16,0,119,35,19,16,78,0,152,74,42,28,79,0,223,1192,237,161,70,17,1680,925,511,274,168,24,1898,588,163,139,376,8,1276,218,22,37,77,0,353,58,10,6,0,0,72,4120,1454,1191,9073,104,15942,79,10,11,28,0,134,1342,155,127,53,5,1680,315,43,41,227,3,627,83,18,14,13,0,130,229,12,22,9,3,273,642,167,94,430,8,1349,6065,992,999,1570,90,9722,342,94,86,730,9005,10256,39687,13115,10308,84501,10389,157999
CED508,2109,8025,6595,31247,333,48309,28,199,138,2455,51,2872,6318,163,306,232,33,7051,2381,565,249,1280,38,4514,1511,440,349,864,12,3177,21400,7165,5860,26938,423,61794,3294,21,202,45,9,3575,1004,144,139,217,10,1510,2202,498,429,2124,32,5280,245,121,71,297,13,746,210,45,40,79,8,377,3460,188,115,124,9,3900,5459,1416,1180,8173,75,16294,6266,1907,947,5592,104,14814,561,4,24,7,0,602,159,28,19,38,0,240,103,27,15,87,4,232,193,60,31,129,5,417,1181,201,75,60,8,1539,994,393,244,143,6,1788,896,166,145,321,11,1535,410,31,55,65,3,555,154,23,13,0,0,186,5791,1676,1281,7302,70,16116,1073,63,50,63,5,1257,1693,210,190,82,5,2179,865,72,65,197,4,1208,292,43,20,17,0,373,441,24,49,11,3,530,914,191,132,387,3,1621,15871,1881,1915,2183,152,22001,715,82,49,404,7160,8414,70772,14949,11780,60998,8278,166782
CED509,2562,8478,7000,36412,447,54902,48,326,236,4180,78,4861,2370,87,196,200,21,2876,826,235,128,752,13,1959,1901,501,335,957,18,3706,24919,7709,6151,29209,576,68563,4176,65,251,56,21,4568,673,93,87,216,7,1073,2006,516,402,2306,41,5276,268,142,69,335,8,818,264,50,40,108,3,465,5966,233,123,164,23,6506,5105,1321,880,6883,87,14280,3129,1235,646,4089,51,9152,148,0,26,4,6,189,86,38,10,48,0,181,228,77,44,139,0,486,179,71,52,138,7,451,2034,217,180,67,12,2507,1280,519,314,173,14,2304,945,203,154,458,5,1761,282,32,45,76,4,443,193,28,13,5,0,249,5610,1553,1233,6995,87,15478,340,54,22,51,5,471,1572,159,158,57,8,1958,585,50,39,146,0,825,298,49,15,32,5,403,1138,36,45,43,3,1261,911,186,145,360,5,1612,18806,1684,1481,1933,177,24088,914,84,90,534,9232,10864,71816,14837,11608,65871,10606,174739
CED510,1911,8484,7092,31975,234,49691,35,124,84,1049,9,1299,3429,129,223,235,18,4033,570,224,105,594,3,1493,2248,489,298,797,6,3847,36753,7336,5963,25517,363,75930,743,36,139,42,6,970,893,113,85,222,7,1314,2784,477,420,1988,22,5688,608,202,104,458,0,1369,287,54,35,47,5,427,2374,174,128,115,10,2795,9546,1492,1079,7584,70,19775,3137,1098,569,3319,36,8163,193,8,21,0,0,225,101,18,14,46,0,177,437,109,56,273,3,872,178,54,48,116,0,399,732,138,87,40,8,1001,1179,488,274,94,0,2031,1363,181,170,326,6,2046,372,19,54,53,4,513,59,11,6,0,0,79,8774,1566,1111,6550,67,18067,297,40,17,44,0,390,3569,235,199,32,3,4040,562,58,58,126,5,815,190,30,34,27,0,281,465,27,56,12,5,569,1677,185,133,368,6,2374,11184,1410,1570,1531,90,15788,602,85,66,410,4508,5680,75739,14196,11445,57424,5300,164113
