CED_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED501,61,52,127,191,266,435,755,791,409,3096,7,13,59,113,127,85,90,63,24,586,523,768,1844,1720,1410,1111,872,821,476,9543,5446,11117,26164,26083,23544,19684,13614,7511,2496,135664
CED502,68,83,296,499,494,653,966,800,430,4291,12,41,308,364,379,351,243,165,84,1951,544,645,1678,1670,1347,1018,863,724,490,8976,4941,11316,27043,29399,21756,17807,13900,6971,2372,135510
CED503,59,36,76,149,220,384,908,1297,699,3832,8,11,32,48,62,60,78,58,30,383,419,488,1148,1287,1367,1190,1183,1199,757,9015,4388,8007,17663,19073,20141,20711,19600,11401,3674,124662
CED504,33,51,371,570,705,930,1538,1722,891,6814,21,33,299,510,575,592,458,348,243,3071,401,637,1545,1473,1152,1026,923,836,445,8428,4427,11550,26786,25339,22228,21312,17288,9470,3216,141618
CED505,13,15,38,65,83,130,262,493,517,1612,0,8,37,41,46,72,61,53,50,365,295,415,1420,1088,821,760,963,901,763,7416,4500,10688,23481,23585,22930,19370,16363,10652,5023,136595
CED506,151,96,273,321,509,758,1173,1194,496,4955,24,30,90,105,153,143,152,159,87,947,1343,1690,4915,4547,4185,3569,2136,1206,466,24063,5908,10611,29449,29021,27519,25630,17246,7701,2233,155316
CED507,35,45,123,135,183,315,787,1096,700,3424,7,14,75,40,54,71,54,53,50,409,429,409,1269,1341,1468,1315,1278,922,584,9021,3973,6719,17169,20680,21474,20937,18525,9386,3311,122177
CED508,20,31,66,108,229,406,934,1292,687,3775,8,16,45,65,82,123,146,176,149,817,304,499,1387,1287,1099,900,895,822,675,7870,3891,10092,24644,25300,22502,19367,14641,7660,3136,131231
CED509,46,42,153,234,296,379,715,842,480,3182,7,23,95,183,188,157,138,95,69,938,357,436,1373,1352,1246,1015,822,733,573,7903,4736,9960,23951,25353,23319,19695,14677,7980,2777,132448
CED510,22,15,44,63,85,160,442,555,404,1789,8,3,29,24,38,52,51,67,36,312,195,267,702,744,817,742,706,634,498,5314,4291,9194,16137,21759,23428,22470,18625,8165,3000,127074
CED511,66,65,181,230,351,597,1170,1441,797,4898,15,20,74,118,126,115,110,86,61,722,868,999,2396,2417,2606,2600,2147,1504,691,16230,4833,8457,20476,21224,23417,25428,20654,10627,3603,138720
CED512,49,34,122,205,245,355,536,618,296,2462,6,17,77,136,198,188,131,80,40,879,408,481,1238,1240,1183,896,610,598,407,7053,5356,11185,24844,26649,24636,17900,11807,6317,2107,130799
CED513,23,32,123,172,252,407,728,1214,1017,3957,7,24,108,97,138,164,152,196,215,1106,281,839,2626,1787,1325,1112,988,840,533,10342,3261,12282,37296,29975,22686,19603,14762,8261,4279,152398
CED514,43,40,205,250,331,442,736,979,655,3684,12,23,181,209,217,230,172,135,80,1278,394,959,2513,1764,1358,1253,1041,1059,1100,11447,4545,15181,35833,28608,22160,19813,15665,8391,4062,154260
CED515,34,36,65,147,196,350,702,862,679,3079,0,16,57,115,119,137,189,137,141,914,283,328,856,924,852,800,740,741,685,6215,5041,11597,19542,25482,24868,22296,19068,10360,4736,142988
CED594,7,3,9,14,14,15,36,20,3,117,0,3,5,6,3,6,5,0,0,30,105,231,662,813,740,495,244,66,19,3375,215,558,1509,1543,1313,1144,758,156,30,7225
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,46,77,50,21,3,0,0,226,6,31,116,170,109,62,18,0,0,515
