CED_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
CED501,6,15,24,158,101,108,157,103,29,709,0,0,0,7,0,8,6,3,0,28,0,6,11,60,27,17,8,0,0,132,18,156,218,1779,207,172,132,81,25,2790,6,38,51,255,102,33,23,3,7,527,0,6,10,68,10,18,6,0,0,120,0,0,5,27,9,10,3,0,0,54,4,73,85,360,128,90,94,66,25,917,0,14,12,57,27,72,100,73,34,381,3,5,12,65,40,19,7,0,0,152,6,11,8,139,32,22,4,5,0,225,0,0,6,9,9,13,5,0,0,41,6,28,59,229,117,82,64,26,8,611,0,0,0,7,0,11,25,10,0,58,0,0,29,90,28,26,23,9,0,202,0,0,8,37,29,27,26,18,7,155,0,6,13,86,16,0,0,0,0,123,0,12,20,55,66,72,196,114,52,597,78,772,1022,3162,1492,1264,633,198,20,8646,0,0,0,17,3,12,10,4,0,45
CED502,0,4,9,104,50,86,143,121,28,548,0,0,0,0,8,0,6,9,3,29,0,14,32,214,40,42,23,8,0,366,66,759,928,6551,1030,583,495,218,58,10690,15,129,214,930,393,164,116,37,5,2006,0,21,71,170,50,32,15,6,0,364,0,20,40,230,87,63,20,5,3,468,0,66,26,192,59,70,92,83,17,615,0,0,11,62,37,91,202,133,79,612,5,14,12,83,53,13,13,0,4,190,7,46,35,394,87,42,19,3,0,638,3,6,14,51,55,38,26,8,0,205,23,208,385,1518,526,490,442,155,29,3783,0,0,4,3,6,16,17,11,3,60,0,41,85,362,83,54,42,17,3,680,0,37,171,877,353,310,242,93,43,2132,0,4,35,263,25,10,6,0,0,345,0,9,13,57,74,72,246,194,96,767,39,470,609,1847,954,907,461,116,32,5446,0,0,0,4,3,0,9,0,0,20
CED503,0,8,22,70,78,102,187,128,26,618,0,0,0,4,4,6,15,14,4,41,0,3,8,23,11,13,18,4,0,81,11,96,81,869,117,128,105,81,13,1490,6,32,34,161,75,34,33,4,3,381,0,11,4,42,15,14,7,4,0,100,0,0,3,6,4,4,0,0,0,16,0,45,52,243,92,96,115,63,23,723,0,0,4,28,31,54,182,140,61,498,0,3,7,32,26,9,10,4,0,92,0,7,9,60,4,9,0,0,0,97,0,0,0,3,0,4,3,0,0,7,0,22,29,114,85,79,76,25,10,432,0,0,0,0,0,8,23,15,0,46,0,9,14,85,28,21,18,12,3,187,0,0,0,18,9,25,20,17,10,99,0,4,6,40,4,0,0,0,0,52,5,8,14,69,74,78,304,204,63,815,32,325,455,1544,1026,1036,742,236,35,5432,0,0,0,0,0,0,0,5,0,6
CED504,0,11,26,168,68,72,158,116,18,641,0,10,21,34,28,80,161,222,128,679,4,24,35,270,77,102,85,16,7,618,35,255,585,3084,522,518,552,363,80,5995,11,35,75,314,123,85,54,19,5,709,5,55,104,470,142,115,63,21,3,981,13,94,142,564,247,154,51,7,0,1273,0,29,58,929,94,88,113,84,26,1433,3,31,46,314,163,379,939,803,437,3121,0,15,29,132,80,29,23,5,0,316,0,14,18,203,42,12,5,0,0,305,0,7,19,46,21,40,18,3,6,175,19,183,165,862,320,409,474,194,33,2670,0,0,0,0,7,11,35,24,7,94,0,9,49,201,55,117,118,79,20,655,7,78,249,1075,501,434,394,148,64,2952,0,10,38,191,14,3,10,0,0,268,4,4,21,49,26,41,110,111,49,407,24,199,402,1288,660,663,402,128,19,3797,4,18,35,346,280,395,468,225,89,1854
CED505,4,27,52,301,164,117,145,134,36,970,0,0,6,13,12,16,46,46,42,190,12,117,132,201,128,80,83,37,9,795,21,155,202,1163,364,212,179,137,63,2488,11,76,134,307,130,70,72,43,14,859,4,35,40,298,114,73,42,32,17,663,0,8,10,26,18,10,3,0,0,78,11,74,63,979,186,220,156,109,86,1897,0,40,53,326,123,94,229,233,153,1249,25,117,81,281,187,81,31,12,8,822,6,42,28,179,53,17,10,0,0,330,0,0,0,18,10,13,6,5,0,53,19,121,221,747,456,336,404,193,72,2575,0,0,0,0,6,7,11,12,0,36,0,4,20,66,24,31,19,13,8,190,0,0,11,23,31,36,24,24,14,165,0,8,38,174,3,4,0,0,0,234,7,41,62,99,108,77,136,101,53,680,19,97,177,1108,563,572,424,170,37,3161,0,0,0,32,11,11,20,7,7,93
CED506,3,3,43,213,97,115,179,86,21,757,0,4,0,7,8,7,6,9,3,48,0,4,8,59,15,8,5,0,0,104,17,91,46,726,141,85,48,38,9,1197,5,57,37,224,91,23,18,8,4,465,0,0,3,59,8,3,3,0,0,75,0,3,0,22,6,7,0,0,0,37,3,18,25,385,75,54,58,35,8,662,0,6,12,124,20,43,92,81,27,411,3,5,10,57,25,0,4,3,0,110,0,0,3,63,8,6,0,0,0,87,0,0,0,11,8,5,0,0,0,29,0,5,33,204,84,50,27,14,0,422,0,0,0,3,4,5,17,21,0,60,0,5,10,46,16,15,9,0,0,105,0,7,0,41,14,23,12,0,0,97,0,9,11,83,7,3,0,0,0,113,0,3,19,84,54,75,159,94,22,500,38,206,392,1957,1165,1341,638,157,22,5912,0,0,0,11,4,16,14,7,0,58
CED507,3,3,21,205,83,91,184,112,27,729,0,0,0,8,4,4,10,7,5,35,0,3,4,47,11,12,6,0,0,91,5,60,41,485,78,54,50,44,19,831,3,32,22,126,49,11,12,5,3,271,0,5,0,32,8,0,0,0,0,47,0,7,4,20,13,5,0,0,0,46,6,31,43,214,102,79,100,45,13,640,0,7,8,141,23,48,176,158,118,681,0,14,12,81,27,12,5,3,0,153,0,14,15,167,12,5,0,0,0,211,0,0,0,13,6,15,11,5,0,50,0,12,16,123,46,55,38,24,0,313,0,0,0,0,0,13,7,8,0,33,0,0,4,30,11,16,9,10,3,77,0,4,9,31,9,13,11,8,4,80,0,6,7,62,3,0,0,0,0,80,0,11,12,70,67,91,200,116,37,606,25,234,308,1250,810,864,576,164,40,4272,0,0,0,0,3,6,0,0,0,7
CED508,3,33,43,369,154,125,129,86,19,955,0,0,5,3,7,10,13,9,10,64,9,15,53,184,41,46,33,8,0,393,28,147,175,1408,313,192,171,81,42,2557,7,44,80,436,171,81,64,26,7,907,0,23,38,246,70,43,18,10,0,454,0,4,0,34,14,7,0,3,0,65,12,65,55,608,162,133,78,64,23,1204,6,25,33,362,146,276,652,650,454,2603,3,14,28,143,87,29,21,5,0,336,3,16,35,282,62,42,10,3,0,457,0,4,4,19,15,15,18,5,0,77,7,71,173,685,275,232,202,78,11,1737,0,0,0,5,4,8,17,7,8,44,0,6,16,107,24,39,35,7,0,234,0,0,0,43,25,30,29,12,15,163,0,8,23,130,7,3,0,0,0,179,0,10,21,101,69,69,108,85,52,520,34,203,356,1614,811,727,382,96,15,4239,0,0,0,6,0,10,12,8,0,41
CED509,0,12,26,163,118,111,208,151,27,829,0,0,0,8,5,11,11,13,5,54,0,14,11,108,26,25,9,0,7,194,41,275,363,3516,535,376,309,151,50,5625,7,26,38,203,67,32,29,9,6,419,0,21,21,102,31,22,7,0,0,204,0,20,20,172,55,42,14,10,3,330,0,59,35,391,146,129,108,79,18,972,5,12,13,67,50,134,330,233,164,1010,4,7,10,69,53,15,7,9,0,174,0,4,7,83,13,8,0,3,0,120,0,0,0,27,13,11,10,8,0,65,3,31,47,251,148,164,91,43,11,798,0,0,0,11,9,14,25,13,4,84,0,21,61,266,90,72,35,11,12,574,0,3,29,211,97,81,60,25,14,522,0,4,10,135,13,4,4,0,0,179,0,11,18,60,69,80,175,158,52,621,37,368,570,2050,1114,1139,583,164,33,6060,0,0,11,55,21,19,11,0,0,121
CED510,4,15,41,210,168,126,200,128,32,917,0,0,8,8,9,33,46,34,11,150,3,14,24,74,43,63,51,12,3,293,0,46,72,395,164,222,180,137,46,1280,4,23,40,150,65,41,54,17,0,404,0,29,31,236,79,44,44,7,0,471,0,5,8,12,19,11,5,3,0,54,11,178,164,1036,355,358,282,119,32,2540,6,17,25,137,73,113,265,148,67,857,0,23,21,87,76,31,19,13,6,271,5,11,16,74,19,14,6,4,0,157,0,0,0,10,14,13,13,9,0,53,5,38,59,241,152,199,263,78,19,1055,0,0,3,11,9,17,17,6,4,60,0,4,16,53,14,46,43,19,13,205,0,0,0,17,31,65,78,32,11,239,0,0,9,29,0,0,0,0,0,47,8,17,20,83,77,68,189,145,43,651,22,166,271,1253,819,818,543,141,26,4060,0,6,0,28,20,52,37,8,3,152
