CED_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
CED501,3,69,5411,5486,94,798,3861,4757,3146,2966,4393,10501,6134,1798,2744,10681,6057,1278,2649,9986,5399,788,2345,8532,3893,316,1543,5750,2238,96,864,3204,472,13,344,833,27440,8127,24165,59740,0,126,4984,5107,225,1243,3292,4758,4760,3456,3920,12135,7306,1913,3204,12424,6558,1330,3232,11115,5312,715,3093,9122,3705,259,2596,6561,1633,61,1860,3552,235,8,855,1103,29737,9114,27037,65881,0,196,10399,10592,323,2046,7156,9518,7907,6416,8314,22638,13436,3715,5948,23100,12618,2601,5878,21101,10713,1501,5439,17654,7600,572,4138,12316,3871,163,2725,6761,706,17,1202,1928,57176,17239,51198,125620
CED502,0,43,5039,5084,136,606,4531,5273,3884,2305,5534,11727,8567,1459,3426,13461,5930,1016,2967,9915,4799,614,2478,7893,4169,281,1687,6131,2072,74,853,2998,441,18,301,760,30006,6415,26819,63242,9,95,4817,4912,363,935,3795,5092,6109,2568,4341,13022,9060,1481,3266,13807,5790,989,3215,9989,4712,570,3276,8559,3630,210,2946,6785,1431,44,1893,3364,189,4,875,1067,31285,6901,28412,66596,11,136,9850,9999,491,1544,8329,10366,9995,4873,9881,24750,17626,2939,6695,27266,11714,2006,6178,19899,9518,1184,5749,16453,7805,486,4634,12922,3505,123,2740,6369,633,17,1174,1831,61295,13308,55229,129837
CED503,0,55,4234,4289,91,562,2810,3469,2167,1972,2919,7053,4324,1374,1976,7676,4962,1142,2116,8222,5564,922,2041,8523,5700,546,1982,8229,3624,181,1148,4955,771,34,504,1314,27212,6788,19733,53729,5,92,4160,4256,185,846,2518,3551,3384,2434,2728,8545,5344,1530,2313,9181,5616,1241,2652,9506,5962,883,2830,9677,5565,439,2872,8878,2703,139,2261,5099,391,20,1143,1552,29156,7620,23472,60248,6,139,8393,8539,278,1408,5330,7018,5555,4402,5642,15603,9670,2903,4289,16862,10583,2384,4759,17730,11526,1805,4871,18210,11268,986,4858,17106,6326,320,3404,10053,1163,54,1649,2862,56365,14408,43202,113973
CED504,3,31,4846,4879,111,437,4947,5495,3470,2312,6376,12154,6394,1512,3566,11477,5908,918,3225,10050,6118,619,2823,9564,5314,327,1948,7591,2922,107,1080,4104,699,10,415,1122,30934,6271,29226,66435,8,66,4545,4621,299,699,4219,5214,5033,2657,4795,12489,7173,1420,3313,11909,6153,877,3668,10706,5994,563,3816,10373,4764,230,3639,8629,2032,84,2531,4645,286,9,1203,1502,31747,6613,31729,70090,9,102,9389,9499,408,1133,9162,10709,8504,4972,11169,24647,13567,2939,6881,23386,12061,1800,6888,20753,12115,1186,6636,19936,10073,557,5590,16221,4952,186,3614,8750,983,19,1618,2627,62679,12890,60953,136524
CED505,3,11,4924,4943,39,323,4058,4420,2189,2694,4752,9636,6436,1555,2216,10202,7153,942,1989,10086,5788,784,1875,8442,4798,409,1630,6830,3049,169,942,4161,887,40,452,1379,30341,6926,22829,60095,0,33,4584,4617,89,553,4057,4700,3248,3103,4549,10895,7467,1461,2531,11467,7436,947,2887,11275,5613,663,2974,9256,4428,332,2946,7712,2380,87,2596,5061,456,12,1626,2094,31116,7198,28768,67075,5,48,9510,9559,129,875,8112,9112,5436,5796,9300,20536,13905,3015,4746,21666,14590,1886,4877,21358,11400,1448,4849,17699,9223,740,4578,14543,5432,254,3536,9224,1344,53,2080,3474,61457,14124,51593,127171
CED506,16,104,4448,4574,128,813,2874,3820,2579,3189,3957,9726,5340,2238,2886,10460,5364,1714,3138,10216,5402,1332,3292,10031,4336,587,2432,7364,2061,150,1043,3257,384,20,318,725,25616,10157,24391,60160,26,181,4011,4221,201,1215,2414,3833,3812,3638,3772,11215,6169,2309,2880,11362,5741,1766,3030,10533,5425,1188,3082,9700,3828,428,2446,6693,1461,98,1503,3057,172,15,662,844,26833,10834,23798,61467,43,283,8463,8790,334,2029,5289,7649,6384,6827,7731,20944,11515,4547,5763,21820,11107,3476,6169,20753,10835,2527,6370,19728,8163,1015,4881,14059,3519,253,2547,6315,556,34,980,1574,52452,20991,48188,121630
CED507,4,43,4257,4302,75,565,2387,3023,1991,2001,2889,6875,4692,1439,2106,8239,5290,1169,2264,8728,5407,971,2048,8429,5297,549,1736,7575,2820,137,846,3800,618,19,378,1013,26195,6894,18893,51981,8,89,4013,4109,133,820,1821,2772,2982,2330,2535,7845,5849,1555,2504,9911,5881,1317,2836,10038,5719,952,2786,9461,4893,386,2727,8005,2059,101,2043,4207,302,0,1088,1399,27833,7561,22358,57751,14,129,8269,8411,200,1383,4206,5794,4974,4331,5420,14729,10545,2997,4606,18150,11176,2492,5106,18767,11127,1924,4836,17884,10186,937,4455,15581,4881,238,2887,8008,920,27,1464,2409,54025,14459,41251,109727
CED508,0,26,4194,4221,51,506,3883,4443,2701,3056,4682,10439,6463,1808,2783,11059,6059,1190,2628,9876,5266,838,2280,8384,4159,472,1679,6306,2220,118,832,3166,548,20,354,929,27473,8028,23322,58826,0,45,4125,4166,117,822,3753,4695,4068,3509,4164,11743,7283,1833,2925,12043,6345,1252,3160,10759,5210,791,3275,9276,3821,330,2901,7049,1577,70,1913,3556,237,8,1036,1284,28665,8658,27248,64576,0,70,8317,8388,171,1328,7641,9139,6767,6564,8841,22178,13748,3638,5717,23103,12405,2444,5782,20634,10476,1626,5555,17669,7974,805,4583,13361,3803,190,2743,6725,784,28,1390,2204,56134,16689,50577,123402
CED509,5,42,5192,5234,100,523,3928,4550,3311,2425,4053,9789,6788,1576,2382,10746,6435,1213,2266,9912,5655,842,1989,8495,4596,386,1440,6418,2561,116,777,3452,563,13,321,895,30005,7140,22345,59489,6,64,4719,4785,207,896,3241,4335,5086,2809,3377,11277,7585,1706,2588,11880,6849,1268,2888,11006,5622,765,2870,9253,4188,298,2468,6952,1838,78,1819,3732,281,8,891,1178,31660,7892,24853,64410,6,102,9905,10020,299,1412,7166,8885,8401,5236,7429,21064,14376,3286,4969,22623,13284,2482,5161,20927,11282,1608,4858,17749,8778,685,3905,13374,4396,193,2593,7184,845,22,1211,2077,61672,15028,47205,123896
CED510,0,19,5264,5283,25,277,4165,4463,1820,1856,3487,7161,6404,1354,1831,9585,7661,1021,1782,10469,7486,722,1539,9741,6759,309,1238,8304,2845,77,646,3567,590,18,320,924,33580,5656,20269,59498,0,36,4814,4843,72,449,3434,3954,2848,2230,2501,7575,7565,1417,1813,10788,8236,1031,2209,11475,7911,659,2419,10984,5994,239,2583,8817,2020,48,1823,3888,310,4,1049,1363,34951,6110,22635,63694,0,55,10073,10124,96,726,7597,8421,4666,4086,5985,14742,13966,2769,3646,20378,15897,2054,3992,21941,15390,1381,3955,20721,12746,556,3824,17123,4861,120,2468,7455,901,16,1367,2287,68532,11765,42906,123199
