CED_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
CED501,0,0,0,17,179,163,1292,1572,249,215,117,182,50,40,41,4122,3,0,5,11,67,20,41,30,0,11,0,7,0,0,4,196,0,4,14,50,50,65,166,65,9,6,10,4,5,0,9,461,0,3,24,94,200,311,1524,649,95,65,80,83,43,13,52,3244,0,3,5,0,8,11,71,57,5,6,3,5,6,0,10,202,0,0,0,0,0,5,25,31,5,7,4,8,0,0,4,85,0,0,0,9,43,59,193,166,35,12,27,36,18,6,28,629,193,661,4897,3374,2817,1793,5231,3274,201,165,172,153,73,12,437,23464,4,6,31,40,73,65,152,88,14,23,16,10,15,4,7,546,3,0,3,12,37,34,99,66,12,11,13,22,13,3,17,348,39,87,464,445,583,675,2043,996,162,141,117,112,54,33,174,6126,380,1298,6215,4982,5720,4890,16248,11184,1212,1044,996,1073,494,234,1246,57225
CED502,0,0,3,35,239,207,1853,2094,327,216,180,205,99,17,77,5546,9,7,8,20,88,35,35,19,0,8,7,0,0,0,0,241,6,10,25,136,252,211,642,256,44,52,44,35,18,0,27,1763,0,4,19,141,172,205,1084,528,30,35,29,66,4,16,27,2366,0,9,13,25,52,92,616,676,38,65,57,79,53,10,21,1800,0,0,0,0,10,22,76,113,10,16,21,22,3,0,5,318,0,0,0,18,92,94,511,229,57,56,46,32,5,5,22,1174,149,488,3540,2606,2197,973,1473,679,57,59,48,58,38,22,292,12673,0,9,36,54,54,60,109,71,17,9,12,4,10,0,6,452,0,0,0,29,122,72,142,116,19,18,14,32,10,3,17,603,42,87,526,553,894,1166,4064,2009,446,297,317,352,111,55,209,11129,372,1360,5112,4853,6741,5893,22128,15274,2229,1818,1975,2470,878,294,1340,72732
CED503,0,0,3,15,106,96,492,533,103,66,89,74,26,10,42,1647,9,0,4,6,52,10,19,14,0,5,0,0,0,0,9,142,5,3,22,36,47,31,92,43,0,4,4,5,3,0,9,310,3,9,36,97,153,252,1235,512,65,28,65,43,20,6,37,2551,6,7,13,8,13,13,38,51,5,0,7,9,0,0,0,158,0,0,0,0,0,8,9,21,0,0,0,8,0,0,0,53,0,0,0,12,36,49,138,109,31,19,38,25,7,3,21,482,281,849,4517,3196,2429,1393,3748,1792,135,105,93,105,54,24,545,19273,4,13,55,62,57,54,112,60,7,9,11,12,6,0,17,475,0,0,0,9,22,16,46,48,14,14,13,17,6,0,12,214,55,106,374,353,403,306,1238,624,67,67,77,81,40,9,98,3889,585,1771,5812,4849,4836,3401,9964,5965,644,493,593,671,308,153,1139,41184
CED504,0,0,7,68,287,251,723,686,165,96,89,104,44,5,45,2581,34,21,31,57,326,88,63,46,8,0,6,4,0,3,11,698,3,16,55,137,233,144,244,76,12,4,5,5,7,0,8,952,0,3,21,96,395,366,717,206,34,15,14,22,15,15,18,1953,6,14,41,81,121,51,150,92,15,15,19,63,16,0,9,691,0,0,0,3,27,19,72,123,16,25,23,35,8,0,5,358,3,0,4,27,116,126,391,261,76,32,50,46,9,4,32,1171,139,456,2376,1490,1367,779,1266,628,66,57,60,54,25,14,178,8942,0,0,19,54,27,75,107,69,14,10,14,25,12,8,12,445,0,0,9,556,2153,1323,1303,846,186,173,129,179,105,15,278,7253,102,134,868,955,1453,2597,4597,2553,722,599,602,712,200,50,324,16458,638,2357,6065,5725,9854,9095,16385,10921,2243,1855,1981,2474,963,209,1692,72464
CED505,5,0,9,23,89,62,141,134,41,36,36,42,16,5,19,645,23,7,12,41,206,38,56,69,8,6,18,4,4,0,17,509,18,26,65,175,229,246,383,154,42,60,45,65,82,12,31,1641,8,22,69,217,458,596,1262,463,63,66,84,100,63,31,34,3548,12,10,20,53,102,68,125,81,14,11,18,38,19,5,6,584,0,0,0,14,78,38,41,50,18,10,11,13,5,0,7,287,0,0,3,19,34,36,119,65,22,21,17,30,14,5,14,400,237,608,2061,1875,2086,1715,2999,1727,188,229,238,286,215,82,302,14858,4,8,68,146,167,156,332,267,51,71,64,92,112,36,40,1622,0,0,3,118,143,56,48,80,22,18,34,48,14,6,15,597,115,135,448,556,911,1079,2027,1687,472,568,715,1035,453,49,153,10396,776,1777,3830,4801,7224,6390,12178,8407,1580,1874,2106,2979,1724,438,1057,57136
CED506,0,0,0,36,139,115,638,933,199,127,152,171,65,21,59,2653,16,5,0,12,42,3,22,13,3,0,7,0,0,0,0,121,0,5,15,41,48,28,61,15,4,3,6,8,5,0,14,257,0,3,29,57,108,198,789,365,24,33,28,64,29,20,24,1765,0,0,3,0,12,7,77,50,13,11,15,26,3,5,22,258,0,0,0,0,5,3,28,80,3,5,38,45,11,0,0,225,0,0,0,15,31,68,194,171,42,39,45,58,28,9,32,733,124,457,2329,1484,1130,749,1695,737,65,58,73,115,39,8,379,9446,0,8,37,47,43,68,81,78,9,15,30,30,14,10,7,498,0,0,0,14,97,59,72,91,17,18,23,13,10,4,45,483,45,93,335,273,373,351,1011,666,121,145,177,387,169,159,244,4561,372,1027,3320,3012,3448,2864,7479,5344,837,790,977,1485,633,350,1415,33351
CED507,0,0,0,16,75,80,489,549,125,87,96,105,36,6,39,1703,9,8,7,4,58,12,18,19,0,0,0,0,4,0,3,148,4,8,13,30,23,25,57,26,4,4,5,4,4,0,6,202,0,3,36,106,193,245,1012,458,48,72,39,66,32,10,29,2361,0,0,3,0,11,11,32,36,10,10,3,5,0,8,0,128,0,0,0,0,3,4,33,82,14,20,39,65,21,0,3,283,0,0,4,8,21,24,112,57,17,11,18,25,12,0,12,322,247,654,2954,2001,1558,902,1812,852,96,48,71,118,64,19,383,11774,3,5,48,103,69,48,115,65,20,15,8,20,10,6,12,535,0,0,0,12,15,30,59,55,14,13,6,14,8,0,14,235,51,76,289,286,339,274,874,503,88,108,110,155,90,30,166,3426,555,1422,3979,3467,3676,2626,6785,4362,633,621,659,888,388,150,1028,31246
CED508,0,0,4,35,139,120,849,1143,194,124,133,142,46,24,42,2988,11,0,5,24,222,52,42,49,4,5,6,3,3,0,6,432,3,10,31,55,139,184,399,150,32,45,25,28,12,4,13,1130,0,13,38,133,318,431,969,388,52,30,58,71,38,12,20,2559,5,3,6,14,45,45,110,81,24,5,5,9,11,0,7,372,0,0,0,0,11,20,47,88,7,7,12,13,4,0,4,215,0,0,0,12,48,40,148,111,22,28,18,19,22,7,19,503,195,463,2422,1934,2074,1374,3082,1787,168,155,151,179,95,36,276,14383,0,13,34,61,116,122,168,145,45,26,33,47,24,18,21,865,0,0,0,46,72,41,63,55,8,22,14,12,11,0,7,338,48,134,895,938,1241,1337,2091,1304,193,212,194,254,129,29,175,9183,515,2004,5179,4484,6593,5930,13184,9099,1244,1137,1157,1418,689,242,1063,53933
CED509,0,0,3,27,159,217,1213,1364,172,115,137,146,62,13,51,3687,7,7,23,18,134,41,33,29,4,3,0,3,0,0,9,311,8,5,24,65,77,82,195,71,7,8,13,10,0,0,12,571,0,7,30,91,201,322,1148,456,53,47,48,58,23,19,49,2553,3,0,8,18,47,40,142,107,20,9,9,19,18,3,11,454,0,0,0,0,4,5,15,35,3,4,6,3,0,0,13,96,0,5,5,10,44,54,215,139,17,20,19,30,10,4,23,594,195,536,3455,2569,2380,1445,2914,1185,100,62,69,79,47,16,406,15458,7,9,45,61,80,82,133,96,11,11,14,13,9,6,28,616,0,0,0,35,183,195,182,112,28,14,17,27,11,3,94,905,66,124,519,471,726,946,3153,1368,197,146,137,178,85,51,262,8441,573,1611,5243,4544,6128,5337,15230,8911,1113,851,895,1072,493,218,1513,53729
CED510,0,0,7,42,167,96,99,109,33,10,29,39,16,0,17,650,9,4,15,43,316,83,61,56,6,8,0,10,9,0,4,625,0,11,32,110,143,132,143,46,14,15,15,20,17,6,23,735,0,6,40,170,373,864,2581,1072,177,142,190,157,88,59,39,5961,0,6,15,23,26,27,25,9,0,5,6,45,14,0,5,214,0,0,0,0,10,18,29,31,6,0,6,10,0,0,0,110,0,0,0,16,34,54,93,90,20,16,11,21,8,4,10,378,157,588,2945,3122,4743,3299,7481,3741,374,286,272,249,140,29,374,27803,6,5,30,76,88,95,175,138,21,11,23,33,47,15,14,773,0,0,0,67,131,38,40,32,5,7,9,12,12,0,8,381,52,111,502,614,1046,1023,1986,943,141,126,137,141,97,15,106,7029,429,1479,4584,5689,9897,7646,16088,8791,1054,876,976,1118,626,183,885,60312
