CED_CODE_2021,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
CED501,2283,1774,1137,564,222,55,8690,715,1634,1731,1563,1086,481,116,16,7345,266,324,300,162,90,57,33,10,1232,598,1145,859,596,362,178,83,16,3843,32,24,14,15,13,5,0,4,100,47,114,121,106,63,32,15,5,506,719,942,796,645,530,498,479,297,4908,4373,9643,9813,7790,5336,2894,1382,507,41735,155,402,412,360,248,133,51,11,1776,241,541,678,331,153,66,16,0,2029,1232,3419,3624,3309,2787,1662,839,195,17064,421,1015,846,795,632,426,252,77,4470,98,283,332,276,174,110,40,15,1327,694,1814,1806,1544,1215,664,274,62,8080,455,1271,1564,1368,1030,565,220,46,6527,1004,2754,3334,2655,1764,883,347,82,12825,1053,2115,2244,2014,1368,652,197,27,9669,468,523,465,260,157,103,50,10,2038,810,1556,1307,946,561,299,145,29,5646,63,38,19,20,15,5,5,4,165,105,266,300,285,199,95,39,12,1309,1644,2322,2166,1770,1338,1003,863,491,11595,8454,18332,19106,15936
CED502,2779,1658,1041,531,205,45,9280,660,1553,1835,1274,930,455,117,18,6845,290,397,356,181,82,42,27,11,1384,538,915,758,449,256,177,68,6,3177,40,20,7,9,9,15,8,0,97,48,144,173,82,54,37,10,7,564,702,1005,914,650,524,509,470,325,5101,4244,10409,11033,6653,4569,2845,1333,525,41618,212,606,696,408,262,149,45,6,2388,272,832,1266,419,161,58,10,4,3020,922,3118,3988,2807,2203,1581,720,162,15504,341,945,765,513,433,403,203,59,3671,109,256,285,202,157,87,30,9,1144,693,2161,2124,1222,890,627,264,68,8052,378,1151,1286,1024,822,542,213,57,5471,1209,3478,4589,2638,1635,905,367,67,14896,974,2076,2492,1703,1242,670,200,32,9381,493,654,561,282,126,98,43,13,2272,744,1468,1343,767,463,289,116,17,5216,69,39,23,18,13,16,13,0,181,108,316,362,225,147,101,53,17,1313,1495,2198,2135,1647,1222,993,801,522,11025,8019,19299,21914,13891
CED503,1619,1546,1293,837,388,66,7598,569,1148,1337,1148,1091,585,164,20,6055,176,227,202,167,118,107,47,23,1060,448,876,655,572,377,322,123,14,3381,31,14,13,6,7,8,0,0,84,31,49,78,62,57,29,17,5,334,550,612,648,651,598,686,723,506,4982,3338,6660,7237,6719,5933,4326,2208,836,37245,103,235,329,285,239,195,77,11,1471,168,266,311,169,124,82,21,0,1142,953,2437,2670,2675,2854,2423,1210,274,15503,310,831,694,727,713,617,360,82,4348,133,254,359,349,256,175,98,21,1652,520,1256,1205,1255,1379,1039,472,128,7257,339,949,1207,1306,1218,1012,402,101,6535,818,1669,2212,2214,1934,1396,702,117,11068,780,1413,1653,1430,1348,851,282,49,7808,324,333,280,234,171,182,81,29,1631,560,1114,960,837,603,465,190,31,4765,60,21,14,8,15,12,6,0,145,62,131,181,189,169,108,64,19,926,1162,1415,1625,1652,1425,1415,1327,810,10838,6296,12326,13716,13344
CED504,2458,1733,1249,686,274,62,9476,630,1461,1556,1224,985,535,138,20,6550,254,467,400,196,117,81,28,12,1561,461,940,720,508,362,230,74,15,3304,27,17,8,6,15,15,6,0,93,46,139,127,91,85,46,14,0,543,608,953,838,622,570,548,512,308,4961,4012,10385,9324,6897,5450,3598,1634,555,41857,290,696,673,478,372,219,73,16,2809,241,757,844,480,236,86,12,3,2662,791,2969,2616,2182,2353,1899,893,211,13912,389,1203,992,671,627,481,273,69,4701,84,262,247,183,128,91,28,11,1039,786,2334,1605,1151,979,750,318,85,8004,328,1228,1183,1262,1109,790,346,53,6296,1298,3810,4039,2783,2079,1290,535,102,15942,982,2170,2166,1749,1391,834,250,30,9570,501,820,691,356,246,151,48,20,2830,654,1444,1193,873,605,362,136,30,5291,54,37,17,16,17,19,16,5,179,91,284,269,215,195,121,49,15,1243,1333,2084,1933,1482,1260,1041,928,466,10529,7820,20097,18464,13884
CED505,2935,2711,1631,956,489,206,11863,605,1656,1849,1700,1274,993,464,150,8695,337,726,588,468,266,188,140,44,2756,211,450,331,324,224,174,101,47,1855,17,10,11,7,7,15,11,0,75,58,138,145,151,111,93,64,26,786,443,735,595,440,411,490,524,531,4174,3768,10922,11136,10325,7954,6016,3499,1675,55295,743,1324,1162,1135,990,747,393,102,6604,135,390,654,517,343,119,36,5,2201,617,2618,2763,2298,1908,1502,805,320,12835,237,1063,902,774,652,454,252,96,4430,94,296,343,280,226,123,106,36,1505,775,3463,3056,3004,2617,1840,1159,464,16366,259,1092,1211,1456,1651,1743,975,317,8708,1361,4075,5320,5243,3447,2199,1166,388,23197,1004,2575,2797,2697,2072,1748,823,252,13971,597,1146,917,682,422,316,184,52,4318,312,677,552,483,327,254,161,55,2815,28,24,13,16,17,25,12,3,131,96,252,268,273,197,151,106,35,1374,842,1662,1363,1042,894,944,924,806,8464,7095,20648,21329,19910
CED506,2044,1545,1164,521,157,41,8021,417,1184,1219,1087,887,470,90,7,5367,121,326,255,177,143,68,36,7,1122,370,824,677,587,296,164,72,9,2998,24,20,12,6,3,6,0,0,81,30,67,103,96,85,26,11,4,427,1570,2264,2019,1829,1537,1073,656,317,11266,4295,10312,9938,8336,6605,3803,1530,492,45313,138,426,440,290,192,105,28,3,1620,101,223,224,146,86,54,8,0,849,1176,4160,4129,3511,2990,1845,598,124,18527,291,1151,1037,843,797,522,186,32,4866,270,559,700,658,513,302,87,16,3104,535,1828,1604,1418,1355,837,315,80,7972,331,1432,1667,1607,1345,823,269,42,7519,884,2468,2838,2284,1750,879,261,59,11422,575,1573,1627,1415,1214,661,152,22,7236,192,465,386,255,191,137,56,7,1692,514,1146,1020,925,539,263,121,16,4545,42,30,14,10,14,11,0,3,141,88,209,271,253,224,98,36,15,1197,3563,5435,5081,4660,3910,2403,1352,518,26914,8695,21113,21038,18272
CED507,1710,1508,1206,755,248,69,7522,510,911,1329,1314,1049,630,155,25,5921,159,302,309,258,191,130,67,24,1446,351,723,652,568,371,248,82,16,3011,21,13,5,5,11,7,3,5,71,30,64,97,99,83,46,23,14,449,531,647,696,661,668,712,582,369,4858,3102,6542,8215,7591,6494,4580,1997,738,39259,58,274,461,432,334,275,95,10,1935,145,236,269,153,126,71,17,5,1017,816,2183,2649,2632,2431,1969,856,187,13716,328,941,945,841,849,636,263,75,4877,224,363,594,547,428,284,125,39,2595,494,1292,1680,1501,1640,1150,534,160,8452,303,862,1493,1683,1535,1272,478,102,7724,816,1930,2349,2262,1873,1293,477,102,11103,693,1188,1621,1619,1333,900,262,49,7675,255,416,445,361,280,208,96,26,2085,487,1044,1054,906,602,399,121,23,4636,49,24,9,18,19,9,12,5,135,72,134,222,242,191,120,46,16,1043,1117,1530,1702,1758,1504,1465,1050,601,10727,5840,12411,15510,14953
CED508,2486,1896,1295,645,211,68,9230,558,1632,1714,1429,1183,730,206,31,7487,310,653,606,386,278,159,53,15,2456,375,772,643,555,331,232,53,12,2975,24,16,7,11,4,9,4,0,70,50,119,137,121,79,52,18,3,585,478,746,649,565,462,506,436,462,4303,3706,10630,10653,8428,6349,3893,1573,744,45974,297,847,904,684,533,288,109,15,3686,194,458,755,404,203,69,17,0,2105,800,3180,3477,2867,2474,1679,743,193,15416,290,1069,1010,763,653,433,208,57,4483,117,340,422,325,267,157,57,9,1692,724,2919,2397,1852,1453,860,327,79,10604,400,1410,1513,1544,1344,958,356,71,7595,1037,3188,3998,3194,2224,1243,419,105,15413,897,2389,2339,2008,1644,1078,334,59,10743,548,1041,973,602,415,276,90,17,3962,489,1077,994,852,517,334,96,23,4379,44,25,16,13,12,18,8,0,129,95,268,302,272,171,124,38,12,1274,989,1720,1660,1395,1074,1003,837,709,9386,6920,19932,20759,16773
CED509,2443,1882,1234,677,275,79,9164,569,1410,1577,1360,1033,578,184,32,6738,235,409,374,258,181,132,58,6,1657,505,937,703,538,327,202,88,15,3309,29,19,10,11,7,7,3,0,86,29,120,147,108,84,54,24,3,566,508,713,683,592,478,455,477,415,4314,3641,9132,9596,7940,5800,3745,1829,756,42448,206,497,616,566,352,284,114,23,2653,180,537,683,385,190,89,13,0,2070,935,3072,3306,3097,2677,1899,934,205,16125,333,912,782,707,563,457,227,55,4035,128,295,341,331,252,160,68,16,1595,641,1854,1803,1492,1305,843,406,116,8455,307,1288,1449,1522,1270,997,450,104,7385,1043,2834,3820,2943,1985,1193,492,126,14430,863,1927,2125,1880,1401,889,311,47,9445,450,659,644,419,278,221,83,18,2769,641,1311,1191,810,544,299,129,22,4960,61,28,12,18,12,17,11,0,159,70,239,335,270,205,128,65,15,1334,1118,1756,1757,1574,1222,895,856,643,9818,6976,17207,18856,16014
CED510,2533,2447,1813,1107,372,105,10274,513,982,1428,1344,1078,689,170,31,6236,288,354,444,269,159,122,45,16,1691,343,571,576,544,399,274,95,21,2815,29,8,0,7,12,8,0,4,67,40,63,116,111,75,55,19,7,482,256,384,408,397,393,418,386,336,2976,3100,6675,9553,9240,7547,4908,1816,712,43553,258,505,727,733,556,375,141,20,3314,179,319,629,584,397,148,21,0,2277,665,2105,2852,2932,3108,2612,1019,236,15534,291,1082,1269,1139,967,674,230,55,5705,83,205,332,264,210,107,48,9,1259,647,1792,2024,2068,1924,1128,430,97,10116,365,1081,1686,2023,1961,1465,487,112,9177,1140,2064,4055,4258,3283,2251,757,178,17986,844,1440,1970,1886,1537,1083,297,47,9109,582,589,680,441,267,198,69,22,2850,425,720,780,779,613,399,144,26,3890,55,11,3,6,15,14,3,4,114,82,122,227,241,194,129,60,14,1081,646,932,1088,1110,966,846,655,507,6750,6270,12967,18318,18474
