CED_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
CED501,0,0,0,20,14,16,10,9,0,69,0,5,20,135,71,55,18,3,5,328,0,3,0,19,27,20,34,22,5,124,0,4,3,11,0,3,3,3,3,40,4,353,739,1776,1792,2286,1469,1227,415,10069,0,5,4,34,21,15,4,0,0,76,0,0,0,29,12,10,11,9,5,76,0,10,10,97,50,58,89,55,14,378,0,0,0,6,0,5,0,3,0,16,0,3,3,36,13,7,3,0,0,75,11,73,90,840,86,102,64,45,15,1329,3,19,27,186,76,24,16,0,0,351,0,0,4,30,3,5,5,0,0,53,0,5,3,18,0,3,0,0,0,26,0,36,32,168,58,46,52,38,8,446,0,5,7,25,9,36,43,26,16,165,0,3,10,58,37,13,4,0,0,123,0,3,6,83,15,10,3,0,0,120,0,0,0,6,0,10,0,0,0,21,0,13,34,118,71,46,36,18,3,343
CED502,0,3,4,22,10,24,22,5,4,86,6,49,114,685,293,179,82,25,13,1455,0,0,0,18,7,4,9,11,4,58,0,21,24,32,7,6,3,4,0,103,13,110,183,717,737,1410,1131,918,304,5524,0,4,5,37,3,13,3,0,0,69,0,0,5,25,8,10,5,3,3,63,0,0,6,57,31,48,70,59,18,285,0,0,0,0,0,0,0,4,0,15,0,13,12,120,19,17,11,0,0,191,34,336,399,3247,413,312,266,115,37,5158,8,74,109,572,233,103,58,24,9,1175,0,17,34,77,15,11,7,3,0,161,0,15,16,119,39,25,10,3,0,231,0,35,8,88,25,39,48,40,8,295,0,0,9,27,5,47,98,63,36,288,0,4,9,64,39,9,9,4,4,143,3,25,20,212,50,21,10,4,0,340,0,0,4,36,22,13,10,0,0,89,12,108,187,801,302,305,237,92,20,2063
CED503,0,0,0,7,8,4,10,0,0,31,0,4,4,75,80,39,17,0,0,212,0,0,0,9,5,9,15,6,0,40,0,0,0,3,0,3,3,3,0,18,6,138,461,1150,1338,1992,1735,1406,392,8620,0,3,4,23,5,10,7,0,0,54,0,4,4,37,6,9,8,0,0,73,0,4,15,58,44,66,98,57,18,358,0,0,0,0,4,4,6,10,4,19,0,0,0,12,5,7,13,4,0,49,3,49,44,423,39,78,55,43,4,736,6,16,16,121,64,29,22,7,0,279,0,5,0,22,10,7,3,0,0,46,0,0,0,0,3,0,0,0,0,7,0,20,23,112,54,51,53,24,8,350,0,0,0,16,12,29,57,57,29,196,0,0,7,26,22,9,9,6,0,74,0,7,4,41,4,9,0,0,0,56,0,0,0,0,0,0,0,0,0,4,0,8,14,74,51,48,45,16,4,263
CED504,0,0,6,27,18,13,13,8,0,82,0,30,71,571,246,231,110,35,28,1332,0,0,3,46,46,75,89,53,31,345,3,14,21,15,10,20,30,14,7,125,7,46,147,678,511,851,699,546,183,3667,0,0,0,6,8,16,0,0,0,40,0,7,10,55,15,23,8,9,0,113,0,8,16,99,37,42,89,52,9,348,0,3,5,20,4,34,96,103,77,346,0,11,15,146,43,51,48,11,0,321,23,109,248,1354,238,271,284,200,47,2778,3,14,35,221,87,57,35,13,5,474,0,23,54,243,63,60,30,8,3,490,5,44,66,286,113,57,27,7,0,611,5,17,27,394,40,51,52,45,13,629,0,10,23,118,62,182,485,401,239,1517,0,4,19,99,70,29,21,6,0,246,0,6,12,125,22,9,5,0,0,175,0,5,9,25,14,17,11,3,6,83,12,86,82,446,168,249,270,92,20,1421
CED505,0,14,11,59,13,11,0,4,0,107,4,111,223,794,297,197,128,55,25,1828,0,0,0,24,11,25,22,20,19,128,0,12,6,24,6,5,16,13,10,91,40,286,432,1273,936,1116,859,629,318,5890,0,0,0,10,0,6,8,0,0,32,0,18,29,158,58,30,21,6,0,324,0,20,27,180,89,69,89,65,25,557,0,3,5,9,7,3,24,30,26,106,5,51,72,103,66,44,54,18,5,418,10,67,100,579,160,110,83,80,40,1227,12,36,67,208,103,46,42,24,4,546,4,19,21,155,52,33,28,20,8,341,0,4,4,10,8,0,3,0,0,36,5,33,37,504,90,101,83,59,70,980,0,23,29,136,44,43,105,105,89,575,6,53,47,199,130,60,25,11,3,544,3,17,6,126,32,15,10,0,0,205,0,0,0,5,5,10,3,6,0,24,10,69,105,458,278,203,235,99,43,1501
CED506,0,0,0,32,9,3,0,0,0,40,0,6,20,176,39,27,9,0,0,274,0,0,0,13,5,4,13,5,0,43,4,4,0,10,0,0,3,0,0,21,9,55,149,776,701,1088,715,433,120,4047,0,8,8,27,19,6,3,0,0,77,0,0,18,112,4,16,11,0,0,161,0,0,27,151,55,71,83,34,8,430,0,0,0,5,0,4,0,5,0,18,0,4,0,30,10,5,3,0,0,55,7,50,15,311,50,40,29,18,0,531,3,30,20,160,66,12,9,0,0,312,0,0,0,14,3,3,0,0,0,18,0,0,0,3,0,0,0,0,0,8,0,11,12,176,32,27,34,15,3,310,0,3,5,57,6,24,37,35,18,188,3,0,3,49,25,0,0,0,0,92,0,0,0,40,9,4,0,0,0,54,0,0,0,3,0,0,0,0,0,3,0,0,13,98,47,25,16,5,0,213
CED507,0,0,0,17,4,3,0,0,0,30,0,9,13,105,37,29,9,3,0,202,0,0,0,0,0,5,6,3,4,16,0,0,0,8,0,0,3,0,0,17,4,106,170,751,833,1290,1151,780,263,5351,0,0,0,4,7,3,0,4,0,24,0,0,0,64,26,18,13,10,3,130,3,4,14,142,56,55,90,58,19,438,0,0,0,6,0,0,6,4,0,17,0,3,3,32,9,12,4,0,0,57,3,24,14,226,24,28,22,21,9,384,3,14,7,108,39,12,9,5,3,197,0,0,0,17,0,0,0,0,0,20,0,3,3,13,3,0,0,0,0,21,0,18,26,102,50,45,49,24,4,322,0,3,4,61,11,24,83,73,59,323,0,4,6,65,23,6,3,0,0,107,0,5,3,89,7,3,0,0,0,105,0,0,0,7,0,7,3,4,0,22,3,5,5,71,26,34,21,14,0,177
CED508,0,0,6,47,27,20,14,8,4,120,3,35,76,471,176,104,57,19,7,954,0,0,6,88,42,136,189,99,85,637,0,4,0,7,4,5,13,14,8,58,6,158,340,1375,1016,1271,935,538,201,5846,0,3,0,9,3,11,0,0,0,29,3,3,7,173,44,27,8,4,0,289,0,13,27,223,78,73,69,50,20,550,0,0,0,0,4,3,3,6,4,30,4,5,26,98,23,29,19,3,4,207,10,78,79,686,146,96,81,50,26,1258,5,23,40,279,116,55,39,13,0,572,0,13,14,120,31,20,9,3,0,216,0,5,0,18,0,3,5,0,0,24,6,32,30,266,79,75,42,38,6,569,4,13,19,170,62,120,332,330,243,1285,0,6,11,116,69,27,14,0,0,257,7,11,5,157,38,24,3,0,0,241,0,4,0,13,8,15,5,0,0,38,0,31,85,392,163,132,105,43,8,965
CED509,0,0,4,10,8,11,3,6,0,43,0,14,23,156,81,66,26,5,0,363,0,3,4,19,23,30,55,29,17,168,0,3,12,11,5,6,4,3,0,52,7,135,307,989,1151,1602,1245,870,323,6620,0,0,3,14,9,4,3,4,0,45,0,0,5,44,17,18,11,5,4,108,0,10,12,102,66,61,100,66,18,431,0,0,0,3,3,0,9,5,0,27,0,8,10,58,18,16,3,0,0,106,18,144,163,1717,246,192,162,72,39,2746,0,13,16,148,54,27,15,3,3,283,0,7,12,52,10,4,5,0,0,101,0,10,10,91,24,11,7,0,0,150,0,31,20,166,72,58,56,42,7,453,4,5,10,34,22,56,140,119,95,475,4,9,6,59,47,8,8,4,0,137,0,4,5,54,12,5,0,3,0,78,0,0,0,15,7,6,0,4,0,34,3,13,24,146,84,102,62,22,13,469
CED510,0,0,0,20,11,3,9,6,0,53,0,28,26,233,85,87,68,12,8,560,0,0,0,13,11,31,18,14,10,86,0,4,9,31,15,37,26,13,11,145,29,503,1006,2133,2147,2427,1801,1008,385,11437,0,0,5,7,4,9,4,5,0,27,0,8,11,66,17,14,9,11,4,138,0,7,23,117,91,74,93,54,18,475,0,0,3,8,3,18,20,17,5,71,0,8,8,34,30,43,31,5,7,168,0,19,28,185,76,125,94,71,29,626,4,13,24,105,61,29,32,10,0,288,0,15,22,124,31,22,20,0,3,233,0,0,5,6,11,0,4,0,0,22,7,83,76,468,186,209,148,60,18,1251,6,6,13,68,29,51,124,62,34,390,4,11,3,74,57,26,17,6,3,195,0,0,5,48,14,10,6,0,0,91,0,0,0,5,4,11,9,0,0,26,0,18,31,144,95,129,153,40,9,619
