CED_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
CED501,931,39,12,0,0,983,436,18,9,0,0,460,361,18,11,0,0,389,711,36,17,5,0,766,1123,61,45,0,0,1228,4832,136,74,3,0,5057,7092,99,43,0,8,7237,8140,75,34,5,12,8267,2744,14,16,0,0,2773,1593,12,11,0,0,1616,959,5,6,0,0,975,1670,29,10,0,0,1713,30582,538,294,16,28,31453
CED502,1070,48,7,4,0,1125,411,40,5,0,0,459,390,29,4,0,0,432,798,85,8,0,0,897,1222,137,10,0,0,1363,4727,328,47,0,5,5110,6578,279,35,0,9,6905,7406,142,15,0,3,7567,2713,37,0,0,0,2752,1494,23,4,0,0,1523,889,18,0,0,0,913,1584,52,9,0,0,1651,29291,1224,145,10,16,30696
CED503,869,43,13,0,0,927,359,25,10,5,0,393,329,28,6,0,0,365,606,39,8,9,0,660,882,64,20,7,0,963,3347,141,32,4,0,3524,4820,91,18,4,4,4933,6250,67,19,3,6,6337,2562,23,6,5,8,2603,1861,16,16,0,0,1898,1109,11,13,3,0,1141,1367,32,12,5,0,1410,24357,577,174,32,21,25160
CED504,1200,179,0,0,0,1382,388,68,0,0,0,454,363,67,3,0,0,436,622,167,10,0,0,806,896,231,20,0,0,1141,3262,937,50,0,0,4251,4297,1061,27,0,0,5390,5022,801,21,0,5,5839,1970,214,9,0,0,2187,1500,132,3,0,0,1639,945,56,0,0,0,1009,1356,206,14,0,0,1575,21820,4129,161,0,0,26112
CED505,904,175,110,0,4,1191,197,37,33,0,0,266,137,50,40,0,0,224,225,95,91,0,0,409,272,149,111,0,0,534,777,457,338,0,0,1574,833,669,404,0,0,1911,1925,1042,330,0,0,3302,1509,507,135,0,0,2150,2494,532,140,0,0,3167,4492,391,113,0,0,4998,923,249,68,0,0,1249,14684,4348,1911,3,8,20960
CED506,800,30,3,13,10,861,371,14,3,3,3,395,356,21,3,3,4,387,747,44,7,10,5,812,945,52,11,9,0,1020,2707,113,18,21,3,2854,2832,89,15,17,9,2958,3342,101,10,30,5,3487,1513,30,0,11,3,1566,1256,25,0,9,4,1297,817,23,0,21,19,874,997,17,4,18,3,1046,16687,556,78,162,64,17551
CED507,848,38,8,0,3,896,395,25,4,0,4,432,355,24,3,0,0,376,657,37,7,4,0,701,1014,59,3,5,0,1084,3595,169,20,6,3,3789,4769,115,6,6,0,4903,5000,95,13,4,7,5121,1858,36,3,5,0,1903,1292,32,4,3,0,1334,791,25,4,0,4,819,1104,45,4,0,5,1163,21683,694,76,39,26,22518
CED508,940,130,55,0,0,1123,289,41,12,0,0,347,297,47,18,0,0,360,497,80,41,0,0,622,653,104,93,0,0,852,2223,466,275,0,0,2970,3737,592,267,0,0,4600,6137,574,213,0,4,6929,2998,258,80,0,0,3344,2426,194,81,0,0,2708,1580,110,70,0,0,1757,1243,141,69,4,4,1462,23017,2744,1281,10,12,27066
CED509,1045,32,3,0,0,1086,352,13,0,0,0,370,338,20,3,0,0,359,549,37,6,0,0,599,901,63,5,0,0,968,3369,232,39,0,4,3638,5726,232,23,0,4,5982,8609,239,15,5,8,8876,3819,58,5,0,7,3881,2589,38,6,0,0,2639,1562,13,0,0,4,1584,1607,42,5,3,6,1659,30460,1015,118,15,23,31638
CED510,1173,81,13,0,0,1270,388,38,4,0,0,428,308,21,11,0,0,338,506,47,14,0,0,567,712,49,16,0,0,779,2086,205,67,0,0,2357,2981,315,75,0,0,3377,5836,328,31,0,0,6195,3591,148,22,0,0,3763,3298,100,19,0,0,3410,2286,56,7,0,0,2355,1449,78,16,0,0,1539,24606,1457,287,8,3,26360
