CED_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
CED501,968,1146,2116,1033,456,1485,13,4,15,0,0,3,90,54,144,28143,25039,53182,2035,1904,3933,435,18,449,177,10,188,140,42,186,1418,308,1728,518,474,988,34967,29450,64416,499,634,1132,0,0,5,0,0,0,451,422,871,66,99,166,27,14,46,1050,1176,2221,0,0,0,0,0,0,34,24,58,30,42,76,50,10,62,118,81,196,441,161,604,1603,1418,3020,225,330,551,67,19,87,21,3,28,315,353,668,1694,2905,4605,5489,5844,11331,219,153,369,44284,40124,84405
CED502,877,980,1856,755,444,1204,12,6,21,5,0,5,199,114,311,31839,24846,56687,1918,2150,4069,527,21,551,177,12,186,160,21,181,952,240,1189,331,311,645,37746,29151,66892,526,630,1151,0,0,0,0,0,0,422,359,777,61,86,150,36,18,54,1044,1086,2127,0,0,0,0,0,0,36,57,94,26,68,90,39,20,61,109,142,247,405,170,577,1558,1397,2961,196,299,500,29,14,46,18,5,26,244,326,564,1612,2385,3995,3930,5005,8936,224,152,379,45322,38408,83729
CED503,398,442,837,915,320,1237,3,3,9,0,4,5,64,46,113,21946,21028,42978,1589,1538,3126,648,35,680,116,10,129,102,39,146,1190,338,1526,538,474,1014,27518,24285,51802,130,121,247,0,0,0,0,0,0,287,244,536,36,34,73,13,3,18,468,404,873,0,0,0,0,0,0,45,24,69,23,42,62,53,22,72,120,86,207,394,131,528,978,624,1607,116,125,238,51,22,72,19,3,22,186,147,336,1840,3018,4850,5103,5047,10147,226,169,394,35862,33278,69139
CED504,555,589,1145,1200,1243,2439,9,6,15,4,0,4,228,180,406,32059,26157,58215,1774,2522,4299,545,14,555,229,16,246,264,43,306,795,211,1003,257,287,543,37916,31263,69180,412,452,869,0,0,0,0,0,0,301,316,613,21,63,87,24,8,32,762,837,1601,0,0,0,0,0,4,104,127,229,58,106,171,42,33,72,207,265,477,367,179,545,1334,1290,2624,142,175,318,26,24,55,15,11,27,186,210,396,2191,2889,5081,3654,5129,8779,243,153,397,45522,40929,86454
CED505,1383,1192,2574,1979,1618,3599,3,0,8,0,0,8,183,180,364,26133,24304,50440,1468,2193,3661,166,3,174,289,27,323,1254,405,1661,700,211,920,1267,1318,2587,34834,31472,66315,646,590,1243,0,4,6,0,0,3,278,282,561,48,59,105,45,22,73,1028,960,1986,0,0,0,0,0,0,82,90,175,42,71,111,55,34,95,182,206,384,339,198,536,1549,1365,2909,120,122,245,47,24,71,21,15,41,191,166,357,4956,5446,10402,3837,5987,9826,164,134,296,45533,44565,90102
CED506,39,20,63,2441,616,3064,16,6,19,0,5,3,91,82,174,28990,26090,55089,2739,2567,5304,816,45,856,376,103,480,539,382,915,1691,500,2191,2630,2854,5485,40377,33273,73649,9,10,17,0,0,0,0,0,0,32,42,77,0,7,3,0,0,0,48,53,97,0,0,0,0,0,0,79,42,122,25,24,48,106,21,133,210,90,299,518,238,754,776,380,1153,12,16,21,73,15,90,46,12,55,129,36,169,2234,3169,5408,5259,4921,10178,497,355,858,49280,42141,91415
CED507,16,14,32,863,203,1061,7,4,14,0,3,0,64,52,120,24607,23784,48388,2042,1941,3983,428,22,448,125,13,142,393,143,530,799,193,995,859,805,1659,30204,27169,57378,7,0,7,0,0,0,0,0,0,11,4,21,4,3,11,0,0,0,17,9,30,0,0,0,0,0,0,211,63,271,17,16,42,53,8,65,285,89,370,414,166,578,718,266,977,12,9,14,53,8,65,16,3,23,79,19,99,2094,3097,5196,4833,5341,10176,246,185,431,38178,36080,74255
CED508,1170,1088,2262,999,750,1752,18,12,26,3,0,3,151,109,261,28751,26410,55159,1604,1993,3600,356,15,369,227,36,262,493,210,696,807,237,1042,688,726,1415,35269,31583,66848,655,612,1268,0,0,0,0,0,0,461,449,914,67,95,161,68,32,98,1249,1181,2434,0,6,7,4,0,5,47,60,105,43,52,96,47,31,75,144,139,284,353,217,569,1749,1546,3295,197,210,405,40,18,47,32,8,34,268,230,491,2943,4007,6949,4324,5981,10306,167,130,296,44714,43464,88177
CED509,410,456,866,857,428,1286,3,3,11,0,4,4,108,100,207,30256,26894,57146,1707,2011,3722,677,27,706,226,14,237,187,45,231,1132,243,1376,547,505,1050,36114,30733,66847,231,274,503,0,0,0,0,0,0,436,435,878,47,64,108,23,9,33,738,784,1524,0,0,0,0,0,0,46,47,96,30,44,69,57,25,83,131,114,248,380,202,583,1246,1101,2346,98,156,258,40,16,53,17,8,25,160,182,334,2455,3675,6129,4799,5745,10540,215,151,368,44986,41581,86562
CED510,1671,1515,3189,486,200,685,14,4,21,0,3,4,106,68,170,27507,25016,52523,1443,1716,3155,482,10,495,197,19,216,296,55,351,821,127,951,421,447,864,33456,29169,62622,775,519,1292,0,0,0,0,0,0,678,565,1240,108,101,203,78,17,92,1634,1194,2831,0,0,0,0,0,0,31,25,54,16,21,36,34,7,38,80,52,137,259,135,398,1976,1385,3361,237,225,459,14,9,27,24,6,29,277,239,512,3794,4658,8447,4454,6202,10652,130,106,235,44076,41757,85832
