CED_CODE_2021,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
CED501,18,211,492,309,219,111,66,5,1431,10,103,141,147,121,73,20,8,617,282,1111,1516,1058,580,382,140,26,5092,233,909,1328,1327,1022,537,192,54,5606,1869,4670,4212,3914,3322,1955,1031,240,21222,661,296,114,85,60,34,9,0,1254,96,137,174,185,151,146,77,10,971,2621,5102,4501,4180,3534,2136,1120,252,23447,47,59,99,102,78,59,37,10,493,865,1197,1210,1022,763,477,389,198,6121,4078,8693,9290,8145,6314,3774,1953,551,42800,19,432,618,344,184,86,14,0,1698,57,343,449,356,237,95,24,0,1563,543,2397,2609,1700,920,520,198,40,8920,487,1570,1886,1724,1180,583,218,55,7707,1789,3323,2765,2256,1544,596,142,30,12440,629,415,272,218,187,79,33,4,1832,133,204,319,404,336,205,107,21,1722,2548,3943,3347,2879,2058,879,279,53,15993,33,79,87,77,101,94,53,27,550,691,885,819,711,650,630,593,330,5307,4373,9643,9813,7790,5336,2894,1382,507,41735,33,645
CED502,31,551,1262,518,259,136,52,5,2822,15,117,225,162,92,84,23,4,716,431,1915,2685,1338,712,413,162,35,7680,368,1294,1671,1100,742,493,192,39,5897,1550,3449,3452,2820,2487,1886,858,183,16692,532,264,143,92,40,30,12,4,1118,81,137,170,152,137,120,64,16,877,2169,3849,3765,3069,2667,2035,931,202,18689,36,91,141,105,76,55,38,14,551,730,1071,1129,951,674,471,336,197,5554,3779,8887,10885,7234,5210,3677,1740,500,41905,43,995,1253,458,197,83,16,0,3045,40,353,443,240,195,88,28,0,1394,661,3412,3702,1641,870,529,187,37,11038,480,1569,1826,1341,997,532,210,59,7022,1607,2525,2254,1684,1199,599,151,17,10047,578,306,240,193,142,81,32,4,1570,121,195,274,335,256,197,94,22,1499,2309,3020,2773,2216,1603,874,272,48,13116,37,85,122,88,86,92,41,7,557,685,977,907,664,627,644,577,365,5444,4244,10409,11033,6653,4569,2845,1333,525,41618,72,1550
CED503,15,96,267,259,237,202,80,8,1168,3,54,92,126,124,105,46,3,564,195,660,855,805,703,692,284,59,4259,168,489,800,924,951,806,461,78,4682,1437,3373,3287,3332,3450,2804,1418,331,19436,493,162,96,60,61,39,17,4,923,58,76,113,146,155,172,124,30,880,1994,3609,3493,3538,3661,3015,1567,365,21236,23,42,76,64,67,96,67,22,456,568,723,890,910,777,712,592,298,5472,2958,5674,6479,6623,6535,5633,3090,844,37837,19,212,367,290,218,123,34,5,1275,28,243,305,330,271,184,43,13,1417,342,1609,1800,1465,1055,793,330,64,7461,322,1105,1378,1431,1446,981,364,95,7127,1436,2381,2173,1932,1568,794,234,40,10553,479,264,227,174,183,142,40,10,1517,136,169,262,337,359,284,149,40,1736,2047,2807,2656,2435,2115,1222,430,93,13798,33,49,64,72,109,117,101,17,565,534,624,662,692,719,911,902,559,5603,3338,6660,7237,6719,5933,4326,2208,836,37245,36,310
CED504,66,913,845,487,313,234,82,9,2937,10,176,204,192,137,95,42,6,873,705,2666,2511,1502,1076,718,276,47,9507,432,1295,1355,1085,910,753,332,54,6213,1363,3201,2831,2578,2718,1981,995,238,15904,437,204,123,101,80,46,15,4,1001,82,133,150,177,173,151,71,16,958,1886,3542,3109,2856,2969,2171,1078,256,17857,40,100,116,99,75,72,42,17,565,680,1025,1000,766,641,502,425,164,5197,3808,9710,9141,6997,6130,4545,2270,553,43154,76,1064,996,431,246,94,28,3,2939,55,477,473,348,256,145,47,0,1812,953,3813,3200,1840,1123,802,284,53,12070,521,1608,1547,1363,1216,776,279,63,7370,1234,1970,1703,1584,1265,634,163,40,8588,419,216,212,194,155,95,33,3,1334,122,191,267,390,418,249,117,27,1782,1776,2376,2180,2173,1839,979,309,72,11706,41,95,97,105,113,123,69,25,676,590,944,830,640,661,672,613,337,5285,4012,10385,9324,6897,5450,3598,1634,555,41857,143,1975
CED505,162,1662,2249,2127,1627,1148,606,173,9747,20,339,467,514,418,225,117,26,2124,1507,4123,4179,3973,3007,2341,1070,279,20478,263,783,1001,1043,894,853,622,182,5646,692,1705,1355,1127,1147,820,554,229,7636,221,93,55,34,32,23,13,0,472,46,66,80,121,123,109,81,31,661,958,1869,1493,1280,1305,952,646,260,8760,44,80,95,95,67,102,88,35,595,380,873,710,556,489,512,457,301,4276,3330,9723,10193,9585,7809,6135,3603,1252,51632,151,2008,2376,1917,1213,738,239,62,8706,55,661,781,921,737,526,206,41,3920,1789,5464,5275,4563,2987,2099,1097,386,23660,316,937,1114,1375,1487,1179,750,312,7469,696,857,699,640,565,366,160,67,4052,201,82,73,77,84,68,44,19,645,70,100,132,254,295,272,198,105,1440,967,1035,905,968,944,706,406,192,6133,38,78,110,104,92,143,113,69,744,445,744,571,463,495,632,689,620,4662,3768,10922,11136,10325,7954,6016,3499,1675,55295,313,3666
CED506,17,296,347,239,235,128,34,5,1300,3,112,162,156,128,82,13,0,651,213,1279,1226,944,651,417,144,21,4899,112,645,1091,996,935,629,195,32,4639,1535,5014,4966,4482,3886,2323,763,135,23099,506,248,171,114,120,68,11,5,1237,72,129,186,191,196,171,60,16,1016,2118,5388,5318,4787,4198,2559,834,156,25356,30,63,63,93,76,52,35,10,418,1910,3020,2890,2710,2290,1285,695,206,15017,4399,10804,11100,9936,8516,5143,1946,428,52280,40,502,523,320,255,129,24,0,1794,39,416,444,368,289,166,28,0,1752,518,2779,2500,1791,1118,553,208,43,9508,286,1244,1453,1421,1342,747,230,39,6760,1124,2439,2325,1951,1383,609,140,16,9979,613,468,363,241,203,105,22,0,2017,102,182,244,322,302,184,70,20,1428,1839,3085,2932,2519,1886,890,230,39,13420,25,67,77,61,79,75,49,23,456,1557,2216,2011,1854,1632,1245,754,351,11629,4295,10312,9938,8336,6605,3803,1530,492,45313,52,799
CED507,5,155,254,300,244,257,111,23,1351,4,68,158,176,154,127,40,3,723,110,863,1168,1169,976,853,307,70,5518,106,502,834,963,917,824,371,62,4570,1378,3203,3694,3468,3231,2412,983,226,18582,528,189,102,77,57,49,17,6,1020,58,76,127,159,177,163,85,16,869,1959,3470,3920,3707,3465,2627,1080,248,20470,17,45,68,52,69,82,46,7,392,550,767,895,998,818,717,479,233,5453,2741,5866,7292,7363,6646,5473,2435,656,38472,16,268,417,314,257,187,52,0,1518,25,234,415,445,359,226,63,8,1773,270,1836,2510,2044,1405,986,395,102,9555,195,907,1309,1370,1452,1003,385,128,6734,1462,2154,2301,2068,1583,767,189,32,10549,503,302,245,228,197,126,29,14,1645,90,137,262,370,366,274,103,21,1627,2059,2604,2808,2662,2147,1167,324,66,13826,18,54,72,71,84,118,63,23,502,509,654,688,691,789,892,716,417,5353,3102,6542,8215,7591,6494,4580,1997,738,39259,24,418
CED508,57,759,1214,858,685,428,146,28,4168,12,240,300,295,245,134,55,9,1291,632,2920,2804,2023,1358,869,294,47,10954,288,978,1366,1235,915,766,282,43,5864,1237,3153,3113,2800,2497,1663,773,203,15431,393,136,114,82,67,40,20,0,848,77,130,164,181,179,133,58,9,931,1704,3418,3389,3066,2739,1840,843,216,17212,43,86,103,89,92,79,40,22,555,471,897,923,788,603,508,397,256,4835,3211,9298,10110,8353,6624,4619,2062,612,44887,50,1175,1367,896,595,333,71,14,4502,54,598,726,595,464,240,51,5,2743,1040,4570,4207,2715,1701,996,352,72,15656,427,1308,1593,1586,1346,801,282,72,7416,1156,1843,1587,1425,1105,500,117,37,7772,394,194,171,165,134,74,30,10,1166,108,133,215,330,340,231,97,40,1492,1658,2166,1982,1918,1584,804,250,78,10432,30,72,115,94,98,96,52,15,575,460,737,661,617,559,622,518,486,4656,3706,10630,10653,8428,6349,3893,1573,744,45974,105,1932
CED509,25,350,706,470,329,289,142,21,2332,5,136,221,246,205,107,49,3,980,390,1481,1951,1559,999,813,306,70,7554,249,944,1418,1248,1014,748,391,66,6080,1513,3906,3659,3354,2918,1983,933,206,18470,496,211,131,80,49,35,11,4,1014,75,117,145,170,166,161,75,14,931,2084,4240,3931,3603,3126,2186,1021,224,20411,44,71,106,84,63,64,53,16,503,530,849,926,868,702,429,371,239,4917,3333,8075,9258,8072,6449,4629,2331,635,42786,31,635,861,555,374,187,56,10,2709,50,371,524,450,335,175,57,8,1965,616,2920,3018,2166,1249,882,356,84,11290,408,1469,1772,1666,1328,853,378,103,7972,1439,2521,2100,1807,1315,593,166,33,9973,462,261,235,201,121,93,43,6,1420,120,184,311,378,367,241,112,45,1751,2021,2967,2644,2379,1809,922,313,81,13139,32,72,110,85,117,96,64,24,612,492,702,666,637,593,620,590,451,4758,3641,9132,9596,7940,5800,3745,1829,756,42448,58,986
CED510,43,466,874,1003,798,490,148,29,3851,17,150,314,382,287,232,61,5,1447,748,1867,2540,2559,1878,1332,445,69,11440,289,630,1228,1453,1439,1258,425,90,6818,1279,2488,2933,2830,3218,2467,1009,215,16434,346,89,60,48,42,45,17,0,645,62,70,139,188,169,163,88,14,903,1690,2652,3133,3068,3428,2679,1106,231,17983,30,41,83,100,97,106,63,19,551,352,476,600,668,520,431,284,182,3520,3169,6291,8770,9233,8444,6526,2543,632,45602,50,612,1039,844,518,233,56,7,3351,42,375,697,694,586,272,60,9,2733,961,2951,4044,3175,2058,1293,367,84,14926,382,909,1484,1931,1842,1178,374,92,8192,975,1211,1420,1504,1311,663,174,37,7298,294,91,134,106,163,134,43,4,980,90,105,237,418,434,376,160,44,1876,1364,1404,1805,2029,1904,1176,383,92,10154,29,49,86,115,102,145,78,22,624,274,378,410,457,536,610,501,408,3572,3100,6675,9553,9240,7547,4908,1816,712,43553,93,1072
