CED_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
CED501,2630,4054,9903,10250,9215,6714,1396,124,9,44284,8,20,41,70,87,40,8,0,0,269,11,115,297,309,240,135,16,0,0,1125,79,107,361,383,357,208,36,6,0,1518,7,16,68,71,74,37,0,0,0,269,15,77,311,290,273,209,35,4,0,1204,17,40,147,121,142,90,14,0,0,570,748,751,1075,929,949,647,111,0,0,5211,1133,558,480,377,286,142,25,0,0,3002,19,56,211,213,196,148,33,0,0,879,26,24,56,40,23,15,5,4,0,188,5,49,276,282,187,98,15,0,0,919,15,43,140,147,131,91,21,3,0,598,20,122,436,493,327,178,47,0,0,1619,44,137,376,417,365,241,50,0,0,1632,42,251,615,648,627,439,65,4,0,2694,109,314,993,1456,1464,866,166,7,0,5364,151,774,2052,2262,2308,1649,278,12,0,9477,73,85,169,113,81,46,20,0,0,592,94,154,460,356,316,165,32,9,0,1587
CED502,2147,4131,10321,12321,8635,5993,1621,149,9,45322,3,15,60,53,47,21,15,0,0,213,3,81,233,270,165,89,14,0,0,860,41,107,319,377,333,194,39,0,0,1415,0,6,50,72,43,24,8,0,0,207,28,79,319,277,166,128,32,6,0,1042,25,77,186,222,199,121,19,8,0,857,591,776,961,863,751,597,118,13,0,4676,903,465,570,425,311,181,32,0,0,2890,18,92,304,348,279,190,41,0,0,1275,20,22,55,43,30,18,3,0,0,193,10,45,266,327,173,100,13,0,0,939,5,35,123,125,101,74,23,0,0,489,22,163,525,560,296,181,50,3,0,1794,34,138,363,371,336,232,46,0,0,1522,24,102,439,582,459,354,72,5,0,2039,82,294,890,1256,1127,758,170,13,0,4590,134,774,2336,2705,1910,1407,319,17,0,9604,69,80,138,145,94,45,21,0,0,597,73,180,415,385,275,170,43,3,0,1546
CED503,2193,2968,6616,7329,7707,6737,1993,304,20,35862,10,21,57,84,98,107,66,23,0,452,24,119,282,303,279,172,14,0,0,1197,88,108,254,287,301,224,42,7,0,1314,5,12,41,50,53,26,5,0,0,190,20,43,246,262,262,193,45,3,0,1075,20,28,83,114,118,84,28,6,0,473,697,598,763,714,845,662,140,10,0,4439,946,355,358,332,330,233,60,0,0,2614,25,50,124,148,192,190,52,9,0,780,14,20,19,26,20,23,7,0,0,135,4,29,115,146,154,95,13,4,0,563,15,42,119,138,135,125,37,4,0,616,25,122,311,354,329,226,65,3,0,1437,35,107,202,263,288,227,51,3,0,1178,29,93,289,420,459,380,66,5,0,1743,90,229,717,1032,1291,960,192,5,0,4512,153,547,1447,1585,1727,1566,318,9,0,7350,63,85,117,107,96,76,34,3,0,590,95,139,375,297,271,196,52,5,0,1425
CED504,2003,4203,10878,10366,8526,7113,2165,248,18,45522,3,11,50,44,57,40,8,0,0,226,0,66,276,262,152,76,14,0,0,843,59,85,259,311,368,275,73,10,0,1445,0,17,65,81,56,55,9,0,0,282,18,88,311,310,224,158,40,5,0,1159,7,54,135,150,150,109,33,0,0,641,753,855,936,744,788,682,166,5,0,4931,741,574,617,472,419,263,51,5,0,3141,10,69,184,207,233,170,29,6,0,908,10,31,61,56,38,43,18,0,0,255,12,63,302,314,245,151,29,3,0,1109,8,51,144,132,108,99,30,9,0,576,25,192,724,686,429,281,87,8,0,2437,30,164,398,396,325,295,57,4,0,1666,18,126,519,548,548,406,84,3,0,2254,70,290,958,1035,1251,968,273,13,0,4862,127,827,2445,2117,1975,1715,478,20,0,9713,78,117,169,126,105,88,20,6,0,707,82,219,563,482,375,252,74,9,0,2047
CED505,2284,3795,9372,9967,9486,7062,2885,618,60,45533,9,4,32,22,28,38,33,4,6,174,6,87,592,629,417,150,20,0,0,1901,90,62,149,174,179,108,52,11,0,823,0,15,82,109,79,38,4,0,0,312,8,67,282,307,250,158,50,3,0,1134,19,40,123,131,161,106,28,6,0,622,752,710,570,442,477,400,138,24,0,3509,863,755,587,309,218,125,41,8,0,2906,7,36,127,127,131,79,23,0,0,541,7,32,122,92,88,47,17,4,0,411,7,62,277,372,339,199,61,14,4,1339,13,48,171,180,211,178,82,28,0,908,30,401,1267,1288,1134,631,210,36,0,5002,27,100,372,316,228,160,50,10,0,1263,13,108,447,589,576,421,101,11,0,2272,227,421,1086,1235,1665,1387,419,48,0,6489,151,875,2821,2387,2401,1795,587,59,0,11085,134,161,206,150,152,95,32,6,0,931,107,182,356,295,279,181,71,19,0,1495
CED506,2385,3410,10285,10720,10245,8863,2876,440,54,49280,74,125,348,335,373,419,273,81,6,2043,43,228,847,750,510,245,29,0,0,2650,59,50,165,142,142,128,31,3,0,717,8,14,70,79,59,50,4,0,0,282,27,72,282,307,264,226,49,0,0,1226,31,64,128,141,123,101,15,3,0,598,666,386,703,730,834,723,178,25,0,4243,686,380,812,547,506,479,136,19,0,3566,39,103,287,315,340,278,98,9,0,1463,13,9,43,34,31,33,9,0,0,171,7,27,122,126,121,87,17,0,0,505,22,65,152,134,136,91,36,8,0,635,22,91,300,313,272,204,60,4,0,1274,39,121,359,404,369,289,59,4,0,1643,57,150,596,733,750,549,121,9,0,2966,98,332,1351,1702,1631,1150,237,12,0,6510,210,536,1841,1857,1780,1543,387,21,0,8180,42,51,115,117,114,83,27,0,0,551,92,110,343,328,303,197,49,8,0,1436
CED507,2488,2667,6675,8104,8449,7050,2382,328,35,38178,40,68,168,170,186,204,171,43,4,1056,10,80,177,187,202,105,13,0,0,774,125,137,380,470,358,226,61,8,0,1771,0,17,43,51,57,40,5,0,0,217,24,58,221,294,271,216,42,6,0,1133,21,13,71,83,113,69,32,7,0,414,716,397,731,903,954,797,157,14,0,4669,1031,363,584,661,587,369,106,8,3,3709,16,39,84,113,163,160,54,8,0,634,30,22,37,33,27,22,10,0,0,180,0,23,115,145,149,105,20,0,0,563,19,47,116,126,136,109,53,0,0,600,19,53,230,419,351,217,84,7,0,1367,38,68,239,340,367,242,70,6,0,1367,27,71,275,420,480,309,61,3,0,1652,91,122,619,1201,1532,1100,212,9,0,4894,172,500,1385,1865,1983,1713,345,13,0,7978,70,46,105,106,89,67,19,0,0,506,71,142,335,301,348,213,47,6,0,1465
CED508,2094,3729,9973,10692,9113,6830,2032,237,12,44714,8,18,37,50,47,45,18,4,0,224,10,85,387,371,223,111,12,5,0,1201,78,100,308,354,333,243,47,8,0,1465,4,12,76,90,67,44,3,0,0,294,17,63,312,320,269,173,48,3,0,1211,17,52,124,176,195,132,18,0,0,714,667,709,793,647,664,575,163,15,0,4221,895,632,590,363,279,171,54,0,0,2984,12,69,217,205,243,149,42,0,0,940,18,27,68,53,59,34,7,0,0,256,11,36,258,351,239,123,26,0,0,1045,7,48,145,159,151,95,39,4,0,638,20,224,928,953,581,315,96,11,0,3125,25,106,257,296,256,215,49,5,0,1207,21,126,565,686,626,439,90,13,0,2564,117,357,1280,1542,1735,1244,309,9,0,6593,163,883,2602,2374,2190,1849,398,21,0,10481,98,104,201,185,142,100,32,3,0,864,117,199,479,417,344,235,49,3,0,1845
CED509,2603,3814,9240,10389,9382,7105,2124,307,27,44986,20,27,44,59,59,64,38,13,0,322,19,90,363,382,295,148,17,3,0,1315,72,115,260,337,365,209,46,6,0,1414,3,18,73,64,60,34,5,0,0,255,23,83,301,363,268,224,52,8,0,1320,34,76,197,254,212,141,26,7,0,941,802,727,998,779,786,635,149,12,0,4893,1088,463,425,338,295,202,34,4,0,2849,24,93,281,299,324,209,50,8,0,1288,12,23,55,67,52,48,7,0,0,264,7,46,267,278,217,112,25,7,0,963,9,54,159,161,153,120,45,0,0,697,14,154,515,610,481,287,95,13,0,2166,28,108,324,317,323,207,51,4,0,1364,17,111,528,681,732,539,97,10,0,2717,107,276,935,1306,1511,1070,260,16,0,5485,161,725,2113,2194,2076,1594,359,23,0,9254,78,92,170,144,115,78,30,7,0,724,89,208,468,405,381,224,54,4,0,1840
CED510,2694,3840,6741,9345,10187,8345,2650,260,16,44076,3,11,28,22,46,34,7,4,0,159,7,56,273,344,245,130,20,4,0,1073,87,71,108,205,240,217,47,5,0,970,0,8,63,98,82,29,13,0,0,291,20,81,296,436,364,294,57,4,0,1551,17,35,88,131,150,137,33,0,0,589,850,734,531,506,692,700,178,15,0,4211,1148,508,253,232,193,181,42,0,0,2559,8,34,99,126,135,107,34,5,0,553,34,46,60,64,54,45,3,3,0,317,15,74,250,424,419,279,64,0,0,1524,5,53,127,165,182,158,46,5,0,739,40,227,549,921,760,440,131,7,0,3082,30,77,192,273,308,216,77,6,0,1182,16,102,373,662,709,536,106,0,0,2505,136,322,925,1605,2160,1692,317,12,0,7174,155,741,1590,1956,2327,2137,513,28,0,9438,129,119,121,146,140,93,32,0,0,786,89,187,356,399,356,258,69,6,0,1711
