CED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
CED501,3274,2217,2841,2658,2246,1584,906,628,373,16727,39841,22537,26178,26097,23560,19691,13616,7519,2499,181547
CED502,3342,1866,2227,2254,1877,1389,893,557,349,14748,40915,22013,27081,29443,21774,17836,13916,6976,2379,182330
CED503,2502,1552,1623,1902,1999,1736,1355,937,547,14149,30392,17235,17675,19084,20147,20723,19607,11411,3679,159946
CED504,2695,1706,2052,2014,1734,1520,1037,627,240,13625,32765,21581,26823,25369,22277,21335,17297,9489,3231,180177
CED505,1543,1380,1838,1510,1385,1218,1097,768,548,11295,29779,21811,23487,23589,22932,19378,16374,10662,5030,173040
CED506,6429,3729,5588,5283,4784,4002,2224,1060,343,33436,41064,21492,29474,29047,27532,25648,17253,7701,2233,201445
CED507,2627,1527,1818,1991,2110,1800,1426,787,362,14453,30508,15980,17173,20693,21483,20938,18530,9389,3312,157999
CED508,2010,1480,1923,1865,1772,1355,958,593,400,12340,30445,19007,24662,25311,22514,19380,14658,7668,3136,166782
CED509,2431,1738,2510,2465,2207,1580,960,585,330,14805,36155,20758,23971,25366,23326,19710,14690,7991,2780,174739
CED510,1582,1167,1135,1359,1557,1356,939,468,271,9832,30758,19721,16143,21760,23435,22482,18638,8175,2995,164113
CED511,4036,2477,3002,3003,3204,3052,2175,1177,412,22540,32471,18120,20478,21238,23437,25441,20659,10637,3606,176071
CED512,2727,1703,1858,1925,1899,1313,704,382,161,12676,40064,23109,24855,26669,24649,17907,11817,6323,2110,177513
CED513,1639,1641,3183,2301,1902,1463,1018,636,384,14173,25578,19402,37315,29992,22700,19622,14772,8269,4281,181928
CED514,2224,2006,3061,2286,1865,1607,1039,753,701,15541,30711,24525,35864,28623,22176,19835,15675,8396,4062,189872
CED515,1558,1463,1613,1713,1613,1323,953,636,419,11279,33550,23934,19553,25499,24890,22323,19096,10372,4734,183959
CED594,190,352,661,811,748,503,245,69,15,3591,772,820,1512,1543,1313,1144,758,155,30,8055
CED597,0,22,46,76,51,27,3,0,0,226,0,42,116,170,109,62,18,0,0,514
