CED_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
CED501,7,13,29,58,74,120,171,153,84,697,25,22,28,58,184,388,511,411,127,1752,507,1817,2483,2153,1828,1344,697,289,142,11269,0,4,11,20,76,128,158,151,88,643,706,707,1057,1232,1348,1367,957,544,238,8157,15464,6982,7983,7937,6353,4313,2269,836,204,52336,1585,932,1005,930,869,653,446,343,229,6995,19305,10863,13245,13219,11859,9901,7174,3951,1466,90975,31,145,469,1037,2123,3477,3813,2710,934,14741,2874,1880,2452,2378,2012,1635,1227,655,169,15283,45,43,129,275,611,1044,1304,930,305,4684,0,0,0,9,13,61,136,348,267,844,61,128,313,651,1389,2112,2189,1314,373,8538,55,48,96,189,560,1261,1756,1595,594,6153,33,26,62,96,151,249,335,336,173,1456,54,32,65,114,322,732,985,839,262,3406,1095,2763,3780,3367,2927,2238,1201,529,190,18085,4,7,25,51,137,276,381,390,163,1440,1835,1259,1676,1923,2259,2368,1695,974,396,14385,31224,15226,16355,16125,13047,8797,4359,1601,372,107107
CED502,17,24,33,56,73,122,174,140,81,720,28,6,34,67,181,385,520,326,107,1664,359,1580,2040,1686,1431,1237,690,267,102,9390,9,4,6,52,75,96,177,152,74,637,696,622,959,1214,1163,1241,944,525,206,7577,16341,7277,9451,9554,5765,3865,2368,749,200,55575,1661,916,1036,1011,788,610,461,325,209,7011,19895,10835,14034,14600,10672,9131,7289,3728,1437,91615,35,105,397,854,1736,2860,3601,2383,845,12830,2343,1762,2184,2247,1801,1564,1305,608,160,13983,35,51,114,245,444,811,1200,786,237,3916,4,9,7,8,10,44,131,325,276,807,64,126,328,982,1698,2398,2630,1329,394,9950,48,40,96,257,582,1250,1872,1400,570,6108,50,33,63,111,136,231,370,321,148,1462,50,23,57,129,329,687,991,666,214,3143,794,2412,3123,2790,2373,1965,1142,448,145,15202,12,6,18,76,143,215,408,372,136,1378,1741,1154,1520,2049,2131,2182,1667,889,339,13678,33077,15540,18847,20023,12361,7925,4566,1532,350,114222
CED503,12,14,20,38,56,86,209,224,98,770,29,11,19,51,127,359,606,523,192,1912,311,1336,1738,1550,1462,1376,921,408,185,9283,3,7,13,23,68,135,219,244,134,836,541,497,707,902,1093,1303,1247,711,331,7337,12146,5676,5744,5967,5637,4939,3495,1333,275,45216,1224,732,669,732,822,782,641,503,338,6438,14969,8605,9309,9854,10309,10745,10067,5780,2108,81752,28,112,294,723,1671,3427,5348,4028,1402,17038,1999,1394,1639,1754,1654,1696,1676,966,263,13045,26,34,91,231,505,1143,1882,1515,442,5869,0,5,3,5,8,47,191,414,382,1051,58,129,191,441,977,1811,2641,1762,499,8515,40,36,74,134,453,1212,2509,2229,911,7606,29,19,30,67,105,201,426,506,227,1612,46,19,39,93,226,654,1224,1094,369,3764,720,2037,2592,2449,2357,2244,1634,764,274,15068,9,11,21,55,134,268,521,581,260,1859,1390,938,1093,1428,1817,2280,2248,1302,521,13011,24069,11823,11346,11820,11316,9773,6674,2678,542,90050
CED504,15,18,29,39,86,110,165,185,102,751,13,6,25,46,134,361,461,376,132,1558,298,1323,1677,1478,1337,1284,775,359,187,8710,3,3,14,20,68,123,171,209,132,731,522,542,787,1000,1137,1434,1205,710,391,7728,13129,7412,9459,8495,6605,5195,3225,1212,291,55018,1321,782,959,901,785,716,533,364,138,6502,15839,10489,13440,12680,11288,11010,9184,5066,1937,90932,26,90,318,644,1469,3031,4133,3000,1214,13920,1688,1601,1907,1936,1725,1692,1451,785,242,13035,38,33,94,209,446,955,1408,1025,326,4530,0,3,8,10,20,61,175,533,532,1331,38,92,243,636,1315,2343,3142,1850,501,10159,38,38,69,165,518,1265,2117,1784,750,6746,41,30,47,89,158,249,399,391,186,1591,32,15,65,97,252,640,935,756,264,3058,598,2046,2655,2473,2230,2080,1295,592,273,14239,4,3,18,43,134,294,427,456,243,1627,1231,1037,1314,1691,1962,2543,2171,1239,602,13788,26780,15794,19470,17331,13415,10364,6127,2402,528,112216
CED505,13,9,17,20,48,59,95,97,113,470,12,11,20,26,72,161,302,365,226,1196,236,1567,1609,1251,1094,927,614,376,276,7957,9,4,13,13,36,53,107,173,184,587,441,634,769,811,949,1105,1055,802,595,7155,12485,7602,8460,8773,7987,5586,3725,1738,540,56906,759,706,845,680,641,588,576,429,347,5559,14444,10945,12214,12230,11890,10041,8655,5817,3173,89421,30,101,263,429,1065,2048,3167,2953,1633,11697,1352,1661,1751,1628,1612,1282,1145,734,334,11501,36,51,109,231,593,1051,1533,1384,640,5623,0,5,0,5,6,45,176,548,830,1615,42,97,131,260,456,811,1251,1110,485,4636,27,38,57,110,318,859,1644,1864,1210,6123,26,26,32,57,95,123,186,255,209,1009,36,34,29,45,121,278,554,638,375,2119,474,2361,2476,2098,1920,1535,1069,628,372,12933,6,13,15,30,86,122,275,439,321,1308,1017,1116,1170,1317,1667,1945,1929,1370,884,12424,25495,15798,16771,17047,15513,11068,7004,3134,872,112703
CED506,13,11,25,65,120,151,203,171,71,827,27,12,23,46,155,357,463,253,76,1410,276,1000,1631,1513,1395,1118,582,229,105,7847,4,4,7,36,89,118,166,150,80,655,544,395,724,909,1109,1158,787,386,174,6187,15206,6686,9101,8254,6789,5365,2779,914,199,55288,3136,1626,2274,2106,1864,1584,1003,509,209,14309,19954,10230,14497,13907,12916,11950,8100,3715,1268,96523,38,88,322,725,1746,3293,3812,2167,713,12903,1991,1412,1980,2085,1948,1892,1333,572,157,13371,20,37,84,239,559,1149,1419,885,235,4636,0,3,9,8,28,68,162,347,325,952,72,142,312,709,1499,2456,2408,1218,296,9116,95,88,132,251,667,1509,1924,1349,510,6511,33,22,70,112,227,328,437,367,151,1739,59,34,42,82,296,732,1002,592,166,3004,603,1567,2434,2373,2346,2020,1137,428,165,13068,13,11,14,58,158,276,413,357,134,1432,1312,777,1154,1493,1872,2116,1576,741,278,11315,30842,14309,18657,17534,14946,11630,6031,1952,389,116279
CED507,7,3,12,37,59,101,134,135,108,598,24,13,13,41,113,311,494,343,136,1485,351,1258,1540,1607,1552,1349,826,343,202,9025,0,4,12,24,49,93,189,190,132,703,509,441,626,855,1024,1294,1046,606,338,6734,11880,4978,5453,6705,6172,5118,3456,1272,298,45335,1292,707,740,795,843,818,707,424,211,6548,14749,7743,8785,10762,10969,10861,9404,4893,2010,80181,40,116,304,818,1836,3508,4682,3020,1256,15570,2141,1321,1493,1838,1726,1603,1531,726,250,12631,28,19,79,233,521,1082,1671,1140,353,5125,0,3,0,8,14,59,184,436,488,1200,49,99,190,392,899,1561,2230,1294,461,7181,40,38,51,123,398,1036,1962,1667,838,6153,31,15,32,70,124,209,307,322,185,1286,47,28,38,68,211,582,975,740,245,2928,745,1926,2347,2516,2531,2265,1491,628,287,14729,5,8,32,36,107,231,452,399,220,1486,1251,876,957,1361,1694,2216,1942,1085,510,11886,24020,10816,11059,13176,12439,10096,6830,2509,541,91474
CED508,14,15,32,40,42,86,105,135,110,570,9,19,19,34,94,229,406,299,125,1227,283,1544,1962,1631,1442,1114,680,329,231,9210,5,7,8,23,41,94,134,150,99,559,514,658,918,1062,1142,1213,956,578,421,7468,12517,6315,8476,8455,6828,5011,2959,990,246,51805,958,725,851,812,765,636,499,302,264,5801,14852,9590,12774,12844,11433,10021,7688,4071,1930,85202,31,110,344,720,1438,2620,3356,2405,1073,12099,1623,1501,2029,2038,1649,1397,1082,563,228,12114,22,29,128,266,495,980,1347,840,304,4409,0,6,0,4,12,48,132,388,480,1066,36,116,190,418,829,1417,1842,1200,452,6493,38,33,59,123,418,1028,1618,1375,758,5455,21,28,52,98,109,201,253,296,194,1249,27,30,32,84,186,434,738,574,223,2326,551,2330,2981,2661,2420,1838,1187,529,329,14826,11,8,21,48,106,203,318,333,185,1227,1251,1144,1453,1704,1979,2083,1713,989,624,12951,25234,13115,16952,17144,13756,9962,5646,1963,470,104243
CED509,18,23,27,48,74,90,117,147,90,624,14,11,25,35,133,264,408,336,113,1332,354,1507,1889,1744,1552,1105,632,314,171,9261,5,0,7,34,61,95,140,167,102,610,585,641,843,1107,1152,1214,985,581,345,7449,14590,6668,8015,8024,6643,4816,2725,1010,250,52739,1146,727,900,849,808,621,487,307,192,6036,17468,9944,12260,12627,11737,9961,7583,4168,1651,87397,39,103,346,801,1665,2799,3479,2538,947,12721,2245,1744,2002,2123,1928,1600,1231,684,204,13751,28,29,93,268,590,946,1293,987,315,4547,0,0,3,6,17,35,132,375,439,1015,59,96,254,617,1235,1741,2014,1286,381,7676,46,44,60,149,497,1062,1749,1552,657,5817,35,31,44,97,143,194,258,300,158,1255,55,25,36,66,226,522,830,677,232,2671,740,2317,2883,2800,2515,1849,1112,524,243,14993,7,7,19,52,127,221,331,399,190,1349,1559,1198,1370,1777,2011,2122,1773,999,508,13328,29493,14445,15860,16336,13444,9678,5286,2002,466,107003
CED510,14,5,15,26,27,73,101,104,66,443,14,10,6,31,71,220,397,293,140,1181,316,1348,1120,1373,1222,1020,616,297,199,7506,0,6,11,34,35,79,140,137,138,578,523,569,595,878,1058,1351,1302,598,347,7226,12668,6484,5523,7478,7473,6279,3821,1118,267,51115,780,539,506,592,685,622,469,258,168,4626,14905,9341,8136,11210,11932,11711,9564,4287,1868,82942,36,102,209,568,1427,2990,4299,2568,1069,13266,1730,1504,1316,1822,1816,1586,1421,626,198,12013,29,35,66,251,589,1084,1755,1065,343,5222,0,0,0,4,8,50,158,379,502,1109,61,104,101,264,645,1357,1984,1141,368,6020,45,37,47,114,408,1153,2140,1545,685,6179,23,23,28,62,73,169,249,255,133,1015,30,23,26,61,125,369,762,576,230,2200,656,2084,1792,2178,2032,1700,1122,478,277,12318,5,8,11,50,75,175,369,354,230,1279,1277,1061,951,1368,1781,2310,2304,1035,527,12614,25690,14371,11350,15038,15076,12193,7430,2188,476,103811
CED511,13,7,31,33,86,128,169,157,84,719,18,21,7,53,163,407,557,371,142,1744,279,1290,1528,1513,1592,1512,848,396,205,9154,0,5,18,34,61,111,201,219,136,776,476,422,624,814,1076,1320,1047,635,376,6787,12383,5313,5965,6123,6030,5594,3421,1295,335,46465,1931,1086,1181,1238,1319,1312,979,569,246,9856,15755,8485,9885,10498,11496,12389,9886,5319,2071,85785,34,112,327,775,1954,4057,5128,3332,1265,16976,1932,1584,1787,1852,1988,2043,1690,831,225,13951,34,30,92,197,541,1194,1738,1244,395,5467,0,0,4,8,17,58,169,483,526,1275,46,101,269,490,1224,2185,2668,1651,446,9083,39,35,71,138,549,1459,2338,1861,821,7313,32,21,66,65,162,283,380,348,169,1531,48,31,27,92,273,805,1229,819,271,3594,586,1982,2316,2378,2604,2637,1629,684,296,15109,4,9,23,47,111,253,512,492,246,1701,1186,838,992,1311,1879,2431,2039,1175,575,12427,24924,11807,12820,12768,12689,11784,7281,2579,650,97305
CED512,9,17,25,40,59,76,116,132,71,556,12,16,17,46,117,253,350,308,99,1209,401,1646,2051,1844,1505,1015,520,252,182,9416,6,4,9,34,59,85,127,145,111,568,661,638,982,1203,1322,1109,798,529,342,7568,16251,7786,8591,8975,7400,4376,2264,792,167,56604,1290,783,841,846,794,579,377,222,100,5829,19498,11320,13089,13837,12601,9127,6246,3456,1277,90442,36,121,378,799,1796,2622,2914,2120,774,11555,2466,1785,2199,2231,1904,1314,949,510,145,13504,44,47,86,230,563,865,1089,805,280,4009,0,6,6,6,9,30,121,373,382,944,79,120,258,601,1197,1637,1735,1088,279,6999,49,45,52,168,532,1089,1489,1275,552,5249,38,29,55,79,121,176,266,268,139,1170,44,29,50,87,229,468,687,560,179,2331,901,2489,3025,2776,2373,1640,846,427,252,14736,11,9,15,54,122,173,275,304,185,1157,1727,1205,1522,1816,2109,1944,1446,870,483,13114,32569,16618,17039,17992,15018,8835,4303,1507,300,114181
