CED_CODE_2021,POL_CL_Oth_SEO,POL_CL_Oth_UOLSE_VWorW,POL_CL_Oth_UOLSE_NWorNAA,POL_CL_Oth_UOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_UOLSE_VWorW,POL_CL_Tot_UOLSE_NWorNAA,POL_CL_Tot_UOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_UOLSE_VWorW,POL_Croatian_UOLSE_NWorNAA,POL_Croatian_UOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_French_SEO,POL_French_UOLSE_VWorW,POL_French_UOLSE_NWorNAA,POL_French_UOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_UOLSE_VWorW,POL_German_UOLSE_NWorNAA,POL_German_UOLSE_Tot,POL_German_NS,POL_German_Tot,POL_Greek_SEO,POL_Greek_UOLSE_VWorW,POL_Greek_UOLSE_NWorNAA,POL_Greek_UOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_UOLSE_VWorW,POL_IAL_Bengali_UOLSE_NWorNAA,POL_IAL_Bengali_UOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Guj_SEO,POL_IAL_Guj_UOLSE_VWorW,POL_IAL_Guj_UOLSE_NWorNAA,POL_IAL_Guj_UOLSE_Tot,POL_IAL_Guj_NS,POL_IAL_Guj_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_UOLSE_VWorW,POL_IAL_Hindi_UOLSE_NWorNAA,POL_IAL_Hindi_UOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Nepali_SEO,POL_IAL_Nepali_UOLSE_VWorW,POL_IAL_Nepali_UOLSE_NWorNAA,POL_IAL_Nepali_UOLSE_Tot,POL_IAL_Nepali_NS,POL_IAL_Nepali_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_UOLSE_VWorW,POL_IAL_Punjabi_UOLSE_NWorNAA,POL_IAL_Punjabi_UOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhal_SEO,POL_IAL_Sinhal_UOLSE_VWorW,POL_IAL_Sinhal_UOLSE_NWorNAA,POL_IAL_Sinhal_UOLSE_Tot,POL_IAL_Sinhal_NS,POL_IAL_Sinhal_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_UOLSE_VWorW,POL_IAL_Urdu_UOLSE_NWorNAA,POL_IAL_Urdu_UOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_UOLSE_VWorW,POL_IAL_Oth_UOLSE_NWorNAA,POL_IAL_Oth_UOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_UOLSE_VWorW,POL_IAL_Tot_UOLSE_NWorNAA,POL_IAL_Tot_UOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_UOLSE_VWorW,POL_Italian_UOLSE_NWorNAA,POL_Italian_UOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japan_SEO,POL_Japan_UOLSE_VWorW,POL_Japan_UOLSE_NWorNAA,POL_Japan_UOLSE_Tot,POL_Japan_NS,POL_Japan_Tot,POL_Khmer_SEO,POL_Khmer_UOLSE_VWorW,POL_Khmer_UOLSE_NWorNAA,POL_Khmer_UOLSE_Tot,POL_Khmer_NS,POL_Khmer_Tot,POL_Korean_SEO,POL_Korean_UOLSE_VWorW,POL_Korean_UOLSE_NWorNAA,POL_Korean_UOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedon_SEO,POL_Macedon_UOLSE_VWorW,POL_Macedon_UOLSE_NWorNAA,POL_Macedon_UOLSE_Tot,POL_Macedon_NS,POL_Macedon_Tot,POL_Malayalam_SEO,POL_Malayalam_UOLSE_VWorW,POL_Malayalam_UOLSE_NWorNAA,POL_Malayalam_UOLSE_Tot,POL_Malayalam_NS,POL_Malayalam_Tot,POL_Persian_ED_SEO,POL_Persian_ED_UOLSE_VWorW,POL_Persian_ED_UOLSE_NWorNAA,POL_Persian_ED_UOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_UOLSE_VWorW,POL_Polish_UOLSE_NWorNAA,POL_Polish_UOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Portuguese_SEO,POL_Portuguese_UOLSE_VWorW,POL_Portuguese_UOLSE_NWorNAA,POL_Portuguese_UOLSE_Tot,POL_Portuguese_NS,POL_Portuguese_Tot,POL_Russian_SEO,POL_Russian_UOLSE_VWorW,POL_Russian_UOLSE_NWorNAA,POL_Russian_UOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_UOLSE_VWorW,POL_Samoan_UOLSE_NWorNAA,POL_Samoan_UOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_UOLSE_VWorW,POL_Serbian_UOLSE_NWorNAA,POL_Serbian_UOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipin_SEO,POL_SAL_Filipin_UOLSE_VWorW,POL_SAL_Filipin_UOLSE_NWorNAA,POL_SAL_Filipin_UOLSE_Tot,POL_SAL_Filipin_NS,POL_SAL_Filipin_Tot,POL_SAL_Indon_SEO,POL_SAL_Indon_UOLSE_VWorW,POL_SAL_Indon_UOLSE_NWorNAA,POL_SAL_Indon_UOLSE_Tot,POL_SAL_Indon_NS,POL_SAL_Indon_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_UOLSE_VWorW,POL_SAL_Tagalog_UOLSE_NWorNAA,POL_SAL_Tagalog_UOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_UOLSE_VWorW,POL_SAL_Oth_UOLSE_NWorNAA,POL_SAL_Oth_UOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_UOLSE_VWorW,POL_SAL_Tot_UOLSE_NWorNAA,POL_SAL_Tot_UOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_UOLSE_VWorW,POL_Spanish_UOLSE_NWorNAA,POL_Spanish_UOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_UOLSE_VWorW
CED501,..,39,9,48,0,50,..,922,281,1206,16,1224,..,191,26,212,0,218,..,351,17,364,7,370,..,482,23,501,0,501,..,66,10,78,0,78,..,115,10,126,0,126,..,212,27,240,0,243,..,489,51,537,3,542,..,133,13,148,4,153,..,1334,140,1482,25,1502,..,159,10,169,0,171,..,212,15,231,3,233,..,60,9,64,0,70,..,2719,271,2991,44,3035,..,461,33,489,0,497,..,204,39,246,5,247,..,32,0,34,0,34,..,204,84,285,4,290,..,47,3,54,0,54,..,331,28,360,0,364,..,107,6,112,0,112,..,162,5,165,3,170,..,420,52,470,8,473,..,184,20,198,0,201,..,147,11,160,0,163,..,432,97,530,3,532,..,1291,33,1327,20,1346,..,417,26,445,3,447,..,1926,80,2004,15,2017,..,517,28,544,3,554,..,4163,166,4327,39,4364,..,641,65,709,12,722,..,273
CED502,..,300,92,390,0,395,..,5589,1857,7444,113,7560,..,82,15,93,0,93,..,543,26,565,4,573,..,297,11,312,4,311,..,80,8,91,0,88,..,711,69,781,8,784,..,686,61,748,6,750,..,1592,91,1689,17,1700,..,374,34,413,4,419,..,4115,434,4548,70,4614,..,1130,81,1206,11,1222,..,1789,124,1910,18,1932,..,439,41,484,4,489,..,10839,936,11769,139,11904,..,695,85,777,9,789,..,253,39,295,3,295,..,272,101,374,0,379,..,541,229,770,11,784,..,36,0,40,0,40,..,2284,167,2454,33,2486,..,544,133,674,3,682,..,209,21,227,0,231,..,179,11,190,0,196,..,159,19,179,0,177,..,148,16,166,0,169,..,121,35,157,4,159,..,1855,60,1915,18,1931,..,1819,201,2014,29,2048,..,2731,92,2825,12,2837,..,1554,142,1697,7,1705,..,7961,486,8449,70,8521,..,623,76,698,0,702,..,2305
CED503,..,34,6,35,0,38,..,555,150,699,8,711,..,78,16,88,0,88,..,265,18,280,8,285,..,357,15,370,5,374,..,79,0,79,3,80,..,38,4,42,0,45,..,128,12,139,0,139,..,203,10,214,3,214,..,66,0,64,0,67,..,702,61,766,7,771,..,91,9,101,0,101,..,124,4,132,0,131,..,48,0,51,0,47,..,1400,105,1506,19,1524,..,597,45,639,4,642,..,112,13,122,0,122,..,36,9,48,0,48,..,75,24,99,0,98,..,15,0,15,0,15,..,245,19,266,0,266,..,102,23,127,0,127,..,112,5,121,0,121,..,132,9,140,0,140,..,91,12,104,0,104,..,42,9,47,0,50,..,66,0,72,0,72,..,528,12,533,3,541,..,281,18,303,0,303,..,658,17,675,0,681,..,187,13,204,0,204,..,1658,63,1721,9,1726,..,252,12,265,5,271,..,130
CED504,..,374,82,453,0,452,..,4839,1741,6575,55,6628,..,628,92,721,6,719,..,655,20,679,13,688,..,384,7,398,6,408,..,905,126,1037,15,1049,..,170,18,187,3,195,..,1289,129,1413,13,1429,..,987,77,1064,12,1075,..,290,20,310,0,310,..,1741,150,1890,26,1920,..,357,14,369,0,369,..,861,50,908,5,923,..,166,13,184,0,184,..,5864,473,6337,75,6414,..,4049,446,4493,51,4542,..,346,45,394,7,393,..,236,124,359,0,361,..,227,65,295,6,297,..,2623,465,3090,22,3103,..,334,23,353,5,361,..,894,210,1107,8,1115,..,631,69,699,3,702,..,644,69,714,17,729,..,273,29,302,0,305,..,47,5,60,4,57,..,1056,206,1262,8,1264,..,689,13,699,7,708,..,497,52,555,3,557,..,1230,41,1272,12,1279,..,718,121,836,13,853,..,3133,225,3361,33,3395,..,939,145,1082,15,1090,..,403
CED505,..,338,34,376,3,379,..,5820,918,6734,44,6783,..,238,23,259,5,262,..,1179,41,1221,17,1236,..,936,27,956,5,962,..,544,31,573,9,582,..,156,8,171,0,172,..,577,46,624,11,632,..,588,27,611,3,612,..,282,17,297,5,304,..,230,9,247,0,248,..,339,15,356,0,356,..,228,9,239,3,241,..,174,4,175,0,179,..,2581,137,2719,18,2738,..,1664,104,1768,15,1784,..,870,130,996,4,1003,..,35,0,32,0,32,..,256,41,298,0,298,..,184,14,200,3,202,..,257,7,274,5,275,..,639,71,711,8,718,..,470,33,506,3,513,..,1026,67,1092,10,1099,..,456,43,502,5,507,..,11,0,11,0,11,..,279,34,307,0,307,..,130,0,133,0,133,..,652,47,700,8,702,..,212,0,215,0,213,..,239,9,247,0,247,..,1227,59,1290,4,1296,..,1248,79,1326,15,1344,..,339
CED506,..,21,12,36,0,36,..,847,201,1049,16,1064,..,118,13,129,0,131,..,471,16,486,7,490,..,539,26,563,9,573,..,113,9,122,7,129,..,66,3,66,0,73,..,137,21,161,0,162,..,237,10,249,4,252,..,110,11,118,0,116,..,196,9,203,0,205,..,171,4,178,0,178,..,174,12,183,4,183,..,46,0,45,0,47,..,1136,76,1211,13,1223,..,477,33,511,5,515,..,105,16,123,0,130,..,31,12,43,0,43,..,74,10,87,0,87,..,69,6,77,0,77,..,284,26,300,7,308,..,44,0,50,0,50,..,133,0,136,0,136,..,206,22,225,0,225,..,66,8,71,0,71,..,56,4,53,0,60,..,67,6,76,0,76,..,884,21,899,16,913,..,348,23,368,4,380,..,1149,41,1191,14,1207,..,711,115,826,13,837,..,3088,203,3292,44,3333,..,472,26,492,3,497,..,119
CED507,..,21,0,29,0,29,..,709,256,958,8,963,..,40,3,44,0,44,..,407,10,415,9,420,..,537,12,547,16,559,..,101,3,108,0,106,..,46,0,49,0,49,..,73,13,84,0,84,..,126,10,132,0,132,..,81,6,84,0,83,..,236,26,265,3,268,..,80,3,86,0,86,..,100,5,109,4,111,..,36,0,40,0,40,..,790,66,851,5,860,..,961,80,1038,22,1056,..,157,22,185,0,180,..,11,0,16,0,15,..,151,68,218,0,218,..,21,0,21,0,21,..,212,23,235,0,236,..,43,6,51,0,51,..,136,13,148,0,148,..,167,8,175,3,179,..,114,20,132,0,131,..,16,0,16,0,16,..,20,0,16,0,16,..,583,20,602,10,610,..,199,11,212,5,216,..,650,22,670,3,672,..,297,31,323,5,332,..,1720,82,1805,27,1833,..,359,9,369,5,376,..,70
CED508,..,132,12,146,0,144,..,3327,943,4273,52,4325,..,1418,224,1641,7,1654,..,923,38,959,24,982,..,898,27,928,18,945,..,147,13,159,6,161,..,241,9,250,5,251,..,324,22,344,3,349,..,486,17,506,5,514,..,186,20,209,0,209,..,417,28,443,10,454,..,265,19,288,0,288,..,301,24,322,6,326,..,116,10,122,0,122,..,2335,141,2480,26,2507,..,3212,486,3698,22,3713,..,391,46,433,0,435,..,24,0,25,0,25,..,360,137,498,6,497,..,45,8,48,0,48,..,563,42,604,7,611,..,478,47,522,6,530,..,389,47,438,0,438,..,1474,313,1786,17,1800,..,305,35,337,0,337,..,44,0,46,0,46,..,771,174,942,4,946,..,943,25,968,6,977,..,732,62,797,14,805,..,1454,61,1511,11,1528,..,418,12,427,5,432,..,3555,151,3708,35,3741,..,1326,118,1447,19,1468,..,301
CED509,..,69,11,75,0,75,..,1146,284,1432,17,1449,..,371,50,426,0,426,..,590,21,610,7,619,..,559,17,578,6,586,..,153,12,164,0,171,..,107,11,118,0,118,..,1180,130,1304,11,1321,..,922,60,984,10,995,..,202,28,225,7,231,..,2641,285,2927,42,2972,..,330,19,349,6,357,..,286,20,305,3,312,..,107,8,111,0,111,..,5776,560,6330,82,6411,..,1245,142,1384,8,1392,..,256,30,287,0,293,..,79,36,111,0,113,..,96,21,115,0,120,..,156,8,168,0,171,..,470,41,506,3,517,..,198,58,252,0,254,..,328,30,356,3,361,..,219,18,233,3,241,..,148,21,169,0,170,..,50,4,50,0,50,..,225,36,259,4,261,..,1173,37,1214,10,1221,..,323,25,341,0,345,..,1835,72,1903,15,1915,..,494,18,516,5,523,..,3825,149,3973,24,4001,..,503,34,540,4,544,..,466
CED510,..,115,8,129,0,129,..,1857,471,2324,14,2337,..,209,18,229,0,229,..,571,20,589,9,596,..,845,25,866,14,880,..,329,18,346,0,347,..,57,0,59,0,66,..,471,18,492,4,495,..,260,11,272,0,276,..,37,0,37,5,41,..,180,0,184,0,183,..,107,0,107,0,107,..,107,7,118,0,119,..,85,0,90,0,90,..,1310,44,1355,6,1361,..,1088,73,1159,5,1168,..,337,38,370,3,368,..,20,3,26,0,26,..,104,26,132,0,137,..,271,25,288,0,289,..,116,3,122,3,122,..,487,41,523,9,532,..,601,51,649,5,657,..,475,39,515,10,522,..,269,23,292,4,293,..,17,0,19,0,19,..,186,20,207,0,204,..,146,0,146,0,151,..,282,21,305,3,306,..,205,5,211,0,215,..,246,16,259,0,263,..,883,44,921,13,932,..,695,50,744,9,754,..,118
