CED_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED501,11651,6670,3333,1059,84532
CED502,9780,6522,3077,1027,83524
CED503,12466,9960,5297,1678,75077
CED504,11581,8143,3909,1103,85011
CED505,15762,12146,7100,2933,106921
CED506,15125,8951,3475,923,97595
CED507,13134,10052,4433,1391,77737
CED508,12973,8511,3634,1354,90862
CED509,12254,8370,4157,1390,85230
CED510,15990,11431,4358,1345,89160
CED511,14250,10322,4762,1478,81493
CED512,11086,6026,2856,967,84338
CED513,13630,8937,4028,1630,111609
CED514,12771,8879,4253,2020,107112
CED515,15861,11962,5722,2185,101034
CED594,876,505,105,20,5668
CED597,48,15,0,0,428
