CED_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
CED501,1747,1650,3395,6703,6192,12893,1114,1094,2204,1194,1232,2421,9021,8529,17550,4294,4048,8347,994,1078,2072,1361,1318,2675,6665,6455,13114,417,421,837,230,529,764,706,455,1163,612,1189,1802,7,13,24,1980,2608,4584,877,1350,2229,348,752,1105,184,304,489,551,1066,1613,3,7,13,1961,3483,5445,3950,6098,10050,280,293,569,450,736,1187,11,8,18,742,1027,1772,7103,4434,11534,29225,28192,57415
CED502,1908,1773,3683,6530,6112,12640,1134,1079,2213,1547,1520,3064,9236,8727,17968,4293,4019,8312,862,827,1694,1183,1256,2437,6350,6113,12465,499,503,1002,416,740,1159,561,389,948,664,1199,1872,12,13,31,2152,2848,5005,1361,1797,3159,567,851,1416,241,350,592,560,921,1475,6,7,18,2736,3929,6662,4900,6786,11688,360,369,722,507,797,1303,10,9,21,874,1170,2046,5338,4779,10119,28613,29356,57970
CED503,1329,1266,2591,4459,4398,8853,1119,1086,2209,1212,1227,2434,6802,6718,13517,3189,2940,6127,867,939,1806,1289,1299,2596,5346,5183,10534,278,322,601,131,361,487,607,357,963,450,903,1352,6,5,11,1474,1941,3408,572,1122,1692,186,515,702,130,218,346,335,770,1103,6,3,9,1225,2634,3853,2704,4578,7276,164,215,381,310,553,869,8,4,7,478,779,1254,5437,4252,9687,22097,22771,44870
CED504,1525,1437,2959,4872,4371,9246,1586,1537,3123,864,814,1686,7333,6752,14089,3364,3174,6534,1493,1415,2904,892,890,1782,5756,5486,11240,489,487,972,503,765,1267,487,289,777,661,1164,1825,11,11,23,2155,2707,4866,1731,2208,3940,722,836,1555,328,393,720,591,941,1539,13,11,28,3390,4393,7783,5561,7120,12687,343,398,744,497,743,1242,15,3,21,851,1151,2000,4791,4367,9158,25823,26314,52135
CED505,1508,1358,2863,4794,4538,9329,1052,1048,2095,1116,1000,2114,6964,6588,13553,2845,2569,5415,1134,1296,2426,2766,2515,5282,6753,6384,13141,252,246,502,253,393,652,238,141,381,462,736,1198,3,8,12,1204,1531,2734,3567,4114,7680,1195,1386,2582,430,459,884,1072,1608,2675,8,10,22,6271,7579,13852,7487,9113,16603,158,202,359,373,594,963,3,15,14,533,804,1336,3803,3546,7349,27039,27799,54847
CED506,1630,1530,3162,6427,5918,12341,1644,1619,3267,665,629,1298,8744,8182,16934,3857,3597,7456,1225,1304,2530,536,649,1182,5623,5560,11180,226,241,460,140,250,390,557,402,956,635,1323,1959,16,6,21,1567,2231,3793,165,334,504,129,403,531,69,176,241,442,1094,1536,3,0,5,808,2009,2815,2374,4243,6616,164,180,343,286,512,807,11,10,17,462,702,1166,16297,11831,28130,35142,32048,67187
CED507,1330,1283,2614,4759,4265,9024,1259,1197,2454,1076,995,2072,7104,6469,13570,3587,3428,7017,1131,1210,2346,945,996,1942,5671,5637,11306,255,222,475,132,359,489,603,325,931,459,990,1449,12,8,21,1465,1902,3369,178,442,623,138,428,565,52,140,194,313,901,1217,0,3,3,694,1917,2606,2160,3826,5985,155,164,318,285,504,790,6,9,17,451,678,1124,5721,4392,10114,22435,22275,44711
CED508,1590,1440,3032,4861,4769,9627,1197,1282,2483,531,553,1078,6596,6606,13206,2684,2523,5203,1763,1775,3536,857,809,1658,5307,5102,10408,276,286,558,255,397,656,492,276,766,558,922,1482,9,3,12,1588,1886,3480,1502,2248,3751,642,1068,1712,331,430,759,814,1481,2298,8,6,21,3303,5236,8538,4907,7127,12030,164,161,322,430,648,1079,14,0,13,597,815,1411,4267,3539,7801,23265,24629,47892
CED509,1747,1613,3357,5622,5238,10861,1261,1250,2506,1361,1280,2647,8264,7787,16055,3260,3069,6332,1519,1404,2919,1777,1599,3373,6564,6084,12642,336,368,708,226,450,676,598,339,941,593,995,1587,5,3,9,1758,2167,3927,1158,1586,2745,384,675,1056,219,340,554,570,1117,1685,10,4,11,2338,3719,6056,4108,5895,10001,230,274,501,437,704,1140,9,4,13,676,981,1659,6324,3833,10157,27679,26191,53870
CED510,1463,1273,2743,5238,4841,10079,1288,1258,2548,993,999,1990,7530,7120,14647,3622,3256,6877,1308,1345,2647,1633,1625,3258,6568,6228,12796,341,309,647,154,271,432,587,232,821,406,698,1106,0,0,3,1494,1510,3002,1921,2314,4235,527,645,1170,299,379,679,627,1120,1748,11,10,16,3389,4464,7848,4885,5978,10868,149,176,330,387,593,980,4,3,10,543,776,1318,2852,2208,5057,23844,23588,47434
