CED_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
CED501,23,34,0,1157,13,0,6,9,16,25,3,4,7,44,1434,1562,18,0,10,6,0,7,0,4,4,89,84,217,3288,574,134,2337,344,1864,203,1024,244,5200,1599,16806
CED502,7,21,0,730,14,9,3,5,3,17,3,6,5,37,899,1003,10,4,11,8,5,3,0,7,4,93,108,238,3164,591,133,2180,275,1711,115,1003,155,4568,1091,15000
CED503,31,114,4,1415,12,9,9,15,3,19,7,10,6,81,1384,1551,12,4,10,21,5,0,0,5,0,156,127,331,2680,676,154,2256,289,1718,179,1291,290,8344,1609,19480
CED504,9,56,0,1160,13,5,10,9,8,19,8,13,5,49,920,1063,9,3,13,9,0,6,5,0,10,71,120,246,3518,855,100,2457,259,1628,153,1303,172,5740,1143,17337
CED505,28,487,4,4507,17,4,9,13,9,20,6,7,6,56,1049,1188,7,0,4,0,0,6,0,5,0,62,49,142,3957,1058,105,2537,270,1564,137,1582,167,5499,1151,18006
CED506,32,69,0,2357,27,4,7,16,10,18,4,14,9,46,1713,1875,25,9,27,18,5,12,0,7,3,126,164,401,5060,824,266,2577,434,1806,212,1084,283,4817,1988,19356
CED507,23,98,5,1357,7,12,0,9,3,12,3,10,9,52,1281,1407,15,5,5,8,3,13,0,7,0,91,96,251,2986,955,179,2725,303,1496,201,1361,261,6664,1491,18633
CED508,13,95,0,2236,10,0,6,11,14,16,6,13,8,28,1094,1201,11,0,3,4,0,6,0,4,3,50,70,158,4232,769,106,2768,346,1652,176,1177,158,4655,1218,17256
CED509,17,87,0,1604,13,9,4,14,9,17,8,10,11,52,1163,1299,12,5,17,12,3,6,0,6,3,92,84,247,3797,713,152,2451,325,1701,143,1216,203,5220,1308,17226
CED510,22,136,0,2253,8,4,5,4,9,10,0,8,0,43,949,1044,15,7,7,3,0,7,4,9,8,86,63,212,3243,917,127,2395,306,1685,154,1511,232,6654,1063,18299
CED511,20,83,9,1676,15,3,7,22,9,26,7,21,9,66,1345,1521,34,16,12,24,9,3,3,10,8,137,164,409,4128,1089,249,3021,379,1819,230,1403,291,6084,1659,20348
CED512,11,44,3,1182,15,4,6,12,10,9,7,11,7,34,1175,1286,7,4,8,11,4,3,0,7,6,83,85,222,3570,626,111,2363,322,1487,170,885,185,4402,1316,15441
CED513,20,107,4,3881,12,3,12,13,10,17,3,10,6,32,1330,1450,10,7,6,5,4,8,0,5,3,55,73,181,6559,1196,139,3637,412,1962,164,1247,193,4323,1479,21308
CED514,18,108,3,2673,18,6,3,10,12,17,7,5,12,32,1335,1453,9,4,13,4,3,5,0,5,7,51,113,213,5204,1109,136,3324,338,2085,163,1331,198,4645,1527,20062
CED515,26,173,3,2318,5,3,9,12,8,12,9,12,4,50,800,916,14,0,5,9,5,5,0,4,3,98,64,200,2962,842,98,2187,222,1607,120,1640,214,7139,904,17934
CED594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
