CED_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
CED501,277,333,382,351,1581,2075,790,1876,68,7728,628,1157,1221,1016,2653,2988,817,1609,81,12169,837,886,870,760,3036,4045,1407,4066,239,16148,630,2496,2308,1412,1922,1626,403,992,197,11994,447,1110,1365,888,2743,2043,482,738,80,9903,311,2605,1344,592,1115,640,168,297,81,7150,605,517,479,331,1389,1400,727,2891,162,8509,505,2247,1291,748,1285,1212,416,1413,196,9317,87,105,84,62,213,242,87,223,379,1491,4328,11462,9351,6151,15938,16275,5311,14098,1486,84405
CED502,165,324,371,326,1505,1920,697,1423,44,6781,568,1141,1271,1117,3459,3599,817,1369,121,13461,515,937,963,733,3145,3565,1296,2820,247,14211,492,2242,2178,1436,1980,1223,360,726,179,10828,429,1152,1333,923,3200,2278,525,679,91,10612,253,2283,1304,555,1175,730,208,273,89,6871,399,669,709,512,1948,1873,798,2254,215,9383,360,2358,1524,901,1794,1404,428,963,197,9940,67,158,105,65,291,239,63,176,467,1637,3249,11275,9765,6576,18504,16825,5199,10686,1657,83729
CED503,271,450,488,376,1183,1703,659,2098,67,7309,563,1063,1112,915,1880,2090,626,1302,82,9623,749,861,867,658,2450,2853,1163,3574,211,13386,499,2255,1822,1057,1320,910,250,550,135,8786,360,1255,1297,762,1917,1335,340,566,67,7900,265,2154,1128,509,831,554,145,305,82,5976,744,472,427,277,1182,932,678,2870,151,7733,383,1956,1000,559,839,943,295,1023,143,7145,92,108,87,39,161,176,50,190,372,1274,3923,10570,8238,5157,11757,11503,4200,12478,1308,69139
CED504,193,405,517,455,1744,2218,810,1805,78,8218,681,1481,1503,1283,3772,4059,1107,1849,120,15856,438,981,1119,837,3092,3576,1054,2383,252,13728,480,2647,2406,1312,1886,1225,347,768,218,11284,417,1412,1535,989,3337,2225,472,678,95,11161,215,2539,1473,630,1188,850,189,371,111,7558,288,618,648,436,1480,1322,491,1499,169,6946,326,2539,1706,863,1798,1395,358,884,194,10059,58,171,111,81,266,256,66,156,490,1648,3095,12795,11009,6887,18557,17118,4885,10387,1728,86454
CED505,392,939,1038,854,1852,3850,1614,4503,86,15132,1359,3999,3873,2937,5473,8882,2855,6067,168,35606,298,676,547,393,1182,1671,559,1440,81,6848,409,3392,1761,811,930,866,251,482,106,9009,313,1906,1507,796,1987,1748,425,667,73,9415,226,2426,1007,399,612,691,220,494,45,6109,155,356,207,135,270,318,121,565,40,2157,194,1728,853,340,433,395,84,416,52,4505,71,179,115,87,158,186,42,166,294,1308,3414,15604,10918,6749,12901,18602,6181,14788,943,90102
CED506,450,595,643,525,1464,2405,1099,4893,162,12241,893,1143,1139,1056,2579,2995,1078,2378,130,13395,1027,967,831,638,2047,3269,1611,6207,318,16918,612,1686,1485,1149,1770,1695,495,1022,179,10102,495,1275,1213,854,2424,1863,587,1086,103,9889,242,1639,901,537,942,728,254,478,87,5805,933,617,504,283,799,1182,899,5088,213,10517,532,2104,1320,776,1268,1431,535,2374,285,10616,130,143,87,70,190,231,95,398,579,1934,5317,10170,8116,5889,13488,15797,6655,23918,2065,91415
CED507,400,615,621,519,1183,1862,828,2485,82,8597,734,1472,1480,1252,2005,2484,836,1597,74,11932,825,924,847,687,2163,3192,1198,3384,192,13409,518,2140,1843,1191,1234,906,232,512,116,8687,412,1395,1324,793,1731,1196,295,525,55,7724,301,2102,1181,630,896,644,180,338,67,6334,606,431,408,243,731,1052,611,2455,127,6659,501,2444,1372,821,1429,1310,490,1150,195,9716,80,129,84,64,133,187,54,174,300,1200,4373,11650,9155,6199,11501,12843,4726,12617,1196,74255
CED508,355,521,655,587,1926,3004,1142,2842,46,11075,1169,2412,2663,2058,4506,5643,1678,3055,159,23338,542,954,839,720,2470,3487,1202,2891,164,13271,480,2660,2047,1190,1531,1144,331,607,123,10109,445,1474,1584,985,2790,2184,499,768,67,10800,209,2287,1160,525,884,733,204,359,66,6429,318,400,333,252,856,950,423,1328,87,4943,310,1936,1035,536,921,874,302,790,122,6825,61,136,97,64,214,259,55,179,333,1394,3881,12782,10413,6917,16092,18278,5831,12830,1164,88177
CED509,291,450,591,452,1821,2531,1076,2705,58,9976,750,1606,1659,1300,3180,3641,1141,2122,114,15518,674,944,916,677,2781,3483,1241,3494,208,14406,545,2433,2116,1282,1844,1412,405,729,162,10926,476,1530,1586,1016,3184,2308,572,884,78,11636,275,2398,1354,580,1058,805,232,396,80,7183,510,524,473,356,1266,1380,629,2428,128,7697,340,2118,1141,604,1121,1012,299,904,135,7680,83,157,87,73,231,230,56,202,423,1539,3943,12169,9921,6338,16481,16812,5660,13861,1384,86562
CED510,351,517,730,612,1953,3219,1359,3378,56,12178,1074,2471,2739,1975,4143,5364,1614,2918,104,22396,555,938,907,750,2185,3393,1064,2603,128,12535,496,2815,1955,985,1198,1203,367,555,92,9666,471,1963,2043,1222,2735,2100,504,694,63,11798,237,2720,1374,474,795,754,206,391,50,7002,240,385,292,195,486,565,258,975,50,3450,253,2020,761,400,641,671,190,588,71,5591,58,131,98,69,182,205,56,145,270,1218,3723,13960,10897,6687,14325,17471,5629,12247,891,85832
CED511,644,973,953,733,1208,2624,1129,5771,235,14265,622,1168,1164,931,1725,2249,840,1809,83,10588,637,854,808,626,1786,2739,1275,4091,233,13048,485,1693,1530,1010,1223,1095,317,654,148,8156,414,1402,1214,767,1694,1374,335,638,80,7917,246,1566,931,461,878,684,238,380,77,5465,686,589,511,267,800,1425,846,3999,194,9316,497,2447,1368,833,1307,1565,648,1518,248,10438,142,139,95,50,127,185,59,209,430,1438,4369,10829,8579,5677,10739,13945,5690,19072,1726,80632
