CED_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
CED501,427,790,537,396,410,95,45,2692,66,62,39,27,32,3,0,237,28,32,21,13,17,10,3,117,798,1477,1170,860,1010,250,152,5708,70,90,54,49,45,13,3,317,69,132,75,43,38,4,0,368,138,222,128,95,84,17,6,690,943,1701,1299,950,1085,271,152,6396,1098,1071,550,384,343,53,35,3526,25,24,21,13,6,0,0,98,2062,2794,1872,1353,1431,317,192,10023
CED502,321,626,420,307,324,99,63,2170,46,44,23,23,20,3,5,168,19,21,17,14,27,10,3,112,625,1210,902,688,840,273,184,4729,55,84,64,44,47,15,3,311,82,154,73,48,42,13,6,424,137,241,139,90,94,20,10,733,767,1452,1041,782,934,300,195,5459,1078,964,545,368,298,95,64,3409,36,36,20,23,10,0,6,129,1876,2448,1607,1165,1245,395,261,8996
CED503,320,721,472,279,340,63,23,2216,42,41,30,25,30,7,0,178,10,21,14,8,15,0,0,68,547,1196,892,639,766,180,85,4305,26,68,47,37,39,8,5,235,66,115,68,33,35,0,4,330,96,192,116,66,75,15,6,561,647,1386,1014,703,833,192,92,4866,828,791,394,285,234,45,17,2602,16,23,17,4,8,0,0,71,1494,2195,1425,1000,1080,235,110,7544
CED504,312,654,421,323,367,145,84,2309,48,32,24,20,23,5,8,159,14,31,22,16,24,9,3,124,579,1218,896,688,891,380,250,4913,23,59,44,27,49,17,6,217,63,125,71,37,54,15,11,377,87,185,120,64,101,29,20,601,662,1410,1014,751,992,412,272,5507,765,783,433,313,331,122,82,2829,23,31,20,12,6,5,0,100,1451,2222,1466,1083,1327,537,350,8436
CED505,155,403,297,217,300,164,77,1621,14,20,25,12,17,6,9,95,3,9,0,5,8,3,3,27,273,781,691,565,804,456,265,3834,3,19,19,21,20,7,9,103,11,33,26,21,31,3,8,122,16,47,45,37,53,12,11,224,287,833,733,595,858,466,276,4053,163,221,162,123,161,100,58,995,10,11,0,3,4,0,4,29,454,1063,900,725,1027,576,339,5084
CED506,267,551,380,218,249,9,7,1685,42,39,36,23,33,4,0,183,28,33,21,15,14,0,0,113,588,1249,982,656,764,53,16,4312,34,61,43,34,21,0,0,196,51,94,55,38,31,0,0,272,84,155,101,75,52,0,0,467,666,1410,1079,733,819,54,18,4780,1087,1090,622,390,280,27,0,3500,32,83,48,20,13,0,0,195,1784,2585,1749,1142,1113,84,24,8471
CED507,286,709,555,404,406,43,6,2410,40,36,44,35,27,0,5,188,11,25,13,16,12,0,0,67,481,1160,1014,797,939,81,14,4488,15,36,31,26,15,3,0,117,36,80,41,30,20,0,0,196,46,111,69,55,29,0,0,312,530,1272,1077,849,970,80,17,4804,644,615,328,207,201,22,4,2025,5,15,10,12,0,0,0,43,1179,1899,1415,1068,1176,109,22,6873
CED508,250,583,431,294,365,110,57,2083,27,38,20,16,19,8,10,138,10,17,13,10,3,4,3,63,465,1118,862,637,845,316,198,4442,7,34,25,16,29,9,6,125,45,70,37,27,24,7,4,219,60,100,63,42,50,18,8,344,525,1212,925,684,902,330,212,4784,441,432,253,187,191,36,32,1569,15,9,9,8,3,0,0,47,977,1660,1193,868,1095,369,240,6396
CED509,324,643,422,284,333,88,45,2127,51,37,20,22,23,16,4,176,17,29,25,14,17,6,0,107,638,1247,948,681,902,284,151,4854,30,57,34,14,16,9,3,165,38,84,35,29,31,4,3,223,59,140,70,42,50,14,5,385,707,1389,1019,725,954,297,155,5243,682,652,354,227,225,48,22,2206,8,16,17,5,10,0,4,53,1391,2055,1388,957,1184,347,178,7508
CED510,188,445,341,218,293,121,67,1672,31,24,12,18,27,13,5,115,9,8,12,11,10,4,0,50,342,866,756,583,849,345,222,3958,5,24,18,13,21,5,9,95,19,51,26,15,17,5,4,136,21,80,45,33,37,12,15,235,368,944,800,611,886,354,232,4195,239,261,170,117,128,40,22,977,7,5,6,0,8,0,0,28,609,1213,970,734,1013,395,260,5196
