CED_CODE_2021,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
CED501,2450,475,46,15,2555,379,5919,1752,802,117,56,2391,638,5752,3245,3176,652,314,3902,1641,12933,2985,3860,968,480,3111,1469,12883,2836,3473,800,451,3091,1049,11702,2159,2879,798,419,2844,689,9784,1024,1660,760,466,2152,387,6453,493,777,387,297,1349,273,3570,115,153,81,63,461,161,1033,17064,17262,4612,2556,21852,6685,70029,2357,637,78,39,2070,302,5488,1515,1265,352,273,1627,342,5382,1775,3900,1919,2480,2398,780,13245,1305,4016,2611,2774,1868,647,13219,1344,4099,2261,1635,1974,546,11859,1009,3134,1828,1431,2095,410,9901,581,1549,1299,1348,2038,354,7174,314,663,582,595,1444,356,3951,137,199,90,89,688,268,1466,10341,19450,11015,10672,16187,4006,71674,4810,1108,123,54,4624,690,11407,3266,2067,470,334,4019,978,11132,5025,7073,2572,2791,6298,2416,26178,4296,7878,3575,3254,4979,2114,26097,4181,7572,3060,2085,5060,1593,23560,3166,6020,2624,1847,4934,1102,19691,1605,3206,2063,1818,4187,737,13616,803,1435,969,889,2792,630,7519,254,349,173,154
CED502,2066,509,44,17,2430,345,5412,1744,868,112,51,2597,409,5773,3279,3089,589,302,4764,1031,13049,3470,4281,1143,580,4366,1007,14844,2555,3117,779,407,3397,846,11100,1993,2379,659,325,2776,566,8697,1130,1701,755,429,2277,341,6621,443,689,351,255,1288,236,3248,113,120,53,53,441,155,940,16785,16737,4489,2425,24329,4927,69692,2011,722,88,26,2090,299,5243,1463,1267,349,240,1914,352,5587,2048,3518,1750,2283,3585,850,14034,1319,3966,2561,3030,2967,758,14600,1207,3338,1880,1531,2163,558,10672,961,2645,1551,1303,2262,412,9131,598,1513,1319,1303,2177,385,7289,337,646,529,528,1353,328,3728,135,196,97,70,690,259,1437,10076,17809,10123,10317,19197,4201,71717,4078,1232,136,46,4513,650,10650,3205,2134,463,294,4510,755,11357,5329,6604,2340,2584,8353,1884,27081,4783,8246,3702,3613,7334,1769,29443,3771,6448,2660,1939,5558,1402,21774,2950,5025,2211,1629,5034,976,17836,1721,3209,2074,1733,4455,725,13916,775,1334,874,782,2643,564,6976,252,311,149,127
CED503,2073,384,46,21,1825,272,4627,1316,611,91,33,1656,289,3996,2199,2271,455,274,2413,752,8367,2087,2873,776,442,2121,939,9227,2362,3026,766,410,2349,921,9837,2226,2974,924,489,2655,706,9973,1524,2591,1243,766,2843,584,9539,777,1305,713,518,1886,422,5629,193,240,125,121,691,206,1571,14756,16279,5141,3067,18442,5096,62773,2004,569,78,28,1649,263,4599,1178,1004,253,195,1131,248,4013,1232,2600,1349,2049,1560,519,9309,877,2951,1931,2355,1216,531,9854,1117,3726,1935,1563,1442,523,10309,1067,3360,2217,1708,1888,495,10745,655,2162,2092,2145,2522,481,10067,462,944,935,1034,1915,482,5780,216,251,161,150,957,372,2108,8815,17582,10944,11229,14290,3915,66779,4075,957,120,50,3476,538,9221,2504,1613,340,230,2789,536,8011,3430,4877,1803,2324,3972,1270,17675,2959,5824,2704,2793,3339,1468,19084,3478,6757,2697,1970,3799,1444,20147,3291,6337,3142,2197,4549,1198,20723,2179,4754,3333,2906,5364,1065,19607,1241,2252,1655,1551,3799,913,11411,403,490,287,269
CED504,1952,349,43,11,2483,263,5106,1861,797,110,52,2741,421,5990,3613,3067,563,256,4944,944,13385,3140,3669,920,390,3689,880,12690,2668,3198,791,338,3282,699,10984,2428,2917,794,351,3291,547,10324,1552,2145,868,436,2745,371,8118,668,969,463,290,1749,293,4419,173,227,76,73,614,135,1300,18064,17333,4633,2201,25538,4552,72324,1941,546,80,35,2010,263,4881,1821,1099,215,151,1993,323,5609,2424,3772,1439,1600,3405,794,13440,1446,3506,2071,2318,2654,686,12680,1281,3580,2032,1507,2382,505,11288,1200,3267,1921,1567,2619,438,11010,721,2106,1761,1543,2647,409,9184,466,963,761,706,1790,377,5066,248,297,148,105,911,226,1937,11559,19139,10429,9537,20407,4021,75084,3892,897,124,50,4499,527,9985,3690,1900,323,203,4732,744,11595,6043,6835,1998,1857,8348,1741,26823,4588,7170,2992,2711,6340,1566,25369,3952,6783,2821,1847,5660,1205,22277,3623,6183,2714,1917,5912,979,21335,2274,4252,2634,1985,5389,775,17297,1136,1935,1227,993,3541,666,9489,428,522,226,174
CED505,2859,353,21,20,2264,162,5673,2230,872,75,32,1768,214,5193,3958,3110,422,141,2810,830,11275,3179,4229,1021,354,1919,651,11353,3288,4369,1017,343,1541,482,11040,2728,3649,779,278,1493,409,9334,1709,2737,903,335,1640,395,7722,874,1372,629,282,1343,338,4842,281,325,163,76,781,233,1852,21103,21006,5028,1861,15559,3723,68286,2922,465,38,15,1818,186,5442,2442,1291,155,45,1321,247,5501,3372,4152,1029,957,2059,647,12214,1479,3848,2630,2605,1212,470,12230,1351,4482,2935,1852,912,361,11890,1281,3895,2271,1174,1079,339,10041,804,2540,2120,1271,1492,423,8655,489,1261,1203,912,1544,414,5817,338,465,282,221,1459,405,3173,14463,22411,12654,9057,12895,3493,74980,5781,819,58,35,4078,345,11116,4677,2163,225,76,3091,465,10697,7329,7264,1450,1103,4874,1478,23487,4652,8077,3645,2960,3126,1121,23589,4635,8857,3947,2200,2449,844,22932,4007,7541,3050,1454,2573,749,19378,2514,5278,3031,1606,3129,818,16374,1362,2639,1831,1200,2883,751,10662,619,789,446,294
CED506,1983,530,89,48,2202,870,5721,1550,835,197,75,1859,1031,5547,3478,3358,714,398,3942,3095,14976,3393,4023,1134,618,3057,2918,15144,3202,3904,1009,550,3305,2653,14618,2937,3544,1064,588,3426,2140,13697,1537,2172,1009,751,2579,1104,9150,523,775,428,370,1355,544,3985,110,124,91,77,413,163,968,18707,19261,5729,3475,22130,14502,83807,1945,715,121,57,1570,740,5151,1204,1189,376,268,1258,778,5073,2150,3864,1761,2208,2422,2097,14497,1365,4057,2397,2608,1634,1850,13907,1482,4253,2268,1489,1804,1609,12916,1262,3609,2042,1666,2026,1343,11950,591,1667,1514,1623,1833,869,8100,283,619,513,658,1125,508,3715,122,175,90,91,552,230,1268,10414,20151,11092,10676,14222,10023,76576,3932,1250,202,107,3769,1613,10871,2750,2030,575,346,3120,1811,10620,5628,7213,2481,2610,6362,5189,29474,4764,8073,3533,3224,4684,4770,29047,4683,8159,3281,2039,5114,4257,27532,4197,7153,3101,2255,5452,3489,25648,2129,3840,2526,2375,4412,1967,17253,806,1397,941,1031,2479,1045,7701,236,297,186,171
CED507,2204,358,22,14,1847,287,4735,1227,634,99,30,1246,267,3503,2356,2198,466,221,2224,913,8385,2412,3335,908,407,1890,973,9924,2644,3523,966,380,2029,975,10511,2448,3259,930,480,2205,755,10077,1631,2644,1289,713,2250,592,9124,682,1049,613,410,1402,338,4499,156,227,111,90,541,179,1301,15778,17227,5405,2745,15634,5279,62069,2222,550,60,22,1400,272,4525,897,891,207,154,853,213,3212,1257,2597,1244,1750,1378,564,8785,924,3369,2319,2523,1075,552,10762,1219,4157,2272,1546,1212,561,10969,1121,3612,2376,1650,1556,547,10861,658,2129,2122,1953,1988,561,9404,397,895,845,882,1459,410,4893,218,276,171,141,925,279,2010,8902,18478,11616,10625,11851,3951,65428,4425,912,87,34,3245,563,9255,2124,1528,303,187,2098,481,6720,3617,4791,1708,1969,3608,1471,17173,3340,6706,3223,2927,2964,1527,20693,3862,7680,3236,1934,3241,1534,21483,3568,6873,3304,2131,3762,1297,20938,2287,4773,3411,2669,4240,1146,18530,1085,1949,1465,1292,2861,751,9389,379,500,279,231
CED508,2103,296,26,15,1847,194,4485,1849,760,79,40,1932,279,4935,3695,3393,542,219,3192,855,11888,3260,4188,1152,455,2577,839,12463,2893,3816,912,387,2387,686,11080,2365,3084,745,307,2357,500,9362,1290,2136,775,366,2034,361,6971,551,850,415,249,1247,289,3603,154,218,68,75,531,169,1208,18159,18736,4712,2104,18104,4166,65985,2206,454,33,17,1536,182,4422,1912,1322,203,117,1354,257,5169,2691,4322,1442,1533,2138,643,12774,1483,4122,2567,2599,1553,521,12844,1407,4270,2312,1541,1455,449,11433,1340,3483,1837,1222,1756,380,10021,657,1983,1555,1245,1872,374,7688,347,858,609,565,1336,350,4071,206,221,140,102,928,325,1930,12254,21042,10690,8944,13945,3485,70349,4307,749,53,30,3384,380,8904,3760,2086,280,150,3286,537,10100,6383,7720,1980,1752,5330,1498,24662,4743,8300,3715,3050,4134,1360,25311,4302,8085,3225,1923,3844,1132,22514,3709,6563,2583,1531,4113,875,19380,1948,4121,2329,1612,3909,737,14658,893,1709,1022,811,2587,641,7668,363,443,208,174
CED509,2520,457,31,28,2330,264,5632,1811,736,73,39,2089,432,5180,3106,2984,578,275,3318,1448,11712,2978,4008,989,487,2896,1392,12749,2837,3821,896,417,2554,1059,11588,2262,3073,791,401,2483,725,9746,1253,2102,920,511,1966,354,7103,525,953,506,362,1214,267,3821,167,169,83,64,480,160,1127,17452,18309,4881,2579,19326,6101,68650,2402,584,62,31,1851,220,5156,1641,1178,243,162,1326,252,4793,1877,3596,1628,2148,2316,690,12260,1235,3926,2459,2653,1747,606,12627,1321,4282,2375,1645,1623,493,11737,1121,3287,1992,1399,1766,404,9961,567,1732,1649,1545,1738,355,7583,383,769,667,762,1264,315,4168,187,219,141,107,744,264,1651,10730,19566,11211,10456,14374,3597,69938,4923,1043,100,59,4176,481,10784,3451,1912,318,204,3409,686,9971,4980,6586,2206,2422,5636,2140,23971,4215,7934,3449,3134,4645,1998,25366,4160,8101,3275,2063,4173,1550,23326,3384,6358,2791,1794,4252,1131,19710,1814,3838,2566,2060,3700,707,14690,908,1719,1173,1123,2476,583,7991,354,389,224,172
CED510,2805,294,14,5,2226,137,5484,2027,639,52,32,1954,190,4894,2605,2147,402,149,2267,444,8010,3024,3935,989,361,1715,522,10551,3272,4474,987,308,1901,568,11510,2959,3866,930,363,2208,447,10774,1754,3102,1218,558,2164,294,9078,596,1050,530,272,1247,196,3892,155,209,106,70,508,89,1131,19193,19720,5224,2113,16181,2887,65320,2723,403,22,7,1745,140,5034,1901,861,103,52,1262,117,4302,1704,2711,1054,1081,1249,334,8136,1073,3820,2703,2397,930,285,11210,1330,4756,2875,1646,1018,299,11932,1309,4397,2639,1535,1518,311,11711,659,2426,2420,1790,1963,300,9564,341,846,775,742,1330,256,4287,200,253,136,105,1000,178,1868,11240,20474,12733,9354,12023,2213,68038,5529,696,35,20,3966,274,10523,3920,1501,164,82,3215,314,9197,4307,4859,1460,1233,3515,774,16143,4102,7755,3693,2755,2646,813,21760,4604,9230,3861,1958,2918,867,23435,4266,8264,3569,1897,3731,761,22482,2409,5530,3632,2344,4127,592,18638,937,1891,1308,1013,2575,455,8175,352,464,236,174
