CED_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
CED501,12,287,0,289,..,502,74,583,3,588,..,26,0,23,0,29,..,291,102,394,10,403,..,3790,377,4169,104,4272,..,18718,1864,20586,282,20865,..,712,66,776,10711,11491,149187,19427,1930,21363,10994,181547
CED502,287,2592,27,2621,..,560,95,657,3,657,..,282,60,343,3,346,..,492,168,657,12,671,..,9773,2286,12053,202,12259,..,47541,7486,55027,683,55709,..,1116,254,1365,9151,10520,116105,48654,7736,56395,9833,182330
CED503,9,138,0,140,..,351,58,404,3,412,..,21,0,21,0,21,..,154,60,216,0,220,..,2377,229,2600,59,2657,..,10499,919,11422,126,11547,..,640,42,688,8719,9403,138997,11142,963,12104,8845,159946
CED504,33,430,4,437,..,570,116,681,3,686,..,176,74,246,4,250,..,6306,3372,9683,66,9750,..,10664,2795,13454,181,13635,..,50172,11656,61834,612,62443,..,1256,301,1558,7936,9497,108238,51429,11962,63391,8553,180177
CED505,7,339,3,342,..,268,41,308,0,308,..,71,8,80,0,82,..,507,85,588,5,594,..,3971,262,4228,69,4302,..,26124,2307,28429,266,28698,..,653,53,708,6729,7432,136913,26772,2364,29135,6988,173040
CED506,7,126,0,127,..,564,104,662,4,672,..,28,4,38,0,35,..,392,181,571,10,575,..,8947,719,9666,277,9951,..,19683,1774,21453,438,21894,..,1155,241,1397,27003,28396,151157,20842,2012,22853,27441,201445
CED507,6,73,0,70,..,229,39,268,0,270,..,15,0,15,0,15,..,177,90,261,0,260,..,1689,287,1975,46,2025,..,9970,1130,11106,153,11256,..,472,39,511,9246,9758,136986,10444,1169,11614,9398,157999
CED508,16,315,7,312,..,348,62,414,0,416,..,82,9,95,0,95,..,326,92,418,5,426,..,3158,392,3552,85,3637,..,27261,3595,30853,355,31209,..,681,90,771,7135,7902,127670,27937,3690,31623,7484,166782
CED509,32,499,8,506,..,425,65,486,0,486,..,40,9,49,0,49,..,827,350,1175,8,1183,..,5776,797,6573,137,6713,..,25955,3009,28967,342,29311,..,730,83,815,9336,10154,135282,26684,3095,29783,9682,174739
CED510,6,121,3,127,..,280,41,325,0,325,..,40,0,45,0,45,..,336,86,417,3,423,..,2077,211,2289,51,2339,..,15802,1445,17240,171,17418,..,516,31,555,4429,4986,141710,16319,1473,17794,4607,164113
CED511,8,94,4,97,..,300,47,346,0,356,..,22,0,19,0,19,..,161,55,214,0,213,..,4023,580,4605,91,4693,..,11705,1252,12958,187,13141,..,618,92,706,17188,17893,145037,12323,1341,13663,17376,176071
CED512,11,239,5,243,..,448,54,507,4,511,..,66,3,69,0,69,..,1599,688,2290,17,2302,..,5192,640,5829,105,5939,..,27907,3245,31149,283,31434,..,862,106,971,6827,7794,138285,28767,3352,32120,7108,177513
CED513,18,497,5,503,..,608,106,714,8,715,..,140,24,164,0,164,..,2537,862,3402,13,3415,..,5356,594,5949,124,6073,..,38954,5757,44720,467,45189,..,806,106,908,9438,10352,126392,39759,5864,45625,9908,181928
CED514,38,714,11,723,..,690,151,842,9,852,..,447,146,592,4,599,..,1190,292,1478,17,1493,..,7228,1047,8276,196,8468,..,46344,6214,52561,694,53251,..,1105,137,1244,10509,11752,124871,47449,6354,53803,11202,189872
CED515,94,2157,16,2176,..,440,67,507,4,511,..,173,25,200,0,206,..,647,165,809,0,810,..,3897,377,4282,81,4357,..,48059,6657,54712,419,55133,..,812,102,910,6274,7185,121643,48870,6756,55625,6687,183959
CED594,3,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,10,0,15,0,15,..,97,16,114,3,117,..,432,51,479,9,486,..,70,5,78,3411,3488,4079,497,56,555,3421,8055
CED597,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,61,3,66,0,66,..,0,0,0,219,221,232,59,3,65,218,514
