CED_CODE_2021,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
CED501,1520,3767,6946,7035,5283,3402,2169,1089,265,31469,369,571,1682,1629,1623,1179,517,246,50,7855,549,800,2766,2626,3324,3742,2386,1068,245,17505,148,105,299,319,365,532,567,374,110,2819,37,36,75,101,123,219,330,399,177,1504,3,10,33,55,79,38,51,30,7,312,270,463,1129,1105,892,665,433,353,188,5496,2900,5747,12931,12877,11694,9783,6444,3563,1033,66968,1511,3972,8789,8653,6156,3910,2196,1090,259,36532,231,392,1438,1444,1600,1455,672,307,53,7598,399,592,2015,2120,3086,3316,2746,1297,453,16019,126,78,195,248,303,515,648,366,153,2641,22,23,53,89,144,216,426,387,233,1591,6,3,24,52,49,43,40,37,19,278,251,308,716,610,517,443,442,466,288,4050,2545,5372,13229,13213,11853,9900,7174,3947,1465,68694,3030,7735,15730,15690,11439,7307,4363,2183,517,68005,596,968,3119,3071,3222,2639,1189,555,98,15454,947,1390,4780,4746,6408,7068,5131,2363,695,33526,270,183,498,563,665,1044,1220,744,271,5458
CED502,1408,4053,8269,9440,5501,3362,2301,1079,234,35639,308,544,1305,1333,1200,827,477,206,36,6239,376,626,1944,2276,2741,2986,2312,901,198,14353,126,112,300,361,402,465,560,310,105,2742,37,51,151,277,246,310,468,379,155,2077,11,25,158,183,186,148,97,71,29,908,275,343,906,956,816,593,399,299,183,4772,2536,5748,13030,14823,11094,8687,6620,3248,938,66728,1493,4198,10049,10274,5664,3670,2313,996,255,38907,189,394,1051,1113,1291,1149,626,246,53,6109,323,546,1648,1810,2424,2877,2679,1173,323,13797,90,79,201,262,313,451,568,372,176,2513,34,26,145,230,246,339,499,416,276,2209,10,22,146,179,193,202,147,92,51,1043,267,302,769,718,532,428,462,430,301,4204,2399,5567,14013,14578,10660,9118,7283,3723,1435,68779,2899,8255,18310,19709,11169,7035,4614,2072,489,74547,500,931,2358,2446,2488,1973,1101,456,92,12345,698,1170,3592,4085,5162,5864,4988,2074,520,28151,213,187,494,626,720,917,1126,682,282,5253
CED503,1118,2531,4329,4585,4020,3407,3320,1726,375,25417,313,449,1213,1302,1338,1121,729,373,58,6899,449,621,1859,2103,3082,3930,3521,1664,305,17539,127,97,227,318,396,613,827,616,227,3447,26,23,43,88,119,204,489,695,320,2007,9,12,22,26,37,28,44,24,11,221,219,264,667,798,837,665,603,526,268,4842,2254,3995,8363,9224,9835,9969,9538,5627,1564,60370,1197,2902,5972,6102,5244,4110,3143,1516,390,30592,209,319,1056,1202,1415,1720,1001,388,78,7387,383,495,1595,1769,2708,3699,4129,1888,490,17149,116,59,161,204,287,480,758,673,264,3000,30,7,32,66,105,187,424,600,380,1823,0,3,10,20,22,30,28,32,15,166,194,226,478,488,531,525,582,669,486,4179,2133,4012,9304,9849,10308,10746,10062,5771,2108,64295,2322,5435,10303,10692,9266,7513,6466,3245,773,56006,517,769,2268,2510,2757,2842,1727,764,138,14288,834,1113,3456,3871,5788,7628,7654,3556,795,34690,238,157,387,521,680,1092,1589,1292,489,6447
CED504,1469,4650,9508,8417,5876,4585,3487,1483,304,39778,227,412,1096,1076,1162,996,505,215,39,5730,237,437,1402,1592,2367,3039,2336,1042,209,12660,83,70,196,241,320,486,524,411,140,2474,14,25,176,292,314,405,640,753,360,2976,10,17,152,231,255,251,193,136,103,1342,197,364,825,823,668,559,424,374,149,4390,2234,5970,13365,12679,10961,10309,8115,4416,1300,69350,1543,4572,10369,9219,6460,4863,3142,1325,282,41775,156,315,767,786,1126,1299,722,237,69,5478,191,341,1075,1196,2177,3033,3038,1386,404,12836,60,40,152,255,313,466,612,482,192,2571,18,24,196,282,394,524,901,966,533,3835,14,15,144,282,319,343,265,211,148,1726,202,271,720,649,482,466,496,453,291,4040,2186,5580,13426,12660,11266,11001,9174,5062,1921,72265,3009,9220,19875,17634,12339,9447,6625,2810,593,81553,389,725,1867,1863,2287,2286,1228,449,109,11201,432,782,2477,2785,4538,6075,5370,2430,611,25502,145,108,354,500,631,953,1139,892,327,5046
CED505,1891,4698,9388,9615,9072,7115,5572,2921,897,51168,94,147,510,493,521,530,341,237,74,2955,101,119,492,494,813,1085,1044,802,297,5252,33,19,52,63,95,108,168,221,147,907,3,8,23,28,38,58,107,217,171,650,0,4,18,21,19,34,26,22,7,157,138,193,784,628,476,414,457,423,262,3764,2264,5184,11270,11348,11037,9334,7718,4840,1852,64844,1942,5051,10799,10976,10132,7652,5431,2803,1135,55909,61,111,342,325,526,646,596,362,131,3088,53,91,366,365,769,1200,1739,1499,753,6831,24,17,34,49,59,86,197,347,272,1088,5,3,19,35,45,70,152,278,345,961,0,5,20,18,19,40,37,38,34,212,154,226,640,464,348,349,501,476,504,3655,2239,5502,12211,12229,11893,10037,8647,5815,3170,71748,3838,9746,20186,20592,19206,14759,11000,5725,2029,107075,153,257,855,820,1046,1174,940,602,202,6048,157,207,864,862,1580,2281,2775,2306,1048,12085,56,41,89,113,146,201,370,570,421,1994
CED506,1032,2864,6917,6637,5076,3827,2528,914,146,29944,503,662,1754,1815,1905,1487,690,237,43,9100,626,851,2789,3221,4094,4873,3153,1014,206,20835,200,149,399,464,579,802,839,458,113,4000,84,48,170,185,311,467,698,661,248,2866,16,18,48,74,90,77,70,82,34,510,758,947,2875,2735,2546,2164,1170,615,180,13991,3219,5544,14960,15130,14609,13693,9152,3985,968,81252,1107,3034,8765,7985,5911,4173,2322,831,191,34322,310,498,1411,1482,1702,1808,814,273,37,8316,458,617,1877,2129,3014,3697,2859,999,310,15947,155,113,256,320,392,499,577,417,152,2871,68,46,104,129,198,290,479,532,249,2092,10,16,41,33,66,66,83,77,51,436,590,742,2043,1814,1640,1409,960,593,288,10076,2694,5066,14490,13893,12916,11939,8093,3715,1268,74066,2140,5898,15684,14619,10985,7996,4853,1746,341,64266,812,1162,3168,3292,3602,3288,1503,510,80,17426,1080,1472,4671,5343,7110,8573,6016,2011,514,36785,353,264,650,783,974,1296,1416,876,260,6872
CED507,967,2150,4410,5133,4683,3646,3315,1332,315,25953,351,481,1105,1358,1384,1043,686,272,57,6730,452,552,1811,2269,3064,3893,3304,1400,242,16982,101,64,221,257,333,541,706,513,147,2878,24,28,74,78,107,171,449,541,299,1768,3,11,41,23,35,43,26,29,24,231,232,218,716,807,904,738,638,410,223,4891,2123,3505,8383,9922,10515,10078,9122,4496,1302,59432,1070,2330,5891,7139,6002,4640,3145,1315,379,31911,208,239,910,1167,1401,1562,1000,336,91,6917,283,382,1216,1684,2716,3530,3650,1652,495,15607,72,58,135,155,194,382,603,492,248,2345,8,17,44,59,73,143,335,552,406,1648,4,3,29,21,20,25,27,25,26,174,202,191,552,532,557,579,639,512,361,4128,1850,3212,8784,10762,10963,10865,9407,4895,2007,62738,2039,4479,10303,12273,10687,8289,6461,2648,690,57871,558,720,2014,2521,2781,2601,1687,611,149,13645,734,934,3029,3952,5777,7420,6952,3052,736,32586,169,123,354,414,527,926,1311,1005,392,5227
CED508,1286,3869,8654,8938,6602,4670,3284,1252,289,38843,205,352,1014,1055,1221,952,458,145,34,5429,239,380,1232,1431,2197,2598,1932,793,212,11015,49,46,134,171,247,366,385,354,103,1856,15,18,26,47,113,215,411,592,282,1732,6,14,25,30,44,58,60,79,54,360,169,259,790,788,657,501,428,371,233,4193,1971,4927,11871,12463,11073,9354,6956,3594,1208,63421,1419,4339,10543,10304,7657,5449,3193,1114,382,44399,137,250,668,763,1111,1157,567,226,53,4925,175,278,812,1046,1867,2448,2403,1076,379,10487,39,41,87,130,203,297,440,410,169,1812,6,14,37,63,113,186,526,705,402,2051,6,3,21,38,39,64,90,91,97,455,139,238,600,495,443,400,467,443,447,3681,1920,5161,12771,12841,11427,10011,7679,4064,1930,67807,2700,8215,19198,19235,14254,10119,6472,2365,668,83239,339,598,1680,1816,2329,2110,1023,376,88,10349,421,652,2045,2482,4063,5045,4339,1871,588,21508,90,82,217,302,447,663,826,767,279,3669
CED509,1518,3704,7044,7841,5983,4174,3122,1455,305,35135,289,462,1293,1307,1297,1006,506,223,41,6425,369,680,2194,2264,2951,3232,2252,1007,237,15172,97,58,209,290,329,415,429,365,119,2308,26,24,85,109,143,190,353,410,205,1538,4,16,51,85,100,87,55,42,15,445,185,239,824,854,793,627,389,321,213,4440,2483,5172,11703,12741,11585,9734,7100,3815,1127,65464,1542,3785,8956,9161,7022,4758,2967,1333,399,39922,205,350,1081,1051,1301,1273,635,257,50,6190,238,388,1413,1508,2470,2944,2634,1293,355,13239,64,42,130,174,246,338,470,394,171,2025,21,12,64,128,157,188,366,430,275,1650,0,9,44,97,90,75,81,51,51,497,170,198,550,496,455,387,432,412,358,3466,2245,4785,12250,12613,11731,9962,7577,4165,1652,66986,3061,7484,16007,17002,12996,8936,6086,2792,701,75061,489,807,2371,2358,2596,2282,1140,478,90,12615,608,1068,3612,3768,5413,6172,4886,2295,587,28410,163,102,346,462,572,756,898,753,288,4337
CED510,1633,4097,5880,7694,7704,6191,4803,1757,366,40122,211,290,741,949,1073,1125,736,270,52,5449,257,304,852,1255,1990,2692,2575,1013,266,11201,70,28,90,109,143,236,390,307,113,1481,12,10,24,31,38,66,206,251,148,783,0,5,16,21,13,21,23,26,18,136,110,161,408,494,544,436,336,263,173,2923,2293,4890,8010,10545,11506,10767,9072,3888,1129,62093,1607,3798,6762,9379,8750,6954,4315,1463,459,43479,102,168,458,667,1078,1450,944,316,93,5279,153,200,537,797,1660,2683,3240,1436,495,11193,38,20,48,67,97,186,416,361,212,1455,8,5,19,35,47,97,236,304,252,1008,4,0,17,7,25,31,31,37,27,172,80,103,290,253,282,305,370,372,333,2393,1998,4302,8133,11212,11931,11707,9554,4277,1870,64978,3238,7894,12636,17075,16453,13146,9116,3218,825,83605,312,463,1202,1615,2145,2575,1681,583,149,10732,411,502,1384,2053,3648,5370,5823,2448,754,22391,109,52,141,167,236,421,804,662,330,2934
