CED_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
CED501,14951,21848,8069,568,45433,11364,1539,58338,536,160,255,26,982,1584,67,2625,125,60,73,12,270,373,29,675,662,218,325,37,1252,1956,94,3299,192,56,109,18,370,936,49,1357,65,34,40,3,140,236,13,394,94,16,13,5,122,154,8,288,17,0,3,0,17,11,0,27,8,17,5,0,32,17,5,51,372,125,165,25,686,1351,79,2111,44,0,8,0,51,83,3,140,12,0,4,0,20,62,0,82,0,0,0,0,5,3,0,8,17,0,0,0,22,28,0,49,77,8,12,0,96,179,10,274,15,12,6,0,37,30,0,69,16078,22215,8571,631,47493,14880,1718,64091
CED502,12757,22350,7369,758,43231,10910,1720,55864,1022,757,730,84,2596,2741,195,5533,99,87,58,14,261,227,27,511,1124,845,793,101,2862,2964,219,6048,80,61,65,6,210,286,25,524,65,31,31,11,135,146,28,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,7,0,38,42,0,74,154,108,99,26,390,474,49,912,24,0,9,0,37,125,5,164,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,9,26,9,4,3,40,25,6,70,48,15,12,3,76,158,11,240,9,7,7,6,30,30,0,59,14086,23331,8275,886,46581,14539,1998,63120
CED503,16738,17166,6147,427,40481,10533,1120,52137,1044,180,277,25,1534,2348,79,3954,324,87,114,8,536,521,37,1088,1365,267,392,36,2061,2865,110,5046,81,26,29,5,138,319,14,469,90,22,18,0,125,62,5,189,82,14,17,0,121,77,3,197,86,16,7,4,114,46,0,155,24,6,4,5,42,32,0,74,361,82,78,15,538,527,32,1092,70,6,14,0,91,193,7,285,119,4,14,0,140,230,3,377,5,12,0,0,20,8,0,29,14,11,6,0,31,21,0,49,211,30,35,4,277,457,9,740,25,10,8,0,40,46,4,86,18695,17562,6660,479,43398,14429,1271,59100
CED504,13573,18791,6899,803,40069,10623,1653,52352,2365,2058,1480,180,6085,5311,561,11952,314,270,209,28,824,650,72,1545,2688,2326,1688,205,6905,5960,635,13496,140,49,58,13,258,397,13,668,0,0,0,0,0,0,0,0,5,0,0,0,0,11,0,17,0,0,0,0,0,0,0,0,16,11,6,0,35,30,0,65,157,55,67,14,294,435,18,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,9,12,9,0,3,21,24,0,48,16430,21184,8658,1023,47297,17043,2312,66651
CED505,10656,16827,3229,327,31043,6500,1206,38745,1923,1394,819,85,4214,3494,467,8183,1887,1425,672,90,4076,2262,494,6830,3811,2817,1489,174,8290,5760,964,15017,920,414,223,56,1613,2183,267,4059,961,346,166,33,1499,2184,221,3911,967,294,186,33,1483,1913,181,3580,268,81,55,15,427,416,60,907,8,9,3,0,19,12,0,32,3123,1143,629,135,5033,6710,739,12482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,8,3,18,0,7,0,0,10,7,3,18,13,3,3,0,20,33,0,56,17606,20801,5352,641,44395,19010,2913,66316
CED506,16320,17684,6126,623,40748,12317,1521,54581,844,567,473,85,1970,2261,161,4394,330,203,91,3,640,445,58,1145,1181,774,564,95,2610,2706,219,5534,222,94,83,10,408,651,56,1112,55,11,4,4,78,101,5,185,32,17,4,0,53,59,4,114,32,10,5,0,44,85,6,132,7,4,0,0,12,9,0,24,345,129,98,16,592,914,78,1581,448,90,47,10,591,623,44,1252,57,10,5,0,73,120,4,194,35,20,4,9,69,81,7,159,63,43,16,3,114,47,18,180,593,160,78,17,842,876,71,1789,182,94,30,9,318,354,24,690,18618,18838,6892,758,45105,17157,1908,64174
CED507,16595,16523,5773,389,39271,10752,1387,51414,893,294,410,27,1617,2597,124,4343,224,114,71,4,415,306,41,757,1116,410,476,30,2034,2901,170,5103,98,41,35,4,184,326,23,527,10,8,13,5,35,65,5,104,18,0,0,0,18,13,0,30,20,4,0,0,17,12,0,32,11,6,0,0,19,15,0,39,161,62,45,5,272,441,25,736,87,20,11,6,119,213,5,341,97,14,4,0,114,187,14,315,8,10,3,0,18,26,0,43,10,9,6,0,28,19,0,48,198,47,24,4,280,448,22,750,35,28,7,0,76,60,7,142,18106,17069,6327,425,41933,14599,1611,58142
CED508,12757,18502,5350,490,37098,8677,1628,47399,1552,950,823,73,3397,3402,309,7111,760,419,313,35,1533,1123,174,2825,2313,1370,1135,108,4930,4525,484,9941,228,75,99,20,420,756,62,1237,324,107,134,20,589,983,91,1661,740,164,110,15,1036,1164,104,2305,119,18,26,0,164,201,16,380,36,23,16,0,72,49,5,124,1450,389,378,59,2276,3155,277,5711,3,0,0,0,3,12,0,14,102,3,13,3,124,200,9,330,0,0,0,0,0,0,0,0,12,4,4,0,21,17,0,41,118,9,18,4,150,223,6,384,16,13,0,0,25,46,7,83,16657,20278,6884,665,44486,16624,2402,63514
CED509,15134,21837,6297,528,43806,9673,1194,54671,729,458,435,46,1676,1981,136,3790,174,85,113,13,383,358,38,780,908,548,552,61,2062,2342,173,4573,65,21,32,10,131,201,12,345,59,24,43,6,124,209,17,357,24,8,9,0,44,56,4,100,14,0,7,0,20,37,3,53,21,18,5,0,47,42,0,87,177,70,97,21,360,539,37,942,27,4,0,0,35,36,0,73,32,3,3,0,38,103,0,145,0,6,0,0,10,3,0,14,10,5,4,3,21,9,5,39,75,21,13,3,107,159,5,268,18,25,12,3,52,30,0,80,16314,22496,6972,613,46386,12733,1413,60539
CED510,15730,22191,4815,383,43120,7309,908,51333,982,492,448,30,1951,1921,102,3975,452,233,163,10,858,547,91,1497,1437,721,609,44,2814,2469,191,5475,111,16,27,6,158,295,13,469,132,27,46,5,209,321,36,568,162,36,51,12,269,273,39,581,0,0,0,0,0,0,0,0,17,14,5,0,42,36,0,82,420,91,138,23,677,934,93,1701,32,3,3,0,43,79,0,129,6,0,0,0,7,5,0,19,6,0,0,0,6,0,0,0,4,8,0,0,11,3,5,22,51,7,3,3,72,93,10,173,5,0,0,0,17,18,0,29,17649,23022,5573,449,46694,10819,1205,58715
