CED_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
CED501,0,7,9,13,5,13,17,29,126,4,157,0,17,4,16,0,5,7,26,22,0,50,4,29,3,31,15,7,22,53,75,0,133,7,35,4,44,15,20,42,88,138,0,223,5,63,8,82,20,36,57,142,239,4,383,34,207,23,265,38,59,101,364,454,0,817,65,321,21,411,33,33,65,478,344,0,820,179,326,26,529,24,15,41,567,381,3,958,295,288,26,611,24,11,33,650,340,3,997,323,210,35,568,10,5,21,588,224,0,816,342,106,27,474,9,6,17,486,151,0,640,299,83,16,402,3,8,13,412,102,0,516,423,125,34,577,9,0,12,588,131,0,715,189,53,14,260,4,7,9,267,79,0,346,134,16,13,162,4,3,4,167,29,0,201,55,18,11,77,0,0,0,80,11,0,94,109,26,9,146,0,0,0,150,27,0,179,236,125,42,399,17,13,25,429,213,7,648,14,5
CED502,0,3,7,10,9,11,23,30,139,3,169,0,4,0,7,6,0,10,17,32,0,46,0,20,4,25,13,11,25,44,80,0,131,4,46,5,55,28,28,53,110,123,0,240,7,72,6,82,24,27,50,136,285,0,426,23,166,17,204,37,55,92,301,395,0,697,71,226,20,320,41,33,75,388,365,0,757,181,238,25,446,21,22,41,483,420,3,912,325,250,19,594,14,23,40,634,345,0,978,321,224,21,565,25,20,43,607,253,5,872,268,109,15,394,16,11,27,419,151,7,575,246,98,21,368,4,3,10,373,136,0,513,431,141,27,598,3,5,11,613,172,7,789,190,51,11,251,0,5,10,259,89,0,347,144,36,6,180,3,5,6,182,35,0,218,49,19,5,63,0,0,0,70,11,0,82,78,18,0,100,4,4,8,104,33,0,139,182,100,39,327,25,11,35,362,208,16,586,11,0
CED503,4,3,0,9,7,18,19,29,80,0,111,5,6,0,4,9,0,4,11,26,0,42,0,21,0,19,9,11,13,41,53,0,87,5,34,3,47,22,19,38,82,101,0,189,10,69,3,78,25,25,46,122,194,0,322,19,191,19,230,32,53,91,318,340,0,663,54,250,30,331,24,28,52,384,284,0,666,110,267,19,401,12,21,32,433,323,0,759,211,234,14,456,18,9,27,480,272,5,758,247,145,10,404,8,13,17,425,200,3,630,194,106,13,309,5,4,8,316,101,0,416,171,56,9,237,6,0,9,249,98,0,344,315,88,38,445,5,0,4,450,112,0,562,135,53,10,201,3,0,8,205,57,0,265,110,18,9,138,4,0,4,142,18,0,166,35,13,0,54,4,0,3,56,17,0,73,106,17,10,134,7,3,6,138,32,0,171,186,118,29,330,15,8,22,349,186,10,554,13,10
CED504,4,4,0,11,7,9,14,28,136,7,169,4,8,0,14,3,5,6,18,42,0,57,4,21,0,24,7,10,24,43,71,0,119,5,54,0,63,17,16,39,94,142,0,242,9,68,6,79,14,30,48,131,245,0,372,16,178,19,210,33,49,81,296,347,0,638,67,243,23,331,22,35,53,387,330,5,718,162,241,32,435,17,23,37,470,453,10,929,296,270,18,582,10,18,27,611,394,6,1010,323,238,24,584,15,11,32,610,285,0,904,280,132,17,430,20,3,19,444,217,0,666,258,106,23,382,4,5,6,386,156,0,546,455,172,27,652,12,11,24,678,208,0,889,223,75,8,307,5,11,16,317,103,0,417,167,45,16,221,0,4,4,235,33,0,264,60,17,0,75,0,0,0,74,27,0,107,101,32,10,139,0,4,3,137,42,3,185,213,120,36,368,14,21,34,405,213,14,636,9,3
CED505,4,3,0,5,4,4,12,20,102,0,125,4,10,0,14,3,4,6,20,29,0,47,0,13,0,13,5,7,11,21,42,0,63,0,22,0,22,8,9,13,39,66,0,97,0,45,4,47,6,5,11,61,89,3,151,9,95,0,103,11,13,24,126,117,0,250,9,109,11,135,5,12,21,154,105,0,255,51,159,11,219,7,15,21,242,152,0,391,99,173,11,280,8,9,15,296,155,0,448,130,160,7,298,4,5,7,304,125,0,427,170,112,11,293,4,0,3,300,81,3,379,186,79,10,274,3,0,11,279,78,0,363,389,152,11,548,9,6,14,561,100,0,658,153,49,8,214,0,3,5,221,66,0,287,161,45,5,214,0,0,0,216,29,0,248,45,17,0,67,0,0,0,68,16,0,85,443,99,7,553,12,0,12,566,76,5,640,214,108,23,336,11,0,12,346,110,10,472,3,6
CED506,0,0,4,8,8,9,7,15,95,0,109,4,4,0,8,0,0,3,14,45,0,56,3,24,0,34,16,17,29,65,170,0,241,4,37,3,48,23,23,47,89,217,8,319,14,57,12,85,19,30,44,129,306,5,440,29,148,14,192,22,40,67,256,317,0,575,53,186,19,260,22,16,38,298,295,7,600,119,188,23,323,13,13,23,354,336,10,693,225,181,21,423,12,7,21,448,233,0,683,230,120,24,376,9,9,21,392,164,0,561,258,83,21,367,4,5,12,374,95,0,475,230,54,19,309,0,4,9,316,81,3,395,380,83,28,487,0,3,7,495,98,5,595,145,43,7,200,0,0,0,200,51,0,248,136,27,17,182,0,0,0,179,22,0,201,59,5,7,72,6,0,6,70,7,0,84,122,17,12,149,5,0,4,149,32,3,185,227,115,33,369,12,9,20,394,236,20,650,16,3
CED507,8,0,0,8,0,5,7,19,60,0,81,0,7,0,7,0,3,3,5,22,0,31,3,16,0,22,8,9,14,42,39,0,80,0,44,0,47,9,8,19,71,91,0,159,5,70,7,82,10,9,24,110,188,0,295,31,179,20,227,22,37,61,283,279,0,562,66,298,24,392,17,13,31,426,240,0,667,157,286,23,463,16,9,24,491,259,3,754,242,314,27,586,6,10,12,600,240,0,842,225,185,15,428,6,5,12,437,168,0,608,197,120,17,336,0,6,6,340,83,0,418,180,65,12,262,5,0,3,266,59,0,325,334,75,27,438,3,5,7,448,89,0,535,106,50,19,172,0,0,0,174,40,0,213,79,17,7,106,0,0,4,114,14,0,123,31,3,3,40,0,0,0,36,9,0,44,60,15,5,83,0,0,0,84,18,0,106,225,134,24,389,11,10,20,402,167,9,583,6,6
CED508,3,6,0,14,5,8,10,24,66,0,90,4,11,0,14,5,0,8,19,23,0,41,4,21,8,27,15,9,24,48,44,0,92,0,32,0,36,9,14,21,59,94,0,158,6,72,0,78,10,19,21,102,175,3,281,14,135,9,158,15,34,50,203,217,0,423,41,201,20,264,12,18,31,291,190,0,483,110,227,23,360,7,14,19,379,294,0,675,197,269,10,476,11,9,15,493,227,3,721,229,189,15,433,12,10,23,452,171,0,624,262,167,15,446,11,11,21,468,124,0,593,251,117,10,372,6,4,10,381,80,0,463,478,132,24,633,10,6,12,647,129,4,776,189,67,14,260,6,5,3,265,66,0,333,183,46,9,236,3,0,8,236,30,0,268,69,15,3,93,0,0,0,89,11,0,102,194,35,14,242,0,0,0,245,34,0,280,215,119,29,362,11,5,17,378,159,9,551,11,3
CED509,3,6,3,13,13,3,18,33,96,0,128,0,5,0,5,4,5,5,13,27,0,40,0,23,7,32,13,4,18,49,56,4,106,4,25,5,33,16,14,25,61,82,0,147,3,50,9,63,15,15,31,96,170,0,265,27,155,17,196,27,36,59,257,225,3,481,56,208,18,283,16,24,40,322,227,0,548,141,242,11,396,8,15,25,423,265,0,688,231,248,33,506,12,19,35,540,232,6,770,277,210,25,517,16,9,17,533,181,0,717,274,92,14,383,3,6,13,395,120,0,514,266,85,14,371,0,0,4,376,94,0,465,505,149,27,682,6,0,9,692,130,0,824,208,69,15,292,5,3,11,297,57,0,356,152,31,10,196,0,0,3,201,29,0,227,60,8,7,75,0,0,0,75,16,0,94,141,24,5,168,0,0,0,168,29,0,200,222,99,39,359,10,5,16,380,157,13,553,7,10
CED510,6,0,0,4,5,7,5,14,50,0,63,0,13,0,10,0,3,7,20,18,0,38,0,11,5,15,3,0,7,24,23,0,48,4,27,3,33,3,16,16,46,51,0,96,6,45,6,60,3,6,11,74,103,3,186,18,90,18,121,14,25,44,161,120,0,286,28,154,10,186,8,8,22,207,112,0,320,82,174,11,269,11,11,14,283,166,0,447,174,209,14,397,0,4,7,406,181,0,589,211,170,10,391,8,7,11,405,131,4,533,223,104,14,335,9,9,12,347,104,0,449,224,91,13,326,0,3,8,333,71,0,405,430,164,25,619,4,0,5,623,117,0,743,163,47,15,226,6,0,8,231,62,0,293,183,32,7,229,4,0,4,234,17,0,252,70,6,5,83,0,0,0,83,14,0,95,213,40,11,264,3,0,5,268,40,0,303,224,118,18,358,8,4,12,366,116,9,489,15,0
