CED_CODE_2021,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
CED501,729,52,1236,7,7,72,121,242,25,478,9,10,26,23,37,0,103,28,12,140,152,273,30,643,4,10,66,118,177,22,399,119,50,432,231,389,27,1245,29,20,175,218,444,47,925,123,99,490,467,686,53,1924,351,505,1612,693,1369,114,4646,420,414,2342,1684,2681,254,7789,12,12,78,62,164,11,351,17,19,118,252,722,52,1180,30,20,152,154,313,137,809,1346,1284,6869,5422,10910,1055,26885,9,11,47,39,160,17,282,141,62,539,586,3040,117,4491,122,52,570,617,2818,131,4307,23,8,125,113,432,13,715,69,29,425,614,4117,183,5435,36,14,161,198,713,34,1159,102,31,534,621,2112,158,3555,50,13,301,365,1322,90,2144,79,20,282,440,1126,106,2051,16,16,91,66,131,8,321,63,25,237,241,344,37,946,13,14,100,175,342,34,681,292,105,987,581,886,74,2915,40,23,256,315,848,73,1562,284,183,993,1274,2227,158,5111,498
CED502,581,49,1323,57,15,152,142,313,29,708,15,11,41,18,37,5,119,61,24,209,144,186,20,640,14,8,69,89,130,12,316,202,61,545,232,339,39,1415,72,21,225,173,341,45,883,158,67,502,301,399,57,1487,464,376,1432,542,1033,88,3931,636,366,2868,1556,2258,260,7943,21,7,109,85,140,10,373,48,27,174,226,569,41,1079,64,16,228,152,317,188,967,2275,1110,8178,4810,8651,1041,26057,23,6,65,47,107,10,263,265,45,711,437,1629,93,3170,204,39,722,576,1885,118,3544,46,18,146,88,288,18,609,180,43,586,518,3146,147,4620,109,15,306,272,864,43,1609,294,49,974,650,1797,172,3945,144,28,517,608,1143,89,2534,281,46,724,772,1316,154,3281,52,15,142,88,115,11,427,138,45,383,232,250,34,1078,40,8,148,136,297,28,647,558,132,1434,588,712,98,3520,132,30,410,336,710,82,1696,355,135,927,688,1081,112,3295,698
CED503,586,64,1009,17,6,61,84,200,18,377,10,0,15,12,28,4,73,17,10,78,109,129,17,360,3,0,51,105,190,31,384,81,61,339,228,356,39,1103,19,16,100,143,345,29,643,92,76,350,281,446,53,1301,238,443,1427,600,1096,97,3907,306,302,1734,1311,2052,190,5899,13,4,64,65,169,17,331,14,18,102,240,634,38,1051,28,13,108,137,281,135,692,988,1060,5365,4467,8879,998,21766,15,17,124,108,284,54,598,124,61,460,647,3236,156,4692,109,48,428,472,2379,113,3537,18,12,70,92,374,23,591,43,42,272,529,3473,148,4503,41,7,97,140,523,34,836,79,21,396,529,1776,172,2963,33,22,239,270,1040,99,1707,45,12,187,296,905,58,1509,14,5,41,38,90,13,194,28,15,120,197,188,18,570,11,8,95,172,360,41,686,199,91,716,450,690,70,2219,30,16,160,226,710,50,1191,161,144,577,595,1046,90,2619,354
CED504,526,65,1371,35,13,150,107,173,25,507,8,12,68,31,28,8,154,59,38,263,183,202,27,767,10,4,104,108,132,24,393,275,105,890,317,331,60,1977,77,21,271,198,363,47,976,194,121,670,306,384,42,1718,439,527,1554,584,879,121,4101,713,414,2817,1454,2053,287,7742,24,6,135,113,134,12,420,57,30,242,321,674,62,1379,63,31,285,160,279,166,976,2428,1452,9317,5097,7853,1182,27328,22,3,59,30,68,17,202,274,66,757,338,1230,76,2749,158,39,559,453,1409,131,2747,70,14,194,101,240,14,628,194,45,786,717,3524,180,5447,72,17,285,203,608,48,1238,320,70,1131,749,1634,197,4101,167,27,720,654,1092,117,2777,188,49,641,534,920,127,2459,52,18,186,106,153,12,525,132,68,586,342,316,43,1489,34,8,219,183,244,36,737,695,195,2269,749,705,135,4742,152,34,461,337,779,94,1856,375,211,1255,693,991,92,3611,669
CED505,308,62,1348,51,10,175,66,73,14,390,53,32,193,41,22,12,335,161,73,524,190,107,38,1093,72,36,299,146,132,35,715,1015,317,2458,394,255,81,4519,115,56,406,170,154,39,945,448,189,984,192,158,40,2012,1375,871,2533,551,449,99,5883,2142,759,5083,1027,742,221,9965,90,51,326,71,93,18,644,103,52,368,237,349,33,1142,160,56,452,154,122,125,1070,6811,2839,17166,4335,3858,971,35973,58,23,176,51,43,9,360,1468,292,2859,422,914,84,6028,291,70,728,254,464,55,1853,198,46,348,67,94,10,771,369,104,1409,678,1870,115,4537,185,54,603,170,223,41,1273,377,91,1524,503,778,103,3377,199,54,1049,521,672,100,2598,207,49,588,273,316,64,1488,106,49,409,109,88,14,781,436,224,1473,453,186,78,2843,168,64,765,328,274,65,1665,2741,644,6100,892,557,192,11125,262,100,734,302,324,59,1785,835,329,1735,455,481,73,3912,2302
CED506,720,133,1664,28,22,143,198,350,48,779,13,11,36,23,37,3,118,8,11,67,88,124,14,314,10,8,57,106,200,39,415,84,66,333,168,320,28,999,21,25,178,177,369,62,833,117,113,586,509,754,61,2138,392,566,2213,637,1314,159,5277,503,480,2225,1264,1728,227,6425,32,13,93,63,128,23,355,25,22,126,222,534,40,970,36,18,155,119,294,207,836,1535,1498,7951,5050,9833,1391,27270,81,58,725,524,1589,240,3223,256,115,1000,1011,6592,275,9258,39,15,186,178,1145,61,1624,22,7,82,104,543,34,794,59,26,287,519,3861,167,4917,12,8,149,138,839,36,1176,93,33,462,416,1684,194,2879,107,25,638,521,1411,199,2894,79,45,371,534,1708,125,2854,17,12,65,49,110,9,266,21,15,105,127,162,19,444,17,8,94,163,392,47,721,171,99,658,352,680,57,2016,33,31,262,275,878,94,1578,249,188,1031,1027,1702,146,4353,542
CED507,889,76,1733,4,12,59,66,179,15,328,3,7,44,21,40,3,117,8,5,70,121,130,28,360,9,8,63,95,202,27,405,69,50,434,212,319,31,1121,17,24,167,143,396,29,773,78,75,374,230,450,34,1233,283,551,1719,566,1129,82,4325,412,402,2262,1198,2191,191,6656,8,13,87,70,141,19,334,29,26,150,207,654,43,1118,31,14,152,110,218,141,657,1153,1336,7152,4329,9672,984,24632,56,37,357,276,762,105,1590,101,45,472,487,2789,109,4007,130,86,864,561,2439,148,4224,31,14,94,121,573,24,854,50,41,390,592,4074,174,5328,14,14,100,107,450,21,710,67,34,548,529,2024,153,3351,77,38,559,524,1520,129,2846,33,24,151,212,845,69,1342,11,12,87,48,104,10,263,29,18,148,210,176,37,624,17,12,124,172,333,45,695,177,99,906,414,602,66,2255,23,29,247,211,776,56,1342,149,125,650,483,986,57,2435,413
CED508,509,67,1334,32,24,140,129,218,18,569,23,17,95,26,28,5,192,66,36,278,188,182,32,774,16,9,124,116,159,32,456,479,153,1289,338,356,62,2674,39,24,224,176,241,38,745,304,184,872,303,382,54,2103,938,832,2406,663,898,110,5834,1047,665,3859,1440,1612,224,8845,67,38,240,95,145,13,595,66,32,296,273,686,31,1395,101,29,320,179,244,158,1041,3660,2246,12435,5236,7394,1061,32035,34,11,109,59,113,24,351,475,114,1218,512,1636,106,4070,245,73,883,579,1888,124,3797,95,31,210,114,262,23,729,203,76,891,759,3402,176,5515,105,33,364,222,620,50,1389,206,68,972,670,1469,137,3519,108,29,714,524,1013,110,2499,140,65,494,464,1075,95,2328,50,26,234,80,103,10,498,157,68,615,324,264,45,1471,37,15,245,212,325,42,878,1147,281,2991,819,800,146,6192,70,35,430,295,567,65,1460,576,322,1539,718,1039,108,4305,1496
CED509,590,56,1156,36,16,151,147,339,39,729,21,12,71,30,42,4,188,54,25,165,173,198,38,655,27,13,82,138,189,36,474,196,88,699,306,424,40,1754,35,25,198,180,318,46,801,202,158,645,449,557,52,2054,538,564,1825,645,1067,112,4752,586,459,2665,1584,2102,259,7646,21,16,138,85,159,20,444,40,35,210,313,754,27,1367,50,23,216,167,289,137,876,2144,1591,8559,5590,9360,1123,28368,28,11,100,84,183,21,433,303,127,942,664,2703,128,4875,127,62,511,485,1946,98,3235,38,18,117,105,292,14,580,101,56,561,727,3409,153,5021,70,36,319,275,1048,50,1801,179,43,801,714,1898,172,3805,80,27,396,412,1100,102,2115,162,53,556,664,1404,131,2968,51,16,145,95,163,19,491,115,33,342,308,286,50,1140,36,13,154,225,364,52,851,487,192,1627,675,846,116,3939,61,32,320,294,686,80,1467,372,290,1119,936,1380,112,4212,773
CED510,415,47,922,19,19,105,84,106,13,351,16,11,90,35,39,3,195,61,38,331,275,253,37,1003,15,10,142,159,161,30,514,334,152,1195,415,396,55,2542,47,34,233,181,254,38,781,254,196,809,333,341,61,1996,772,886,2805,835,979,109,6390,777,541,3361,1485,1424,245,7842,28,24,176,101,134,11,483,46,45,269,305,602,36,1309,55,25,262,168,207,114,822,2753,2158,11662,5589,6907,1019,30089,19,8,64,47,90,14,245,469,168,1396,586,1628,96,4349,159,39,508,394,1170,62,2331,101,36,277,127,286,21,854,172,96,1024,1016,4553,193,7051,80,29,390,201,542,38,1274,148,53,898,603,1403,140,3251,68,20,408,342,848,81,1759,107,44,386,355,662,56,1608,48,24,209,115,175,12,592,187,107,812,579,397,69,2146,42,24,286,289,314,49,999,1001,321,3132,1005,912,147,6520,82,53,423,312,591,63,1522,487,336,1529,871,1009,130,4364,1234
