CED_CODE_2021,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
CED501,64,149,162,169,134,92,39,4,810,213,399,507,240,102,39,7,0,1513,1115,3164,3374,3166,2701,1608,813,181,16121,392,940,767,747,611,414,250,78,4194,53,134,198,184,123,80,32,13,810,84,304,344,335,278,138,42,8,1536,62,182,225,216,247,171,69,16,1191,327,768,1047,879,627,318,122,35,4133,334,485,512,446,287,171,75,13,2324,201,200,170,104,65,56,14,0,802,209,409,445,345,203,112,65,6,1801,31,11,3,6,10,0,0,0,63,60,154,177,181,135,61,24,7,800,925,1378,1368,1122,804,509,385,194,6691,4078,8693,9290,8145,6314,3774,1953,551,42800,91,258,253,189,116,42,8,4,967,32,138,176,92,51,27,5,0,520,120,258,245,142,83,48,27,15,951,29,77,79,51,19,12,0,0,272,49,147,140,95,56,25,7,3,522,607,1509,1468,1216,940,527,226,56,6544,390,1092,1339,1151,790,397,148,30,5339,669,1986
CED502,84,214,275,212,146,84,36,4,1052,227,521,876,315,116,51,6,0,2106,824,2758,3581,2628,2095,1524,684,146,14246,296,829,676,483,407,397,207,58,3351,51,129,171,133,111,64,21,5,697,137,372,448,285,201,96,45,14,1590,55,170,181,194,183,159,64,12,1029,501,1169,1812,981,595,369,161,22,5611,309,521,653,427,308,211,81,11,2537,208,257,203,96,43,54,17,3,885,207,557,584,315,210,109,45,12,2039,25,16,11,7,7,9,0,0,82,59,167,184,146,89,63,43,9,753,799,1190,1219,1000,700,481,329,198,5924,3779,8887,10885,7234,5210,3677,1740,500,41905,129,397,423,195,116,64,13,4,1331,39,304,389,102,48,13,4,4,910,98,357,403,178,112,62,39,17,1263,46,116,88,32,26,9,0,0,319,63,126,120,68,52,18,3,0,445,553,1787,1678,938,692,530,222,56,6464,323,982,1100,828,634,381,145,39,4445,711,2306
CED503,46,74,135,111,130,128,55,4,689,149,209,234,120,80,55,14,0,867,868,2273,2501,2547,2770,2356,1170,253,14743,294,779,640,693,682,596,346,82,4123,88,138,198,220,168,142,91,18,1068,73,159,205,283,296,194,88,26,1321,42,151,171,220,284,307,128,32,1337,256,383,591,671,641,563,314,50,3469,211,267,316,286,260,265,122,24,1756,145,107,72,68,51,77,36,11,569,109,237,313,265,235,146,72,11,1384,39,9,3,6,4,5,7,0,63,33,76,107,131,113,79,47,14,596,610,804,982,1002,824,726,603,303,5858,2958,5674,6479,6623,6535,5633,3090,844,37837,52,162,196,166,111,59,22,7,780,18,53,74,44,45,29,8,0,270,86,163,171,129,88,68,45,18,762,18,53,54,40,32,18,9,0,226,44,116,159,130,90,34,7,0,582,453,1099,1002,971,1082,846,380,108,5932,301,801,1035,1084,932,705,275,65,5193,567,1292
CED504,121,268,304,249,207,136,58,3,1349,194,546,663,377,164,69,13,0,2018,727,2666,2371,2015,2198,1779,831,181,12774,339,1024,876,629,581,465,270,69,4245,45,144,147,134,96,72,23,3,666,159,484,387,273,229,146,64,18,1772,44,226,197,224,242,182,112,24,1246,584,1506,1578,1055,833,606,268,37,6472,347,707,610,528,405,297,107,15,3014,244,346,287,159,127,71,21,3,1268,195,503,467,364,242,138,62,17,1981,32,20,10,10,8,3,5,0,80,48,146,143,126,111,76,33,14,692,728,1133,1092,859,690,498,409,156,5573,3808,9710,9141,6997,6130,4545,2270,553,43154,169,428,365,225,156,87,14,4,1460,45,217,178,106,74,19,4,0,644,70,298,245,175,150,118,59,28,1141,46,181,117,41,42,20,3,0,458,44,126,94,48,34,23,0,3,371,623,1845,1217,875,752,601,258,66,6240,281,1002,984,1038,866,612,237,34,5050,713,2305
CED505,341,677,575,611,601,492,288,62,3642,110,293,512,387,222,80,26,5,1639,515,2202,2277,2003,1726,1441,771,297,11226,176,777,674,564,517,386,233,93,3418,48,152,187,182,168,96,99,29,954,157,962,929,959,807,570,377,115,4882,46,272,269,245,321,357,222,66,1799,719,1783,2389,2532,1813,1241,677,189,11335,400,920,946,992,804,753,362,91,5277,264,417,331,217,156,132,45,10,1566,99,224,219,166,105,72,57,12,959,20,18,3,9,7,7,7,0,59,35,112,118,121,84,54,44,10,583,394,924,765,599,478,447,396,275,4296,3330,9723,10193,9585,7809,6135,3603,1252,51632,405,647,589,527,392,257,104,40,2964,18,93,142,133,121,37,13,0,564,100,413,487,295,184,66,35,27,1608,63,286,225,211,142,63,18,0,1013,44,141,160,100,62,28,13,4,546,615,2500,2131,2046,1806,1270,783,345,11493,212,823,942,1216,1330,1390,750,251,6911,650,2290
CED506,65,176,173,143,101,61,20,3,739,91,163,148,92,50,29,6,0,578,1054,3793,3874,3344,2899,1786,568,117,17441,288,1087,967,778,755,513,179,24,4590,148,304,403,439,364,244,75,16,1990,55,296,312,317,315,161,51,8,1511,55,230,304,344,304,234,77,11,1561,224,579,793,736,584,358,107,17,3403,157,388,409,330,326,185,62,12,1870,66,143,131,75,52,70,25,3,569,141,325,349,339,237,94,52,5,1546,22,12,7,3,13,6,0,4,63,52,141,168,161,143,71,28,5,763,1987,3171,3062,2826,2374,1328,699,202,15653,4399,10804,11100,9936,8516,5143,1946,428,52280,77,244,268,148,93,46,12,0,882,13,61,78,51,35,25,8,0,273,124,367,249,164,89,55,27,9,1083,11,67,74,62,38,13,0,0,273,128,261,297,215,147,56,12,0,1115,474,1532,1298,1100,1036,678,263,72,6464,275,1201,1364,1265,1037,591,192,28,5956,663,1886
CED507,23,108,215,204,180,194,76,11,1010,132,186,198,109,75,47,11,0,763,739,2005,2472,2512,2343,1905,829,170,12973,306,852,852,758,812,625,254,76,4526,122,211,357,370,304,231,113,37,1743,58,220,331,341,329,213,99,29,1626,49,138,253,321,370,397,152,27,1708,245,469,634,759,668,538,227,34,3585,185,276,301,301,289,271,108,28,1753,100,112,135,106,85,77,27,6,642,130,320,406,338,233,144,45,5,1623,22,19,3,4,13,4,5,0,66,41,66,126,139,114,75,20,7,592,591,881,1007,1102,836,754,466,233,5863,2741,5866,7292,7363,6646,5473,2435,656,38472,35,170,248,230,147,79,22,4,926,10,42,70,46,48,31,9,0,251,73,174,183,119,95,53,25,16,744,24,86,95,86,43,15,3,0,356,101,153,237,177,121,47,12,0,853,433,1080,1354,1154,1306,939,436,136,6832,252,722,1243,1359,1166,878,326,72,6018,567,1461
CED508,120,369,404,359,311,198,79,11,1841,168,351,570,319,137,59,14,0,1618,715,2832,3158,2650,2348,1617,707,171,14203,254,878,813,664,590,408,209,57,3871,55,172,237,205,196,122,53,9,1042,141,657,593,495,298,220,71,8,2480,68,301,288,278,324,259,108,15,1646,429,1160,1511,1301,930,600,212,37,6183,335,757,629,579,464,349,127,25,3260,239,390,368,217,142,123,32,8,1504,120,304,352,296,185,98,38,12,1403,13,10,14,0,7,10,0,0,60,46,140,161,150,95,69,17,6,687,508,977,1013,829,608,497,397,249,5087,3211,9298,10110,8353,6624,4619,2062,612,44887,179,481,501,331,226,88,32,6,1839,26,105,188,85,65,19,0,0,484,87,348,319,212,128,64,37,19,1213,38,189,195,99,63,24,0,3,617,65,166,192,124,71,33,12,0,656,582,2262,1803,1356,1159,644,261,71,8117,333,1108,1220,1256,1018,698,247,57,5948,608,2031
CED509,83,180,270,285,204,192,92,16,1312,153,364,528,300,146,60,12,0,1562,854,2813,3052,2901,2568,1844,900,177,15105,296,817,683,624,530,440,219,50,3668,74,157,180,200,162,125,67,14,968,82,297,346,322,245,166,79,15,1561,53,220,236,273,287,280,140,28,1522,404,887,1383,1059,760,515,216,41,5267,296,524,545,517,372,306,133,19,2707,211,252,264,160,98,86,27,7,1112,143,376,495,282,212,94,40,7,1652,32,8,6,5,6,4,3,0,70,32,123,193,167,126,72,43,14,771,611,1043,1074,983,738,444,378,231,5505,3333,8075,9258,8072,6449,4629,2331,635,42786,122,318,341,283,149,96,25,3,1335,25,167,152,89,45,31,7,0,507,86,260,257,197,105,62,31,23,1015,35,91,100,77,35,15,12,0,366,54,137,157,134,92,38,10,5,626,554,1553,1455,1165,1059,679,328,100,6897,261,1064,1208,1250,978,713,316,70,5857,637,1945
CED510,123,235,317,379,346,268,113,16,1799,156,273,518,455,278,119,22,0,1825,616,1943,2616,2752,2991,2528,988,214,14646,266,961,1122,1037,905,655,228,51,5222,46,104,189,171,170,99,39,9,832,156,386,406,489,372,226,94,17,2150,62,199,289,328,430,383,155,33,1887,578,729,1522,1810,1471,1145,382,68,7715,333,464,542,536,463,390,129,19,2875,304,235,237,171,103,77,25,6,1159,82,151,204,237,217,125,53,10,1075,30,3,0,0,3,7,0,0,49,43,59,112,136,121,78,43,10,598,385,542,682,720,573,428,266,173,3770,3169,6291,8770,9233,8444,6526,2543,632,45602,137,267,404,356,209,108,26,3,1509,23,42,115,131,116,30,0,0,454,47,165,232,179,122,87,28,24,889,31,119,145,104,62,23,0,0,479,35,97,140,91,42,14,3,0,428,491,1411,1619,1578,1554,904,338,87,7970,305,875,1393,1693,1534,1078,330,78,7287,565,1333
