CED_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
CED501,325,324,654,6149,5644,11793,271,240,518,6748,6204,12956,371,329,697,6259,5982,12239,283,275,558,6909,6577,13490,342,309,651,6240,5901,12141,301,294,603,6880,6513,13394,254,242,494,5401,5012,10416,265,227,496,5919,5488,11407,314,215,537,5009,4900,9915,422,262,684,5752,5382,11132,324,222,546,5447,5604,11058,478,330,814,6250,6161,12408,258,178,440,5897,6596,12497,528,307,835,6686,7081,13768,206,154,354,6099,6692,12790,520,305,827,6823,7149,13973,174,124,297,5434,5725,11159,448,216,663,6058,6064,12123,149,119,266,5312,5664,10974,412,239,652,5872,6018,11891,94,103,204,5352,5525,10878,377,208,587,5824,5842,11664,78,80,160,4911,5124,10036,333,190,525,5316,5398,10711,50,75,123,4163,4278,8437,260,155,411,4466,4506,8976,97,101,207,10439,11948,22382,518,536,1052,11053,12587,23641,3033,2585,5620,82108,84600,166711,5422,3791,9215,90571,90975,181547
CED502,365,337,698,6451,6185,12637,272,268,540,7081,6798,13880,330,363,692,6665,6310,12973,323,321,650,7318,6996,14316,317,295,618,6007,5524,11537,294,275,569,6616,6103,12722,233,241,476,4937,4768,9704,234,236,471,5412,5243,10650,252,242,495,5241,5076,10312,283,263,552,5773,5587,11357,213,228,442,5630,5835,11466,347,316,665,6193,6382,12574,183,196,379,6283,7114,13397,393,342,730,6859,7652,14509,145,157,304,7444,7590,15039,451,337,795,8039,8090,16136,116,144,256,6333,6107,12438,358,257,613,6799,6503,13306,116,119,239,5337,5148,10488,348,240,591,5803,5506,11310,105,127,234,4854,4816,9673,336,215,554,5300,5159,10459,88,114,200,4297,4424,8719,258,163,421,4643,4698,9341,69,78,150,3777,4197,7974,213,160,375,4063,4435,8496,127,159,284,10242,11798,22042,442,496,943,10812,12457,23269,2657,2815,5472,83511,84883,168397,4548,3913,8459,90718,91615,182330
CED503,289,274,560,4296,4222,8517,198,138,334,4776,4638,9410,290,270,559,4713,4621,9333,189,223,412,5193,5106,10302,285,304,589,4927,4681,9609,236,243,479,5449,5228,10678,234,240,474,4194,4164,8362,202,192,390,4627,4599,9221,159,175,340,3599,3638,7234,238,202,439,3996,4013,8011,142,143,281,3523,3977,7496,249,192,444,3913,4311,8225,139,149,288,3991,4625,8616,324,225,544,4458,4997,9453,127,126,254,4320,4800,9120,354,235,591,4804,5158,9965,97,95,193,3972,4395,8366,354,204,561,4421,4694,9120,88,89,172,4308,4673,8979,368,244,612,4758,5009,9767,83,98,184,4611,4993,9601,385,215,598,5077,5303,10384,77,96,169,4731,5029,9765,335,224,564,5150,5345,10495,57,60,111,4518,5141,9660,249,202,449,4824,5399,10220,99,103,201,15888,17094,32990,755,752,1506,16745,17952,34693,2166,2214,4385,71593,76048,147641,4437,3483,7921,78193,81752,159946
CED504,210,219,430,5239,5034,10269,223,228,454,5669,5483,11148,245,182,423,5332,4965,10298,265,252,521,5837,5407,11243,231,223,449,4959,4530,9490,230,203,432,5417,4956,10370,192,215,407,4752,4474,9224,162,186,351,5106,4881,9985,157,175,335,5554,5230,10783,277,198,473,5990,5609,11595,127,167,290,6023,5882,11903,331,276,611,6479,6328,12804,115,123,239,6448,6691,13144,343,292,632,6904,7109,14017,96,126,224,6471,6546,13024,380,329,702,6950,7005,13948,78,110,183,5343,5361,10707,318,210,534,5742,5679,11424,80,98,176,5131,5339,10469,312,218,528,5524,5654,11175,65,100,161,5157,5379,10536,245,159,401,5463,5637,11100,75,104,185,5062,5290,10352,240,160,397,5377,5560,10929,74,90,160,4696,5187,9885,180,174,359,4952,5453,10407,79,115,194,13258,15475,28734,512,592,1102,13840,16185,30029,1802,2066,3868,83422,85388,168816,4023,3473,7497,89247,90932,180177
CED505,63,44,112,4251,4014,8261,112,122,237,4423,4184,8608,55,42,103,4979,4589,9572,122,112,233,5158,4748,9903,65,70,137,5554,5313,10867,136,128,263,5753,5516,11269,91,92,184,5445,5206,10645,137,149,286,5673,5442,11116,74,73,143,4946,5234,10176,178,203,377,5193,5501,10697,52,65,115,4967,5473,10444,337,294,630,5361,5831,11191,43,50,93,5504,6064,11569,371,262,638,5916,6385,12300,43,26,68,5508,6055,11566,321,228,548,5872,6317,12188,28,28,56,5198,5707,10907,257,179,438,5485,5922,11402,41,43,83,5305,5813,11113,182,138,320,5524,5996,11521,20,40,62,5268,5685,10953,233,171,399,5517,5895,11414,32,20,52,4638,5030,9666,199,138,331,4860,5190,10049,7,17,24,4292,4675,8969,176,159,335,4481,4853,9333,25,34,60,13707,16795,30503,680,825,1500,14411,17647,32058,635,654,1290,79553,85651,165208,3436,3107,6545,83620,89421,173040
CED506,1610,1439,3052,4503,4267,8770,683,630,1317,6791,6343,13132,1702,1550,3257,4862,4572,9433,903,858,1762,7466,6985,14445,1600,1641,3239,4492,4247,8734,765,745,1506,6852,6630,13485,1459,1370,2824,3603,3246,6846,658,534,1195,5721,5151,10871,1194,1203,2404,3527,3216,6743,818,657,1477,5547,5073,10620,1121,1139,2258,4739,4704,9438,1191,849,2045,7052,6689,13739,1181,1128,2304,5443,5688,11131,1302,992,2293,7927,7812,15734,1026,1029,2051,5669,5597,11264,1320,908,2217,8010,7525,15535,902,917,1822,5100,4695,9795,1135,763,1896,7131,6378,13510,835,823,1656,5257,4837,10091,1170,730,1893,7256,6386,13638,754,832,1585,5467,4968,10431,1136,734,1871,7362,6534,13894,615,728,1348,5497,4840,10336,1087,686,1773,7197,6259,13451,540,596,1131,5091,4544,9630,876,550,1423,6502,5687,12189,777,991,1765,11866,10815,22682,1459,1276,2735,14108,13081,27189,15315,15381,30699,75106,70226,145331,14503,10913,25417,104921,96523,201445
CED507,263,215,481,4023,3859,7886,189,191,384,4483,4271,8751,272,245,513,4933,4546,9482,248,235,481,5460,5023,10483,266,248,510,5276,4941,10212,278,269,547,5819,5458,11274,218,248,470,4299,4080,8379,216,190,409,4735,4525,9255,179,175,355,3128,2865,5993,199,178,374,3503,3212,6720,171,148,320,3398,3602,7000,315,257,565,3877,4000,7882,140,128,264,4063,4422,8484,298,233,537,4504,4785,9294,102,133,229,4386,5077,9467,357,249,614,4848,5462,10311,111,116,227,4607,4955,9566,365,234,590,5081,5305,10381,103,133,237,4751,5073,9830,394,235,629,5253,5441,10694,92,113,203,4767,5156,9921,404,256,660,5263,5526,10789,82,86,176,4569,4936,9504,332,249,581,4980,5277,10259,72,62,129,4717,5274,9997,306,253,554,5094,5583,10679,94,131,225,13980,15245,29230,857,934,1785,14924,16307,31236,2160,2176,4339,70913,74047,144959,4751,3956,8703,77818,80181,157999
CED508,190,144,340,5124,4736,9855,157,152,309,5470,5033,10501,177,147,319,4738,4790,9529,174,163,332,5081,5101,10186,186,165,346,4683,4415,9098,175,143,308,5039,4724,9759,147,145,294,4178,4141,8321,157,134,294,4485,4422,8904,124,150,270,4587,4812,9398,219,208,428,4935,5169,10100,111,121,229,5114,5502,10613,292,245,547,5518,5871,11388,103,137,234,5876,6496,12371,391,279,668,6364,6907,13272,82,108,189,6124,6447,12578,374,255,628,6586,6806,13392,58,67,126,5484,5772,11259,335,199,534,5875,6040,11915,70,71,146,5255,5468,10729,280,206,485,5613,5745,11356,64,66,138,5096,5432,10533,307,182,492,5471,5689,11158,54,67,116,4682,4975,9655,249,175,420,4984,5214,10195,39,46,83,4156,4618,8769,190,140,331,4382,4806,9186,70,82,148,11168,13015,24182,541,590,1133,11778,13690,25465,1474,1510,2990,76259,80628,156887,3835,3066,6901,81582,85202,166782
CED509,334,293,631,5633,5216,10850,162,157,317,6132,5667,11794,336,283,616,5756,5499,11248,203,193,395,6292,5971,12264,296,326,620,5752,5319,11077,218,184,406,6274,5828,12095,282,264,554,5170,4709,9883,179,173,349,5632,5156,10784,285,215,499,4695,4400,9092,199,178,381,5180,4793,9971,326,236,569,4742,5072,9812,279,226,502,5347,5534,10883,294,208,502,5698,6277,11980,369,236,608,6361,6718,13088,235,142,379,6213,6204,12422,356,224,577,6806,6575,13376,178,128,306,5431,5733,11158,336,192,526,5944,6046,11993,157,133,292,5265,5523,10782,327,205,525,5745,5859,11603,132,125,262,5374,5570,10946,336,185,522,5844,5883,11721,97,96,191,4829,5025,9858,289,176,464,5221,5293,10517,74,68,145,4225,4459,8689,219,145,357,4523,4668,9193,92,117,206,11475,12749,24222,482,542,1021,12043,13406,25457,3127,2646,5770,80254,81759,162015,3964,2995,6959,87342,87397,174739
CED510,75,66,142,4335,4010,8338,63,70,133,4476,4146,8616,74,87,158,5269,4944,10216,93,88,182,5432,5118,10555,85,85,168,5763,5464,11220,91,103,191,5938,5645,11585,69,48,111,5315,4900,10213,105,93,201,5484,5034,10523,44,42,85,4713,4160,8866,145,97,241,4894,4302,9197,50,35,84,3613,3416,7036,162,122,287,3833,3572,7401,45,54,99,3950,4376,8329,185,131,312,4183,4563,8743,43,46,84,4990,5340,10333,218,112,334,5254,5494,10750,37,43,76,5044,5560,10604,218,117,332,5297,5718,11013,46,34,76,5408,5754,11164,235,113,355,5689,5899,11590,27,31,62,5550,5874,11425,236,127,359,5819,6032,11843,30,19,48,5218,5825,11044,228,128,353,5469,5972,11445,28,22,49,5097,5586,10683,180,122,299,5306,5738,11036,46,40,77,13610,15164,28777,444,511,952,14096,15716,29811,688,642,1326,77870,80384,158248,2613,1923,4536,81170,82942,164113
