CED_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
CED501,2196,1052,1110,2161,1077,1075,2152,1063,1056,2117,1039,1047,2094,5316,5398,10711,1012,944,1953,942,958,1902,923,905,1824,846,836,1684,746,865,1612,4466,4506,8976,778,852,1634,673,806,1481,660,778,1439,684,765,1448,652,737,1387,3451,3935,7383,603,691,1294,605,604,1213,607,618,1220,579,641,1216,616,674,1290,3003,3233,6233,482,517,1002,442,531,977,470,508,980,381,415,793,413,377,784,2197,2342,4542,1372,1608,2982,701,934,1630,273,422,695,59,93,150,4,17,22,90571,90975,181547
CED502,1871,950,971,1925,920,890,1812,927,947,1880,922,927,1847,4643,4698,9341,865,923,1796,838,918,1752,790,859,1649,813,886,1701,757,847,1601,4063,4435,8496,788,818,1604,740,803,1540,695,798,1493,691,768,1461,670,732,1404,3584,3923,7507,628,714,1342,594,685,1280,615,651,1267,589,663,1255,611,650,1260,3040,3373,6411,463,502,962,441,463,902,421,451,874,332,397,726,309,372,681,1970,2182,4155,1277,1547,2820,633,897,1533,261,431,692,40,96,130,3,18,22,90718,91615,182330
CED503,2003,998,1016,2014,1062,1146,2206,1112,1044,2160,1007,1114,2115,5150,5345,10495,1024,1153,2178,993,1099,2094,925,1047,1974,965,1086,2050,918,1010,1932,4824,5399,10220,952,1090,2045,938,1065,2004,926,999,1924,932,1026,1960,952,1040,1989,4697,5228,9923,965,914,1879,949,1005,1948,907,916,1828,956,952,1907,1070,1052,2121,4845,4840,9685,771,739,1508,709,765,1470,667,670,1341,614,646,1259,601,593,1193,3365,3414,6778,2264,2368,4633,1081,1344,2428,398,576,971,88,165,250,5,21,27,78193,81752,159946
CED504,2153,1061,1107,2171,1080,1126,2206,1083,1151,2233,1107,1068,2171,5377,5560,10929,1054,1127,2180,981,1130,2111,1024,1107,2125,947,1064,2009,946,1036,1976,4952,5453,10407,919,1057,1978,889,1041,1929,850,976,1822,806,895,1701,809,890,1691,4270,4860,9126,837,909,1740,764,867,1630,731,899,1631,761,805,1566,754,847,1609,3847,4322,8173,601,635,1230,558,638,1193,550,599,1153,494,553,1045,450,524,972,2647,2948,5600,1771,2122,3893,908,1213,2123,337,544,878,52,152,212,11,21,25,89247,90932,180177
CED505,2028,961,1067,2027,1024,1049,2077,973,1033,2007,940,972,1911,4860,5190,10049,914,968,1883,932,987,1923,833,1006,1838,923,914,1835,874,969,1849,4481,4853,9333,913,941,1856,782,952,1741,792,873,1665,804,905,1707,778,845,1622,4076,4523,8597,772,844,1616,734,809,1539,689,845,1532,713,776,1486,741,867,1606,3649,4134,7777,638,688,1324,567,662,1235,584,677,1256,492,612,1098,542,665,1206,2821,3303,6123,2014,2518,4533,1143,1755,2899,541,991,1532,158,360,519,13,65,78,83620,89421,173040
CED506,2676,1375,1217,2593,1470,1320,2791,1435,1260,2691,1451,1249,2704,7197,6259,13451,1419,1192,2618,1377,1155,2527,1308,1186,2494,1219,1065,2283,1182,1081,2269,6502,5687,12189,1159,1072,2235,1121,900,2021,970,870,1844,973,880,1849,919,881,1795,5140,4610,9754,914,776,1692,841,692,1528,777,686,1464,743,668,1407,735,671,1410,4008,3494,7501,547,553,1099,538,483,1022,528,500,1027,446,406,849,441,407,844,2494,2346,4846,1495,1364,2853,678,804,1483,239,343,583,45,108,153,5,16,18,104921,96523,201445
CED507,2020,1019,1041,2058,987,1037,2024,1018,1084,2101,950,1101,2059,4980,5277,10259,1043,1190,2230,991,1095,2091,1048,1094,2137,958,1180,2138,1051,1038,2084,5094,5583,10679,1036,1067,2107,926,1051,1979,961,947,1912,890,985,1877,874,904,1782,4689,4956,9642,919,957,1873,854,914,1768,903,865,1762,833,798,1627,931,923,1849,4443,4451,8888,642,669,1307,626,646,1276,578,603,1184,461,513,971,477,511,987,2787,2939,5725,1712,1961,3664,865,1203,2069,342,620,967,91,161,250,10,18,31,77818,80181,157999
CED508,2016,950,1035,1983,1045,1002,2049,1004,1064,2072,1013,1061,2074,4984,5214,10195,983,988,1972,924,983,1905,884,1003,1884,823,927,1750,772,903,1675,4382,4806,9186,849,875,1726,782,842,1627,756,843,1605,734,804,1536,691,773,1466,3818,4142,7956,643,719,1363,677,727,1403,596,776,1372,627,678,1312,600,647,1250,3145,3548,6699,474,534,1007,461,498,957,450,423,876,370,444,813,380,433,810,2126,2333,4460,1473,1735,3205,822,1130,1953,318,596,914,65,185,253,4,15,22,81582,85202,166782
CED509,2095,1001,1001,2006,1104,1137,2240,1040,1039,2075,1027,1072,2094,5221,5293,10517,986,1055,2035,918,999,1924,939,928,1870,868,882,1758,803,803,1610,4523,4668,9193,847,841,1683,760,813,1573,723,816,1535,716,748,1466,718,739,1458,3772,3947,7716,703,743,1445,690,738,1434,605,686,1296,637,724,1359,695,752,1444,3335,3640,6973,570,561,1132,503,540,1044,450,467,922,396,457,854,406,437,842,2325,2469,4792,1492,1702,3198,756,1013,1770,294,484,780,69,132,202,3,22,25,87342,87397,174739
CED510,2184,1067,1169,2233,1042,1217,2258,1194,1218,2412,1121,1238,2357,5469,5972,11445,1142,1140,2284,1048,1182,2236,1106,1168,2274,1000,1068,2070,1002,1177,2175,5306,5738,11036,1071,1049,2119,997,1054,2046,944,1097,2039,937,999,1937,910,953,1864,4853,5151,10011,908,915,1823,855,954,1817,817,891,1707,780,811,1589,863,832,1696,4224,4404,8629,600,648,1239,572,584,1153,540,529,1072,441,432,872,378,418,794,2522,2603,5129,1365,1680,3042,741,1115,1859,315,566,877,70,164,234,4,20,28,81170,82942,164113
