CED_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
CED501,70569,72961,143523,2199,2371,4571,408,361,770,417,328,743,304,314,615,105,110,217,7516,8306,15818,48,77,127,93,96,195,33,28,68,0,0,4,8933,9615,18548,490,516,1007,238,225,463,11858,12720,24584,6913,4122,11034,89337,89803,179140
CED502,73683,74872,148557,1618,1648,3266,217,187,404,201,188,388,168,167,331,72,92,163,7516,7777,15292,32,42,71,51,50,103,16,26,41,5,6,13,8275,8522,16798,531,609,1138,206,190,393,10628,10974,21599,5130,4522,9651,89441,90364,179808
CED503,61832,65534,127360,2029,2259,4292,211,204,413,157,188,344,207,231,440,59,57,120,6796,7576,14368,34,55,93,54,53,109,16,13,33,9,4,10,7540,8391,15928,339,366,705,211,226,436,10117,11241,21357,5353,4124,9479,77303,80898,158198
CED504,73957,76002,149958,1374,1393,2767,164,162,319,223,192,420,110,145,251,46,41,85,6922,7115,14035,28,23,53,52,37,84,6,11,18,0,3,3,7551,7732,15286,560,558,1116,213,148,361,9697,9837,19528,4503,4032,8529,88155,89867,178021
CED505,65759,70403,136155,2528,2814,5339,402,454,851,455,527,983,287,327,615,68,78,145,8026,8893,16922,38,44,82,55,61,111,62,53,120,0,0,0,9398,10438,19841,1216,1291,2501,159,152,312,13293,14700,28001,3702,3505,7202,82750,88606,171355
CED506,71372,67536,138908,5149,5397,10549,401,373,772,410,422,832,661,630,1290,172,164,339,7983,8008,15988,53,60,113,230,242,475,29,23,45,3,11,12,9940,9924,19866,554,488,1046,282,247,538,15934,16056,31994,16374,11806,28179,103678,95401,199077
CED507,60253,63032,123283,3241,3465,6706,191,199,390,205,204,412,187,196,380,63,63,124,6373,7044,13418,57,59,120,64,74,133,10,8,22,9,0,11,7156,7851,15012,436,420,858,215,182,398,11045,11924,22971,5694,4398,10096,76991,79356,156348
CED508,64911,68121,133037,1657,1889,3547,324,311,635,315,341,649,195,221,413,73,75,152,7821,8735,16559,44,42,77,57,51,107,40,32,72,0,3,4,8860,9812,18677,608,627,1235,226,219,439,11351,12551,23904,4189,3513,7703,80456,84188,164642
CED509,69820,71474,141297,1497,1648,3145,178,181,362,205,226,425,179,175,356,50,48,100,7374,8078,15452,34,40,70,52,46,95,14,18,29,0,0,0,8085,8809,16894,448,494,946,216,170,385,10257,11118,21366,6140,3683,9820,86215,86273,172488
CED510,68487,70641,139129,1238,1275,2511,213,263,472,230,218,445,167,175,340,29,39,70,6422,6669,13089,19,15,32,25,30,60,19,23,38,10,10,16,7125,7444,14567,542,547,1089,148,135,279,9057,9402,18452,2803,2155,4957,80340,82198,162535
