CED_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
CED501,620,2048,830,1635,149,5775,549,488,2755,1914,3077,275,9064,21,21,126,113,315,25,626,44,37,193,353,1625,84,2331,83,30,318,328,1319,313,2399,2545,1782,11081,9780,28597,2090,55868
CED502,504,1897,672,1244,116,5135,908,456,3579,1881,2725,327,9883,51,16,190,150,289,16,715,103,33,357,414,1607,95,2607,171,40,540,408,1193,429,2785,4751,1695,14751,9566,22403,2199,55366
CED503,537,1838,697,1294,116,4835,422,351,2073,1465,2341,210,6857,22,6,100,96,270,29,530,39,20,174,319,1527,70,2143,60,20,233,263,1009,281,1864,1847,1458,8399,7601,23501,1846,44654
CED504,685,2137,724,1138,152,5503,979,492,3606,1785,2568,363,9796,52,19,276,200,290,28,864,131,50,444,493,1680,111,2904,193,41,641,401,1051,395,2723,4917,2162,17222,9796,20643,2378,57115
CED505,1135,3479,681,585,142,8319,3487,968,7169,1255,927,325,14131,172,81,586,167,222,28,1255,208,69,582,320,708,51,1937,509,101,1134,332,420,244,2737,14562,4544,33437,8236,10145,1861,72787
CED506,741,2777,776,1686,190,6710,692,536,2674,1447,2131,280,7758,38,17,156,96,237,42,584,62,37,215,313,1652,83,2353,74,23,270,229,1209,451,2266,2668,2055,12206,8788,30210,2744,58672
CED507,730,2220,684,1339,93,5479,633,462,2799,1374,2554,226,8041,17,16,132,100,256,27,544,66,39,222,266,1451,60,2104,51,21,278,223,829,267,1665,2131,1890,11354,7590,24877,1867,49708
CED508,1086,3212,815,1161,148,7915,1517,787,4928,1671,1958,287,11152,109,49,434,177,302,34,1105,139,62,464,396,1498,50,2612,235,70,711,402,992,349,2759,7140,3303,21658,9824,20495,2121,64532
CED509,741,2380,801,1316,134,6151,795,531,3243,1869,2531,298,9269,44,25,219,138,334,30,782,82,49,329,452,1906,61,2885,124,27,455,382,1159,316,2467,4023,2401,14656,10299,24966,2157,58502
CED510,1155,3648,1015,1244,143,8440,1096,645,4120,1735,1783,299,9679,65,39,356,165,290,35,951,101,66,421,440,1398,54,2477,161,52,602,349,871,238,2273,5824,3306,20893,10534,20166,1947,62677
CED511,642,2283,691,1374,131,5558,512,359,2299,1321,2090,237,6821,24,9,82,84,202,23,432,37,26,146,258,1671,61,2201,47,15,181,171,799,296,1512,2050,1624,10379,7189,25064,2241,48544
CED512,655,2425,912,1377,154,6168,738,524,3614,2283,2880,324,10362,40,18,196,128,347,23,746,69,29,374,528,1982,94,3083,130,43,418,365,1180,354,2483,3553,2085,15039,11191,26398,2298,60559
CED513,1177,3382,704,758,110,7862,2361,877,5697,1680,1686,286,12581,197,78,769,309,308,45,1706,226,74,668,501,1203,76,2754,396,93,1063,417,632,311,2919,12333,4598,33120,11427,16266,2194,79939
CED514,851,2881,688,934,117,7012,1735,665,4988,1780,1921,300,11391,143,39,529,255,451,42,1454,186,76,606,466,1322,101,2755,410,55,903,456,872,457,3155,10240,3291,26864,11144,19537,2480,73548
CED515,1070,3637,826,1003,135,8523,1968,832,5483,1569,1527,319,11694,93,28,384,168,280,32,982,159,69,558,406,1011,65,2276,388,69,1001,373,748,333,2909,10533,3694,27637,9510,15060,2003,68438
CED594,3,21,14,8,0,60,6,14,55,21,37,7,130,0,0,13,0,4,0,17,0,0,5,3,25,0,40,4,0,9,4,23,10,52,82,42,305,175,483,45,1126
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,17,3,31,3,3,35,29,110,12,199
