CED_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
CED501,398,480,880,146,180,319,198,480,680,265,1068,1329,710,2530,3239,1050,1704,2759,2595,996,3586,2398,1309,3704,2644,1540,4185,2980,1288,4271,2700,1156,3854,2773,827,3600,6098,1383,7479,4687,158,4846,3943,300,4241,2426,55,2480,5037,281,5312,5955,384,6337,488,487,977,47493,16597,64091
CED502,472,585,1050,148,162,304,206,541,750,271,1163,1441,765,2566,3325,978,1609,2587,2675,1063,3729,2439,1430,3871,3106,1704,4808,3548,1312,4864,2987,1073,4055,3057,764,3820,6580,1076,7655,4758,145,4905,3700,235,3934,2013,57,2073,4028,248,4275,4375,352,4722,480,474,950,46581,16540,63120
CED503,494,556,1046,211,195,402,207,556,762,270,1129,1402,813,2994,3803,1010,2007,3010,3259,1090,4347,2641,1162,3801,2782,1206,3987,2983,798,3782,1996,783,2780,2272,609,2881,4841,1067,5910,3676,88,3764,3162,249,3417,1868,40,1910,4988,321,5308,5379,260,5633,554,600,1154,43398,15700,59100
CED504,575,716,1293,195,220,411,241,722,962,311,1350,1666,938,3327,4269,1038,1600,2642,2971,1146,4117,2710,1560,4268,3216,1804,5025,3709,1529,5234,2939,1202,4142,2867,925,3785,6066,1350,7418,4504,185,4686,3451,324,3780,2202,75,2282,4930,363,5295,3916,405,4320,496,542,1037,47297,19353,66651
CED505,402,675,1080,179,300,474,166,632,799,145,1170,1318,442,2332,2772,508,1833,2340,1088,1368,2452,1261,1504,2768,1711,1709,3414,1996,1551,3545,1457,1432,2892,1801,1143,2940,3886,2403,6289,3255,276,3528,3343,760,4098,2490,156,2643,16372,1617,17985,3623,654,4280,276,423,697,44395,21921,66316
CED506,414,575,989,180,199,378,276,709,988,326,1240,1567,902,2510,3414,892,1410,2301,2446,1000,3445,2058,1301,3358,2219,1489,3701,2471,1303,3776,1912,1262,3174,2168,1108,3277,4952,2120,7080,4014,183,4199,3793,586,4380,2479,102,2583,6938,774,7715,5837,409,6245,817,789,1601,45105,19067,64174
CED507,369,457,825,184,195,387,205,505,710,223,1118,1337,791,2807,3594,894,1793,2688,2756,1231,3989,2264,1358,3626,2800,1403,4206,3023,1064,4085,2209,844,3058,2410,669,3077,5153,1071,6224,3953,126,4081,3167,294,3455,1860,59,1920,4282,340,4619,4952,341,5293,440,534,973,41933,16214,58142
CED508,375,593,968,152,219,371,189,624,818,217,1158,1375,614,2669,3284,681,1526,2207,1962,1075,3034,1753,1358,3115,2145,1633,3782,2449,1461,3910,2091,1277,3364,2237,1085,3324,5497,1812,7309,4524,234,4763,4218,504,4720,2851,74,2925,8131,714,8849,4067,528,4595,324,471,791,44486,19031,63514
CED509,342,507,845,151,160,317,202,438,638,187,843,1029,567,2022,2585,734,1284,2016,2075,849,2929,1899,1117,3012,2543,1390,3935,2994,1183,4173,2311,973,3278,2629,755,3384,6197,1160,7356,4879,122,5003,4003,284,4288,2579,39,2620,6576,309,6889,5076,302,5377,446,412,855,46386,14147,60539
CED510,374,404,777,193,168,362,183,344,524,175,672,851,597,1738,2339,570,1301,1870,1805,872,2681,1816,936,2746,2303,1006,3311,2466,833,3293,1953,736,2694,2064,609,2669,4953,1052,6009,4335,124,4452,4384,280,4668,3058,49,3105,10709,348,11061,4353,251,4603,396,305,701,46694,12025,58715
CED511,431,618,1053,231,278,509,239,767,1004,252,1395,1643,924,3685,4611,925,2075,3000,3033,1297,4326,2406,1729,4130,2791,1810,4598,3161,1246,4410,2159,1193,3351,2461,902,3361,5164,1540,6699,3864,112,3976,3160,371,3532,1774,55,1833,4546,459,5002,4890,303,5194,717,863,1586,43120,20697,63824
CED512,379,402,780,128,134,255,168,324,494,235,675,910,588,1643,2234,808,1222,2028,2053,758,2813,2016,1018,3035,2396,1161,3554,2994,1003,3996,2524,881,3398,2749,685,3438,6463,1073,7533,5338,112,5446,4340,244,4583,2666,50,2712,6204,273,6482,5533,211,5746,471,368,833,48043,12237,60283
CED513,421,1019,1442,149,314,466,202,834,1035,204,1725,1932,581,3498,4080,647,2556,3198,1792,1760,3550,1723,2227,3947,2195,2812,5006,2573,2537,5104,2089,2332,4421,2250,1944,4199,5235,3812,9043,4270,473,4746,4037,1068,5105,2971,228,3201,10314,1661,11978,3413,870,4282,328,614,942,45402,32277,77678
CED514,492,929,1419,170,336,504,219,764,980,283,1532,1814,649,3200,3847,798,2245,3040,1996,1466,3469,1930,1983,3916,2458,2437,4898,3080,2093,5175,2450,1916,4363,2634,1404,4033,6002,2727,8732,4623,455,5082,3977,776,4757,2637,195,2828,8240,1075,9315,4089,1000,5088,411,608,1022,47131,27155,74290
CED515,532,573,1114,284,237,521,235,475,712,212,912,1123,702,2222,2921,682,1505,2196,1978,996,2975,1940,1149,3083,2528,1178,3703,2849,978,3825,2200,870,3071,2348,657,3008,5380,1265,6638,4445,163,4613,4339,336,4681,2965,77,3038,11385,563,11949,4121,322,4442,342,338,683,49478,14819,64292
CED594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
