CED_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
CED501,0,9,20,112,40,18,6,0,0,208,0,11,25,73,54,74,62,36,12,341,4,20,75,243,104,59,16,4,3,531,10,104,191,840,385,335,244,127,42,2268,232,560,513,1211,479,368,332,276,213,4183,6204,13096,10863,26457,11859,9901,7174,3951,1466,90975,0,0,0,17,7,0,4,0,0,24,12235,22443,15778,31741,12292,9180,6774,3043,942,114433,0,6,6,76,9,3,8,0,0,108,0,0,0,51,25,34,20,11,3,156,0,17,7,95,17,10,5,4,0,161,0,6,4,24,8,0,0,0,0,40,7,29,24,139,70,50,31,8,4,361,0,0,7,43,35,22,18,9,0,141,0,24,36,216,100,78,40,10,5,510,0,3,0,47,41,45,66,45,10,258,0,8,9,30,9,4,17,4,3,87,28,688,1537,3427,3504,4636,2834,2294,757,19694,3,3,19,64,31,28,7,0,0,155,0,5,0,64,27,21,20,11,4,156
CED502,0,15,26,184,59,50,25,7,0,371,0,6,3,29,16,40,28,24,7,156,5,12,85,219,93,54,15,6,0,489,23,245,390,1378,495,352,221,120,39,3268,293,644,528,1331,491,371,352,291,232,4533,6798,13099,10835,28632,10672,9131,7289,3728,1437,91615,13,133,356,1154,234,120,41,18,3,2067,12916,21233,13610,25208,9743,7603,6299,2577,791,99993,3,63,43,341,90,22,21,4,0,586,0,0,7,40,16,17,11,10,0,101,0,0,3,49,16,11,0,0,0,82,0,9,8,106,51,49,44,11,0,280,9,20,31,71,31,29,12,10,0,214,0,8,3,40,33,46,27,9,3,174,16,104,224,1242,499,289,158,51,30,2601,0,0,0,30,14,20,25,28,12,122,0,33,42,67,26,10,13,14,0,207,21,206,353,1514,1567,2772,2166,1695,545,10845,0,6,7,61,22,19,10,4,0,127,3,0,5,41,23,29,13,9,4,134
CED503,0,5,14,68,25,19,10,3,0,141,0,10,22,48,50,54,57,25,16,294,0,12,44,140,75,54,36,10,3,376,6,57,109,425,231,238,228,116,32,1436,129,435,394,912,501,500,447,438,276,4047,4638,10336,8605,19163,10309,10745,10067,5780,2108,81752,0,3,3,33,8,3,0,0,0,51,8964,18424,13441,25090,12186,11860,11745,6058,2018,109788,0,0,3,27,6,5,3,0,0,45,0,0,0,15,0,5,5,3,0,33,0,11,3,46,15,7,0,0,0,84,0,4,3,25,3,5,0,0,0,40,5,30,32,88,56,69,51,12,4,345,0,0,3,16,14,9,12,0,0,58,0,5,12,100,91,46,22,8,6,288,0,0,0,17,7,13,27,23,7,97,0,0,0,4,0,8,13,10,0,43,13,344,898,2087,2524,3817,3382,2710,739,16517,0,6,15,53,14,12,9,0,4,110,3,5,8,49,23,16,19,6,5,130
CED504,8,95,227,1365,910,741,467,128,61,4005,0,0,5,21,14,19,19,20,11,111,0,8,18,108,49,43,23,8,0,256,46,334,613,2271,752,627,425,236,101,5405,243,471,425,1214,427,398,352,314,163,4010,5483,10361,10489,26116,11288,11010,9184,5066,1937,90932,5,76,148,552,131,72,23,9,0,1020,10345,17668,14872,24307,10739,9513,7093,3618,1042,99194,0,5,7,96,20,19,21,6,0,176,0,0,8,285,141,246,120,52,8,872,7,16,21,392,33,14,7,0,0,490,0,5,8,89,81,73,48,13,5,323,5,16,18,102,52,36,29,3,5,268,0,0,9,51,26,23,25,11,0,150,4,56,164,949,378,378,208,63,51,2257,0,5,6,102,78,133,189,118,51,675,5,33,49,38,17,39,47,37,10,274,18,110,271,1369,1069,1713,1393,1048,320,7322,0,0,5,18,14,15,7,6,0,64,0,8,14,116,23,41,14,6,3,220
CED505,7,21,26,125,70,52,39,8,6,357,0,6,10,56,22,33,26,22,4,187,0,4,40,102,82,95,52,18,3,389,37,303,312,1889,548,436,298,199,80,4104,116,232,359,1014,323,305,386,330,311,3378,4184,10259,10945,24448,11890,10041,8655,5817,3173,89421,0,0,0,15,4,10,0,0,0,34,7922,17177,16210,25198,13196,10847,9258,6180,2867,108861,5,8,3,68,14,15,3,0,0,112,0,0,0,57,10,38,19,9,8,147,9,39,36,726,72,23,5,3,0,922,0,6,7,14,5,3,0,0,0,43,16,66,82,286,177,151,82,33,10,898,5,21,14,103,28,11,9,8,0,204,18,236,436,1360,476,314,217,105,41,3198,0,5,0,34,29,46,52,47,27,240,0,17,10,47,19,15,28,19,11,174,83,596,886,2679,1999,2346,1809,1248,533,12168,0,0,3,19,8,10,11,0,5,54,6,45,75,306,113,59,36,8,0,655
CED506,0,11,9,137,48,30,17,0,0,258,0,0,5,22,19,22,20,12,0,107,0,9,27,104,61,40,17,5,0,268,9,45,85,694,211,200,129,74,24,1469,630,1603,1273,3754,1606,1371,861,482,206,11784,6343,13617,10230,28403,12916,11950,8100,3715,1268,96523,0,0,4,31,3,0,0,0,0,40,11659,23420,16579,37646,17802,16196,11422,4770,1434,140928,0,5,0,46,9,0,4,0,0,64,0,0,0,17,12,7,0,4,0,37,0,6,4,80,14,4,4,0,0,114,4,0,0,39,3,0,0,0,0,55,8,17,11,132,39,48,26,5,0,295,0,0,0,58,4,3,4,0,0,77,0,10,31,310,75,38,13,3,0,472,0,0,4,20,7,19,26,22,6,101,4,5,0,33,0,0,9,9,0,58,9,109,322,1496,1332,2144,1443,910,219,7979,0,15,12,78,38,22,9,0,0,178,0,0,44,224,18,28,18,5,0,335
CED507,0,8,13,78,21,15,11,0,0,142,0,3,3,22,23,38,29,22,7,142,0,7,34,109,71,68,36,9,3,344,7,62,59,444,192,218,135,74,34,1228,179,492,372,1055,564,551,549,370,196,4330,4271,10479,7743,19547,10969,10861,9404,4893,2010,80181,0,4,9,52,9,14,0,0,0,87,8241,19393,13370,26697,15002,14135,12493,5906,2041,117275,0,5,3,28,6,5,0,0,0,46,0,0,0,5,0,0,0,3,0,9,0,0,3,90,19,3,0,0,0,120,0,0,3,5,0,5,0,0,0,18,8,15,21,152,70,53,33,3,4,364,0,0,0,31,10,8,5,4,0,59,0,16,25,183,54,37,11,3,0,331,0,0,0,4,0,8,13,10,4,40,3,3,0,17,0,6,9,3,0,41,15,199,363,1387,1558,2408,2215,1532,456,10138,0,0,0,23,14,5,3,6,0,49,0,8,7,136,35,32,22,9,9,260
CED508,0,9,18,92,57,32,13,0,0,217,0,9,9,49,35,42,32,16,4,192,0,9,39,151,63,54,29,4,0,352,13,119,199,1290,566,626,492,271,105,3668,150,305,345,1028,395,350,329,263,229,3384,5033,9821,9590,25615,11433,10021,7688,4071,1930,85202,0,0,0,29,8,6,3,0,0,42,9932,17108,14416,28838,12831,10173,7370,3446,1248,105368,5,11,13,99,21,11,4,0,0,160,0,0,4,133,69,95,67,37,3,412,3,16,12,220,32,19,11,10,0,315,0,3,6,18,8,0,0,0,0,31,6,23,42,234,95,97,47,16,5,569,0,0,4,75,58,36,27,13,4,222,4,72,156,800,314,182,122,36,9,1689,0,0,8,174,92,232,362,233,154,1263,0,6,8,21,7,18,29,27,10,130,24,337,655,2808,2059,2560,1826,1063,363,11691,0,3,6,23,13,21,9,0,0,64,9,18,25,324,81,46,23,10,4,536
CED509,0,17,31,266,95,60,37,3,6,520,0,0,12,43,21,47,33,20,0,180,0,30,85,265,111,99,47,11,5,647,11,129,317,1180,441,354,247,156,55,2887,159,372,347,942,396,357,319,242,187,3325,5667,11803,9944,24878,11737,9961,7583,4168,1651,87397,3,14,69,260,55,23,15,3,0,442,11264,21262,15645,29103,13391,10263,7659,3719,1122,113433,0,11,3,54,8,7,9,3,0,99,0,0,0,98,42,32,18,10,4,203,0,3,6,76,15,4,3,0,0,116,0,3,10,41,21,8,8,0,0,99,0,23,22,95,55,51,37,20,10,321,0,0,9,23,18,12,10,6,0,83,8,18,33,243,111,92,41,10,3,558,0,3,4,45,30,50,111,66,31,343,0,8,33,32,10,15,9,11,0,122,17,259,620,1968,2301,3161,2437,1757,602,13118,0,0,3,29,20,13,8,6,0,85,0,0,6,81,28,25,27,15,6,188
CED510,0,9,9,73,57,38,24,7,0,220,0,19,38,86,87,88,69,32,14,438,0,3,46,145,177,157,88,18,9,642,11,120,160,809,515,477,355,172,64,2679,75,167,174,509,246,262,288,198,126,2036,4146,10762,9341,19342,11932,11711,9564,4287,1868,82942,0,0,0,33,14,17,13,3,0,81,8249,18866,14166,21798,11569,10412,8968,3610,1403,99039,0,0,6,19,6,0,7,6,0,44,0,0,0,19,17,37,13,6,0,93,0,13,14,198,37,18,8,0,0,284,3,5,0,14,9,7,5,0,0,41,3,45,53,190,110,90,44,17,6,560,0,4,6,26,22,12,15,6,0,83,9,59,66,391,129,134,130,17,14,942,0,0,0,19,17,49,44,32,12,180,0,9,11,68,32,65,54,21,11,271,51,1067,2116,4173,4378,4873,3655,1949,666,22924,0,5,7,16,3,11,6,8,0,52,0,15,25,118,36,26,17,9,4,250
