CED_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
CED501,0,0,4,14,3,5,0,0,0,26,0,33,48,184,70,44,43,32,11,468,0,8,3,28,16,40,61,45,20,215,3,8,0,9,6,6,6,0,0,36,3,5,9,59,13,11,3,4,0,104,0,0,3,3,7,5,0,0,0,15,6,15,26,114,39,31,27,8,3,270,0,0,0,8,0,3,15,10,0,32,0,0,16,41,14,15,13,3,0,102,0,0,0,16,20,13,16,8,0,74,0,0,3,44,10,0,0,0,0,57,0,9,10,26,37,38,102,55,19,301,46,424,539,1575,740,652,323,102,8,4405,0,0,0,8,0,5,4,0,0,19,0,15,16,62,15,10,0,4,0,116,0,4,8,24,24,11,0,0,0,65,5,268,402,575,411,86,28,3,0,1778,0,4,0,31,12,11,15,4,3,87,0,4,7,24,9,11,0,0,0,56,0,65,109,229,225,261,206,137,28,1265
CED502,0,12,24,110,45,37,9,3,0,232,0,37,16,109,30,33,49,43,7,321,0,0,3,38,29,44,101,67,42,333,0,7,5,16,16,0,0,0,0,44,3,17,15,181,40,23,13,0,0,295,0,9,5,21,33,20,15,5,0,111,10,103,193,716,228,185,207,61,11,1718,0,0,0,0,0,9,8,7,3,26,0,18,45,172,47,23,28,3,3,340,3,26,92,438,181,150,114,48,11,1054,0,4,16,130,20,3,0,0,0,170,0,5,6,29,31,34,121,88,31,353,21,237,301,955,500,490,246,61,18,2844,0,0,0,0,0,0,7,0,0,7,21,118,130,487,89,28,21,5,0,906,0,15,27,27,30,10,3,0,0,112,13,319,539,876,528,183,40,9,0,2502,0,0,0,36,13,20,27,7,0,109,0,4,12,17,18,5,7,5,0,63,0,9,21,103,88,138,138,111,29,634
CED503,0,0,3,0,7,4,0,0,0,11,0,20,25,126,43,43,63,34,8,370,0,0,3,17,12,33,120,79,36,298,0,3,0,9,0,0,6,0,0,15,0,3,11,21,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,4,0,11,14,44,37,36,23,12,4,168,0,0,0,0,0,5,15,7,0,26,0,6,13,38,14,5,11,9,0,95,0,0,0,12,5,10,8,6,3,50,0,0,4,21,4,0,0,0,0,28,5,8,4,27,40,36,141,108,28,395,15,161,228,765,504,511,378,131,14,2711,0,0,0,0,0,0,0,5,0,5,3,16,4,33,3,0,3,0,4,63,0,5,11,14,18,7,0,0,0,60,7,89,146,214,106,34,3,0,0,601,0,0,3,10,9,6,15,12,0,62,0,0,4,10,6,0,3,3,0,23,4,34,59,111,133,175,168,132,30,850
CED504,6,52,68,274,130,98,27,3,0,655,0,14,40,535,57,38,60,43,19,804,0,20,27,195,98,197,461,403,203,1603,0,12,13,27,15,3,3,0,0,68,0,8,9,78,18,4,3,0,0,127,0,3,9,26,10,21,13,5,0,98,12,97,88,422,155,164,203,106,12,1243,0,0,0,3,0,3,25,18,0,56,0,3,26,93,23,56,54,36,9,304,4,30,130,529,253,203,180,68,19,1415,0,4,19,106,10,0,3,0,0,143,0,4,12,20,11,27,64,48,23,215,15,103,191,697,364,355,216,67,9,2020,0,13,18,164,139,177,253,108,48,916,3,35,143,411,26,24,10,3,0,665,0,3,0,8,7,3,0,0,0,31,5,123,207,339,253,86,39,6,3,1059,0,7,4,63,37,61,83,34,10,302,0,0,3,13,0,4,0,0,0,23,0,11,13,91,74,147,105,97,17,551
CED505,0,4,3,13,9,12,0,0,0,38,3,39,28,479,98,122,74,48,21,916,0,18,24,194,81,46,121,126,60,673,16,56,37,79,56,15,10,3,3,276,4,22,21,50,21,6,0,0,0,131,0,0,0,10,11,7,5,0,0,26,9,59,113,293,175,136,162,96,39,1074,0,0,0,0,4,0,8,8,0,20,0,3,6,31,9,13,5,5,4,91,0,0,0,9,13,18,13,9,5,60,0,8,12,84,6,0,0,0,0,115,3,23,39,47,54,39,63,44,16,343,10,52,89,633,297,295,205,74,16,1668,0,0,0,9,4,6,14,3,3,40,3,12,11,58,13,7,0,0,0,107,0,0,3,0,20,11,4,0,0,47,0,17,39,101,26,13,0,0,6,207,0,6,8,61,23,36,47,10,7,193,0,0,0,3,4,0,0,0,0,7,4,41,59,208,162,173,124,80,28,876
CED506,0,0,0,20,8,0,0,0,0,27,3,5,12,213,40,27,27,19,6,355,0,5,8,72,12,21,58,45,15,225,0,5,5,11,0,0,0,3,0,25,0,0,4,25,4,0,0,0,0,36,0,0,0,9,8,4,0,0,0,23,0,0,20,104,38,22,13,7,0,206,0,0,0,0,3,3,15,12,0,44,0,0,6,23,12,3,7,0,0,54,0,0,0,23,8,9,9,0,0,54,0,7,3,49,5,3,0,0,0,66,0,3,11,27,20,40,81,51,12,247,16,103,188,1057,663,773,363,94,7,3267,0,0,0,9,0,13,9,6,0,35,0,3,4,77,5,9,0,0,0,100,0,3,10,19,29,12,4,0,0,83,8,129,193,500,265,101,6,0,0,1202,0,0,0,12,6,9,11,8,0,50,0,0,0,21,11,0,0,0,0,34,0,3,18,96,84,141,92,44,7,483
CED507,0,0,0,8,6,0,0,0,0,25,0,18,11,114,55,33,56,23,12,317,0,0,4,80,10,30,92,87,64,363,0,11,7,17,7,0,0,0,0,43,0,8,8,70,10,0,0,0,0,99,0,0,0,3,3,7,9,0,0,29,0,8,5,53,16,22,15,12,0,137,0,0,0,0,0,7,5,0,0,22,0,0,0,13,3,9,3,4,3,39,0,3,3,11,3,9,7,0,0,37,0,3,4,35,0,0,0,0,0,42,0,3,6,33,29,47,109,55,16,296,14,117,155,621,432,447,333,93,18,2223,0,0,0,0,0,4,0,0,0,7,0,20,7,33,5,6,4,3,0,75,0,0,0,22,19,7,4,0,0,53,9,105,114,302,128,26,3,0,0,694,0,0,0,15,10,9,15,8,6,59,0,0,0,5,0,0,0,0,0,6,0,3,14,70,72,124,122,64,13,488
CED508,0,5,0,19,9,0,0,0,0,37,3,34,33,340,86,58,40,29,15,628,0,13,16,192,90,149,320,314,216,1319,4,7,11,32,15,4,7,6,0,80,0,11,23,123,26,23,7,3,0,210,0,0,4,6,6,4,7,3,0,38,4,40,83,294,110,101,100,37,7,771,0,0,0,4,0,5,8,4,5,20,0,3,9,54,8,23,12,5,0,123,0,0,0,19,11,14,14,10,6,73,0,6,10,63,11,0,0,0,0,85,0,4,15,51,36,26,59,38,14,253,18,116,167,873,452,376,216,50,10,2265,0,0,0,3,0,4,3,3,0,17,3,15,14,93,5,11,6,0,0,145,0,0,0,6,22,6,3,0,0,40,11,141,274,459,317,108,12,3,0,1325,0,3,6,50,29,34,59,7,3,192,0,0,0,10,5,5,3,0,0,20,3,40,53,243,149,191,165,97,31,966
CED509,0,14,14,83,35,24,8,5,0,182,0,28,15,231,77,72,53,41,9,516,0,5,6,42,30,78,190,120,70,535,0,5,12,9,6,5,4,0,0,42,0,0,3,31,4,0,0,0,0,40,0,0,0,16,8,3,8,4,0,37,0,17,26,101,62,63,35,26,4,333,0,0,0,6,0,3,15,15,0,47,0,8,35,123,55,39,16,6,3,284,0,0,11,108,50,41,25,13,4,250,0,4,7,70,11,0,4,0,0,94,0,4,3,33,35,38,84,82,19,303,26,197,288,1036,568,587,329,79,12,3129,0,0,8,24,9,10,6,0,0,55,0,17,22,101,19,9,7,0,0,170,0,3,4,13,25,9,4,0,0,53,4,191,350,589,337,104,33,5,0,1602,0,0,5,40,22,20,30,8,9,132,0,0,0,9,4,6,4,0,0,20,0,9,36,135,125,165,168,92,31,760
CED510,0,3,3,8,11,11,0,0,0,35,4,97,86,568,170,151,136,56,17,1292,0,8,14,74,42,67,143,91,34,468,4,13,14,12,16,7,5,3,3,74,5,10,12,26,8,9,0,0,0,62,0,0,0,0,8,7,8,6,0,27,0,15,28,102,59,71,111,37,9,439,0,0,0,4,0,3,13,5,0,24,0,0,5,26,10,18,15,12,7,95,0,0,0,11,9,31,23,19,5,100,0,0,7,9,0,0,0,0,0,20,3,13,16,40,42,38,93,72,14,332,11,87,142,662,439,382,310,75,9,2109,0,0,0,11,9,24,22,3,0,75,0,5,9,43,4,4,4,0,0,67,0,0,3,11,25,11,8,0,0,49,0,22,29,73,27,23,16,4,0,193,0,9,9,46,31,43,84,13,4,242,0,0,0,4,0,0,0,0,0,7,0,79,160,290,292,353,285,136,30,1625
