POA_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA6000,4330,3701,8035,313,309,624,109,75,181,120,91,206,98,80,175,25,14,45,1151,1127,2282,6,7,10,20,18,35,7,9,14,0,0,0,1532,1416,2952,192,202,399,37,19,54,2074,1950,4025,1004,641,1641,7402,6293,13702
POA6003,1258,1078,2340,42,56,101,12,10,19,20,22,42,20,25,45,9,5,16,293,312,605,5,0,6,4,7,9,7,3,9,0,0,0,358,385,753,32,30,66,6,9,14,448,478,930,211,139,352,1918,1701,3616
POA6004,3762,3530,7292,242,248,491,81,70,145,71,66,136,76,63,133,36,20,52,951,872,1819,14,3,15,9,9,15,0,0,7,0,0,0,1229,1094,2328,215,204,419,21,22,44,1714,1573,3279,609,405,1011,6082,5498,11584
POA6005,2050,1932,3984,89,93,183,41,38,80,47,34,78,29,28,58,3,4,11,494,543,1037,0,0,0,8,3,12,6,0,12,0,0,0,625,661,1296,89,88,176,16,8,23,823,848,1675,222,162,383,3099,2943,6039
POA6006,3740,3834,7574,93,84,179,22,22,40,29,26,59,12,14,28,3,6,7,541,598,1140,0,0,0,0,0,3,0,0,0,0,0,0,612,664,1279,43,34,78,23,17,38,766,807,1567,202,156,352,4707,4791,9498
POA6007,2818,3071,5888,115,109,222,28,44,73,23,36,63,14,16,32,0,7,8,521,619,1137,7,0,3,0,3,7,9,4,11,0,0,0,600,730,1333,46,49,95,11,12,24,783,893,1675,221,222,441,3815,4187,8004
POA6008,5880,6384,12267,312,344,658,41,55,97,60,70,131,29,39,69,16,11,27,752,863,1620,4,4,9,5,10,14,6,7,12,0,0,0,916,1056,1977,149,185,331,6,8,16,1389,1595,2987,388,339,728,7657,8318,15977
POA6009,7182,7395,14579,421,444,872,45,42,82,63,68,131,17,28,45,12,10,23,990,1059,2052,3,3,5,4,3,13,6,7,15,0,0,0,1136,1224,2365,194,159,350,13,14,33,1766,1853,3617,296,325,621,9244,9576,18815
POA6010,7151,7571,14726,254,273,529,49,51,103,39,58,96,29,34,63,7,8,14,951,991,1947,5,3,10,4,8,8,15,6,23,0,0,0,1097,1164,2263,130,153,278,9,15,26,1491,1605,3102,436,457,890,9082,9637,18714
POA6011,3599,3873,7474,134,140,276,33,26,58,24,31,58,10,16,28,6,12,14,353,395,750,0,0,0,5,4,7,7,4,9,0,0,0,437,491,927,89,101,193,9,10,18,672,737,1411,194,190,386,4463,4807,9269
POA6012,3346,3729,7078,185,200,387,25,25,47,16,25,45,21,18,42,0,3,6,366,464,832,3,4,6,3,0,7,4,3,10,0,0,0,442,548,990,59,83,145,6,5,15,702,842,1538,252,204,452,4296,4773,9073
POA6014,8803,9334,18139,260,276,537,49,44,93,51,50,101,25,32,59,7,15,24,922,1051,1976,5,11,17,3,0,7,0,0,0,0,0,0,1067,1211,2277,150,151,298,17,11,29,1498,1649,3145,292,297,589,10596,11285,21882
POA6015,2829,2930,5757,45,59,102,10,15,27,11,15,28,12,7,20,5,0,5,249,258,506,0,0,0,0,0,0,4,0,7,0,0,0,291,301,593,49,44,91,10,5,11,393,407,799,110,102,214,3335,3438,6775
POA6016,4345,4562,8904,149,148,298,17,19,36,21,20,47,7,10,18,5,0,9,434,463,900,0,6,9,0,0,0,0,0,0,0,0,0,478,534,1013,36,46,81,8,18,23,672,740,1408,187,172,359,5204,5470,10678
POA6017,1663,1699,3357,29,25,56,10,17,29,8,8,18,6,4,8,3,4,6,276,328,605,0,0,0,0,3,3,0,0,4,0,0,0,306,359,668,22,28,44,5,3,6,364,415,771,168,144,304,2188,2247,4440
POA6018,16119,17941,34051,398,468,869,71,81,153,81,89,166,52,71,117,10,11,15,1957,2144,4097,13,11,25,10,11,23,11,9,23,0,0,0,2196,2425,4624,176,202,372,41,33,75,2810,3126,5936,904,863,1766,19830,21927,41762
POA6019,9154,9353,18501,389,479,865,67,77,140,87,89,174,73,80,154,10,14,22,1171,1309,2481,5,0,5,10,10,25,7,5,21,0,0,0,1438,1586,3027,187,171,356,39,34,67,2053,2269,4319,675,552,1232,11885,12173,24055
POA6020,9503,9972,19473,156,163,320,28,47,74,32,37,70,26,20,41,3,3,6,787,830,1620,3,0,3,3,7,4,0,0,5,0,0,3,885,948,1838,48,33,90,8,8,20,1111,1158,2269,357,300,664,10974,11432,22404
POA6021,8395,9172,17565,133,147,282,20,14,34,21,26,48,10,15,27,6,4,11,880,933,1817,7,6,7,8,0,8,0,0,0,0,0,0,947,997,1945,74,69,142,12,17,22,1168,1228,2393,405,380,788,9969,10776,20751
POA6022,2251,2291,4547,30,32,63,5,10,11,8,12,16,3,0,3,0,0,0,172,176,351,0,0,0,0,0,0,0,0,0,0,0,0,183,197,380,6,4,15,4,4,7,226,240,468,77,58,137,2557,2588,5149
POA6023,6818,7044,13866,107,103,204,19,23,42,16,16,35,4,10,9,8,0,6,565,574,1143,0,0,0,0,0,4,0,0,0,0,0,0,612,635,1244,51,50,105,11,8,20,776,796,1575,206,172,374,7803,8018,15816
POA6024,5728,5860,11590,78,87,171,17,15,32,23,22,47,7,20,31,3,0,7,505,564,1073,0,0,0,4,7,7,0,0,3,0,0,0,568,629,1192,27,30,57,13,6,21,694,754,1443,270,227,494,6691,6839,13531
POA6025,13210,13593,26804,216,217,433,45,57,105,47,49,97,34,42,79,3,3,10,1214,1300,2514,3,5,9,5,5,8,0,0,0,0,0,0,1355,1458,2813,97,103,202,33,22,55,1695,1810,3503,529,401,931,15439,15802,31237
POA6026,9698,10341,20038,132,135,272,17,17,37,23,23,45,20,23,43,0,0,0,721,773,1498,0,0,0,0,4,3,0,0,0,0,0,0,781,843,1620,51,61,114,8,10,17,972,1049,2022,298,236,534,10971,11625,22592
POA6027,17402,17571,34967,361,385,744,57,56,114,74,64,143,47,40,84,15,14,27,2033,2052,4090,4,10,11,17,19,35,5,16,22,5,4,13,2255,2275,4530,169,177,347,56,61,125,2838,2905,5742,964,716,1680,21198,21193,42394
POA6028,9836,10017,19848,232,235,471,45,44,92,25,26,53,31,38,71,11,16,21,918,964,1881,0,6,7,3,3,9,6,3,5,0,0,0,1039,1099,2136,108,91,199,22,23,37,1407,1444,2846,368,263,636,11610,11718,23336
POA6029,1121,1238,2358,31,29,56,0,6,8,8,3,8,5,3,10,0,0,0,120,128,250,0,0,0,0,0,0,0,0,0,0,0,0,137,141,275,21,18,36,8,4,9,187,186,376,58,44,97,1366,1469,2827
POA6030,16090,16819,32902,528,545,1075,53,73,132,47,57,101,36,43,76,14,10,21,1690,1863,3557,6,11,19,14,12,23,3,0,0,0,0,0,1860,2069,3930,141,156,290,60,66,124,2592,2834,5423,1135,941,2076,19813,20592,40410
POA6031,7455,7985,15439,232,284,513,20,16,39,21,14,33,19,32,50,0,0,0,753,774,1528,0,5,5,8,4,12,0,0,3,0,0,0,828,842,1667,44,47,87,18,19,35,1114,1189,2309,355,255,608,8922,9429,18354
