POA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA6000,41,18,83,2997,3305,689,478,3719,1668,12861
POA6003,5,0,22,880,956,200,119,870,343,3372
POA6004,55,5,98,2512,2892,735,441,3204,1024,10809
POA6005,73,9,108,1498,1688,373,249,1432,385,5618
POA6006,134,31,250,2062,2657,870,521,1610,415,8130
POA6007,131,49,234,1937,2276,651,393,1266,480,7000
POA6008,128,70,327,3408,4505,1670,861,2266,796,13507
POA6009,209,33,493,4042,4551,2033,1308,3311,626,15885
POA6010,282,111,742,3926,4766,2006,1272,2825,828,15616
POA6011,83,41,254,1992,2360,1066,687,1340,413,7864
POA6012,94,36,211,1834,2148,1003,613,1564,459,7622
POA6014,372,41,716,4373,5448,2433,1420,3444,596,17711
POA6015,106,14,319,1407,1611,857,574,964,193,5601
POA6016,104,9,173,2004,2654,983,592,1990,363,8583
POA6017,41,3,67,901,1013,293,198,1287,317,4002
POA6018,682,229,1387,8307,10474,4060,2645,7286,1737,34508
POA6019,205,19,454,5166,6295,2243,1352,4146,1185,20398
POA6020,232,31,489,4215,5717,2744,1679,3333,665,18347
POA6021,315,47,640,3808,4819,2016,1499,4601,811,17551
POA6022,21,3,70,851,1362,548,383,897,146,4186
POA6023,166,21,314,2757,3984,1933,1195,2257,404,12530
POA6024,73,10,185,2426,3420,1435,1061,2323,445,11105
POA6025,207,42,449,5749,7752,3548,2319,5251,957,25574
POA6026,425,52,740,4247,5653,2488,1594,4097,545,18637
POA6027,344,94,695,7983,10236,4382,2864,8104,1741,35310
POA6028,98,13,213,4560,5649,2315,1490,4487,661,19164
POA6029,29,6,73,562,724,352,195,391,110,2330
POA6030,415,101,793,7064,8794,3558,2685,8704,1992,32797
POA6031,28,4,58,3128,3835,1459,1133,3772,613,13943
POA6032,0,0,0,32,45,22,19,27,15,167
POA6033,5,0,8,75,80,59,27,96,33,371
POA6034,0,0,0,569,784,254,262,617,177,2667
POA6035,78,31,151,1555,2110,895,855,2249,612,8266
POA6036,33,5,81,2960,3529,1399,1042,3878,703,13511
POA6037,16,8,35,502,738,380,334,719,271,2953
POA6038,28,0,35,1576,2080,781,673,2010,369,7482
POA6041,16,6,27,191,319,186,231,309,121,1357
POA6042,0,0,4,11,22,8,12,24,24,100
POA6043,0,0,3,39,51,23,31,52,28,221
POA6044,13,5,35,195,284,148,146,299,113,1174
POA6050,387,108,707,3457,4091,1592,901,2831,686,13557
POA6051,42,7,114,2816,3561,1069,636,2669,726,11470
POA6052,97,36,242,2232,2989,1182,701,1962,465,9529
POA6053,234,53,428,2850,4007,1445,937,2819,611,12668
POA6054,206,35,410,3599,4996,2017,1363,4241,1073,17296
POA6055,120,34,234,4976,6745,2495,2180,6845,1409,24650
POA6056,392,241,971,6900,8897,3687,2995,9248,2497,34217
POA6057,170,36,318,2833,3777,1578,1246,3419,717,13570
POA6058,131,29,267,2123,2890,1211,964,2838,662,10687
POA6059,352,55,815,4540,5473,2415,1649,5412,959,20446
POA6060,435,59,786,5151,6393,2092,1371,5727,1193,21938
POA6061,261,48,546,6281,7274,2577,2286,12347,2833,33596
