POA_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
POA6000,0,5,9,42,10,37,9,18,4,135,45,200,92,242,110,85,42,112,23,955,377,1489,385,381,386,154,104,259,58,3599,337,784,219,145,192,66,73,101,30,1955,215,309,83,77,95,52,39,50,24,937,147,197,72,38,93,33,25,32,8,645,48,58,16,16,19,11,6,12,6,182,4,8,0,0,4,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1174,3050,880,934,908,450,298,590,150,8429
POA6003,0,0,3,6,3,9,0,14,0,33,16,42,17,67,29,38,7,25,3,246,114,384,124,138,105,48,34,69,9,1028,93,186,78,46,47,20,15,25,5,519,49,104,32,17,22,16,11,10,4,270,32,52,14,19,28,7,6,16,6,183,5,20,7,5,6,9,0,3,0,54,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,320,792,281,295,244,143,82,160,32,2340
POA6004,6,7,14,29,10,31,6,18,0,111,31,155,72,183,71,78,18,69,9,677,272,1143,255,333,276,114,85,196,37,2714,299,640,178,121,147,51,58,72,20,1585,196,290,87,64,143,52,41,41,11,935,196,247,73,45,132,33,28,38,13,817,66,88,21,10,45,21,8,9,4,269,13,17,0,0,11,4,0,3,0,50,0,3,0,0,0,0,0,0,0,3,1075,2583,692,792,839,389,249,451,97,7173
POA6005,0,4,4,15,5,18,0,6,0,52,21,112,26,81,42,37,6,23,4,363,161,789,152,157,169,53,27,90,18,1615,135,458,89,58,89,30,37,32,11,934,98,159,32,32,65,20,17,17,7,443,76,119,31,25,58,17,13,21,5,358,23,37,3,8,17,15,9,3,0,115,3,6,0,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,0,518,1679,340,370,449,189,105,193,50,3903
POA6006,0,6,13,44,6,67,6,44,5,187,23,121,50,128,48,62,16,31,12,484,169,697,145,157,150,80,30,51,14,1503,315,603,107,86,108,49,19,44,10,1349,208,436,89,63,131,40,22,33,9,1040,166,286,64,49,103,30,24,38,8,768,27,88,23,7,29,8,10,18,9,221,6,9,5,0,3,0,0,4,0,28,0,0,0,0,0,0,0,0,0,0,911,2247,502,536,589,351,129,264,70,5591
POA6007,3,5,5,25,12,65,0,31,0,144,23,96,45,91,41,59,11,20,9,385,154,862,111,137,133,64,29,64,17,1562,242,566,92,64,93,34,13,22,17,1139,201,359,54,43,101,32,16,24,13,838,130,248,41,31,69,21,10,17,0,572,37,96,15,15,28,10,7,11,0,220,0,8,0,0,3,6,0,0,0,20,0,0,0,0,0,0,0,0,0,0,787,2232,370,403,480,290,78,191,57,4888
POA6008,5,12,10,112,20,101,13,70,6,343,20,203,60,170,99,105,7,40,4,714,187,1256,123,145,172,80,33,71,26,2085,351,994,98,103,162,47,20,51,20,1846,389,796,86,82,157,51,19,52,26,1657,254,648,59,61,156,54,20,34,15,1308,106,276,23,31,69,39,14,14,5,572,14,48,3,0,8,9,0,5,3,98,0,5,0,0,0,0,0,0,0,8,1336,4236,463,703,829,490,129,336,108,8629
POA6009,3,53,24,269,52,165,26,117,14,731,42,340,55,429,144,192,39,101,12,1358,124,766,95,137,116,65,31,52,12,1404,290,900,67,73,114,31,21,43,32,1561,462,910,68,58,181,62,12,27,39,1817,325,721,45,40,137,66,7,21,17,1379,157,358,23,18,86,39,5,12,13,704,34,79,5,0,19,11,4,6,7,168,5,3,0,0,3,0,0,0,4,17,1438,4132,373,1028,860,639,148,378,146,9142
POA6010,5,35,30,206,26,150,20,104,3,570,37,223,54,205,109,127,21,49,6,834,193,839,107,161,118,69,23,41,16,1567,370,810,65,120,157,51,12,30,16,1633,612,907,71,110,225,90,19,32,17,2084,380,685,66,85,160,71,19,29,24,1514,157,319,38,31,76,38,12,15,11,690,35,72,3,8,17,11,0,8,12,167,0,3,0,0,0,0,0,0,0,11,1790,3889,437,917,883,606,132,303,115,9073
POA6011,3,15,11,128,13,66,16,36,3,305,12,103,32,124,56,56,20,26,12,443,103,455,60,75,74,39,8,14,9,830,177,369,44,26,62,36,6,6,18,738,288,486,32,34,95,58,11,13,25,1031,237,431,25,31,84,53,3,15,24,901,134,182,11,11,41,22,7,8,8,426,36,31,5,0,8,4,0,0,7,91,0,0,0,0,0,0,0,0,0,6,986,2079,211,430,435,329,66,124,101,4762
