POA_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
POA6000,148,112,39,3,307,138,86,528,111,79,16,7,213,125,44,387,117,31,24,3,175,98,41,308,230,104,41,10,383,222,86,697,98,26,16,8,150,170,48,365,224,49,20,5,307,406,76,790,512,141,60,24,732,866,170,1770,603,171,62,21,860,853,180,1886,0,0,0,0,0,0,4,3,1447,381,166,63,2056,2290,472,4817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,4,0,0,7,0,7,13,0,15,1824,609,245,78,2755,2664,641,6064
POA6003,79,58,21,0,160,64,33,250,11,22,0,0,38,20,0,63,79,33,15,8,127,107,29,269,91,51,19,8,160,129,35,330,44,6,3,0,55,90,9,159,147,33,31,4,214,241,61,510,124,26,4,7,157,171,53,377,37,6,0,0,44,28,6,78,0,0,0,0,0,0,0,0,345,74,41,11,466,535,129,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,6,3,9,5,0,0,0,5,6,3,9,0,0,0,0,0,8,0,7,513,179,82,21,790,738,197,1724
POA6004,80,53,9,0,150,39,20,214,7,0,0,0,8,3,0,10,124,77,20,6,225,78,23,326,129,76,20,6,230,85,23,338,20,3,5,0,32,70,6,99,150,39,31,13,234,256,66,559,505,144,70,18,733,718,145,1602,976,308,108,39,1430,1083,224,2743,0,0,0,0,0,0,0,0,1651,500,214,67,2433,2125,441,4999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,14,1866,623,252,73,2817,2259,489,5564
POA6005,82,50,21,0,153,71,39,265,35,20,0,4,57,59,11,132,72,35,15,0,130,74,39,245,108,60,17,4,185,132,52,373,27,0,6,0,35,61,8,103,124,38,32,11,201,302,58,560,331,105,47,15,507,543,75,1123,134,43,20,8,207,273,37,523,0,0,0,0,0,0,0,0,624,194,107,28,948,1179,183,2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804,294,146,37,1287,1387,275,2949
POA6006,705,894,188,29,1813,531,189,2539,52,42,19,6,117,147,19,283,126,91,43,10,260,139,36,437,177,130,59,15,379,289,54,720,52,12,16,3,79,138,26,242,53,8,10,4,68,103,19,192,35,0,9,0,51,119,16,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,132,24,30,9,199,364,54,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,7,6,0,0,0,7,0,0,7,0,5,0,0,4,0,0,3,1018,1056,278,47,2398,1182,303,3883
POA6007,458,512,138,20,1128,323,119,1575,51,26,4,0,83,112,9,205,238,111,53,13,413,196,55,659,284,135,59,10,489,308,67,864,57,3,9,3,69,111,11,193,67,18,14,4,96,131,16,247,101,36,17,7,159,251,18,426,43,15,9,4,73,66,3,148,0,0,0,0,0,0,0,0,264,72,45,17,396,559,51,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,8,7,0,18,9,0,0,0,8,7,0,19,0,0,0,0,0,5,0,5,1022,717,250,48,2035,1211,235,3478
POA6008,945,1265,273,24,2514,663,113,3299,60,58,12,5,138,103,12,260,247,178,102,16,540,356,64,962,308,238,115,21,685,460,72,1217,134,51,26,7,220,297,31,543,139,52,27,4,226,431,25,686,256,98,50,8,407,619,40,1069,0,6,5,0,12,11,3,34,0,0,0,0,0,0,0,0,536,207,112,20,876,1368,101,2338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,12,0,0,0,0,4,8,0,12,0,0,0,0,3,3,0,4,1789,1718,511,68,4075,2501,288,6864
POA6009,1236,1926,286,36,3482,595,159,4230,81,72,31,0,192,154,28,374,119,114,43,16,287,163,77,530,207,181,78,17,484,321,102,901,107,73,32,9,222,194,75,487,79,26,15,5,130,173,37,332,83,22,9,0,119,65,18,193,52,7,10,4,70,35,3,109,0,9,0,0,4,0,0,10,327,140,57,13,542,459,136,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1770,2244,416,68,4505,1372,394,6274
POA6010,1124,1871,360,28,3386,617,87,4092,189,169,93,5,458,304,34,798,173,132,73,3,386,232,18,635,364,305,164,12,841,541,53,1427,55,19,24,5,98,198,11,313,49,5,9,3,59,212,9,279,221,64,65,4,346,326,44,721,48,17,18,5,87,143,18,248,0,0,0,0,0,0,0,0,372,103,115,11,602,875,84,1556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,6,6,0,0,0,0,0,8,0,11,1859,2279,634,57,4832,2031,227,7093
POA6011,764,976,181,19,1942,396,69,2405,26,35,14,0,80,49,8,133,81,53,28,3,173,89,16,279,112,90,40,7,248,138,26,413,57,22,7,0,89,82,11,176,86,15,16,3,115,185,24,330,24,13,3,0,38,48,3,86,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,166,45,29,6,245,312,41,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1044,1119,247,30,2435,845,132,3415
