POA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,6,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,5,4,0,4,0,0,0,17
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA6069,359,226,118,61,19,9,1017,13,123,187,122,79,38,13,0,586,224,1046,1268,805,392,197,67,18,4014,192,731,1086,810,491,212,118,16,3659,912,1973,1819,1399,923,508,189,40,7767,285,154,117,79,38,22,7,3,702,60,104,158,161,93,65,27,5,669,1258,2234,2092,1635,1051,588,220,47,9134,26,36,64,57,34,20,17,12,264,281,455,502,403,234,176,139,80,2274,2010,4833,5556,4067,2401,1300,603,180,20949
POA6070,46,72,51,35,25,0,247,0,16,33,43,28,14,14,0,140,24,79,192,167,116,101,52,10,740,10,24,46,68,80,77,38,14,346,39,50,63,80,83,70,21,5,408,11,4,5,3,5,3,3,0,32,0,0,6,15,12,14,6,5,62,50,53,79,91,99,89,25,7,498,0,5,0,9,9,8,4,0,25,8,13,24,19,25,21,33,6,158,99,200,422,471,405,340,184,37,2157
POA6071,26,52,48,33,8,5,189,0,19,17,25,24,12,6,0,108,23,68,112,125,97,76,25,3,540,8,33,56,66,77,63,37,0,344,37,71,78,116,108,64,38,3,516,16,4,0,0,8,4,0,0,41,4,0,0,9,18,13,7,0,55,61,75,85,127,130,82,43,3,610,0,0,3,7,0,11,5,0,21,23,18,28,36,29,33,25,15,208,122,219,335,443,415,305,153,30,2022
POA6072,3,6,5,7,0,0,29,0,0,5,0,3,6,0,0,19,6,12,16,24,20,12,3,0,88,9,8,6,14,19,18,3,0,75,14,29,29,37,37,22,7,3,178,3,4,0,4,0,0,0,0,11,0,0,0,0,3,8,0,0,14,21,37,34,38,38,28,7,3,201,0,0,0,0,0,0,0,0,0,3,10,4,12,9,5,3,4,55,32,57,78,99,98,66,17,10,466
POA6073,26,19,16,21,6,0,94,0,9,19,11,24,9,3,0,74,14,41,60,92,57,79,31,5,391,9,7,47,53,67,66,24,16,292,52,83,73,90,100,77,45,12,535,16,0,6,10,0,3,5,0,38,0,3,9,11,18,7,11,0,65,67,86,88,110,120,90,59,17,647,0,0,0,6,0,9,6,3,24,15,16,15,27,33,29,25,23,180,98,175,251,325,320,303,156,68,1699
POA6074,5,5,7,5,0,0,30,0,0,0,8,4,3,0,0,22,4,10,16,23,24,12,7,0,95,0,3,16,21,16,8,3,0,75,15,27,31,46,23,39,12,4,205,8,0,0,0,0,0,0,0,14,0,4,4,0,0,4,4,0,17,21,34,38,48,27,45,19,4,239,0,0,0,0,0,0,0,0,8,3,5,11,11,13,3,0,0,49,31,64,93,113,96,81,33,6,508
POA6076,180,236,148,140,69,11,867,5,52,118,144,130,96,36,4,583,186,367,663,746,519,523,223,66,3291,68,143,317,441,441,412,260,63,2143,276,438,541,670,622,468,262,66,3347,126,28,29,33,22,23,9,3,276,10,12,32,75,86,87,44,16,363,412,481,610,779,739,576,320,85,3992,4,12,14,21,28,43,36,14,167,89,67,123,149,172,191,224,160,1188,770,1198,2024,2513,2174,1979,1166,404,12229
POA6077,3,5,15,5,0,0,34,0,0,4,0,0,7,0,0,22,17,27,25,20,37,20,11,0,154,0,9,13,18,27,28,12,0,108,36,20,25,44,73,66,25,10,294,15,6,0,0,4,6,0,0,33,5,3,5,0,3,12,5,0,29,52,31,26,51,85,83,26,10,355,0,3,0,4,0,0,0,0,7,12,0,9,11,18,16,27,4,107,91,70,89,113,182,154,77,17,787
POA6078,9,4,7,3,6,0,19,0,0,6,4,7,0,0,0,14,4,17,4,15,16,19,10,0,87,4,6,12,12,9,12,4,0,54,24,28,25,32,43,29,3,0,181,6,0,0,0,0,0,0,0,7,0,0,3,0,3,0,0,0,14,25,28,35,32,45,29,5,0,203,0,0,0,0,0,0,0,0,10,6,9,5,11,15,3,0,0,55,48,60,73,74,108,68,22,0,444
POA6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,3,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,12
POA6081,27,29,40,15,7,0,129,0,5,23,22,26,8,6,0,100,26,94,136,164,85,78,17,0,598,15,51,70,94,98,75,30,5,431,84,153,161,202,190,107,24,16,940,23,8,9,9,3,0,0,0,53,0,4,13,16,25,19,4,0,84,106,167,185,232,222,123,33,14,1080,0,0,0,4,7,14,8,0,40,12,32,37,35,47,24,22,5,215,161,363,483,581,528,324,118,29,2590
POA6082,25,7,12,11,5,0,69,0,7,5,19,8,10,0,0,60,13,50,60,68,49,45,16,0,302,11,29,52,67,64,38,13,4,277,45,130,144,140,124,60,27,0,670,18,10,8,9,6,7,0,0,56,4,11,9,17,15,8,9,0,68,64,147,163,159,145,73,34,7,792,0,3,0,0,0,3,0,0,11,30,29,38,34,40,42,16,5,230,130,278,340,354,323,215,89,14,1736
POA6083,16,23,21,16,5,4,93,0,7,6,23,12,9,0,5,63,15,36,78,83,59,46,20,5,343,20,31,41,80,82,46,19,5,325,52,69,105,192,171,80,26,6,693,14,9,7,6,10,5,0,0,48,4,0,8,16,21,10,6,0,66,77,80,124,214,198,89,29,6,814,0,0,3,5,3,6,3,4,23,31,17,31,63,55,32,22,5,253,141,178,297,497,433,247,101,20,1914
POA6084,17,25,27,11,5,0,105,0,18,21,20,22,4,0,0,91,65,111,133,145,93,52,17,3,622,34,79,119,155,147,63,23,0,612,169,367,364,423,338,191,63,6,1931,75,17,19,6,22,7,0,0,151,11,11,25,31,24,15,7,7,131,259,399,405,463,387,216,73,10,2215,0,3,4,10,8,10,7,0,46,110,85,71,150,137,79,47,8,684,470,712,772,966,821,433,162,29,4370
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,10,3,3,0,0,0,0,12
POA6100,466,207,132,67,26,0,1449,15,99,106,85,79,59,11,0,455,279,1268,918,455,309,198,42,7,3473,144,322,269,234,230,174,47,5,1420,245,405,317,245,270,158,49,19,1718,87,39,19,21,24,5,0,0,197,13,27,30,36,39,26,6,0,174,350,466,361,294,335,190,64,20,2088,5,35,21,25,16,16,7,3,123,129,257,204,152,130,87,47,29,1025,951,2973,2343,1447,1233,787,238,71,10036
POA6101,421,234,115,56,10,0,1311,11,140,130,103,76,31,11,0,504,276,1378,991,551,275,174,50,18,3714,137,316,299,265,186,107,35,9,1348,233,478,369,294,256,173,60,17,1879,86,34,27,16,13,9,4,0,194,12,20,35,54,37,34,14,7,217,325,538,433,364,312,217,74,25,2294,9,20,21,17,24,16,5,0,111,158,305,208,165,149,127,88,38,1240,930,3139,2507,1699,1137,727,285,94,10510
