POA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
POA6000,50,55,109,121,132,249,22,22,41,12,30,42,155,180,332,63,63,120,12,9,24,22,21,44,94,95,190,72,80,151,103,122,228,31,16,43,83,125,211,0,0,0,288,349,638,286,334,618,231,205,433,34,41,75,136,160,298,0,0,0,687,735,1426,977,1085,2063,63,71,135,68,89,149,0,0,4,133,157,294,983,634,1618,2392,2206,4599
POA6003,17,16,34,42,37,80,8,5,15,7,8,13,57,50,107,16,16,38,0,10,16,4,7,11,24,37,57,7,13,23,33,59,86,0,8,8,17,26,40,0,0,0,65,103,160,45,64,112,64,69,129,7,12,15,43,36,79,0,0,0,159,182,339,223,283,504,18,23,42,11,8,26,0,0,0,28,37,67,215,139,354,560,557,1123
POA6004,56,45,98,93,83,179,24,30,53,13,25,39,132,132,267,56,47,106,37,27,64,16,30,48,106,111,214,39,33,72,75,109,187,21,23,41,61,102,159,0,0,0,189,264,457,176,217,387,118,158,276,21,32,52,117,112,226,0,3,6,431,518,952,622,783,1409,30,37,72,43,67,109,0,0,0,71,112,179,595,408,1010,1581,1589,3170
POA6005,26,22,48,58,81,138,14,16,27,8,13,26,82,108,197,42,28,66,4,3,8,8,9,18,49,42,88,3,14,16,31,39,69,6,9,21,31,44,75,0,0,0,71,109,173,66,100,158,80,103,184,14,14,35,86,76,156,0,0,0,242,290,534,314,400,712,8,19,27,23,24,48,0,4,4,30,46,82,219,147,366,722,767,1492
POA6006,86,70,151,243,238,478,56,55,113,9,23,35,317,313,629,155,125,282,71,44,113,50,54,102,267,224,496,18,7,31,18,32,53,17,7,25,46,48,89,0,0,0,102,91,201,115,174,289,60,70,137,19,32,56,69,103,173,0,0,0,273,381,650,377,474,851,7,9,21,25,32,63,0,0,0,41,49,89,203,167,364,1288,1296,2576
POA6007,60,46,106,190,191,382,26,18,43,33,15,54,253,228,477,107,91,200,40,37,76,40,39,79,181,170,349,19,22,38,17,28,44,9,11,17,24,40,66,0,0,0,75,90,164,81,135,214,81,76,156,17,25,38,77,112,189,0,0,0,247,347,597,325,441,767,10,14,24,23,27,48,0,0,0,33,39,74,220,243,463,1070,1161,2229
POA6008,148,129,280,490,497,985,32,40,70,59,57,112,575,590,1173,344,329,678,46,54,99,128,97,224,523,488,1011,16,23,40,8,41,46,14,15,25,37,62,107,0,0,3,84,133,223,246,317,560,105,145,250,40,45,84,142,208,348,0,4,0,542,708,1248,625,849,1472,5,12,24,36,63,104,0,0,0,43,76,124,445,387,832,2354,2527,4881
POA6009,140,142,280,508,460,970,98,95,197,206,151,356,815,705,1526,270,204,476,65,105,172,414,368,787,753,670,1426,26,26,50,6,29,37,14,7,20,29,45,76,0,0,0,79,109,186,1181,1232,2412,380,314,692,67,54,120,85,141,227,6,3,6,1720,1747,3460,1795,1855,3652,28,41,70,36,51,89,0,0,0,63,90,151,306,310,617,3868,3783,7652
POA6010,161,134,297,484,401,886,108,130,233,196,175,364,789,697,1489,226,174,405,156,185,337,604,396,999,980,757,1742,22,22,42,16,23,39,25,12,41,32,79,110,0,0,0,100,143,234,422,441,863,96,120,216,53,40,94,133,161,289,0,0,0,704,757,1465,803,897,1698,12,10,24,35,51,90,0,0,0,50,65,116,424,441,869,3213,2991,6208
POA6011,69,81,151,186,188,372,20,23,43,105,108,213,311,322,632,62,74,142,43,54,96,278,368,648,391,498,884,10,3,12,4,14,19,8,0,13,13,25,36,0,0,0,35,45,75,211,225,437,50,54,103,32,26,59,46,79,124,0,0,0,332,386,716,368,426,797,0,5,10,16,30,44,0,3,5,19,38,56,220,211,427,1373,1570,2944
