POA_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
POA6000,..,7,320,415,193,179,148,57,7,1331,..,106,537,210,90,56,21,12,6,1031,..,0,3,11,21,18,0,5,0,60,393,..,..,..,..,..,..,..,..,393,..,71,..,..,..,..,..,..,..,71,..,46,34,12,5,6,0,0,0,97,..,34,50,10,4,0,3,0,0,101,..,22,50,14,4,0,0,0,0,93,..,198,405,85,43,28,16,3,0,770,..,111,480,424,225,190,110,36,11,1594,3,30,43,21,19,7,10,3,0,135,395,628,1921,1201,604,485,302,114,30,5673,..,22,426,389,194,167,124,36,6,1352,..,142,561,162,61,31,15,3,0,979,..,4,19,54,50,35,12,6,10,187,463,..,..,..,..,..,..,..,..,463,..,78,..,..,..,..,..,..,..,78,..,17,26,9,10,4,0,0,0,69,..,30,36,12,3,19,15,7,0,123,..,8,33,16,0,0,0,0,0,60
POA6003,..,0,82,105,55,50,33,20,4,354,..,19,171,71,33,28,4,6,0,340,..,0,4,4,5,3,5,0,0,21,136,..,..,..,..,..,..,..,..,136,..,21,..,..,..,..,..,..,..,21,..,10,4,3,0,0,0,0,0,27,..,4,18,3,0,0,0,0,0,23,..,9,21,0,0,0,0,0,0,30,..,67,108,30,18,7,8,4,0,238,..,14,119,109,54,46,42,15,7,405,0,4,7,7,5,3,0,0,0,28,134,153,538,332,170,136,93,44,8,1610,..,4,111,95,49,48,31,8,0,358,..,35,167,44,26,15,7,0,0,294,..,0,6,14,17,9,6,0,6,63,123,..,..,..,..,..,..,..,..,123,..,31,..,..,..,..,..,..,..,31,..,10,10,5,4,0,0,0,0,28,..,4,6,0,0,3,4,0,0,25,..,9,15,5,0,0,0,0,0,24
POA6004,..,4,318,412,232,272,254,100,17,1608,..,78,397,160,70,61,44,5,0,810,..,0,4,9,27,14,4,0,0,58,403,..,..,..,..,..,..,..,..,403,..,85,..,..,..,..,..,..,..,85,..,55,53,8,11,0,0,0,0,123,..,34,31,14,0,11,0,0,0,90,..,22,34,17,7,3,0,0,0,78,..,141,294,87,17,23,12,6,0,586,..,96,325,280,193,192,123,47,13,1270,9,12,21,18,6,8,0,0,0,78,415,524,1473,998,561,576,445,154,34,5188,..,18,454,385,245,272,194,73,7,1642,..,119,422,111,63,40,19,0,0,783,..,0,11,51,72,38,16,7,0,194,371,..,..,..,..,..,..,..,..,371,..,89,..,..,..,..,..,..,..,89,..,32,28,13,11,0,0,0,0,88,..,46,41,4,3,5,16,0,0,133,..,27,30,3,0,0,3,0,0,61
POA6005,..,9,155,168,72,83,70,51,10,610,..,20,234,103,36,28,19,8,0,450,..,0,0,9,10,9,4,3,0,36,221,..,..,..,..,..,..,..,..,221,..,23,..,..,..,..,..,..,..,23,..,20,19,7,3,4,0,0,0,51,..,8,17,4,0,0,4,0,0,33,..,4,12,4,0,0,0,0,0,18,..,79,192,39,19,9,3,0,0,343,..,41,183,179,121,101,80,45,6,760,4,5,13,13,12,8,4,0,0,62,224,215,824,530,274,243,186,106,18,2615,..,9,188,170,65,84,72,23,4,619,..,46,247,88,41,22,9,0,0,452,..,0,8,24,40,17,8,7,0,109,217,..,..,..,..,..,..,..,..,217,..,36,..,..,..,..,..,..,..,36,..,16,12,7,6,3,0,0,0,39,..,27,20,8,0,3,4,0,0,70,..,12,17,8,0,0,0,0,0,31
POA6006,..,0,129,390,338,289,187,99,36,1466,..,31,243,149,71,62,34,3,0,588,..,0,0,8,29,12,5,6,6,57,737,..,..,..,..,..,..,..,..,737,..,186,..,..,..,..,..,..,..,186,..,81,57,12,18,20,5,0,0,192,..,19,20,10,12,7,9,8,3,72,..,14,30,3,0,0,0,0,0,48,..,110,196,50,18,17,11,7,0,397,..,13,87,104,87,105,81,41,19,535,13,5,21,13,6,3,6,0,0,71,745,456,781,741,570,516,330,157,59,4359,..,3,184,413,362,277,164,69,17,1489,..,49,247,118,71,45,15,4,0,553,..,0,15,57,64,30,12,18,15,220,688,..,..,..,..,..,..,..,..,688,..,185,..,..,..,..,..,..,..,185,..,78,38,9,6,19,0,0,0,149,..,22,24,6,6,4,11,9,5,89,..,13,24,7,0,5,0,0,0,46
POA6007,..,6,146,302,243,177,155,62,20,1113,..,30,260,129,53,64,22,4,0,562,..,0,0,15,20,7,5,0,3,55,553,..,..,..,..,..,..,..,..,553,..,130,..,..,..,..,..,..,..,130,..,44,29,11,15,4,0,0,0,111,..,14,18,4,7,0,0,3,0,55,..,5,20,0,0,0,0,0,0,34,..,39,159,22,8,15,7,0,0,252,..,20,115,133,110,70,78,23,8,554,5,16,19,11,3,6,4,4,0,77,562,304,766,630,464,351,276,91,32,3486,..,6,204,306,241,177,143,43,9,1134,..,58,290,102,61,41,14,0,0,571,..,0,7,50,63,32,12,13,9,193,492,..,..,..,..,..,..,..,..,492,..,135,..,..,..,..,..,..,..,135,..,34,28,12,14,8,0,0,0,84,..,26,19,3,4,6,13,8,8,83,..,14,14,0,0,0,0,0,0,28
POA6008,..,3,208,609,577,491,473,232,50,2648,..,39,334,140,88,92,59,21,4,769,..,0,0,19,43,41,20,5,0,124,1220,..,..,..,..,..,..,..,..,1220,..,419,..,..,..,..,..,..,..,419,..,125,82,21,24,6,0,0,0,257,..,23,34,9,0,5,6,4,0,87,..,6,18,5,4,0,0,0,0,39,..,83,139,18,8,10,21,9,0,295,..,51,221,160,129,178,197,111,28,1076,15,22,16,11,10,6,11,3,0,99,1233,780,1051,991,882,829,789,387,83,7027,..,5,295,708,588,484,412,177,24,2704,..,65,364,114,108,78,35,14,0,767,..,3,21,93,143,71,24,21,6,390,1251,..,..,..,..,..,..,..,..,1251,..,381,..,..,..,..,..,..,..,381,..,89,60,20,4,6,0,0,0,184,..,39,17,6,4,15,28,15,12,134,..,14,18,3,0,5,0,0,0,37
POA6009,..,3,189,628,798,662,684,436,129,3537,..,48,137,75,63,64,36,14,3,442,..,0,0,15,23,31,7,0,0,81,1510,..,..,..,..,..,..,..,..,1510,..,716,..,..,..,..,..,..,..,716,..,145,159,38,23,6,0,0,0,370,..,49,30,7,4,9,7,4,7,109,..,41,36,3,0,0,0,0,0,80,..,242,251,32,7,16,4,12,0,556,..,38,105,57,78,68,92,61,28,535,8,37,27,10,11,8,13,6,0,112,1513,1314,931,866,1011,865,849,535,167,8055,..,10,250,763,849,695,635,325,44,3574,..,58,158,79,65,55,25,9,0,441,..,0,10,76,111,73,35,20,18,337,1417,..,..,..,..,..,..,..,..,1417,..,632,..,..,..,..,..,..,..,632,..,105,118,30,17,5,6,0,0,281,..,44,11,8,5,14,22,26,11,145,..,24,20,3,5,0,0,0,0,53
POA6010,..,0,176,577,829,686,608,447,129,3449,..,30,208,107,81,69,52,30,8,581,..,0,0,16,43,40,12,3,0,119,1597,..,..,..,..,..,..,..,..,1597,..,746,..,..,..,..,..,..,..,746,..,211,154,38,27,8,10,0,0,440,..,34,13,0,0,6,7,6,8,87,..,8,15,8,0,0,0,0,0,36,..,91,123,16,8,8,7,11,0,267,..,38,98,69,80,106,133,112,58,703,22,20,33,12,7,12,12,9,3,127,1620,1178,836,838,1087,949,849,605,204,8150,..,7,246,717,881,687,579,336,70,3530,..,45,213,93,93,65,47,10,3,576,..,4,11,82,212,123,41,21,22,520,1395,..,..,..,..,..,..,..,..,1395,..,679,..,..,..,..,..,..,..,679,..,126,109,23,13,10,0,0,0,284,..,40,20,4,6,9,18,21,17,132,..,20,23,3,5,6,0,0,0,53
POA6011,..,0,57,218,407,435,357,212,54,1749,..,11,103,74,54,54,36,13,3,348,..,0,3,12,24,13,6,0,0,59,709,..,..,..,..,..,..,..,..,709,..,368,..,..,..,..,..,..,..,368,..,107,67,14,14,7,0,0,0,205,..,23,10,0,4,0,0,4,0,47,..,4,15,0,0,0,0,0,0,20,..,25,80,15,4,7,5,3,0,142,..,15,58,43,47,67,59,44,14,363,7,15,16,11,3,4,6,3,0,74,717,571,415,391,571,583,472,285,76,4089,..,0,99,291,462,418,328,170,27,1796,..,21,127,64,59,41,30,9,0,350,..,0,4,28,87,37,20,9,8,193,662,..,..,..,..,..,..,..,..,662,..,398,..,..,..,..,..,..,..,398,..,81,51,12,4,7,4,0,0,153,..,17,4,0,0,10,3,8,4,50,..,7,8,4,0,0,0,0,0,28
