POA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA6023,2160,109,9,0,0,2284,2350,93,12,0,0,2453,347,44,34,0,0,432,6,13,10,0,0,26,3,7,6,0,0,15,148,16,9,0,0,179,6,0,0,0,0,9,0,6,0,0,0,5,511,86,64,0,0,657,38,53,12,0,0,106,32,6,4,0,6,38,5087,349,99,0,6,5543
POA6024,1798,129,9,0,0,1936,2195,138,6,0,0,2348,395,66,6,0,0,464,28,3,0,0,0,32,4,10,0,0,0,16,225,35,0,0,0,264,16,4,0,0,0,20,0,0,0,0,0,0,677,118,12,0,0,802,37,13,0,0,0,48,24,6,0,0,0,32,4734,404,26,0,0,5168
POA6025,3890,375,48,0,0,4314,4891,350,37,0,0,5283,988,168,16,0,0,1168,24,22,0,0,0,53,7,9,0,0,0,8,545,109,19,0,0,672,29,0,0,0,0,27,6,4,0,0,0,14,1605,315,32,0,0,1943,71,17,5,0,0,91,71,18,0,6,0,95,10524,1070,117,6,5,11726
POA6026,2930,361,0,76,0,3369,3472,195,0,5,0,3671,453,81,0,0,0,533,0,22,0,0,0,20,3,16,0,0,0,18,236,54,0,0,0,298,10,6,0,8,0,23,0,0,0,0,0,8,708,182,0,8,0,898,38,143,4,5,0,190,39,19,0,9,0,68,7188,907,6,89,4,8195
POA6027,4588,352,105,0,0,5051,6354,357,153,0,0,6864,1354,399,455,6,9,2217,85,95,16,0,0,193,18,12,0,0,0,38,701,144,99,5,0,952,40,9,13,5,0,61,8,6,3,0,0,16,2204,663,587,11,7,3474,81,21,8,0,0,113,103,33,17,0,4,160,13327,1426,878,16,17,15667
POA6028,2150,71,23,4,0,2246,4239,71,48,0,0,4360,606,48,93,0,0,749,0,29,0,0,0,31,0,8,0,0,0,8,295,31,21,0,0,346,23,0,0,0,0,22,0,0,0,0,0,3,930,113,115,3,0,1159,38,4,0,0,0,45,62,0,0,0,0,68,7425,259,185,6,5,7877
POA6029,425,35,0,0,0,458,336,29,4,0,0,366,47,18,0,0,0,59,0,0,0,0,0,0,0,3,0,0,0,3,36,4,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,85,24,0,0,0,109,6,41,0,0,0,49,12,3,0,0,0,13,867,129,3,0,0,1001
POA6030,2565,294,22,0,0,2877,6952,223,44,0,3,7217,1743,239,52,0,0,2034,196,100,0,0,0,295,36,59,0,0,0,95,874,76,17,0,0,965,73,19,0,0,0,92,7,0,0,0,0,16,2926,493,67,0,0,3496,230,358,6,0,0,594,120,37,5,0,0,161,12792,1402,141,5,10,14343
POA6031,763,8,4,0,0,774,3952,53,6,0,0,4008,623,31,0,0,0,653,92,66,0,0,0,152,17,28,0,0,0,49,298,5,3,0,0,302,34,0,0,0,0,34,0,0,0,0,0,0,1064,130,3,0,0,1188,26,4,0,0,0,28,66,4,0,0,0,70,5867,197,9,0,3,6071
POA6032,21,0,0,0,0,21,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,6,0,0,0,0,4,0,0,0,0,0,3,59,0,0,0,0,67
